"CUST_ITEM_CF_HAIR_MED": "露肩"
"VEHICLE_COLOR_COLDWASH_BLUE": "冷洗蓝"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_POLICE_3": "提升射速、弹匣容量与伤害。前置机械瞄具提高精瞄精度。"
"CUST_COMP_TEST_FACE_MAKEUP": "食尸鬼笑"
"VEHICLE_COLOR_GRAY_DARK": "深灰"
"SLOT_DECAL_1": "贴花 1"
"LOGO_ZOMBIE": "丧尸"
"LOGO_SR_1": "黑道圣徒"
"CUST_VARIANT_CRAZY_JACKET_PLAID": "疯狂格纹夹克"
"CUST_COLOR_CLOTHING_BLUES_1": "蓝色 1"
"CUST_COLOR_CLOTHING_RED-ORANGE_7": "红橙 7"
"COLOR_SLOT_TRIM": "饰条"
"COLOR_SLOT_PAINT_3_AND_TRIM": "喷漆 3 与饰条"
"CUST_VARIANT_TANK_TOP_2": "样式 2"
"CUST_ITEM_CF_DLC_WP_LBDY_F_LOWER": "战士公主下装"
"VEHICLE_COLOR_BRIGHT_RED": "亮红"
"CUST_COLOR_REDHEAD": "红发"
"CUST_VARIANT_STYLE_A": "样式 1"
"VEHICLE_COLOR_AUTUMN_WOOD_BROWN": "秋木棕"
"LOGO_DUCKS": "鸭卡车"
"LOGO_REPAIR_1": "修理工"
"CUST_VARIANT_THICK": "粗条纹"
"CUST_ITEM_IMPRESSIONS_FEMALE_P": "黑领结裙"
"CUST_ITEM_FEMALE_LP_BRA_3": "海滩抹胸"
"CUST_COMP_FACE_MAKEUP_10": "左黑眼"
"VEHICLE_COLOR_CHOCOLATE_BROWN": "巧克力棕"
"CUST_VARIANT_NO_TIE": "无领带"
"SLOT_TORQUE_DESC": "升级扭矩可让你在街头竞速中抢得加速优势，也能甩开警方追捕。"
"CUST_COLOR_LIGHT_BROWN": "浅棕"
"CUST_VARIANT_CMOVS_MSUNSHINE": "佩斯利"
"CUST_VARIANT_TINTED": "染色"
"VEHICLE_COLOR_LIPSTICK_RED": "口红红"
"COLOR_SLOT_PAINT_4": "喷漆 4"
"COLOR_SLOT_INTERIOR_4": "内饰 4"
"CUST_COLOR_CLOTHING_YELLOWS_9": "黄色 9"
"SLOT_WINGS": "尾翼"
"CUST_COLOR_ORANGE_2": "橙色 2"
"LOGO_STILWATER_BIKE": "斯蒂尔沃特机车俱乐部"
"CUST_WEAR_MID-HEIGHT": "中高腰"
"CUST_ITEM_CM_IMPB_UBDY_M_DRSSHIRT": "商务休闲"
"SLOT_DEFENSE": "防御"
"SLOT_HANDLEBARS": "车把"
"SLOT_WHEEL_COVERS": "挡泥裙"
"IRIDESCENT_2": "虹彩 2"
"CUST_VARIANT_VEST_B": "样式 2"
"CUST_COLOR_CLOTHING_RED_2": "红色 2"
"VEHICLE_COLOR_FAINT_TARRAGON_GRAY": "淡龙蒿灰"
"RIM_RBP": "RBP"
"RIM_191": "C-X 504 紫白"
"CUST_COMP_MUSTACHE_18": "好莱坞须"
"CUST_COMP_FEMALE_EYEBROWS": "自然女眉"
"OPTION_38": "选项 38"
"HAIR_COLOR_AUBURN": "红棕"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_2": "黄橙 2"
"CUST_TATTOO_FACE_8": "海洋馈赠"
"COLOR_SLOT_PAINT": "全喷漆"
"CUST_COLOR_INDIGO_4": "靛蓝 4"
"MALE_BODYBUILDER": "男·健美"
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_2": "闺蜜左环"
"PLAYER_MORPH_SEPTUM_WIDTH_TEXT": "鼻中隔宽度"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_7": "黄绿 7"
"CUST_TATTOO_CHEST_4": "圣徒香皂"
"RIM_LEXANI": "莱克萨尼"
"CUST_COLOR_CLOTHING_ORANGE_5": "橙色 5"
"SLOT_REINFORCED_BUMPER": "强化保险杠"
"LOGO_FUNK": "Funk 98.4"
"HAIR_COLOR_BLUE_MATTE": "哑光蓝"
"CUST_COMP_MALE_EYEBROWS_2": "老者眉"
"CUST_VARIANT_TRIM_COLOR": "饰条"
"CUST_VARIANT_CMBOT_UCOPPANTS01": "纯色"
"CUST_VARIANT_SMALL_PLAID": "小格纹"
"CUST_WEAR_LOW_LEFT_ROLLED_RIGHT_UNZIPPED": "左卷，右开拉，低腰"
"CUST_ITEM_MALE_NLM_OUTFIT_D": "朋克无政府"
"CUST_WPN_UPGRADE_DESC_SMG_STORM_2": "增大弹匣容量。 "
"CUST_TATTOO_RFORARM_6": "以眼还眼"
"CUST_COMP_FACE_MOLE_7": "痣 7"
"LOGO_AKUSTICS1": "声学"
"CUST_ITEM_CM_WORSTCASESHOES": "别无选择鞋"
"VEHICLE_COLOR_TINT_50": "染色 50%%"
"RIM_187": "C-X 501 橙黑"
"CUST_VARIANT_BOWTIE_STRIPED": "条纹"
"CUST_ITEM_GENKI_PACK": "欢乐时光装！"
"RIM_ASANTI": "阿提拉轮"
"COMPONENT_OPTION_12": "选项 12"
"CUST_COLOR_GREEN_2": "绿色 2"
"UNLOCALIZED_BLACK": "黑色"
"VEHICLE_PAINT_GANG_ULTOR": "乌托尔"
"SLOT_REAR_FENDERS": "后挡泥板"
"CUST_ITEM_CF_NLME_UBDY_F_SADHEART": "我好忧伤连帽衫"
"CUST_WPN_UPGRADE_DESC_RIFLE_NG_4": "狙击镜增大变焦距离。加长枪管提升伤害并降低后坐力。"
"CUST_TATTOO_RCALF_3": "空中蝴蝶"
"CUST_TATTOO_LARM_4": "花之力量"
"CUST_TATTOO_LUPPARM_6": "圣徒永恒"
"VEHICLE_COLOR_PENNY_ZINC": "便士锌"
"COLOR_SLOT_PAINT_AND_RIMS": "喷漆与轮辋"
"LOGO_GUARD_1": "警卫 1"
"CUST_VARIANT_SMALL_DOTS": "小圆点"
"CUST_TATTOO_RFORARM_2": "硬派六人"
"CUST_COMP_FACE_MOLE_3": "痣 3"
"CUST_COMP_FACE_DPMARKS": "深麻点"
"VEHICLE_COLOR_GREEN_DARK_TINT": "深绿染"
"HAIR_COLOR_GRAY": "灰色"
"CUST_VARIANT_CARIBBEAN": "加勒比"
"CUST_WEAR_ON UNDERSHIRT": "穿打底衫"
"CUST_COMP_EYE_MAKEUP_8": "80 年代科幻"
"RIM_183": "V-F 602"
"LOGO_GHOST_3": "幽灵 3"
"CUST_VARIANT_PIMPCOAT_ZEBRA2": "斑马 2"
"CUST_COMP_EYES_RED": "红色"
"none": "无"
"CUST_ITEM_MALE_LL_UNDWEAR_1": "爱情机器平角裤"
"CUST_VARIANT_STRIPES_2": "条纹 2"
"CUST_VARIANT_MAIN": "普通"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_GANG_4": "燃烧弹加大火力。增大弹匣容量。  "
"CUST_TATTOO_LCALF_8": "鲨袭"
"CUST_COLOR_BLACK": "黑色"
"LOGO_KLASSIC": "KLASSIC 102.4"
"CUST_VARIANT_PIMPCOAT_ZEBRA": "斑马 1"
"COMPONENT_ADD_KNEECAPPERS": "撞膝器"
"CUST_VARIANT_VBANDS": "竖条纹"
"CUST_VARIANT_PATTERN_2": "样式 2"
"CUST_WEAR_UNTUCKED_UNZIPPED": "不塞衣，开拉"
"CUST_TATTOO_RCALF_7": "龙之魂"
"CUST_TATTOO_LUPPARM_2": "狼之魂"
"VEHICLE_COLOR_BANANA_YELLOW": "香蕉黄"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_6": "黄橙 6"
"CUST_TATTOO_LHAND_4": "四骷髅"
"SLOT_INTERIOR_ACCESSORIES": "内饰配件"
"COMPONENT_DECAL_9": "贴花 9"
"PAINT_3": "喷漆 3"
"CUST_ITEM_CM_IMPE_FOOT_M_SHOES": "迈阿密鞋"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_3": "黄绿 3"
"CUST_VARIANT_ZEBRA_STRETCHED_LONG": "拉伸斑马"
"CUST_ITEM_CF_NLMC_FOOT_M_SHOES": "暗面靴"
"CUST_COMP_FACE_BANDAGE_3": "颊绷带"
"SLOT_FRONT_WHEELS": "前轮"
"SLOT_TRIM": "饰条"
"CUST_ITEM_CM_IMPL_UBDY_M_JSWEATER2": "摩登男式配毛衣"
"CUST_COLOR_CLOTHING_ORANGE_1": "橙色 1"
"CUST_WPN_UPGRADE_DESC_GRENADE_MOLOTOV_2": "影响范围更大。"
"HAIR_COLOR_PURPLE": "紫色"
"CUST_VARIANT_DENIM": "牛仔"
"VEHICLE_COLOR_MIDNIGHT_BLUE": "午夜蓝"
"RIM_SET_009": "轮辋套组 9"
"CUST_ITEM_CM_DLC_MASK_M_GPHEAD": "现实狂热摇头娃"
"CUST_ITEM_CF_PSB_UBDY_F_ZIPUPJACKET": "女式拉链夹克"
"SLOT_TIRE_DURABILITY": "轮胎耐久"
"LOGO_MUSEUM_HISTORY": "自然史博物馆"
"LOGO_RUSTY_S_NEEDLE_1": "拉斯蒂之针 1"
"CUST_VARIANT_AMBER": "琥珀"
"HAIR_COLOR_PINK": "粉色"
"HAIR_COLOR_BRUNETTE": "深棕发"
"LOGO_SKEETERS_4": "斯基特斯 4"
"LOGO_NUMBER2": "2 号"
"CUST_VARIANT_PRESS": "压印"
"CUST_VARIANT_GOLD": "金"
"CUST_VARIANT_BIKERBOOT": "摩托靴"
"CUST_WEAR_HIGH_LEFT_ZIPPED_RIGHT_LEFT_ROLLED_RIGHT_ROLLED": "右卷，高腰"
"CUST_TATTOO_UPPBACK_5": "破樱桃"
"SLOT_HUBCAPS": "轮毂盖"
"HAIR_COLOR_WHITE_MATTE": "哑光白"
"CUST_VARIANT_BOOT_5": "双色调"
"CUST_WEAR_UNTUCKED_ZIPPED": "不塞衣，拉链合"
"CUST_WEAR_LONG": "长"
"CUST_WEAR_LEFT": "左"
"VEHICLE_COLOR_DOUBLE_YELLOW": "双黄"
"VEHICLE_PAINT_MUNICIPAL": "市政"
"CUST_VARIANT_FRONT_STRIPES_LARGE": "大前条纹"
"CUST_ITEM_CM_IMPL_UBDY_M_SHIRT2": "男模衬衫配领结"
"CUST_TATTOO_LARM_8": "部落环纹"
"CUST_ITEM_CM_HAIR_PULLEDPONYTAIL": "松散马尾"
"CUST_SKIN_OILED_4": "油亮喷棕"
"CUST_COLOR_CLOTHING_GREYS_2": "灰色 2"
"CUST_COMP_CHEEK_MAKEUP_4": "小丑"
"Redhead": "红发"
"VEHICLE_PAINT_STANDARD_METAL": "标准金属"
"CUST_VARIANT_PLAIN_W_TIE": "素面带领带"
"CUST_ITEM_GAT_MASCOT_OUTFIT": "盖特吉祥物装"
"CUST_ITEM_FEMALE_NLM_EARRINGS_2": "碎颅耳环"
"CUST_TATTOO_RHAND_3": "心碎"
"CUST_TATTOO_CHEST_8": "翱翔之时"
"VEHICLE_PAINT_PLASTIC": "塑料"
"CUST_COMP_FACE_MAKEUP_3": "萨梅迪之子"
"CUST_ITEM_CM_LPG_MASK_M_MASKCAT": "大猫面具"
"CUST_TATTOO_FACE_4": "晴朗夜空"
"SLOT_OFFENSE": "攻击"
"LOGO_BROTHERHOOD_3": "兄弟会 3"
"CUST_COLOR_CLOTHING_VIOLET-RED_2": "紫红 2"
"CUST_COLOR_CLOTHING_BROWNS_3": "棕色 3"
"CUST_COMP_MUSTACHE_14": "五点钟胡"
"VEHICLE_COLOR_BLACK_TITANIUM": "黑钛"
"LOGO_RFS": "RFS 87.6"
"CUST_COMP_EYES_HAZEL": "淡褐"
"COMPONENT_OPTION_3": "选项 3"
"CUST_WEAR_ON OVERSHIRT": "外衫"
"CUST_TATTOO_LOWBACK_7": "内心平和"
"VEHICLE_COLOR_SOLID_TEAL": "纯青"
"CUST_VARIANT_3_STRIPE": "三条纹"
"CUST_TATTOO_NECK_3": "困惑"
"CUST_COMP_BODY_MASK_3": "比基尼晒痕，丁字裤"
"VEHICLE_COLOR_HARLEQUIN_PURPLE": "丑角紫"
"LOGO_MUSEUM_ERO_3": "埃罗墨诺斯博物馆 3"
"CUST_COLOR_CLOTHING_ORANGE_9": "橙色 9"
"CUST_COMP_EYE_MAKEUP_17": "烟熏"
"VEHICLE_COLOR_GRAY_MEDIUM": "中灰"
"VEHICLE_COLOR_ICE_WHITE": "冰白"
"CUST_WEAR_CLOSED, HOOD UP": "戴帽"
"CUST_COMP_FACE_MAKEUP_7": "旭日"
"VEHICLE_PAINT_METALLIC_PAINT": "金属漆"
"CUST_ITEM_CM_IMPB_UBDY_M_TURTLENECK": "琐事高领衫"
"CUST_TATTOO_RHAND_7": "手部纹身 R7"
"CUST_ITEM_CM_NLMB_UBDY_M_TRASH": "垃圾 T 恤"
"CUST_COLOR_CLOTHING_VIOLET-RED_6": "紫红 6"
"CUST_COLOR_CLOTHING_BROWNS_7": "棕色 7"
"CUST_COMP_MUSTACHE_10": "描眉"
"COMPONENT_DECAL_5": "贴花 5"
"CUST_TATTOO_LHAND_8": "手部纹身 L8"
"CUST_ITEM_WRESTLE_MASK_MALE": "重量级面具"
"CUST_ITEM_CF_LPC_FOOT_F_FEMHEROBOOTS": "钢埠女英雄靴"
"CUST_ITEM_CF_PSF_FOOT_F_SNEAKERS": "街头滑鞋"
"CUST_TATTOO_LOWBACK_3": "致敬黄铜"
"CUST_COLOR_FLESH_3": "肉色 3"
"CUST_VARIANT_TRACK_B2": "样式 2"
"CUST_WEAR_NORMAL": "普通"
"RIM_SET_005": "轮辋套组 5"
"COMPONENT_OPTION_7": "选项 7"
"SK04": "皮肤 04"
"CUST_WEAR_LEFT_ROLLED_UP": "左卷上"
"CUST_WEAR_BACK_RIGHT": "右后"
"CUST_COMP_EYE_MAKEUP_13": "埃及公主"
"CUST_VARIANT_SKIRTA": "样式 3"
"CUST_VARIANT_ZEBRA_2": "斑马 2"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_SATCHEL_2": "携带更多炸药。"
"CUST_TATTOO_NECK_7": "赴死盛装"
"CUST_COMP_FACE_ROBOT_PARTS": "机器人部件"
"CUST_WEAR_HAT": "帽子"
"RIM_SET_020": "轮辋套组 20"
"CUST_VARIANT_STRIPED": "条纹"
"CUST_WPN_UPGRADE_DESC_PISTOL_GANG_2": "提升射速。"
"CUST_COMP_EYE_MAKEUP_4": "罪犯克星"
"VEHICLE_COLOR_WINE_RED": "酒红"
"HAIR_COLOR_STRAWBERRY_BLONDE": "草莓金发"
"LOGO_NUMBER6": "6 号"
"CUST_ITEM_CM_FPIC_CHINSTUD": "下巴钉"
"SLOT_TIRES": "轮胎"
"SLOT_FINS": "尾鳍"
"LOGO_KOBRA": "眼镜蛇"
"POLICE_OUTFIT": "警服"
"CUST_TATTOO_UPPBACK_1": "骷髅堆"
"CUST_TATTOO_LEFT_SHOULDER": "左肩"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_STAG_4": "提升射速与伤害。"
"SLOT_DRAPES": "垂帘"
"LOGO_HEART": "心"
"CUST_VARIANT_07_DEFAULT": "变体 7"
"CUST_INSULT_H": "打嗝"
"CUST_TATTOO_LCALF_4": "锦上樱桃"
"VEHICLE_COLOR_COPPER": "铜"
"VEHICLE_COLOR_DEEP_BRONZE_BROWN": "深古铜棕"
"CUST_WEAR_TUCKED_BUTTONED_HIGH_PANT_SUSPENDERS": "塞衣，系扣，高腰裤，背带"
"CUST_COLOR_CLOTHING_GREYS_6": "灰色 6"
"VEHICLE_COLOR_WHEATFIELD_YELLOW": "麦田黄"
"VEHICLE_PAINT_WHITE_WALL": "白胎壁"
"LOGO_PRISON": "斯蒂尔沃特管教所"
"CUST_VARIANT_SHORT": "短"

"CUST_ITEM_CF_PSG_HAT_F_DRIVINGCAP": "老爹帽"
"CUST_CAT_MAKEUP_MOUTH": "唇部"
"CUST_ITEM_CF_LPE_UBDY_F_MSHIRTVEST": "强力背心"
"CUST_CAT_HAIR": "发型"
"UNIVERSITY_GIFT_NAME": "斯蒂尔沃特大学礼品店"
"BLEACHED_BLONDE": "漂白金发"
"CUST_ITEM_CM_LBDY_WCSASPANTS": "忘穿裤子了？"
"CLOTHES_STORE_TITLE": "二手衣铺"
"CUST_WEAR_OPEN_TIE": "敞开系领带"
"CUST_WEAR_UNZIPPED": "拉链敞开"
"CUST_ITEM_FEMALE_LP_EARRINGS_2": "黑寡妇耳环"
"PLAYER_MORPH_FOREHEAD_HEIGHT_TEXT": "额头高度"
"CUST_INSULT_FIST": "挥拳"
"PLAYER_MORPH_LOBES_ELEVATION_TEXT": "耳垂高度"
"PLAYER_MORPH_MOUTH_SIDES_TEXT": "嘴部宽度"
"CUST_SKIN_SILVER": "银色 "
"CUST_ITEM_CM_HATHAIR_BALDING": ""
"CUST_SAMEDI_TAUNT_C": "萨梅迪嘲讽 3"
"CUST_TATTOO_TORSO_CHEST": "胸部"
"CUST_MOVEMENT_FACIAL_EXPRESSION": "面部表情"
"PLAYER_MORPH_NOSTRIL_LENGTH_TEXT": "鼻孔长度"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2E": "都市猎装有领衬衫"
"CUST_ITEM_IMPRESSIONS_MALE_O": "曼哈顿风格"
"CUST_ITEM_CM_STAG": "STAG 精英"
"PLAYER_MORPH_CHIN_SHAPE_TEXT": "下巴形状"
"CUST_VARIANT_NO_DECALS": "素面"
"CUST_SKIN_BLUE_3": "晴空蓝"
"CUST_COMPLIMENT_X": "掀翻屋顶"
"CUST_ITEM_CM_LLN_EYES_M_DSUNGLASSES": "5.0 眼镜"
"CUST_ITEM_CF_PSH_UBDY_F_TTOPCOMBO": "音乐发烧友"
"PLAYER_MORPH_EYEBALLS_SIZE_TEXT": "眼球大小"
"PLAYER_MORPH_FOREHEAD_DEPTH_TEXT": "额头深度"
"SLOT_SIDE_MIRRORS": "侧视镜"
"SLOT_DECAL_2": "贴花 2"
"CUST_VARIANT_BASIC": "基础"
"CUST_CAT_MAKEUP": "妆容"
"CUST_VARIANT_TANK_TOP_1": "样式 1"
"CUST_ITEM_LEATHER_LACE_MALE_K": "情圣"
"CUST_CAT_BACKPACK": "背包"
"STORE_WEAPON_LEVEL": "等级 {0}"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2A": "都市猎装背心"
"CUST_FACIAL_ITEMS": "饰品"
"CUST_INSULT_S": "抹脖子"
"CUST_EYE_COLOR": "眼睛颜色"
"LOGO_MUSEUM_ART": "美术馆"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2B": "都市猎装配T恤"
"CUST_ITEM_CF_NLMD_LWRST_F_WRISTBAND": "摇滚腕带"
"CUST_ITEM_CM_NLMD_FOOT_M_SPIKEDBOOTS": "死核靴"
"CUST_ITEM_BANK_HEIST": "银行劫案"
"CUST_MENU_GLOBAL": "身体"
"PLAYER_MORPH_EAR_LOBE_TEXT": "耳垂"
"CUST_ITEM_CM_BASIC_PARACHUTE": "基础降落伞"
"PLAYER_FAT_TEXT": "肥胖"
"CUST_VARIANT_LEOPARD": "豹纹"
"CUST_ITEM_LEATHER_LACE_MALE_O": "零百西装"
"SLOT_JUNK/CLUTTER": "杂物/挂件"
"CUST_COLOR_BLUE_2": "蓝色 2"
"CUST_ITEM_CM_HAT_M_STAGHELMET": "STAG 头盔"
"CUST_ITEM_CF_LLT_LBDY_F_LTHRPANTS": "皮革机车裤"
"CUST_ITEM_CM_LLB_RWRST_M_LTHRWRISTBAND": "皮革蕾丝腕带"
"CUST_ITEM_CF_CURLERS": "50年代主妇"
"CUST_SAMEDI_COMPLIMENT_B": "萨梅迪赞美 2"
"PLAYER_MORPH_NOSTRIL_HEIGHT_TEXT": "鼻孔高度"
"CUST_SKIN_SMURF": "蓝精灵"
"PLAYER_MORPH_BRIDGE_DEPTH_TEXT": "鼻梁深度"
"SURGEON_CAT_EXPORT": "导出"
"CUST_SKIN_RED_YELLOW_3": "公主粉"
"CUST_SKIN_METAL_4": "祖母绿"
"PLAYER_MORPH_IRIS_SIZE_TEXT": "虹膜大小"
"PLAYER_MORPH_BROW_DEPTH_TEXT": "眉骨深度"
"CUST_ITEM_CF_HAIR_LONGPARTEDCENTER": "玛莎式"
"PLAYER_CREATION_COLOR": "颜色"
"STORE_WEAPON_AVAILABLE": "有货"
"PLAYER_CREATION_ADVANCED": "高级"
"LOGO_KRHYME": "KRHYME 95.4"
"CUST_WEAR_HAT2": "帽子 2"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_B": "假装一下（男款 B）"
"FACIAL_EXPRESSION_SURPRISED": "惊讶"
"CUST_WEAR_AGAINST SKIN": "贴身"
"CUST_ITEM_CF_HAIR_LONGASYM": "歪向一边"
"CUST_ITEM_CF_IMPK_LBDY_F_SKIRT": "休闲裙"
"CUST_GENDER": "性别"
"CUST_TATTOO_LEGS": "腿部"
"CUST_COMPLIMENT_T": "阿帕奇"
"PLAYER_MORPH_CHEEKS_SPACING_TEXT": "脸颊间距"
"CUST_ITEM_CM_DLC_HAT_ABOY": "圆顶礼帽"
"CUST_ITEM_CF_RING_F_LGSAINTSSET": "圣徒风戒指"
"CUST_VARIANT_PATTERN_B": "样式 2"
"CUST_ITEM_CM_NLMC_HAT_M_CHAT": "迷幻浩室帽"
"CUST_ITEM_CM_LLO_UBDY_M_SBLJACKET": "口袋火箭夹克"
"PLAYER_MORPH_MOUTH_ELEVATION_TEXT": "嘴部高低"
"CUST_ITEM_CM_NLMG_UBDY_M_OG": "OG 连帽衫"
"CUST_ITEM_CF_NLMH_UBDY_F_SHORTTANKTOP": "糖果女孩背心"
"PLAYER_MORPH_FOREHEAD_WIDTH_TEXT": "额头宽度"
"CUST_ITEM_CF_RING_F_RAVERSET": "迷幻浩室戒指"
"CUST_TATTOO_UPPER_ARM_LEFT": "左上臂"
"CUST_VARIANT_THICK_EYESHADOW": "浓妆"
"CUST_WEAR_HIGH_LEFT_ZIPPED_RIGHT_UNZIPPED": "右侧敞开，高位"
"CUST_SKIN_ASIAN_02": "亚洲 2"
"CUST_MENU_LOGO": "标志"
"PLAYER_MUSCLE_TEXT": "肌肉量"
"PLAYER_MORPH_ASIAN_TEXT": "亚洲"
"CUST_SKIN_CAUCASIAN_03": "高加索 3"
"RIM_175": "SD EDV1"
"SLOT_SPINNERS_FRONT": "前转轮毂"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_F": "健身狂"
"CUST_ITEM_CF_LLT_UBDY_F_LTHRJACKET": "曼巴皮夹克"
"PLAYER_MORPH_CHIN_HEIGHT_TEXT": "下巴高度"
"HAIR_COLOR_REDHEAD": "红发"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_G": "货主"
"CUST_ITEM_CF_LPC_HAND_F_FEMHEROGLOVES": "钢埠女英雄手套"
"CUST_TATTOO_TORSO_BACK": "整个背部"
"PLAYER_MORPH_CROWN_TEXT": "头顶"
"WARDROBE_NONE": "无"
"CUST_ITEM_CF_NLMH_NECK_F_BEADNECKLACE": "迪斯科珠链"
"CUST_ITEM_SHADES_11": "丑爆墨镜"
"CUST_CAT_FINGERNAILS": "指甲"
"CUST_TATTOO_HEAD_TOP": "头顶"
"CUST_BRO_COMPLIMENT_D": "兄弟会赞美 4"
"CUST_WEAR_TATTOO_MAO_DESIGN": "MAO 设计"
"CUST_ITEM_CM_DECKERSHEADSET": "Astro A40 赛博帮耳机"
"CUST_ITEM_CF_PSE_HEAD_F_SAINTSCAP": "钢埠街头帽"
"CUST_ITEM_CF_PSG_RWRST_F_BRACELET": "哔啵手环"
"PLAYER_CREATION_AGE_MIDDLE": "中年"
"PLAYER_MORPH_NOSE_YAW_TEXT": "鼻偏转"
"PLAYER_MORPH_NOSE_LENGTH_TEXT": "鼻长"
"CUST_ITEM_FEMALE_PS_UNDWEAR_4": "若有若无圣徒丁字裤"
"CUST_ITEM_CF_PSG_RWRST_F_SBAND": "吸汗带"
"CUST_WEAR_UNTUCKED_TOP_BUTTON_TIE": "敞开，领带系顶扣"
"CUST_ITEM_CM_NLMG_UBDY_M_SWEATSHIRT": "OG 卫衣"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_B": "街头格斗者"
"CUST_ITEM_6_LOOPS_LEFT": "6 环"
"PLAYER_MORPH_EYELID_FOLD_TEXT": "眼睑褶"
"COMPONENT_PAINT_3": "喷漆 3"
"CUST_ITEM_CF_RING_F_DIAMOND": "无瑕美人"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_C": "圣徒星球（男款 C）"
"CUST_ITEM_BASEBALL_CAP": "棒球帽"
"CUST_ITEM_CM_LPH_HAT_M_PIRATEHAT": "船长帽"
"PLAYER_MORPH_UPPER_LID_SLANT_TEXT": "上睑倾斜"
"PLAYER_MORPH_NOSE_SHAPE_TEXT": "鼻形"
"PLAYER_MORPH_BRIDGE_WIDTH_TEXT": "鼻梁宽度"
"FACIAL_EXPRESSION_PAIN_B": "痛苦"
"PLAYER_MORPH_BROW_WIDTH_TEXT": "眉宽"
"LOGO_SHARKS_1": "鲨鱼 1"
"CUST_WEAR_FORWARD_LEFT": "前左"
"CUST_ITEM_CF_HATHAIR_PULLEDINTOHAT": ""
"CUST_ITEM_CF_LLI_RWRST_F_WRISTBAND": "腕带"
"CUST_ITEM_FEMALE_LL_BRA_5": "遮点"
"CUST_ITEM_CM_PSI_FOOT_M_COLSNEAKERS": "圣徒街头鞋"
"CUST_ITEM_CM_IMPL_FOOT_M_DSREPTILESHS": "男模鞋"
"PLAYER_MORPH_TIPS_SIZE_TEXT": "鼻尖大小"
"PLAYER_MORPH_CHIN_LENGTH_TEXT": "下巴长度"
"CUST_COLOR_BRIGHT_RED": "亮红"
"LOGO_FIST": "拳头"
"CUST_ITEM_CM_PSD_LBDY_M_SKINNYSLACKS": "深色紧身裤"
"CUST_ITEM_CM_PSC_HAT_M_BCAP": "圣徒鸢尾帽"
"CUST_COMPLIMENT_P": "银色子弹"
"CUST_COLOR_ROSE_1": "玫瑰 1"
"CUST_VARIANT_HEARTS_BIG": "大心形"
"CUST_ITEM_CM_LPC_MASK_M_MASK": "超级英雄面罩"
"CUST_VARIANT_THIN_STRIPES": "细条纹"
"CUST_MENU_EXIT": "开始游戏"
"CUST_ITEM_CM_IMPL_UBDY_M_SWEATER2": "狂野走秀毛衣"
"CUST_VARIANT_SEMI_GLOSSY": "半亮面"
"PLAYER_MORPH_FOREHEAD_ELEVATION_TEXT": "额头高低"
"PLAYER_MORPH_CHEEKBONES_TEXT": "颧骨"
"CUST_ITEM_CF_IMPR_UBDY_F_JTURTLENCK": "山丘巴黎风"
"PLAYER_MORPH_NOSE_HEIGHT_TEXT": "鼻高"
"COLOR_SLOT_RIM_1": "颜色槽 轮辋 1（勿用）"
"CUST_VARIANT_BADGELESS": "无徽章"
"CUST_VARIANT_STRIPES": "横条纹"
"CUST_ITEM_FEMALE_LL_UNDWEAR_4": "做我的情人丁字裤"
"CUST_ITEM_WOMEN_S_BONDAGE_TOP_1": "女士时尚夹克"
"CUST_ITEM_CM_HAIR_DREADS": "马利式"
"CUST_ITEM_CM_PSE_FOOT_M_BOOTS": "工地靴"
"CUST_ITEM_OVAL_RING_1_LEFT_INDEX_FINGER": "混战格斗缠手带"
"PLAYER_MORPH_MOUTH_HEIGHT_TEXT": "嘴部高度"
"STORE_WEAPON_BUY_UPGRADE": "购买/升级武器"
"LOGO_SKEETERS_3": "斯基特斯 3"
"CUST_VARIANT_PETALS": "花瓣"
"LEATHER_LACE_NAME": "皮革与蕾丝"
"CUST_ITEM_CM_LLB_LWRST_M_LTHRWRISTBAND": "皮革蕾丝腕带"
"CUST_ITEM_CF_PSA_FOOT_F_ANKLEBOOTS": "并非纯情短靴"
"CUST_COMPLIMENT_D": "不足为奇"
"CUST_VARIANT_15_DEFAULT": "样式 1"
"CUST_VARIANT_BASKETBALL_JERSEY": "条纹"
"CUST_VARIANT_HAT": "素面"
"PLAYER_MORPH_UPPER_LIP_NOTCH_TEXT": "上唇凹"
