// extra_dumps: customize - us entries not covered by schinese table
// format: "KEY": "EN"  (all bucket entries via 8B-stride, hash=crc_volition(KEY))
"CUST_ITEM_CF_PSG_HAT_F_DRIVINGCAP": "GRANDPA HAT"
"PLAYER_MORPH_CHIN_WIDTH_TEXT": "CHIN WIDTH"
"PLAYER_MORPH_EAR_TIP_TEXT": "EAR TIP"
"PLAYER_MORPH_LOWER_LID_LENGTH_TEXT": "LOWER LID LENGTH"
"PLAYER_MORPH_EARS_TEXT": "EARS"
"CUST_ITEM_CM_DLC_UBDY_M_GPTOP": "FUNTIME! TOP"
"CUST_ITEM_LPA_M_SPACESUIT": "GANGSTERS IN SPACE SUIT"
"CUST_TATTOO_LOWER_LEG_LEFT": "LOWER LEFT LEG"
"CUST_SKIN_ASIAN_01": "ASIAN 1"
"CUST_TATTOO_LOWER_LEG_RIGHT": "LOWER RIGHT LEG"
"Default": "DEFAULT"
"CUST_SAMEDI_COMPLIMENT_A": "SAMEDI COMPLIMENT 1"
"PLAYER_MORPH_CHEEKBONE_SIZE_TEXT": "CHEEKBONE SIZE"
"CUST_ITEM_FEMALE_NLM_BRA_1": "BROKEN HEART"
"CUST_ITEM_CM_HAIR_MOHAWK": "HAWKED"
"CUST_SAMEDI_TAUNT_D": "SAMEDI TAUNT 4"
"PLAYER_MORPH_NOSE_WIDTH_TEXT": "NOSE WIDTH"
"CUST_ITEM_CM_FPIC_NOSESLEFT": "NOSE STUD LEFT"
"CUST_VARIANT_ULTOR_W_TIE": "ULTOR TIE"
"PLAYER_MORPH_CHEEK_FATNESS_TEXT": "CHEEK FATNESS"
"PLAYER_CREATION_BASIC": "BASIC"
"CUST_ITEM_FEMALE_LP_EARRINGS_5": "PRIVATE EYE EARRINGS"
"PLAYER_MORPH_EAR_SPACING_TEXT": "EAR SPACING"
"LINEUP_WARNING_BODY": "Returning to the lineup will discard your current settings.\nAre you sure you want to do this?"
"CUST_ITEM_GASMASK": "FUMIGATOR 3000"
"CUST_ITEM_CF_LPE_LBDY_F_MPANTS": "COMBAT PANTS"
"CUST_SKIN_BLUE_4": "HINT OF BLUE"
"PLAYER_MORPH_DOUBLE_CHIN_ELEVATION_TEXT": "DOUBLE CHIN HEIGHT"
"CUST_ITEM_CM_PSG_HAT_M_BUCKETHAT": "Z STYLE"
"CUST_ITEM_SQUARE_BELT_1": "HEAVYWEIGHT TIGHTS"
"CUST_MAX_COMPOSITE_WARNING": "You have reached the maximum number of selections allowed."
"PLAYER_MORPH_UPPER_LIP_SIDES_ELEVATION_TEXT": "UPPER LIP SIDE HEIGHT"
"PLAYER_MORPH_DOUBLE_CHIN_WIDTH_TEXT": "DOUBLE CHIN WIDTH"
"PLAYER_MORPH_BRIDGE_ELEVATION_TEXT": "BRIDGE HEIGHT"
"CUST_WEAR_TUCKED_LOW_PANT_NO_SUSPENDERS": "TUCKED, LOW PANTS"
"CUST_INSULT_P": "PILLOW PRINCESS"
"CUST_COLOR_CLOTHING_RED-ORANGE_3": "RED ORANGE 3"
"CUST_VARIANT_PLAIN_NO_BOWTIE": "NO TIE"
"CUST_ITEM_CF_RING_F_SAINTSSET": "SAINTS FLEUR RINGS"
"CUST_ITEM_CF_NLMD_FACE_F_LIPRING": "RAWK LIP RING"
"CUST_VARIANT_STRETCH_TOP_2": "STYLE 2"
"PLAYER_MORPH_MOUTH_ANGLE_TEXT": "MOUTH ANGLE"
"CUST_ITEM_IMPRESSIONS_MALE_L": "TRENDY AND MODERN"
"PLAYER_MORPH_INNER_BROW_ELEVATION_TEXT": "INNER BROW HEIGHT"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2E": "URBAN SAFARI WITH COLLARED SHIRT"
"PLAYER_MORPH_EYE_SEPARATION_TEXT": "EYE SEPARATION"
"CUST_WEAR_HALF-WAY BUTTONED": "HALF-WAY BUTTONED"
"CUST_INSULT_T": "NOPE"
"SLOT_REINFORCED_BUMPER_DESC": "Upgrading your bumper durability lets you dish out devastating damage to anything that gets in your path."
"PLAYER_MORPH_FOREHEAD_SHAPE_TEXT": "FOREHEAD SHAPE"
"CUST_VARIANT_POLICE": "POLICE"
"CUST_VARIANT_COLOR": "COLORED"
"CUST_BRA": "BRA"
"PLAYER_MORPH_CHIN_DEPTH_TEXT": "CHIN DEPTH"
"CUST_ITEM_CM_IMPL_UBDY_M_SHIRT": "MALE MODEL SHIRT"
"CUST_ITEM_CM_HAIR_AFRO": "SAINTS FRO"
"CUST_TATTOO_ENTIRE_LEG_LEFT": "ENTIRE LEFT LEG"
"CUST_TATTOO_HEAD_REAR": "HEAD REAR"
"PLAYER_MORPH_LOWER_LIP_SIZE_TEXT": "LOWER LIP SIZE"
"CUST_ITEM_CM_LLA_FOOT_M_LTHRBOOTS": "SAFEWORD BOOTS"
"PLAYER_MORPH_EYEBALLS_SPACING_TEXT": "EYEBALL SPACING"
"PLAYER_MORPH_NOSE_PITCH_TEXT": "NOSE PITCH"
"CUST_ITEM_CF_NLMC_UBDY_F_GOTHGIRL": "MYSTERY MAN T"
"PLAYER_MORPH_EAR_BOTTOM_TEXT": "EAR BOTTOM"
"CUST_SKIN_RED_YELLOW_4": "LEMON"
"CUST_SKIN_METAL_3": "GOLD"
"PLAYER_MORPH_NOSTRILS_SPACING_TEXT": "NOSTRIL SPACING"
"CUST_ITEM_CF_LLJ_EYES_F_SUNGLASSES": "GRANDMA GLASSES"
"CUST_ITEM_CM_NLMA_HAND_M_GLOVESOFNGR": "STEAMPUNK GLOVE"
"CUST_ITEM_CM_IMPN_UBDY_M_SWEATER": "MODERN MALE SWEATER"
"CUST_ITEM_CM_HAIR_COMBEDDOWNJAGGED": "CRUISE-IN"
"CUST_CAT_HAIR_COLOR_FACE": "FACIAL HAIR COLOR"
"COMPONENT_OPTION_D": "OPTION D (SHOULD NOT BE USED)"
"PLAYER_MORPH_UPPER_LIP_SIDES_SIZE_TEXT": "UPPER LIP SIDE SIZE"
"STORE_WEAPON_OWNED_EQUIPPED": "{0} LEVEL {1} {2}(EQUIPPED)[/format]"
"CUST_VARIANT_SNAKESKIN": "SNAKESKIN"
"CUST_WEAR_BACK": "BACK"
"CUST_ITEM_CM_LPH_FOOT_M_PIRATEBOOTS": "CAPTAIN'S BOOTS"
"PLAYER_MORPH_TEMPLES_SPACING_TEXT": "TEMPLE SPACING"
"CUST_ITEM_CM_IMPB_FOOT_M_LTHRSHOE": "DRESS SHOES"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_E": "EMPIRE FIGHTER"
"CUST_ITEM_CM_IMPL_UBDY_M_JSHIRT2": "MOD MALE WITH SHIRT AND BOWTIE"
"CUST_ITEM_CM_HAIR_COMBEDDOWNFLUSH": "TEEN DREAM"
"CUST_ITEM_FEMALE_LP_EARRINGS_1": "LADYBUG EARRINGS"
"CUST_EXIT_WARNING_BODY": "Exit Player Creation?"
"PLAYER_CREATION_FIGURE_HUGE": "BURLY"
"LOGO_CAVE_2": "PHANTOM CAVE 2"
"CUST_ITEM_CF_PSA_UBDY_F_3RDSTREET": "3RD STREET HOODIE"
"CUST_UNDERSHIRT": "UNDERSHIRTS"
"CUST_ITEM_CM_LPG_MASK_M_MASKLION": "BIG MANE MASK"
"CUST_ITEM_CM_PSJ_FOOT_M_SNEAKERS": "ULTRAS"
"CUST_ITEM_AISHA_EAR_PIERCING_LEFT": "THICK HOOP"
"CUST_ITEM_LEATHER_LACE_FEMALE_T": "SPEEDRACER"
"CUST_ITEM_CF_NLMB_UBDY_F_VESTSHIRT": "REBEL VEST"
"CUST_ITEM_CM_PSC_UBDY_M_HOODIEDOWN": "ALL BUSINESS HOODIE"
"CUST_ITEM_2015_SHADES": "2015 SHADES"
"PLAYER_CREATION_MENU_3": "EYES"
"LOGO_KABRON": "KABRON 104.2"
"LEVEL_1": "LEVEL 1"
"CUST_ITEM_FEMALE_LL_EARRINGS_1": "QUEEN OF HEARTS EARRINGS"
"CUST_VARIANT_CIRCLES": "CIRCLES"
"CUST_WEAR_FORWARD": "FORWARD"
"CUST_ITEM_CF_DLC_WP_HAT_F_HELMET": "WARRIOR PRINCESS HELMET"
"FEMALE_EMACIATED": "FEMALE EMACIATED"
"CUST_VARIANT_PIMPCOAT_LEOPARD": "LEOPARD 1"
"CUST_RONIN_TAUNT_B": "RONIN TAUNT 2"
"CANT_WEAR_PENDANT": "YOU MUST HAVE A SHORT NECKLACE TO WEAR THIS PENDANT"
"SURGEON_PRESET_TEXT": "Do you want to select this preset?"
"CUST_VARIANT_BOXERS": "BOXERS"
"PLAYER_MORPH_FOREHEAD_TEXT": "FOREHEAD"
"PLAYER_MORPH_EAR_HEIGHT_TEXT": "EAR HEIGHT"
"CUST_ITEM_CF_PSD_FOOT_F_FLIPFLOPS": "FLOWER POWER SANDALS"
"CUST_VOICE_MALE_ASIAN": "MALE 2"
"CUST_ITEM_CM_DLC_SUIT_M_BLINGPACK": "THE \"Z\""
"CUST_ITEM_MALE_HEYDAYSHOES": "HEYDAY SUPER SHIFT"
"CUST_ITEM_CM_LLK_FOOT_M_BUNNYSLIPPERS": "NAUGHTY BUNNY SLIPPERS"
"CUST_BRO_TAUNT_B": "BROTHERHOOD TAUNT 2"
"CUST_ITEM_CM_HAIR_VERYSHORTAFRO": "CHISELED FRO"
"CUST_ITEM_CM_NLMA_EYES_M_SPGOGGLES": "STEAMPUNK GOGGLES"
"CUST_ITEM_CF_PSH_HAT_F_GFXCAP": "HIPSTER TRUCKER HAT"
"CUST_COMPLIMENT_O": "THE SEVEN VEILS"
"CUST_ITEM_CF_LPG_FOOT_F_COWGIRLBOOTS": "RODEO QUEEN BOOTS"
"CUST_ITEM_CM_PSE_LBDY_M_LSHORTS": "BAGGY SHORTS"
"CUST_COMP_FEMALE_EYEBROWS_4": "HIGH CURVE"
"COMPONENT_ADD_NITROUS": "NITROUS"
"CUST_VARIANT_MED": "MEDIUM"
"CUST_VARIANT_DESERT_CAMO": "DESERT CAMO"
"CUST_VARIANT_MATERIAL__15": "CUST_VARIANT_MATERIAL_#15"
"CUST_ITEM_CM_IMPO_UBDY_M_SHIRTWTIE": "NEIGHBOR SHIRT WITH TIE"
"CUST_ITEM_CF_HAIR_LONGWAVY": "VOLUMINOUS"
"CUST_TATTOO_ENTIRE_ARM_RIGHT": "ENTIRE RIGHT ARM"
"CUST_VARIANT_NAILS_A": "NAILS 1"
"CUST_SKIN_GREY_3": "CHARCOAL"
"PLAYER_MORPH_TEMPLES_DEPTH_TEXT": "TEMPLE DEPTH"
"PLAYER_MORPH_TEMPLE_ELEVATION_TEXT": "TEMPLE ELEVATION"
"RACE_CAUCASIAN": "CAUCASIAN"
"PLAYER_MORPH_LOWER_LIP_LENGTH_TEXT": "LOWER LIP LENGTH"
"CUST_WEAR_LEFT_ROLLED_HIGH": "LEFT ROLLED, HIGH"
"CUST_ITEM_STRETCHPANTS_OUTFIT": "STRETCHPANTS OUTFIT"
"CUST_ITEM_CF_PSC_LBDY_F_STRETCHPANTS": "SAUSAGE CASING"
"CUST_ITEM_METAL_BRACELET_LEFT": "V.I.P. WATCH"
"CUST_ITEM_CF_HAIR_PONYTAIL": "TIGHT PONY"
"PLAYER_MORPH_UPPER_LIP_MIDDLE_LENGTH_TEXT": "UPPER LIP MIDDLE LENGTH"
"CUST_CAT_HAIR_COLOR_PRIMARY": "HEAD HAIR PRIMARY COLOR"
"CUST_VARIANT_PLAID_2": "PLAID 2"
"CUST_VARIANT_MATERIAL_2": "CUST_VARIANT_MATERIAL#2"
"CUST_ITEM_FEMALE_PS_EARRINGS_2": "VAMPIRE REPELLANT EARRINGS"
"CUST_ITEM_CM_PSI_MASK_M_DOORAG": "SAINTS HEIST BANDANA"
"CUST_COMPLIMENT_K": "PRIME TIME"
"CUST_ITEM_CF_PSG_FOOT_F_OTHEALS": "PARTY GIRL HEELS"
"CUST_INSULT_D": "THE DOUGLAS"
"PLAYER_MORPH_UPPER_LID_LENGTH_TEXT": "UPPER LID LENGTH"
"SURGEON_CONFIRM_ENTRY_TEXT": "You have %ls.  Surgery costs %ls.\nWould you like to get surgery?\nChanges made cannot be reverted."
"COLOR_SLOT_BIKE": "BIKE"
"CUST_VARIANT_CMHAT_CHILD": "THIN STRIPES"
"CUST_VARIANT_BIKER": "BIKER"
"CUST_COLOR_PURPLE_1": "PURPLE 1"
"CUST_VARIANT_MED_STRIPE": "MEDIUM STRIPES"
"PLAYER_MORPH_EAR_LENGTH_TEXT": "EAR LENGTH"
"CUST_ITEM_CF_LLS_LBDY_F_HOTPANTS": "FANCY FISHNETS"
"CUST_ITEM_CM_NLME_LBDY_M_CARGOPANTS": "NETWORK CARGO PANTS"
"CUST_ITEM_CM_NLMD_FACE_M_NOSERING": "PUNKER SEPTUM RING"
"RACE_HISPANIC": "HISPANIC"
"PLAYER_MORPH_CHEEKBONE_DEPTH_TEXT": "CHEEKBONE DEPTH"
"LOGO_NUKE_1": "STILWATER NUCLEAR"
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_6": "PRIMP AND PROPER"
"PLAYER_CREATION_MENU_7": "QUIT"
"CUST_ITEM_CF_IMPP_FACE_F_DRESS": "ELEGANT COUTURE"
"CUST_ITEM_CM_HAIR_MEDTOPSHVDSIDS": "THE JERSEY"
"PLAYER_MORPH_MOUTH_TEXT": "MOUTH"
"PLAYER_MORPH_FACE_FATNESS_TEXT": "FACE FATNESS"
"CUST_SKIN_GREEN_3": "FROG PRINCE"
"CUSTOM_WALK_8": "THUG STYLE 4"
"PLAYER_CREATION_FIGURE_EMACIATED": "EMACIATED"
"CUST_ITEM_CM_DLC_SAM_SUIT_M_ARMOR": "SAMURAI ARMOR"
"CUST_ITEM_MALE_LP_UNDWEAR_1": "EVERYDAY BOXER"
"PLAYER_MORPH_SKIN_TEXT": "SKIN COLOR"
"CUST_VARIANT_DRAGON_TIE": "DRAGON TIE"
"CUST_VARIANT_CHECKER": "CHECKERED"
"CUST_ITEM_CM_IMPM_UBDY_M_POLOSHIRT": "KABANA POLO SHIRT"
"FACIAL_EXPRESSION_ANGRY": "ANGRY "
"CUST_ITEM_FEMALE_NLM_OUTFIT_B": "PUNKALICIOUS"
"CUST_CAT_SUITS": "SUITS"
"CUST_ITEM_CM_PSD_EYES_M_HPGLASS": "HIPSTER GLASSES"
"CUST_TATTOO_LOWER_BACK": "LOWER BACK"
"PLAYER_MORPH_MOUTH_SIDES_DEPTH_TEXT": "MOUTH SIDE DEPTH"
"CUST_ITEM_FEMALE_LL_UNDWEAR_3": "SO DEVILISH SWIM BOTTOM"
"CUST_CAT_FACE_PIERCINGS": "FACE PIERCINGS"
"RACE_ASIAN": "ASIAN"
"CUST_ITEM_CF_LPC_UBDY_F_FEMHEROSHIRT": "STEELPORT HEROINE SHIRT"
"CUST_TATTOO_ENTIRE_LEG_RIGHT": "ENTIRE RIGHT LEG"
"CUST_INSULT_L": "ANGELMANIA"
"SURGEON_CAT_HEAD": "HEAD"
"CUSTOM_WALK_FEMALE_6": "LADY SWAY"
"CUST_INSULT_PISS": "DOG PISSER"
"CUST_MENU_SEX_PRESETS": "SEX PRESETS"
"CUST_WEAR_TUCKED_BUTTONED_EXTRA_HIGH_PANT_SUSPENDERS_TIE": "TUCKED, BUTTONED, EXTRA HIGH PANT, SUSPENDERS, TIE"
"PLAYER_MORPH_NOSTRILS_HEIGHT_TEXT": "NOSTRIL HEIGHT"
"JEWELRY_NAME": "ON THIN ICE"
"CUST_ITEM_FEMALE_LETSPRETEND_OUTFIT_A": "LETS PRETEND FEMALE A"
"CUST_COMPLIMENT_C": "WILD STALLION"
"CUSTOM_PREVIEW_UNAVAILABLE": "PREVIEW UNAVAILABLE"
"CUST_VARIANT_ULTOR1": "ULTOR 1"
"CUST_RONIN_COMPLIMENT_D": "RONIN COMPLIMENT 4"
"CUST_MENU_START_GAME": "START GAME"
"CUST_ITEM_CM_EYE_CARDNIAL_GLASSES": "CARDINAL GLASSES"
"CUST_SKIN_HISPANIC_03": "HISPANIC 3"
"CUST_VARIANT_DUAL_STRIPES_LARGE": "LARGE DUAL STRIPES"
"CUSTOM_WALK_14": "THUG STYLE 9"
"PLAYER_MORPH_DOUBLECHIN_TEXT": "DOUBLE CHIN"
"COMPONENT_DECAL_1": "DECAL 1"
"CUST_ITEM_ANGLE_MEDALLION_LONG": "DIVA HOOPS"
"CUST_TATTOO_TORSO_STOMACH": "STOMACH"
"CUST_SKIN_BLACK_04": "AFRICAN AMERICAN 4"
"PLAYER_MORPH_JAWS_TEXT": "CHIN AND JAW"
"CUST_ITEM_CM_FPIC_NOSESRIGHT": "NOSE STUD RIGHT"
"CUST_ITEM_CM_HAIR_MTOPSHVDSIDS": "THE JERSEY"
"CUST_VARIANT_THICK_BELT": "THICK"
"HAIR_SALON_NAME_DO_IT_UP": "DO IT UP"
"CUST_VARIANT_PIMPCOAT_STRIPES": "STRIPES"
"CUST_WEAR_UNBUTTONED_HOOD_DOWN": "UNBUTTONED, HOOD DOWN"
"CUST_ITEM_CM_PSJ_HAT_M_SRCAP": "STEELPORT STUNNERS CAP"
"PLAYER_MORPH_JOWLS_DEPTH_TEXT": "JOWL DEPTH"
"CUST_ITEM_CM_DLC_AB_OUTFIT": "ALTAR BOY"
"CUST_ITEM_CM_FPIC_SETD": "RIGHT BROW RING AND NOSE STUD"
"CUST_ITEM_CM_HAIR_MIDPARTMED": "DOWN THE MIDDLE"
"CUST_CAT_MAKEUP_ENTIRE_FACE": "ENTIRE FACE"
"CUST_ITEM_CM_NLMB_HAT_M_SKULLYKNIT": "BROSEPH SKULLY KNIT"
"CUST_ITEM_FEMALE_PLANETSAINTS_BRA_1": "SAINT OF SAINTS BRA"
"CUST_ITEM_5_O'CLOCK_SHADOW": "SARGE"
"CUST_ITEM_MID_LENGTH_LARGE_CHAIN": "21ST CENTURY JEANS"
"PLAYER_MORPH_BALL_HEIGHT_TEXT": "TIP HEIGHT"
"CUST_VARIANT_ANIMAL": "ANIMAL"
"CUST_WEAR_BUTTONED": "BUTTONED"
"FACIAL_EXPRESSION_SLEEPY": "SLEEPY "
"CUST_SKIN_PURPLE_3": "SOFT PURPLE"
"CUSTOM_WALK_10": "THUG STYLE 6"
"PLAYER_MORPH_MOUTH_SIDES_SIZE_TEXT": "MOUTH SIDE SIZE"
"CUST_ITEM_CM_LLO_HAND_M_SBLGLOVES": "POCKET ROCKET GLOVES"
"FACIAL_EXPRESSION_MELLOW": "MELLOW "
"PLAYER_MORPH_EARS_SPACING_TEXT": "EAR SPACING"
"PLAYER_MORPH_CHEEKBONE_WIDTH_TEXT": "CHEEKBONE WIDTH"
"CUST_ITEM_LIPS_01": "LIP GLOSS"
"CUST_TIE": "TIE"
"CUSTOM_WALK_4": "CRAZY STYLE"
"PLAYER_MORPH_EAR_CURVE_TEXT": "EAR CURVE"
"CUST_ITEM_CF_LLS_FOOT_F_BOOTIES": "GANG SMASH BOOTIES"
"CUST_VOICE_FEMALE_WHITE": "FEMALE 1"
"CM_BLOWUPDOLL": "BLOWUP DOLL"
"CUST_ITEM_BIKER_BOOTS_5": "HEAVYWEIGHT BOOTS"
"PLAYER_MORPH_LOWER_LIP_WIDTH_TEXT": "LOWER LIP WIDTH"
"CUST_ITEM_FEMALE_NLM_OUTFIT_F": "STEAMPUNK COUTURE"
"CUST_ITEM_CF_LLR_SUIT_F_LACE": "OKTOBERFEST SKIRT"
"CUST_ITEM_CF_NLMD_RWRST_F_WRISTBAND": "RAWK WRIST BRACELET"
"CUST_ITEM_CF_NLMB_LBDY_F_SKIRT": "WILD CHILD PANTS"
"CUST_ITEM_LEATHER_UNIFORM_GLOVES": "LEATHER GLOVES"
"CUST_TATTOO_NECK": "NECK"
"CUST_VARIANT_FEMALE_SNAKE": "SNAKE"
"CUST_VARIANT_ALTERNATING": "ALTERNATING"
"CUST_ITEM_WOMEN_S_BONDAGE_TOP_2": "THREE COUNT TOP"
"PLAYER_CREATION_FIGURE_AVERAGE": "AVERAGE"
"STORE_WEAPON_CACHE": "ACCESS CRIB WEAPONS"
"MALE_ATHLETIC": "MALE ATHLETIC"
"CUST_WEAR_UNTUCKED_UNBUTTONED": "UNTUCKED, UNBUTTONED"
"CUST_TATTOO_UPPER_BODY": "UPPER BODY"
"PLAYER_MORPH_SKULL_TOP_WIDTH_TEXT": "SKULL TOP WIDTH"
"CUST_ITEM_FEMALE_NLM_EARRINGS_6": "PREPPY STUDS"
"CUST_ITEM_FEMALE_LETSPRETEND_OUTFIT_E": "COMBAT BABE"
"CUST_ITEM_CF_IMPQ_SUIT_F_LATEXDRESS": "THE RINGWALD"
"CUST_COMPLIMENT_G": "TELL 'EM"
"CUST_VARIANT_PIN_STRIPES": "PIN STRIPES"
"CUST_ITEM_CM_DLC_SAM_HAT_M_HELMET": "SAMURAI HELMET"
"CUST_CAT_SPECIAL_TSHIRTS": "SPECIAL T-SHIRTS"
"PLAYER_MORPH_EYE_SET_TEXT": "EYE SET"
