// extra_dumps ref: hud - JP/CZ reference for keys in extra_hud_us.txt
"TUT_TITLE_RECRUITING": "JP: 勧誘 || CZ: NAJÍMÁNÍ"
"FRIENDLY_FIRE_LIGHT_TURNED_ON__NYOU_CAN_NOW_DEAL_SOME_DAMAGE_TO_YOUR_PARTNER": "JP: 味方への攻撃が有効になった！\nパートナーにダメージを与えることができる || CZ: Lehká střelba do vlastních řad zapnuta!\nTeď můžeš svého partnera lehce zranit."
"UNL_GANG_WEAPONS_RIFLE": "JP: ライフル装備 || CZ: GANG - ZBRANĚ - PUŠKY"
"TUT_WHORED_HOBO_SHOTGUN": "JP: ストリートの正義 || CZ: POULIČNÍ SPRAVEDLNOST"
"TUT_TAKEOVER_RESPECT": "JP: ミッション、アクティビティ、デバージョンをクリアしたり、街を占拠したりすると、リスペクトを獲得できる。リスペクトが貯まるとランクが上がり、アップグレードができるようになる || CZ: Plnění misí, aktivit, záškodnických akcí a ovládání města ti získává respekt. Ten zvyšuje tvou hodnost a umožňuje ti kupovat nová vylepšení."
"TUT_TITLE_MISSION_CHECKPOINT": "JP: ミッションチェックポイント || CZ: KONTROLNÍ BODY MISE"
"TUT_ACT_INTRO_MAYHEM": "JP: 提供される武器を使って街で暴れてキャッシュとリスペクトを獲得しろ || CZ: Dostal jsi slušný zbraňový arzenál, tak se postarej o pořádný masakr."
"TUT_COMBAT_MELEE_SPRINT": "JP: {SPRINT_IMG}+{MELEE_POWER_ATTACK_IMG}／{ATTACK_PRIMARY_IMG}：ダッシュ格闘攻撃 || CZ: {SPRINT_IMG} + {MELEE_POWER_ATTACK_IMG} / {ATTACK_PRIMARY_IMG} ÚTOKY ZBLÍZKA ZE SPRINTU"
"WPN_RIFLENG_DESCRIPT": "JP: アップグレード可能なスコープ付きハイグレードライフル || CZ: Kvalitnější puška s vylepšitelnou optikou."
"HUD_PRESS_BACK_CANCEL_HOSTAGE": "JP: 人質をキャンセル：%lsもう一度押す || CZ: OPĚTOVNÝM STISKEM TLAČÍTKA %ls UKONČÍŠ AKTIVITU RUKOJMÍ"
"PLAYER_ALREADY_HEALED": "JP: もう完治してるぜ！ || CZ: Tvůj kámoš je už vyléčený!"
"TUT_TITLE_CASH_INCOME": "JP: 占拠地からの収入（毎時） || CZ: HODINOVÝ PŘÍJEM Z MĚSTA"
"MAP_HIDDENNAME_ACTIVITY": "JP: アクティビティ || CZ: AKTIVITA"
"PAUSE_ACT_HITMAN_ADD_HUD": "JP: 表示画面に追加する || CZ: PŘIDAT NA OBRAZOVKU"
"TUT_WHORED_A_GOOD_VIBRATIONS": "JP: 激しく揺らせ || CZ: DOBRÝ VIBRACE"
"TUT_TITLE_PLAYER_CHOICE": "JP: 究極の選択 || CZ: HRÁČOVA VOLBA"
"SATELLITE_RC_SIGNAL_STRENGTH": "JP: 電波 {0} || CZ: SIGNÁL {0}"
"HUD_CANCEL_DIVERSION": "JP: デバージョンを終了 || CZ: SKONČIT ZÁŠKODNICKOU AKCI"
"HUD_HITMAN_LOCATED": "JP: 予測される位置： || CZ: VYSKYTUJÍ SE VE ČTVRTI:"
"HUD_MILES": "JP: マイル || CZ: MIL"
"GENKI_AMMO": "JP: タコ弾 || CZ: MUNICE DO GENKIHO VRHAČE"
"STRONGHOLD_UPGRADE_BASE": "JP: スタンダード || CZ: ZÁKLAD"
"ACHIEVE_SR3_TANK_YOU_VERY_MUCH": "JP: タンクユーベリーマッチ || CZ: TANKUJI VÁS MNOHOKRÁTE"
"RIFLE_KILLSHOT": "JP: TOGO13 ライフル || CZ: TOGO-13"
"TUT_TITLE_DIV_INTRO_TAGGING": "JP: タギング || CZ: TAGOVÁNÍ"
"TUT_CASH_INCOME": "JP: 携帯電話にある「キャッシュ」メニューから%lsドルの収入を獲得できる。スティールポート内の占拠地から毎時%lsドルの現金収入を得られる || CZ: V telefonu pod položkou peníze na tebe čeká %ls dolarů. Každou hodinu ti tvůj majetek ve Steelportu vydělá %ls dolarů."
"ACHIEVE_SR3_FENCE_KILLA_2011": "JP: 大混乱 || CZ: ZABÍJEČ PŘEKUPNÍKŮ 2011"
"UNL_NOTORIETY_DECKERS_2": "JP: デッカー悪評度ダウン2 || CZ: POZORNOST - DECKEŘI 2"
"UNL_DAMAGE_VEHICLE_1": "JP: 交通事故ダメージ軽減1 || CZ: ZRANĚNÍ - VOZIDLA"
"HUD_AMT_SECS_B": "JP: +{0}秒 || CZ: +{0} SEK."
"UNL_DESC_UPGRADE_AMMO_EXPLOSIVE_1": "JP: 爆弾の数 - 25%%アップ || CZ: Uneseš o 25 %% víc výbušné munice"
"TUT_WHORED_MONEYSHOTS": "JP: 決定的瞬間 || CZ: POŘÁDNÝ PRACHY"
"TUT_TITLE_QUICK_KILL": "JP: ヒューマンシールド - 素早く倒す || CZ: LIDSKÝ ŠTÍT - RYCHLÉ ZABITÍ"
"HUD_DAMAGE": "JP: ダメージ || CZ: ODOLNOST"
"TUT_TITLE_STRONGHOLD_START": "JP: 拠点 || CZ: PEVNOSTI"
"ACHIEVE_SR3_HATERS_GONNA_HATE": "JP: ギャングキラー || CZ: VZTEKLOUNI SE BUDOU VZTEKAT"
"Grenade": "JP: 手榴弾 || CZ: GRANÁTY"
"TUT_TITLE_HUMAN_SHIELD": "JP: ヒューマンシールド || CZ: LIDSKÝ ŠTÍT"
"TUT_VTOL_CONTROL_A": "JP: {HELI_UP_IMG}高度を上げる\n{HELI_DOWN_IMG}高度を下げる\n{VTOL_TRANSITION_IMG}フライトモード変更 || CZ: {HELI_UP_IMG} NABÍRÁ VÝŠKU\n{HELI_DOWN_IMG} UBÍRÁ VÝŠKU\n{VTOL_TRANSITION_IMG} PŘEPNE REŽIM LETU"
"TUT_SHOOTING_STUNTS": "JP: ギャングのメンバーを倒すことにより、リスペクトを獲得できる。より過激で難しい倒し方であるほど獲得するリスペクトが増加する || CZ: Za zabíjení členů gangu získáváš respekt. Čím extrémnější a těžší to zabití je, tím více respektu získáš."
"RESTRICTED_ZONE_EXIT": "JP: 監視区域から出ます || CZ: OPOUŠTÍŠ ZAKÁZANOU ZÓNU"
"TUT_WHORED_BOWLING": "JP: ボウリング || CZ: BOWLING"
"SMG_GANG": "JP: テック Z10 || CZ: TEK Z-10"
"TUT_WHORED_A_4_JULY": "JP: 本日は無礼講 || CZ: ČVRTÉHO ČERVENCE"
"TUT_LOW_AMMO": "JP: 弾薬が不足している。\nFRIENDLY FIRE{MAP_IMG_WEAPON}で補充しろ || CZ: Máš málo munice, stav se v obchodě Friendly Fire {MAP_IMG_WEAPON} a kup si další."
"TUT_TITLE_STORE_INTRO_FOOD": "JP: レストラン || CZ: RESTAURACE"
"TUT_DIVERSION_COMPLETE": "JP: デバージョンクリア！今後も、このデバージョンをプレイすれば、キャッシュもしくはリスペクトを獲得できる || CZ: Tato diverze je dokončena! Můžeš ji hrát i dále a získat více respektu nebo peněz."
"CS_TITLE_POWDER": "JP: パウダー || CZ: POWDER"
"PLAYER_CHOICE_M16_OPTION1_BODY": "JP: 報酬：車両カスタマイズ割り引き || CZ: ODMĚNA: Značně snížené náklady na úpravu vozidel"
"ACTIVITY_CANCEL_SUB_TEXT": "JP: アクティビティが\nキャンセルされました || CZ: AKTIVITA ZRUŠENA"
"TUT_RESPECT_DIVERSIONS": "JP: リスペクトを獲得する方法はたくさんある。デバージョンで獲得したリスペクトは、デバージョン表示画面で確認できる。対向車線を逆走したり、敵を急所攻撃で倒したり、いろいろな方法でリスペクトを獲得できる || CZ: Vše, co děláš, ti získává respekt.\nZde vidíš respekt, který získáváš za diverze, což může být cokoli od jízdy po špatné straně silnice po střílení nepřátel do koulí."
"BEHEMOTH": "JP: ビヒモス || CZ: BEHEMOT"
"Temp_Minigun": "JP: ミニガン || CZ: KULOMET"
"STRONGHOLD_UPGRADE2": "JP: アップグレード2 || CZ: VYLEPŠENÍ 2"
"UNL_HOMIE_JOSH": "JP: ジョッシュ・バーク || CZ: PARŤÁK - JOSH BIRK"
"TUT_WHORED_A_MEAN_GIRLS": "JP: いやな女 || CZ: PROTIVNÝ SPROSTÝ HOLKY"
"TUT_TITLE_UPGRADE_STORE": "JP: アップグレードストア || CZ: OBCHOD S VYLEPŠENÍMI"
"TUT_ACT_INTRO_CYBER_BLAZING": "JP: [format][color:blue]デッカー[/format]の[format][color:red]ファイアウォール[/format]を避けながら、制限時間内にサイバースペースを走り抜けろ || CZ: Jeď co nejrychleji kyberprostorem, zasahuj [format][color:blue]deckerské cíle[/format] a vyhýbej se [format][color:red]firewallům[/format], dokud ti nevyprší čas."
"TUT_WHORED_D_CYPRIAN_ORDER": "JP: シプリアン騎士団 || CZ: KYPERSKÝ ŘÁD"
"TUT_WHORED_GIMPS": "JP: スレイブになった || CZ: SM OTROCI"
"TUT_WHORED_PICKUPS_TITLE": "JP: ピックアップ || CZ: SBÍRÁNÍ"
"GARAGE_LICENSED_VEHICLES_ONLY": "JP: 購入していないタウンロード コンテンツを保存することはできません || CZ: NENÍ MOŽNÉ ULOŽIT STAŽITELNÝ OBSAH, KTERÝ NENÍ KOUPENÝ"
"TUT_WHORED_DRUNK": "JP: 飲み比べ || CZ: PIJÁCKÁ HRA"
"TUT_ACT_INTRO_HELI_ASSAULT": "JP: 攻撃ヘリを操って取引相手を護衛しろ || CZ: Chraň svého informátora pomocí bojového vrtulníku."
"HUD_RIDE_TRAIN": "JP: 電車に乗る || CZ: JEĎ VLAKEM"
"SYSTEM_PAUSED": "JP: ポーズ || CZ: PAUZA"
"TUT_SECONDARY_FIRE": "JP: {ATTACK_SECONDARY_IMG}サブ攻撃\nこの武器にはサブ攻撃モードが搭載されている || CZ: {ATTACK_SECONDARY_IMG} VYSTŘELÍ ZE SEKUNDÁRNÍ ZBRANĚ\nTato zbraň má sekundární režim střelby."
"TUT_PLAYER_CHOICE": "JP: シンジケートタワーを残して利用しキャッシュを獲得するか、シンジケートタワーを破壊してリスペクトを獲得するか...\nよく考えて決断しろ || CZ: Musíš se rozhodnout, jestli zachovat věž Syndikátu pro Svaté a získat peníze, nebo věž zničit a získat respekt. \nVybírej moudře."
"TUT_TITLE_SATCHEL_CHARGES": "JP: リモート爆弾 || CZ: VÝBUŠNINY"
"HUD_TRIGGER_DISABLED_SH": "JP: 拠点の制圧中はここには入れない || CZ: SEM BĚHEM HRANÍ PEVNOSTI NEMŮŽEŠ"
"MISSION_CANCEL_TEXT": "JP: このミッションを終了しますか？\n最後に通過したチェックポイント以降の進行状況はすべて失われます || CZ: Opravdu chceš tuto misi ukončit?\nPřijdeš o veškerý dosažený postup od poslední uložené pozice."
"TUT_TITLE_ACT_INTRO_INS_FRAUD": "JP: 保険金詐欺 || CZ: POJISTNÝ PODVOD"
"ACHIEVE_SR3_MURDERBRAWL_31": "JP: マーダーブロウル XXXI || CZ: MURDERBRAWL 31"
"TUT_NP_MOTORCYCLE_CONTROLS": "JP: {ACCELERATE_IMG}加速\n{BRAKE_REVERSE_IMG}ブレーキ／バック\n{ANALOG_LS_IMG}重心移動でウィリー\n／ストッピー開始 || CZ: {ACCELERATE_IMG} PLYN \n{BRAKE_REVERSE_IMG} BRZDA + ZPÁTEČKA \nPomocí {ANALOG_LS_IMG} můžeš přenášet svou váhu a stavět se na zadní nebo přední kolo."
"TUT_ANNIHILATOR": "JP: {SHOULDER_CAMERA_IMG}ターゲット車両ロックオン\n発射後、軌道を制御できる || CZ: Zaměř vozidla pomocí přiblížení {SHOULDER_CAMERA_IMG}. \nVystřelenou raketu můžeš řídit pomocí zaměřovače."
"UNL_HOMIE_HEALTH_2": "JP: 仲間の体力増加2 || CZ: GANG - NAVÝŠENÍ ZDRAVÍ 2"
"UNL_DAMAGE_EXPLOSIVE_4": "JP: 爆発ダメージ軽減4 || CZ: ZRANĚNÍ - VÝBUCH 4"
"TUT_WHORED_GRENADIERS": "JP: 手榴弾兵 || CZ: GRANÁTNÍCI"
"TUT_WHORED_STARPOWER": "JP: ゴッドモード || CZ: SRAŽEN HVĚZDOU"
"UNL_DESC_HEALTH_REGEN_2": "JP: 体力の回復速度が速くなる || CZ: Zdraví se regeneruje rychleji než obvykle"
"UNL_DESC_WEEKLY_PAYMENTS_4": "JP: 1時間ごとの収入に\n2,500ドル追加される || CZ: Hodinový příjem z města 2500 dolarů."
"TUT_ACT_INS_FRAUD_ANDRENALINE": "JP: アドレナリンメーターが一杯になり、アドレナリンモードが発動すると、さらに派手に稼ぐことができるぞ！ || CZ: Po zaplnění ukazatele adrenalinu použij adrenalinový režim a kombinuj šíleně zesílené nárazy!"
"TUT_COMBAT_MELEE_BASH": "JP: {CBA_OFC_HS_EXECUTE_IMG}クイック格闘攻撃 || CZ: {CBA_OFC_HS_EXECUTE_IMG} RYCHLÝ ÚDER ZBLÍZKA"
"WPNCAT_RIFLE": "JP: ライフル || CZ: PUŠKA"
"TUT_WHORED_TAUNT": "JP: 手荒な目覚め || CZ: NEPŘÍJEMNÉ PROBUZENÍ"
"TEMP_LUCHAGRENADE": "JP: G20 ランチャー || CZ: GL G20"
"TUT_TITLE_NAG_WEAPON_UPGRADES": "JP: 武器のアップグレード || CZ: VYLEPŠENÍ ZBRANÍ"
"TUT_NOTORIETY_DECREASES": "JP: ギャングと警備隊の悪評度は時間とともにゆっくり減少する。\n{MAP_IMG_CRIB}や{MAP_IMG_CLOTHING}などの、自分の所有する建物のなかに隠れて、一瞬で帳消しにすることもできる || CZ: Pozornosti gangů a policie se můžeš okamžitě zbavit, když se ukryješ v budově, která ti patří: {MAP_IMG_CRIB}, {MAP_IMG_CLOTHING} atd."
"WPN_CRICKETBAT": "JP: クリケットバット || CZ: KRIKETOVÁ PÁLKA"
"SATELLITE_GUIDED_MISSILE": "JP: 誘導ミサイル || CZ: ŘÍZENÁ STŘELA"
"TUT_DLC_MANCANNON": "JP: {ATTACK_PRIMARY_IMG}発射\n人を吸い込んでカタパルトから発射することができる || CZ: {ATTACK_PRIMARY_IMG} ŽIVÁ MUNICE \nKdyž do nějakého člověka najedeš autem, nabereš ho a pak ho budeš moci vypálit z kanónu."
"TUT_TITLE_COMBAT_FINEAIM": "JP: カメラズーム || CZ: PŘIBLÍŽENÍ"
"CS_TITLE_STILWATER_BRIDGE": "JP: リチャード・ヒューズ記念橋 || CZ: STILWATER - HUGHESŮV PAMĚTNÍ MOST"
"HASH_FB317EE1": "JP: {ACTION_IMG}盾にした人間を投げる || CZ: {ACTION_IMG} ODHODÍ ŠTÍT"
"UNL_DAMAGE_VEHICLE_3": "JP: 交通事故ダメージ軽減3 || CZ: ZRANĚNÍ - VOZIDLA 3"
"TUT_WHORED_Z_FOOD_TRUCK": "JP: ソーセージナイトメア || CZ: NOČNÍ MŮRA V POTRAVINÁCH"
"TUT_WHORED_WEENIEROAST": "JP: ローストウィンナー || CZ: PEČENÝ PÁRKY"
"TUT_TITLE_HEALTH_SPRINT_METER": "JP: 体力／スタミナメーター || CZ: UKAZATELE ZDRAVÍ A SPRINTU"
"UNL_DESC_UPGRADE_AMMO_EXPLOSIVE_3": "JP: 爆弾の数 - 75%%アップ || CZ: Uneseš o 75 %% víc výbušné munice"
"UNL_DESC_CASH_MULTIPLIER_2": "JP: 獲得するキャッシュ -\n10%%アップ || CZ: Zvyšuje množství vydělaných peněz o 10 %%"
"TUT_TITLE_UNLOCKABLES": "JP: アンロック／ボーナス || CZ: ODEMKNUTELNÉ VĚCI/ODMĚNY"
"TUT_TITLE_SMOKED": "JP: 体力ゼロ！ || CZ: JE PO TOBĚ!"
"OBJECT_PARTNER_COLLECTED": "JP: 見逃したコレクションを\n%lsが見つけた || CZ: PŘEDMĚT, KTERÝ JSI MINUL, ZVEDÁ %ls"
"HASH_84A3D8E3": "JP: グラフィックモード || CZ: GRAFICKÝ REŽIM"
"TUT_TITLE_DRIVING_STUNTS": "JP: 運転スタント || CZ: JÍZDNÍ AKROBACIE"
"TUT_HITMAN_NEW": "JP: {MAP_MENU_IMG}セインツブックにアクセス\nヒットマンのターゲットを確認できるようになった。ターゲットの情報を確認して手早くキャッシュを獲得しろ || CZ: {MAP_MENU_IMG} OTEVŘE ZÁPISNÍK SVATÝCH \nV zápisníku Svatých jsou nyní dostupné cíle pro nájemného vraha. Když je vystopuješ a zabiješ, vyděláš si balík."
"TUT_M16_AVATAR_ATTACKS": "JP: {AVATAR_SHOCKWAVE_IMG} 衝撃波 \n{AVATAR_SWORD_SWEEP_IMG} 剣を強打する\n{AVATAR_DASH_IMG}ダッシュボード\n{AVATAR_FLAME_BREATH_IMG}炎の息 || CZ: {AVATAR_SHOCKWAVE_IMG} TLAKOVÁ VLNA \n{AVATAR_SWORD_SWEEP_IMG} SEKNUTÍ MEČEM \n{AVATAR_DASH_IMG} SPRINT \n{AVATAR_FLAME_BREATH_IMG} PLAMENNÝ DECH "
"HUD_PRESS_BACK_CANCEL_STRONGHOLD": "JP: 拠点制圧をキャンセル：%ls長押し || CZ: PRO UKONČENÍ PEVNOSTI PODRŽ %ls"
"HUD_BLANK": "JP:  || CZ: "
"ENTER_VEHICLE_DRIVER_SEAT_MESSAGE": "JP: 運転席に入る：%ls || CZ: PRO NASEDNUTÍ DO VOZIDLA NA MÍSTO ŘIDIČE STISKNI TLAČÍTKO %ls"
"TUT_TITLE_VEHICLE_TURRET": "JP: 備え付けタレット || CZ: VĚŽE VOZIDEL"
"HUD_CANT_CUST_PARTNERS_CAR": "JP: パートナーの車はカスタマイズできない || CZ: Partnerovo auto nemůžeš upravovat."
"RIFLE_STAG": "JP: バイパーライフル || CZ: LASEROVÁ PUŠKA VIPER"
"TUT_TITLE_ACT_INTRO_SNATCH": "JP: スカウト || CZ: SOUBOJ PASÁKŮ"
"WPN_VTOL01": "JP: レーザービーム || CZ: LASEROVÝ PAPRSEK"
"GRENADE_ELECTRIC": "JP: 電撃手榴弾 || CZ: ELEKTRICKÉ GRANÁTY"
"CUTSCENE_HOST_SKIPPING": "JP: スキップを選択しました || CZ: HLASOVAL JSI PRO PŘESKOČENÍ"
"TUT_WHORED_A_FISTING": "JP: 鉄拳制裁 || CZ: PĚSTĚNÍ"
"TUT_DIVERSION_HUD": "JP: デバージョン中にリスペクトを獲得するような行動をしているとここにスターが表示される。スターの数が多いほど獲得できるリスペクトも多い || CZ: Hvězdy bokovek se objeví pokaždé, když děláš něco zvláštního, za co dostaneš body respektu. Čím více hvězd máš, tím více respektu získáš."
"TUT_TITLE_NP_BOAT_CONTROLS": "JP: 船舶の操作 || CZ: OVLÁDÁNÍ LODĚ"
"decker_sword": "JP: デッカーソード || CZ: NOCTURNE"
"RESPECT_WIDGET_LABEL": "JP: リスペクト || CZ: RESPEKT"
"STRONGHOLD_COOP_START_MSG": "JP: 協力プレイの拠点制圧を開始しますか？ || CZ: Zahájit kooperativní pevnosti?"
"HASH_E703EAEC": "JP: 低速回線 || CZ: POMALÉ PŘIPOJENÍ"
"UNL_DESC_DAMAGE_VEHICLE_4": "JP: ひかれた時のダメージ - 無し || CZ: Náraz vozidla tě nijak nezraní."
"UNL_DESC_DOESNOTEXIST": "JP: このアップグレードはまだ利用できません || CZ: Toto vylepšení ještě není dostupné."
"TUT_ESCORT_REMOTE": "JP: {ANALOG_RS_IMG}を動かしてスペシャルスポットを探せ。\n{ANALOG_RS_IMG}を固定したまま、矢印に合わせてタイミングよく{ANALOG_LS_IMG}を動かし、スポットに当てろ || CZ: Pomocí {ANALOG_RS_IMG} najdi speciální místo. \nPřidrž {ANALOG_RS_IMG} a pak včas stiskni {ANALOG_LS_IMG}. Když se ti to podaří, do zacílené oblasti se snese sprška šípů."
"HUD_ZOOM_IN_AND_OUT": "JP: ズームイン／ズームアウト：%ls／%ls || CZ: PRO PŘIBLÍŽENÍ A ODDÁLENÍ STISKNI %ls A %ls"
"UNL_HOMIE_REPAIR": "JP: 修理依頼 || CZ: PARŤÁK - OPRAVÁŘ"
"UNL_DESC_HOMIE_HELI": "JP: ヘリ配達が携帯電話の電話帳に追加された\n仲間がヘリを届けてくれる || CZ: Mezi kontakty v telefonu najdeš parťáka s vrtulníkem. Doveze ti do boje vrtulník."
"UNL_CRIB_BDSM": "JP: SAFEWORD || CZ: BEJVÁK - SAFEWORD"
"TUT_WHORED_THE_END": "JP: 最終ステージ || CZ: KONEC"
"HUD_USE_HAND_BRAKE_MESSAGE": "JP: {HANDBRAKE_IMG}を長押ししてサイドブレーキ || CZ: STISKEM A PŘIDRŽENÍM TLAČÍTKA {HANDBRAKE_IMG} POUŽIJEŠ RUČNÍ BRZDU"
"UNL_WEP_PREDATOR_DRONE": "JP: リーパードローン || CZ: ZBRAŇ - LETOUN REAPER"
"TUT_WHORED_OLDSCHOOL": "JP: オールドスクール || CZ: STARÁ ŠKOLA"
"TUT_TITLE_DIV_INTRO_HOSTAGE": "JP: 人質 || CZ: RUKOJMÍ"
"TUT_TITLE_DLC_MANCANNON": "JP: ゲンキ人間カタパルト || CZ: GENKI MOBIL"
"HOMIES_KILLED": "JP: %lsは倒された！ || CZ: %ls umírá!"
"WPN_CHAINSAW_DESCRIPT": "JP: 敵を八つ裂きにするのに最適！ || CZ: Rozsekej své nepřátele na kousky!"
"HOMIES_FALLEN": "JP: %sがやられた！ || CZ: %s to má za sebou!"
"TUT_WHORED_SONICBOOMSTICK": "JP: 衝撃波 || CZ: SONICKÁ ŘACHA"
"HUD_BORDER_TURNAROUND": "JP: スティールポートのセインツが\nお前を必要としている || CZ: SVATÍ TĚ POTŘEBUJOU VE STEELPORTU"
"STOPPING_BLOCKED_PATH": "JP: ここは通れないようだ || CZ: Něco ti blokuje cestu."
"TUT_SNIPER_UPGRADE": "JP: {ACTION_IMG}スコープズームモード || CZ: {ACTION_IMG} AKTIVUJE MÍŘENÍ OPTIKOU"
"TUT_TITLE_NOTORIETY_DECREASE_STORE": "JP: 悪評度ダウン || CZ: SNÍŽENÍ POZORNOSTI"
"TUT_WHORED_D_COUNTING_CALS": "JP: 一気飲み || CZ: HLÍDÁME SI KALORIE"
"TUT_TITLE_HUMAN_SHIELD_GENERAL": "JP: ヒューマンシールド || CZ: LIDSKÉ ŠTÍTY"
"USE_TRIGGER_HELI": "JP: ヘリパッドに行く || CZ: JDI NA HELIPORT"
"TUT_WHORED_BAT": "JP: バット対エステティシャン || CZ: PÁLKA A ŠTĚTKY"
"TUT_CAR_SHOOTING": "JP: {FIREARM_IMG}メイン武器で攻撃\n{ATTACK_SECONDARY_IMG}手榴弾を投げる || CZ: {FIREARM_IMG} STŘELBA Z PRIMÁRNÍ ZBRANĚ \n{ATTACK_SECONDARY_IMG} VRŽENÍ GRANÁTU"
"TUT_TITLE_BUSTED": "JP: 逮捕！ || CZ: ZABÁSLI TĚ!"
"WPN_SMGSTORM_DESCRIPT": "JP: ハイグレードのサブマシンガン\n驚異的な速さで連射ができる || CZ: Kvalitnější samopal, který střílí kulky zatraceně vysokou rychlostí."
"HUD_RESPECT_RANK_010": "JP: ハスラー || CZ: PASÁK"
"HOOD_GAINED": "JP: 縄張りを獲得 || CZ: ČTVRŤ ZÍSKÁNA"
"TUT_TITLE_FLASHPOINT": "JP: 抗争スポット || CZ: OPERACE GANGU"
"CS_TITLE_STAG_AIRCRAFT_CARRIER": "JP: STAG空母 - テルモピレ || CZ: LETADLOVÁ LOĎ STAGU: THERMOPYLY"
"ACHIEVE_SR3_THE_WELCOME_WAGON": "JP: 新人歓迎パーティー || CZ: UVÍTACÍ VAGÓN"
"TUT_CROUCH": "JP: {CROUCH_IMG}押す：しゃがみ\nしゃがむと射撃精度が向上する || CZ: STISKEM {CROUCH_IMG} SI KLEKNEŠ \nKdyž klečíš, jsi při střelbě přesnější."
"TUT_JUMP_CLIMB": "JP: {JUMP_CLIMB_IMG}ジャンプ／よじ登る\n{SPRINT_IMG}+{JUMP_CLIMB_IMG}クイックダイブ\nこれを使って危険から逃れろ || CZ: POMOCÍ {JUMP_CLIMB_IMG} SKÁČEŠ A ŠPLHÁŠ\nPOMOCÍ {SPRINT_IMG} + {JUMP_CLIMB_IMG} SKOČÍŠ DO KOTOULU \nDíky skákání, šplhání a skokům do vody se můžeš rychle dostat z nebezpečných situací."
"TUT_DIV_INTRO_HOLDUP": "JP: 照準を店員に合わせ続け、店の売り上げを強奪しろ || CZ: Miř dál na obchodníka a vyrabuj tak tento obchod."
"CS_TITLE_S_1ST_NAT": "JP: スティルウォーター国立銀行 || CZ: 1. NÁRODNÍ BANKA VE STILWATERU"
"HUD_PRESS_DPADUP_PARTY_DISMISS": "JP: グループ解散：もう一度押す || CZ: PRO ROZPUŠTĚNÍ PARTY ZOPAKUJ"
"TUT_TITLE_DIVERSION_HUD": "JP: デバージョン表示画面 || CZ: OBRAZOVKA BOKOVEK"
"CS_TITLE_SKIES_OVER_STEELPORT": "JP: スティールポート上空 || CZ: NEBE NAD STEELPORTEM"
"PLAYER_REVIVE_FOLLOWER": "JP: [format][color:purple]仲間[/format]を蘇生しろ || CZ: OŽIV SVÉHO [format][color:purple]PARŤÁKA[/format]"
"TUT_ACT_INS_FRAUD_FIRST_HIT": "JP: {PRATFALL_ALT_IMG}／{PRATFALL_IMG}転ぶ\n{ANALOG_LS_IMG}空中調整 || CZ: {PRATFALL_ALT_IMG} / {PRATFALL_IMG} HADROVÁ PANENKA \n{ANALOG_LS_IMG} DORAŽENÍ VE VZDUCHU"
"ACHIEVE_SR3_CREW_OF_TWO": "JP: 相棒 || CZ: DVOUČLENNÁ PARTA"
"SNIPER_AMMO": "JP: スナイパーライフル弾薬 || CZ: MUNICE DO ODSTŘELOVACÍ PUŠKY"
"HUD_ATTACK_MATT": "JP: マットを攻撃 || CZ: ZAÚTOČ NA MATTA"
"TUT_WHORED_Z_GIRLS_NIGHT": "JP: ガールズナイトクルーズ || CZ: DÁMSKÁ JÍZDA"
"ACHIEVE_SR3_HACK_THE_PLANET": "JP: プラネットハック || CZ: HACKNUTÍ PLANETY"
"STRONG_CANCEL_TEXT": "JP: この拠点制圧を終了しますか？\n最後に通過したチェックポイント以降の進行状況はすべて失われます || CZ: Opravdu chceš ukončit tuto pevnost?\nPřijdeš o veškerý dosažený postup od poslední uložené pozice."
"HUD_SECONDS": "JP: 秒 || CZ: SEKUND"
"HUD_RESTART_TEXT": "JP: リスタート：%s || CZ: PRO RESTART STISKNI %s"
"TUT_CROUCH_SR3": "JP: {CROUCH_IMG}を押してしゃがむ\nしゃがんでから発砲すると命中精度が上がる || CZ: STISKEM {CROUCH_IMG} ZAKLEKNEŠ \nV kleku budeš střílet přesněji."
"TUT_TITLE_ESCORT_MINIGAME": "JP: エスコート || CZ: ESKORTA"
"ACHIEVE_SR3_DOUBLE_DOSE_OF_PIMPING": "JP: スカウトの極意 || CZ: DVOJITÁ DÁVKA PASÁKŮ"
"WPN_CYBERCANNON_DESCRIPT": "JP: キンジーがデッカーのネットワークから情報を得て開発したアームキャノン。一体いつの間に？ || CZ: Funkční model Kinziena ručního kanónu z deckerské sítě. Kde na to bere čas?"
"FLASHPOINT_DISCOVERED": "JP: 抗争スポットを発見 || CZ: NOVÁ OPERACE GANGU"
"TUT_TITLE_CROUCH": "JP: しゃがむ || CZ: PŘIKRČENÍ"
"HUD_PRESS_BACK_CANCEL_MISSION": "JP: ミッションをキャンセル：%ls長押し || CZ: PRO UKONČENÍ MISE PODRŽ %ls"
"MISSION_CANCEL_TITLE": "JP: やり直しまたは終了 || CZ: POKRAČOVAT OD ZÁCHYTNÉHO BODU?"
"ENTER_TAXI_MESSAGE": "JP: タクシーに乗る：%ls || CZ: DO TAXI NASTOUPÍŠ STISKEM TLAČÍTKA %ls"
"CUTSCENE_LOCAL_SKIPPING": "JP: 他のプレイヤーがカットシーンを\nスキップするのを待っています || CZ: Čekáš na druhého hráče, až toto video přeskočí."
