"CUST_ITEM_CF_HAIR_MED": "SCHULTERLANG"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_9": "GELBGRÜN 9"
"CUST_TATTOO_RHAND_1": "VIER SCHÄDEL"
"Chin": "KINN"
"CUST_PRESET_SEX": "GESCHLECHT"
"CUST_COMP_FACE_MAKEUP_1": "ALLES ABGEDECKT"
"VEHICLE_COLOR_GOLD": "GOLD"
"CUST_VARIANT_JERSEY_2": "STIL 2"
"CUST_VARIANT_STRIPESA": "STREIFEN 1"
"CUST_SKIN_HISPANIC_01": "LATINO 1"
"CUST_TATTOO_FACE_6": "SCHMETTERLING"
"SLOT_RIM_COLOR": "FELGENFARBE"
"DARK_PINK": "DUNKELROSA"
"LOGO_BROTHERHOOD_1": "BRUDERSCHAFT 1"
"CUST_SKIN_PURPLE_5": "LILA"
"CUSTOM_WALK_16": "GANGSTER-STIL 11"
"CUST_MENU_FINE_TUNING": "GESICHT"
"CUST_COLOR_CLOTHING_BROWNS_1": "BRAUN 1"
"CUST_COMP_MUSTACHE_16": "CHEFETAGE"
"COMPONENT_DECAL_3": "AUFKLEBER 3"
"CUST_VARIANT_LEOPARD_1": "LEOPARD 1"
"CUST_ITEM_CM_CNC_UBDY_M_VARJACKET": "CROOKS & CASTLES UNIJACKE"
"CUST_SKIN_BLACK_06": "DUNKELHÄUTIG F"
"PLAYER_MORPH_BROW_ANGLE_TEXT": "AUGENBRAUENWINKEL"
"LOGO_STALLA_1": "STALLAGERIFFIC"
"CUST_ITEM_CF_RING_F_GOTHSET": "GOTH-RINGE"
"CUST_ITEM_CF_RING_F_SMHEART": "KLEINE HERZEN"
"CUST_INSULT_N": "VOM ANDEREN UFER"
"PLAYER_MORPH_SLOPE_ELEVATION_TEXT": "NEIGUNGSHÖHE"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_STAG_2": "Erhöhe Schussfrequenz und Schaden. Das Leuchtpunktvisier verbessert die Zielgenauigkeit."
"CUST_TATTOO_LUPPARM_8": "HAUPTSACHE BLING"
"VEHICLE_COLOR_SEAFOAM_TEAL": "GISCHTGRÜN"
"CRAZY_1": "VERRÜCKT 1"
"CUST_ITEM_CF_RING_F_DMNDNAILS": "GOLDGRÄBER"
"CUSTOM_WALK_FEMALE_4": "ZUHÄLTERFRAU"
"CUST_COMP_CHEEK_MAKEUP_6": "LIPPENSTIFTKUSS"
"SURGEON_CAT_BODY": "KÖRPER"
"CUST_TATTOO_LCALF_2": "SUCKER PUNCH"
"CUST_VARIANT_POLKA_DOTS": "GEPUNKTET"
"CUST_VARIANT_MED_TRI_COLOR": "DREIFARBIG, MEDIUM"
"CUST_ITEM_FEMALE_LETSPRETEND_OUTFIT_C": "HELDIN VON STEELPORT"
"CUST_ITEM_CM_LPC_UBDY_M_HEROSHIRT": "HELD-VON-STEELPORT-SHIRT"
"CUST_COMPLIMENT_A": "BOYGROUP-TANZ"
"SURGEON_STORE_NAME_1": "IMAGE AS DESIGNED"
"CUST_WPN_UPGRADE_DESC_PISTOL_GANG_4": "Explodierende Kugeln schockieren deine Feinde."
"CUST_COMP_EYE_MAKEUP_2": "AUGENKLAPPE LINKS"
"RIM_189": "C-X 503"
"LOGO_SKEETERS_6": "SKEETERS 6"
"CUST_VARIANT_BRA_1": "PUNKTE"
"CUST_VARIANT_WILD": "WILD"
"CUST_ITEM_CF_NLMD_UBDY_F_SHIRT": "RAWK-HEMD"
"CUST_COMPLIMENT_CC": "SCHREEEEEEEEEI"
"SLOT_RIGHT_SIDE": "RECHTE SEITE"
"SLOT_TAILS": "HECKFLÜGEL"
"CUST_WEAR_TUCKED_BUTTONED_EXTRA_HIGH_PANT_NO_SUSPENDERS": "IN HOSE, GESCHLOSSEN, SEHR HOHE HOSE, KEINE TRÄGER"
"CUST_WEAR_TUCKED_BUTTONED": "IN HOSE, GESCHLOSSEN"
"CUST_ITEM_CM_IMPN_UBDY_M_UNBUTTONED": "MODERNES AUFGEKNÖPFTES ANZUGHEMD"
"CUST_ITEM_CM_IMPM_EYES_M_SUNGLASSES": "KABANA SONNENBRILLE"
"PLAYER_MORPH_MOUTH_SHAPE_TEXT": "MUNDFORM"
"CUST_TATTOO_RFORARM_8": "BEWAFFNET UND GEFÄHRLICH"
"CUST_TATTOO_UPPBACK_7": "DRAMATIS PERSONAE"
"CUST_COMP_FACE_MOLE_9": "LEBERFLECK 9"
"LOCALIZE_NONE": "KEINE"
"RALLY_2": "RALLY 2"
"MALE_EMACIATED": "MÄNNLICH, AUSGEMERGELT"
"LOGO_VIRAL_1": "VIRAL 1"
"CUST_VARIANT_2STRIPE": "ZWEI STREIFEN"
"CUST_VARIANT_SMALL_STRIPE": "DÜNNE STREIFEN"
"CUST_VARIANT_STEEL": "STAHL"
"SLOT_ROOF_LIGHTS": "DACHSCHEINWERFER"
"DARK_ORANGE": "DUNKELORANGE"
"CUST_ITEM_FEMALE_LL_UNDWEAR_1": "NEON-JUNGLE-TANGA"
"COLOR_SLOT_PAINT_1_AND_PAINT_3": "LACK 1 UND LACK 3"
"CUST_VARIANT_PLATINUM": "PLATIN"
"CUST_SKIN_OILED_2": "EINGEÖLT ASIATISCH 1"
"PLAYER_MORPH_EYE_SIZE_TEXT": "AUGENGRÖSSE"
"PLAYER_MORPH_BOTTOM_LIP_MIDDLE_SIZE_TEXT": "GRÖSSE DER UNTEREN LIPPENMITTE"
"RIM_SPORTS": "SPORTWAGEN"
"CUST_ITEM_CF_NLMD_FOOT_F_CANVASSHOES": "RAWK-STOFFSCHUHE"
"CUST_ITEM_CM_LPG_MASK_M_MASKLAMB": "LAMMMASKE"
"CUST_INSULT_J": "STANDGEBLÄSE"
"CUST_TATTOO_LCALF_6": "STAMMESKRIEGER"
"VEHICLE_COLOR_INSANE_RED": "SATTES ROT"
"CUST_ITEM_FEMALE_NLM_EARRINGS_4": "MEHR-BLUT-OHRRINGE"
"CUST_ITEM_FEMALE_LETSPRETEND_OUTFIT_G": "SEXY COWGIRL"
"CUST_ITEM_CM_LPE_LBDY_M_MPANTS": "BATTALION-SOLDATENHOSE"
"CUST_ITEM_CM_LLA_UBDY_M_GIMPSHIRT": "BAD-BOY-HEMD"
"CUST_ITEM_CM_PSG_FOOT_M_SNEAKERS": "KICKS"
"CUST_COMPLIMENT_E": "AMIGO"
"PLAYER_MORPH_BODY_FAT_TEXT": "GEWICHT"
"PLAYER_MORPH_SKULL_TOP_HEIGHT_TEXT": "KOPFDECKENHÖHE"
"CUST_COLOR_CLOTHING_GREYS_4": "GRAU 4"
"CUST_WPN_UPGRADE_DESC_GRENADE_FLASHBANG_3": "Wirf weiter."
"CUST_GANG_NINJA": "NINJA"
"CUST_COMP_CHEEK_MAKEUP_2": "SUPERMODEL"
"COMPONENT_ADD_REINFORCED_BUMPER": "VERSTÄRKTE STOSSSTANGE"
"CUST_ITEM_CF_HAIR_SPACEGIRL": "ASTRO"
"CUST_ITEM_CF_IMPN_FOOT_F_SANDALS": "MÖRDERABSÄTZE"
"CUST_TATTOO_UPPER_LEG_LEFT": "LINKER OBERSCHENKEL"
"PLAYER_MORPH_SKULL_TOP_ELEVATION_TEXT": "KOPFDECKENHÖHE"
"CUST_ITEM_FEMALE_NLM_OUTFIT_D": "INDIE KIND"
"CUST_ITEM_CF_LPG_LBDY_F_SHORTSCHAPS": "SEXY COWGIRL"
"CUST_ITEM_CM_LLN_LBDY_M_WLPANTS": "DISCO-DIVA-HOSE"
"CUST_ITEM_CM_LLB_FOOT_M_LTHRBOOTS": "BONDAGE-LEDERSTIEFEL"
"CUST_COMP_EYE_MAKEUP_6": "LIDSCHATTEN"
"LOGO_NUMBER4": "NUMMER 4"
"LOGO_SKEETERS_2": "SKEETERS 2"
"CUST_ITEM_CF_LLI_UBDY_F_TUBETOP": "ROLLI"
"CUST_VARIANT_SPORT_SHOE": "SPORTSCHUHE"
"CUST_ITEM_FEMALE_LL_UNDWEAR_5": "LIEBESBEWEIS-STRING"
"CUST_VOICE_FEMALE_ASIAN": "WEIBLICH 1"
"CUST_WPN_UPGRADE_DESC_RIFLE_STAG_3": "Erhöhe die Schussfrequenz. Ein verlängerter Lauf verringert den Rückstoß."
"CUST_TATTOO_UPPBACK_3": "SPACE GANGSTER"
"COLOR_SLOT_PAINT_1_AND_RIMS_2": "LACK 1 UND FELGEN 2"
"CUST_TATTOO_LOWBACK_1": "GEDENKE DER GEFALLENEN"
"CUST_COLOR_FLESH_1": "FLEISCH 1"
"CUST_VARIANT_ULTORSHIRT": "ULTOR"
"CUST_WEAR_LOW_LEFT_ZIPPED_RIGHT_ROLLED": "RECHTS HOCHGEKREMPELT, TIEF"
"RIM_SET_007": "FELGENSATZ 7"
"VEHICLE_PAINT_MILITARY": "MILITÄRISCH"
"COMPONENT_OPTION_5": "OPTION 5"
"LOGO_DOGFIGHT": "Dog Fight!"
"CUST_VARIANT_BALD": "GLATZE"
"CUST_ITEM_CM_DECKERSUIT": "DER DECKER"
"CUSTOM_WALK_6": "STANDARD MANN 2"
"CUST_COMP_EYE_MAKEUP_11": "DUNKLER LIDSTRICH"
"CUST_VARIANT_SKIRTC": "STIL 1"
"CUST_VARIANT_TRICOLOR": "DREIFARBIG"
"CUST_VARIANT_SUEDESUEDE": "WILDLEDER"
"CUST_ITEM_CM_FPIC_SETB": "RECHTE BRAUE UND NASENSTECKER"
"PLAYER_MORPH_EAR_LONGITUDE_TEXT": "OHRLÄNGE"
"CUST_WPN_UPGRADE_DESC_SPECIAL_STRIKE_3": "Ziele schneller und trage mehr Munition."
"CUST_TATTOO_NECK_5": "TEDDY"
"CUST_WEAR_LOW_BOTH_ROLLED": "BEIDE HOCHGEKREMPELT, TIEF"
"CUST_ITEM_IMPRESSIONS_FEMALE_N": "MOD-STYLE"
"CUST_ITEM_CM_HAIR_SIDEPARTMED1": "KURZ UND LINKS"
"CUST_OPACITY_SLIDER": "DECKKRAFT"
"CUST_MORPH_CAT_BROW": "AUGENBRAUEN"
"LETS_PRETEND_NAME": "LET'S PRETEND"
"CUST_COMP_FACE_MAKEUP_5": "SCHLAFLOS"
"CUST_VARIANT_PIMPCOAT_LEOPARD2": "LEOPARD 2"
"CUST_ITEM_CM_NECK_LL_HEART": "VERSPRECHEN-ANHÄNGER"
"CUST_ITEM_CM_HAIR_COMBOVER": "DER MÖNCH"
"CUST_ITEM_CM_LLO_LBDY_M_SBLPANTS": "POCKET ROCKET-HOSE"
"CUST_ITEM_DANE_S_HAIR": "SCHMETTERLINGSSPANGEN"
"CUST_SKIN_HISPANIC_05": "LATINO 5"
"CUST_TATTOO_RHAND_5": "LIEBESMASCHINE"
"LOGO_SHARKS_TEXT_2": "HAIE-TEXT 2"
"CUST_VARIANT_FISHNET_1": "NETZ 1"
"CUST_ITEM_CM_NECK_FLEURDELIS": "FLEUR DE SAINTS KETTE"
"CUST_ITEM_CM_CNC_HAT_M_CAP": "CROOKS & CASTLES BASEBALL-KÄPPI"
"CUST_ITEM_CF_LLI_FOOT_F_STUDDEDHEALS": "REBELLENSANDALEN"
"CUST_ITEM_CM_HAIR_SIDESPIKED": "ANIME"
"CUST_RONIN_COMPLIMENT_B": "RONIN-KOMLIMENT 2"
"PLAYER_MORPH_BROW_ARCH_TEXT": "AUGENBRAUENBOGEN"
"CUST_COLOR_CLOTHING_VIOLET-RED_4": "VIOLETTROT 4"
"CUST_COLOR_CLOTHING_BROWNS_5": "BRAUN 5"
"Component_Paint": "LACK"
"COMPONENT_DECAL_7": "AUFKLEBER 7"
"CUST_WEAR_HIGH": "HOCH"
"CUST_RACE_BLACK": "SCHWARZ"
"CUST_SKIN_BLACK_02": "DUNKELHÄUTIG 2"
"PLAYER_MORPH_CHIN_ELEVATION_TEXT": "KINNHÖHE"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_8": "GELBORANGE 8"
"CUST_TATTOO_FACE_2": "TRÄNEN"
"CUST_VARIANT_BABYT": "BABY-T-SHIRT"
"CUST_ITEM_CM_POLICESUIT": "UNIFORM"
"CUST_SKIN_PURPLE_1": "DUNKLES LILA"
"CUSTOM_WALK_12": "GANGSTER-STIL"
"PLAYER_MORPH_NECK_BACK_DEPTH_TEXT": "NACKENTIEFE"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_GANG_2": "Erhöhe deine Magazingröße. Füge einen zweiten Lauf hinzu, um mehr Schaden anrichten zu können."
"COMPONENT_OPTION_10": "OPTION 10"
"CUST_VARIANT_MATERIAL_4": "CUST_VARIANT_MATERIAL#4"
"CUST_VARIANT_BIKER_1": "BIKER 1"
"CUST_ITEM_FEMALE_PS_EARRINGS_4": "SAINTS OHRRINGE"
"CUST_ITEM_CF_LPG_UBDY_F_SHIRT": "COWGIRL-SHIRT"
"CUST_ITEM_CF_PSG_LBDY_F_GFXJEANS": "WAHRE-GRÖSSE-JEANS"
"CUST_COMPLIMENT_M": "NINJA"
"COMPONENT_LOW_PROFILE": "NIEDRIG"
"LOGO_MIX": "THE MIX 107.77"
"CUST_VARIANT_2_COLOR": "ZWEIFARBIG"
"CUST_VARIANT_STRIPES_4": "STREIFEN 2"
"CUST_VARIANT_SOLID": "EINFARBIG"
"CUST_WEAR_BACK RIGHT": "HINTEN RECHTS"
"CUST_WPN_UPGRADE_DESC_SMG_GANG_3": "Ein Schalldämpfer erhöht den Schaden und verringert den Rückstoß."
"CUST_TATTOO_RCALF_1": "VERANKERT"
"CUST_TATTOO_LARM_6": "SPINNENNETZ"
"CUST_TATTOO_LUPPARM_4": "SCHLANGENBESCHWÖRER"
"VEHICLE_PAINT_PRECIOUS_METAL": "EDELMETALL"
"HAIR_COLOR_BRUNETTE_MATTE": "MATTBRÜNETT"
"HAIR_COLOR_AUBURN_MATTE": "MATTKASTANIE"
"HAIR_COLOR_WHITE": "WEISS"
"CUST_VARIANT_BLOOD": "BLUT"
"CUST_ITEM_CF_IMPR_UBDY_F_SHIRTLOW": "HILLS ZAUBERERWESTE"
"CUST_ITEM_FEMALE_NLM_UNDWEAR_2": "PARTYTIME-TANGA"
"CUST_ITEM_CM_NLMD_EAR_M_EARRING": "STYLISCHER PUNK-OHRRING"
"LOGO_420": "103.6 Four 20"
"CUST_VARIANT_MATERIAL__17": "CUST_VARIANT_MATERIAL_#17"
"CUST_ITEM_CM_HAIR_RECEDINGPEAK": "GEHEIMRATSECKEN"
"CUST_INSULT_B": "DANIEL SAN"
"PLAYER_MORPH_LOBES_SIZE_TEXT": "OHRLÄPPCHENGRÖSSE"
"VEHICLE_COLOR_KABUKI_RED": "KABUKI-ROT"
"CUST_ITEM_CM_IMPM_LBDY_M_SHORTS": "KABANA SHORTS"
"CUST_CHOOSE_CHARACTER": "CHARAKTER ANPASSEN"
"PLAYER_MORPH_EYELID_LOOK_TEXT": "AUSSEHEN DER AUGENLIDER"
"CUST_TATTOO_RFORARM_4": "EISKALT"
"CUST_COMP_FACE_MOLE_5": "LEBERFLECK 5"
"COLOR_SLOT_PAINT_AND_TRIM": "LACK UND ZIERSTREIFEN"
"FEMALE_OVERWEIGHT": "WEIBLICH, ÜBERGEWICHTIG"
"CUST_SKIN_GREY_5": "SCHWARZ"
"RIM_DEEP_DISH": "TIEFE SCHALE"
"SLOT_HUBCAPS_REAR": "RADKAPPEN HINTEN"
"SLOT_WINDOW_TINT": "SCHEIBENTÖNUNG"
"BRIGHT_BLUE": "HELLBLAU"
"HAIR_Black": "SCHWARZ"
"LOGO_SRAIR": "SR AIR"
"PLAYER_CREATION_PRESET_BLACK": "AFRO-AMERIKANISCH"
"VEHICLE_COLOR_CHROME": "CHROM"
"RIM_185": "V-F 604"
"SLOT_WEAPON_2": "WAFFE 2"
"LOGO_CARDS": "KARTEN"
"CUST_ITEM_CF_DLC_SPACE_OUTFIT": "WELTRAUMPRINZESSIN"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHIRT": "HILLS FREIZEITHEMD"
"CUST_COLOR_CLOTHING_ORANGE_7": "ORANGE 7"
"CUST_WPN_UPGRADE_DESC_GRENADE_MOLOTOV_4": "Erhöhe Schaden."
"CUST_COMP_EYE_MAKEUP_19": "STRAHLEND"
"CUST_ITEM_CM_NLMC_RWRST_M_WRISTBANDS": "RAVE X LEUCHTSTAB-ARMBAND"
"CUST_ITEM_CM_LLA_HAT_M_GIMPMASK": "SAFEWORD SPEZIAL"
"PLAYER_MORPH_BODY_MUSCLE_TEXT": "MUSKELN"
"PLAYER_MORPH_LUMINOSITY_TEXT": "HELLIGKEIT"
"LOGO_STEER": "HIMMELSHELFER"
"CUST_VARIANT_SMOKED": "GETÖNTER SONNENSCHIRM"
"CUST_ITEM_CF_NLMB_RWRST_F_WRISTBAND": "ANARCHIE-ARMBAND"
"CUST_COMPLIMENT_APPROVAL": "ANERKENNUNG"
"CUST_VOICE_MALE_WHITE": "MÄNNLICH 1"
"COLOR_SLOT_MECHANICAL": "MECHANISCH"
"COMPONENT_DECAL_10": "AUFKLEBER 10"
"CUST_VARIANT_THICKSTRIPES": "DICKE STREIFEN"
"CUST_VARIANT_ZEBRA": "ZEBRA"
"CUST_ITEM_CM_IMPB_UBDY_M_JTURTLENECK": "DINNER IN PARIS"
"CUST_ITEM_CF_NLMH_LWRST_F_WRISTBANDS": "RAVER-ARMBÄNDER"
"CUST_ITEM_CF_HAIR_M_LONGUP-01": "VINTAGE-SCHNITT"
"CUST_SKIN_GREEN_5": "MINTGRÜN"
"PLAYER_MORPH_LOWER_LIP_SIDES_ELEVATION_TEXT": "UNTERLIPPENSEITENHÖHE"
"CUST_WEAR_NORMAL_EXTRA_HIGH_SUSPENDERS": "NORMAL, SEHR HOCH, HOSENTRÄGER"
"CUST_ITEM_CF_PSB_LBDY_F_SHORTSHORTS": "KURZE DAMENSHORTS"
"CUST_SKIN": "HAUT"
"PLAYER_MORPH_CHEEKBONE_HEIGHT_TEXT": "WANGENKNOCHENHÖHE"
"CUST_TATTOO_LHAND_2": "LEBE ODER ..."
"CUST_VARIANT_PATTERN_2_DECALS": "STIL 2 MIT AUFKLEBERN"
"CUST_VARIANT_DEFAULT": "STANDARD"
"CUST_ITEM_BANDANA_1": "BANDIT"
"CUST_MOVEMENT_TAUNT": "SPOTTGESTE"
"PLAYER_CREATION_MENU_1": "VORLAGEN"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_5": "GELBGRÜN 5"
"CUST_TATTOO_CHEST_6": "WEIT GEÖFFNET"
"VEHICLE_PAINT_GANG_SAINTS": "SAINTS"
"DARK_RED": "DUNKELROT"
"LEVEL_3": "STUFE 3"
"LOGO_SPELUNKER_1": "SPELUNKER'S"
"CUST_ITEM_CM_IMPB_UBDY_M_JLOWSHIRT": "KASCHMIR-V-KRAGEN-PULLI MIT ANZUGJACKE"
"CUST_ITEM_FEMALE_LL_EARRINGS_3": "GESTREIFTE BAUMELOHRRINGE"
"CUST_GANG_STRIPPER": "STRIPPER"
"VEHICLE_PAINT_METAL": "METALL"
"LOGO_WONDERMART_1": "WUNDERMARKT 1"
"CUST_WEAR_TUCKED_HIGH_PANT_NO_SUSPENDERS": "IN HOSE, HOHE HOSE"
"CUST_FINE_TUNING": "GESICHT"
"PLAYER_MORPH_JAW_SPACING_TEXT": "GEBISSABSTAND"
"PLAYER_MORPH_EYE_ELEVATION_TEXT": "AUGENHÖHE"
"CUST_COLOR_CLOTHING_ORANGE_3": "ORANGE 3"
"SLOT_RIMS": "FELGEN"
"PLAYER_MORPH_NECK_BACK_WIDTH_TEXT": "NACKENBREITE"
"CUST_COMP_MALE_EYEBROWS_4": "DURCHGEHENDE BRAUE"
"VEHICLE_PAINT_OPAQUE_PAINT": "DECKLACK"
"COMPONENT_OPTION_9": "OPTION 9"
"CUST_VARIANT_BIG_DIAMONDS": "GROSSE DIAMANTEN"
"CUST_ITEM_MALE_PLANETSAINTS_BRIEFS_1": "SAINTS SCHLÜPFER"
"CUST_SKIN_GREEN_1": "FRÖHLICHES GRÜN"
"CUST_RONIN_TAUNT_D": "RONIN-SPOTTGESTE 4"
"PLAYER_MORPH_JOWLS_ELEVATION_TEXT": "KIEFERHÖHE"
"WARDROBE_CONTROL_WEAR": "TRAGEN"
"VEHICLE_PAINT_TRICKED_METALLIC": "METALLIC"
"COLOR_SLOT_INTERIOR_AND_SOFTTOP": "INNENAUSSTATTUNG UND SOFTTOP"
"CUST_ITEM_CM_IMPL_UBDY_M_JSHIRT": "MOD MIT HEMD"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_4": "GELBORANGE 4"
"CUST_TATTOO_LHAND_6": "GEBROCHENES HERZ"
"CUST_COLOR_INDIGO_2": "INDIGO 2"
"CUST_COLOR_PURPLE_3": "LILA 3"
"CUST_VARIANT_MATERIAL__16__14_DEFAULT": "CUST_VARIANT_MATERIAL_#16_(14_DEFAULT)"
"CUST_WEAR_CLOSED": "GESCHLOSSEN"
"CUST_WEAR_LOW_LEFT_UNZIPPED_RIGHT_UNZIPPED": "BEIDE OFFEN, TIEF"
"CUST_ITEM_LEATHER_LACE_FEMALE_R": "OKTOBERFEST GIRL"
"CUST_MENU_PRESETS": "VOREINSTELLUNGEN"
"CUST_MORPH_CAT_MOUTH": "MUND"
"PLAYER_MORPH_BODY_TEXT": "KÖRPER"
"CUST_COLOR_CLOTHING_VIOLET-RED_8": "VIOLETTROT 8"
"CUST_COLOR_CLOTHING_BROWNS_9": "BRAUN 9"
"PAINT_1": "LACK 1"
"MALE_SLENDER": "MÄNNLICH, SCHLANK"
"CUST_VARIANT_DRAGON_BOWTIE": "DRACHE"
"CUST_VARIANT_CANVAS": "LEINEN"
"CUST_WEAR_U": "U"
"CUST_ITEM_CM_IMPE_UBDY_M_SHIRT": "SOUTH BEACH HEMD"
"CUST_ITEM_CF_LPH_FOOT_F_CLSHOES": "CHEERLEADER-SCHUHE"
"CUST_CAT_NOT_FOR_DEMO": "NICHT FÜR DIE DEMO"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_1": "GELBGRÜN 1"
"CUST_TATTOO_CHEST_2": "GLÜCKSDRACHE"
"COLOR_SLOT_GRILL": "GRILL"
"CUST_VARIANT_NEW_EYES": "NEUE AUGEN"
"CUST_ITEM_CF_NLMC_UBDY_M_SHIRT": "GOTH-SHIRT"
"CUST_ITEM_CM_NLMC_FOOT_M_SHOES": "RAVE X SNEAKERZ"
"CUST_ITEM_CF_IMPQ_FOOT_F_LATEXHEELS": "DIVA-ABSÄTZE"
"STORE_WEAPON_AMMO": "MUNITION/GRANATEN KAUFEN"
"CUST_COMP_FACE_BANDAGE_1": "NASENPFLASTER"
"CUST_COMP_FACE_MAKEUP_9": "BLAUES AUGE RECHTS"
"VEHICLE_COLOR_ALUMINUM": "ALUMINIUM"
"VEHICLE_PAINT_TIRE_TREAD": "REIFENFARBE"
"SLOT_TIRE_DURABILITY_DESC": "Verbessere deine Reifen, um nicht in einem peinlichen Moment mit einem Platten stehenzubleiben."
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_4": "EDELSTEINOHRRINGE"
"PLAYER_CREATION_MENU_5": "KÖRPER"
"CUST_COLOR_CLOTHING_GREYS_8": "GRAU 8"
"DARK_INDIGO": "DUNKELINDIGO"
"CUST_VARIANT_POCKET": "TASCHE"
"CUST_ITEM_CF_LPC_MASK_F_FEMHEROMASK": "SUPERHELDINNENMASKE"
"CUST_CAT_LEFT_WRIST": "LINKES HANDGELENK"
"CUST_TATTOO_HAND_LEFT": "LINKE HAND"
"PLAYER_MORPH_EAR_ELEVATION_TEXT": "OHRPOSITION"
"VEHICLE_COLOR_ACTIVE_RED": "AKTIVROT"
"CUST_VARIANT_SHOE": "LEINEN"
"CUST_WEAR_HIGH_LEFT_ROLLED_RIGHT_UNZIPPED": "L. hochgekrempelt, r. offen, hoch"
"CUST_ITEM_CM_IMPO_LBDY_M_PANTS": "ADRETTE HOSE"
"CUST_ITEM_FEMALE_MURDERBRAWL_OUTFIT": "3-COUNT-DAMENANZUG"
"CUST_COMPLIMENT_I": "RODEO"
"VEHICLE_COLOR_FRESH_PLUM_PURPLE": "PFLAUME"
"VEHICLE_COLOR_PURPLE_DARK_TINT": "DUNKELLILA GETÖNT"
"Gray": "GRAU"
"CUST_VARIANT_DIAMONDS": "KLEINE DIAMANTEN"
"CUST_ITEM_CM_FPIC_EYEBRIGHT": "AUGENBRAUENRING RECHTS"
"CUST_ITEM_CM_HAIR_SHORTAFRO": "KURZER AFRO"
"CUST_INSULT_F": "#FIAJ"
"PLAYER_MORPH_MOUTH_BITE_TEXT": "BISS"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_RPG_3": "Erhöhter Schaden."
"CUST_WPN_UPGRADE_DESC_RIFLE_NG_2": "Erhöhe den Feuerstoß."
"CUST_TATTOO_RCALF_5": "KREUZ"
"CUST_TATTOO_LARM_2": "TODESBOTE"
"CUST_COMP_FEMALE_EYEBROWS_2": "NACHGEZOGEN"
"CUST_ITEM_CM_PSC_EYES_M_HPSGLASS": "HIPSTER-SONNENBRILLE"
"CUST_PRESET_DESTRUCT_WARNING_TEXT": "Die Auswahl einer Voreinstellung macht alle zuvor festgelegten Einstellungen nichtig.\n\nFortfahren?"
"CUST_SECONDARY_COLOR": "ZWEITFARBE"
"CUST_WPN_UPGRADE_DESC_SMG_STORM_4": "Panzerbrechende Kugeln richten mehr Schaden an und durchschlagen Panzer."
"CUST_COMP_FACE_MOLE_1": "LEBERFLECK 1"
"VEHICLE_COLOR_DUST_RED": "STAUBROT"
"VEHICLE_COLOR_MINT_CHAR_GREEN": "MINTGRÜN"
"CUST_WEAR_NORMAL_EXTRA_HIGH": "NORMAL, SEHR HOCH"
"CUST_ITEM_CM_PSD_FOOT_M_HIPSNEAKERS": "KOALA-KICKS"
"CUST_SKIN_GREY_1": "WEISS"
"FACIAL_EXPRESSION_SMARMY": "KRIECHERISCH"
"PLAYER_MORPH_EARS_YAW_TEXT": "OFFENHEIT DER OHREN"
"PLAYER_MORPH_NOSTRIL_WIDTH_TEXT": "NASENFLÜGELWEITE"
"VEHICLE_PAINT_GANG_BROTHERHOOD": "BRUDERSCHAFT"
"SLOT_HOOD": "MOTORHAUBEN"
"CUST_ITEM_MALE_NLM_OUTFIT_B": "EX-STRÄFLING"
"CUST_ITEM_CM_LPC_HAND_M_HEROGLOVES": "HELD-VON-STEELPORT-HANDSCHUHE"
"CUST_WPN_UPGRADE_DESC_RIFLE_GANG_3": "Erhöhe Schussfrequenz und Magazingröße."
"RIM_181": "SD WGM TY"
"LOGO_NUMBER8": "NUMMER 8"
"LOGO_GHOST_1": "GEIST 1"
"CUST_BRO_TAUNT_D": "BRUDERSCHAFT-SPOTTGESTE 4"
"PLAYER_MORPH_UPPER_LIP_EDGES_LENGTH_TEXT": "OBERLIPPENWINKELLÄNGE"
"PLAYER_MORPH_EYELID_SLANT_TEXT": "AUGENAUFSCHLAG"
"VEHICLE_COLOR_SATIN_BRIGHT_WHITE": "HELLES WEISS-SATIN"
"CUST_ITEM_FEMALE_NLM_OUTFIT_H": "HIPPIE-RAVER"
"CUST_COLOR_CLOTHING_VIOLET_7": "VIOLETT 7"
"CUST_WEAR_TATTOO_BAND_B": "BAND 2"
"CUST_WEAR_RIGHT_ROLLED_LOW": "RECHTS HOCHGEKREMPELT, TIEF"
"CUST_ITEM_CM_SUIT_M_CYBERAVATAR": "CYBER-SAINT"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_H": "HERR DER WELTMEERE"
"CUST_BODY_HAIR": "KÖRPERBEHAARUNG"
"CUST_COLOR_CLOTHING_YELLOWS_4": "GELB 4"
"CUST_TATTOO_RUPPARM_4": "8-BIT GAT"
"SLOT_TRIM_COLOR": "ZIERSTREIFENFARBE"
"CUST_ITEM_CF_NLMB_LWRST_F_WRISTBAND": "ANARCHIE-ARMRING"
