"CUST_ITEM_CF_HAIR_MED": "MI-LONGS"
"CUST_VARIANT_17_DEFAULT": "STYLE 2"
"CUST_ITEM_CM_MOCAP_SUIT_M_MOCAP": "CAPTURE DE MOUVEMENTS"
"CUST_ITEM_FEMALE_LP_UNDWEAR_1": "STRING DISTRAYANT"
"PRESET_WARNING_HEADING": "AVERTISSEMENT"
"CUSTOM_WALK_MALE": "HOMME PAR DÉFAUT"
"PLAYER_MORPH_EYE_SPACING_TEXT": "ESPACEMENT DES YEUX"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_9": "JAUNE-VERT 9"
"CUST_TATTOO_RHAND_1": "QUATRE CRÂNES"
"Chin": "MENTON"
"CUST_PRESET_SEX": "SEXE"
"CUST_COMP_FACE_MAKEUP_1": "VISAGE COUVERT"
"VEHICLE_COLOR_GOLD": "OR"
"CUST_VARIANT_JERSEY_2": "STYLE 2"
"CUST_VARIANT_STRIPESA": "BANDES 1"
"CUST_SKIN_HISPANIC_01": "HISPANIQUE 1"
"CUST_TATTOO_FACE_6": "PAPILLON"
"SLOT_RIM_COLOR": "COULEUR JANTE"
"DARK_PINK": "ROSE FONCÉ"
"LOGO_BROTHERHOOD_1": "BROTHERHOOD 1"
"CUST_SKIN_PURPLE_5": "VIOLET"
"CUSTOM_WALK_16": "STYLE VOYOU 11"
"CUST_MENU_FINE_TUNING": "VISAGE"
"CUST_COLOR_CLOTHING_BROWNS_1": "BRUN 1"
"CUST_COMP_MUSTACHE_16": "MANAGER"
"COMPONENT_DECAL_3": "DÉCALCO 3"
"CUST_VARIANT_LEOPARD_1": "LÉOPARD 1"
"CUST_ITEM_CM_CNC_UBDY_M_VARJACKET": "TEDDY CROOKS & CASTLES"
"CUST_SKIN_BLACK_06": "NOIR F"
"PLAYER_MORPH_BROW_ANGLE_TEXT": "ANGLE DES SOURCILS"
"LOGO_STALLA_1": "STALACTIFIANT"
"CUST_ITEM_CF_RING_F_GOTHSET": "BAGUES DE LA NOIRCEUR"
"CUST_ITEM_CF_RING_F_SMHEART": "BAGUES \"PETIT CŒUR\""
"CUST_INSULT_N": "VOGUE"
"PLAYER_MORPH_SLOPE_ELEVATION_TEXT": "HAUTEUR DU DOS DU NEZ"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_STAG_2": "Augmente la cadence de tir et les dégâts. Le point de mire rouge améliore la précision en visée."
"CUST_TATTOO_LUPPARM_8": "QUE DU BLING"
"VEHICLE_COLOR_SEAFOAM_TEAL": "BLEU ÉCUME"
"CRAZY_1": "DINGUE 1"
"CUST_ITEM_CF_RING_F_DMNDNAILS": "CROQUEUSE DE DIAMANTS"
"CUSTOM_WALK_FEMALE_4": "FEMME MAC"
"CUST_COMP_CHEEK_MAKEUP_6": "TOUTE UNE NUIT"
"SURGEON_CAT_BODY": "CORPS"
"CUST_TATTOO_LCALF_2": "COUP BAS"
"CUST_VARIANT_POLKA_DOTS": "POIS"
"CUST_VARIANT_MED_TRI_COLOR": "TRICOLORE MOYEN"
"CUST_ITEM_FEMALE_LETSPRETEND_OUTFIT_C": "HÉROÏNE DE STEELPORT"
"CUST_ITEM_CM_LPC_UBDY_M_HEROSHIRT": "HAUT DE HÉROS DE STEELPORT"
"CUST_COMPLIMENT_A": "L'EXPÉRIENCE"
"SURGEON_STORE_NAME_1": "IMAGE AS DESIGNED"
"CUST_WPN_UPGRADE_DESC_PISTOL_GANG_4": "Les balles explosives surprennent tes ennemis."
"CUST_COMP_EYE_MAKEUP_2": "TÂCHE GAUCHE"
"RIM_189": "C-X 503"
"LOGO_SKEETERS_6": "SKEETERS 6"
"CUST_VARIANT_BRA_1": "POINTS"
"CUST_VARIANT_WILD": "SAUVAGE"
"CUST_ITEM_CF_NLMD_UBDY_F_SHIRT": "MAILLOT RAWK"
"CUST_COMPLIMENT_CC": "WOOOO"
"SLOT_RIGHT_SIDE": "CÔTÉ DROIT"
"SLOT_TAILS": "OPTIQUES ARRIÈRE"
"CUST_WEAR_TUCKED_BUTTONED_EXTRA_HIGH_PANT_NO_SUSPENDERS": "RENTRÉ, BOUTONNÉ, TRÈS HAUT, SANS BRETELLES"
"CUST_WEAR_TUCKED_BUTTONED": "RENTRÉ, BOUTONNÉ"
"CUST_ITEM_CM_IMPN_UBDY_M_UNBUTTONED": "CHEMISE MODERNE CHIC OUVERTE"
"CUST_ITEM_CM_IMPM_EYES_M_SUNGLASSES": "LUNETTES DE SOLEIL KABANA"
"PLAYER_MORPH_MOUTH_SHAPE_TEXT": "FORME DE LA BOUCHE"
"CUST_TATTOO_RFORARM_8": "ARMÉS ET DANGEREUX"
"CUST_TATTOO_UPPBACK_7": "PERSONNAGE DRAMATIQUE"
"CUST_COMP_FACE_MOLE_9": "GRAIN DE BEAUTÉ 9"
"LOCALIZE_NONE": "AUCUN(E)"
"RALLY_2": "RALLYE 2"
"MALE_EMACIATED": "HOMME, MAIGRE"
"LOGO_VIRAL_1": "VIRAL 1"
"CUST_VARIANT_2STRIPE": "DEUX BANDES"
"CUST_VARIANT_SMALL_STRIPE": "BANDES FINES"
"CUST_VARIANT_STEEL": "ACIER"
"SLOT_ROOF_LIGHTS": "LUMIÈRES TOIT"
"DARK_ORANGE": "ORANGE FONCÉ"
"CUST_ITEM_FEMALE_LL_UNDWEAR_1": "JUNGLE NÉON"
"COLOR_SLOT_PAINT_1_AND_PAINT_3": "PEINTURE 1 ET 3"
"CUST_VARIANT_PLATINUM": "PLATINE"
"CUST_SKIN_OILED_2": "ASIATIQUE HUILÉ 1"
"PLAYER_MORPH_EYE_SIZE_TEXT": "TAILLE DES YEUX"
"PLAYER_MORPH_BOTTOM_LIP_MIDDLE_SIZE_TEXT": "TAILLE MILIEU LÈVRE INFÉRIEURE"
"RIM_SPORTS": "SPORT"
"CUST_ITEM_CF_NLMD_FOOT_F_CANVASSHOES": "ESPADRILLES RAWK"
"CUST_ITEM_CM_LPG_MASK_M_MASKLAMB": "TÊTE DE MOUTON"
"CUST_INSULT_J": "PÉRIPATÉTICIENNE"
"CUST_TATTOO_LCALF_6": "MEMBRE D'UNE TRIBU"
"VEHICLE_COLOR_INSANE_RED": "ROUGE DÉMENT"
"CUST_ITEM_FEMALE_NLM_EARRINGS_4": "BESOIN DE SAIGNER"
"CUST_ITEM_FEMALE_LETSPRETEND_OUTFIT_G": "COWGIRL SEXY"
"CUST_ITEM_CM_LPE_LBDY_M_MPANTS": "PANTALON BATAILLON"
"CUST_ITEM_CM_LLA_UBDY_M_GIMPSHIRT": "HAUT DE PETIT COQUIN"
"CUST_ITEM_CM_PSG_FOOT_M_SNEAKERS": "KICKS"
"CUST_COMPLIMENT_E": "L'AMI"
"PLAYER_MORPH_BODY_FAT_TEXT": "GRAISSE"
"PLAYER_MORPH_SKULL_TOP_HEIGHT_TEXT": "HAUTEUR DU HAUT DU CRÂNE"
"CUST_COLOR_CLOTHING_GREYS_4": "GRIS 4"
"CUST_WPN_UPGRADE_DESC_GRENADE_FLASHBANG_3": "Se lance plus loin."
"CUST_GANG_NINJA": "NINJA"
"CUST_COMP_CHEEK_MAKEUP_2": "MANNEQUIN"
"COMPONENT_ADD_REINFORCED_BUMPER": "PARE-CHOC RENFORCÉ"
"CUST_ITEM_CF_HAIR_SPACEGIRL": "SCIENCE-FICTION"
"CUST_ITEM_CF_IMPN_FOOT_F_SANDALS": "TALONS DIVINS"
"CUST_TATTOO_UPPER_LEG_LEFT": "JAMBE GAUCHE HAUT"
"PLAYER_MORPH_SKULL_TOP_ELEVATION_TEXT": "HAUTEUR DU HAUT DU CRÂNE"
"CUST_ITEM_FEMALE_NLM_OUTFIT_D": "JEUNE INDIE"
"CUST_ITEM_CF_LPG_LBDY_F_SHORTSCHAPS": "PANTALON DE COWGIRL SEXY"
"CUST_ITEM_CM_LLN_LBDY_M_WLPANTS": "PANTALON DIVA DE LA DISCO"
"CUST_ITEM_CM_LLB_FOOT_M_LTHRBOOTS": "BOTTES DE CUIR ESCLAVAGE"
"CUST_COMP_EYE_MAKEUP_6": "OMBRE À PAUPIÈRES"
"LOGO_NUMBER4": "NUMÉRO 4"
"LOGO_SKEETERS_2": "SKEETERS 2"
"CUST_ITEM_CF_LLI_UBDY_F_TUBETOP": "BUSTIER"
"CUST_VARIANT_SPORT_SHOE": "CHAUSSURE DE SPORT"
"CUST_ITEM_FEMALE_LL_UNDWEAR_5": "STRING \"MONTRE TON AMOUR\""
"CUST_VOICE_FEMALE_ASIAN": "FEMME 1"
"CUST_WPN_UPGRADE_DESC_RIFLE_STAG_3": "Aumente la cadence de tir. Le canon allongé aide à réduire le recul."
"CUST_TATTOO_UPPBACK_3": "GANGSTER DE L'ESPACE"
"COLOR_SLOT_PAINT_1_AND_RIMS_2": "PEINTURE 1 ET JANTES 2"
"CUST_TATTOO_LOWBACK_1": "SOUVIENS-TOI"
"CUST_COLOR_FLESH_1": "CHAIR 1"
"CUST_VARIANT_ULTORSHIRT": "ULTOR"
"CUST_WEAR_LOW_LEFT_ZIPPED_RIGHT_ROLLED": "REVERS DROITE, BAS"
"RIM_SET_007": "PACK JANTES 7"
"VEHICLE_PAINT_MILITARY": "MILITAIRE"
"COMPONENT_OPTION_5": "OPTION 5"
"LOGO_DOGFIGHT": "Dog Fight!"
"CUST_VARIANT_BALD": "CHAUVE"
"CUST_ITEM_CM_DECKERSUIT": "DECKER"
"CUSTOM_WALK_6": "HOMME PAR DÉFAUT 2"
"CUST_COMP_EYE_MAKEUP_11": "LINER FONCÉ"
"CUST_VARIANT_SKIRTC": "STYLE 1"
"CUST_VARIANT_TRICOLOR": "TRICOLORE"
"CUST_VARIANT_SUEDESUEDE": "DAIM"
"CUST_ITEM_CM_FPIC_SETB": "CLOU SOURCIL DROIT/NARINE"
"PLAYER_MORPH_EAR_LONGITUDE_TEXT": "LONGITUDE DES OREILLES"
"CUST_WPN_UPGRADE_DESC_SPECIAL_STRIKE_3": "Vise plus rapidement et transporte plus de munitions."
"CUST_TATTOO_NECK_5": "OURS EN PELUCHE"
"CUST_WEAR_LOW_BOTH_ROLLED": "REVERS, BAS"
"CUST_ITEM_IMPRESSIONS_FEMALE_N": "STYLE MOD"
"CUST_ITEM_CM_HAIR_SIDEPARTMED1": "COURTS GAUCHE"
"CUST_OPACITY_SLIDER": "OPACITÉ"
"CUST_MORPH_CAT_BROW": "SOURCILS"
"LETS_PRETEND_NAME": "LET'S PRETEND"
"CUST_COMP_FACE_MAKEUP_5": "INSOMNIE"
"CUST_VARIANT_PIMPCOAT_LEOPARD2": "LÉOPARD 2"
"CUST_ITEM_CM_NECK_LL_HEART": "PENDENTIF \"PROMESSE\""
"CUST_ITEM_CM_HAIR_COMBOVER": "MOINE"
"CUST_ITEM_CM_LLO_LBDY_M_SBLPANTS": "PANTALON \"POCKET ROCKET\""
"CUST_ITEM_DANE_S_HAIR": "PINCE PAPILLON"
"CUST_SKIN_HISPANIC_05": "HISPANIQUE 5"
"CUST_TATTOO_RHAND_5": "BÊTE DE SEXE"
"LOGO_SHARKS_TEXT_2": "TEXTE REQUINS 2"
"CUST_VARIANT_FISHNET_1": "FILET DE PÊCHE 1"
"CUST_ITEM_CM_NECK_FLEURDELIS": "CHAÎNE \"FLEUR DE SAINTS\""
"CUST_ITEM_CM_CNC_HAT_M_CAP": "CASQUETTE CROOKS & CASTLES"
"CUST_ITEM_CF_LLI_FOOT_F_STUDDEDHEALS": "SANDALES REBELLES"
"CUST_ITEM_CM_HAIR_SIDESPIKED": "PICS ANIMÉS"
"CUST_RONIN_COMPLIMENT_B": "COMPLIMENT RONIN 2"
"PLAYER_MORPH_BROW_ARCH_TEXT": "ARCADES"
"CUST_COLOR_CLOTHING_VIOLET-RED_4": "VIOLET-ROUGE 4"
"CUST_COLOR_CLOTHING_BROWNS_5": "BRUN 5"
"Component_Paint": "PEINTURE COMPLÈTE"
"COMPONENT_DECAL_7": "DÉCALCO 7"
"CUST_WEAR_HIGH": "TAILLE HAUTE"
"CUST_RACE_BLACK": "NOIR"
"CUST_SKIN_BLACK_02": "AFRO-AMÉRICAIN 2"
"PLAYER_MORPH_CHIN_ELEVATION_TEXT": "ÉLÉVATION DU MENTON"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_8": "JAUNE-ORANGE 8"
"CUST_TATTOO_FACE_2": "QUAND LES SAINTS PLEURENT"
"CUST_VARIANT_BABYT": "BABY-T"
"CUST_ITEM_CM_POLICESUIT": "UNIFORME SPD"
"CUST_SKIN_PURPLE_1": "VIOLET FONCÉ"
"CUSTOM_WALK_12": "STYLE GANGSTA"
"PLAYER_MORPH_NECK_BACK_DEPTH_TEXT": "PROFONDEUR DE LA NUQUE"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_GANG_2": "Augmente la capacité de tes chargeurs. Ajoute un second canon pour augmenter les dégâts."
"COMPONENT_OPTION_10": "OPTION 10"
"CUST_VARIANT_MATERIAL_4": "CUST_VARIANT_MATERIAL#4"
"CUST_VARIANT_BIKER_1": "MOTARD 1"
"CUST_ITEM_FEMALE_PS_EARRINGS_4": "ANNEAUX \"PLANET SAINTS\""
"CUST_ITEM_CF_LPG_UBDY_F_SHIRT": "STYLE COWGIRL"
"CUST_ITEM_CF_PSG_LBDY_F_GFXJEANS": "JEAN AJUSTÉ"
"CUST_COMPLIMENT_M": "LE NINJA"
"COMPONENT_LOW_PROFILE": "SILHOUETTE BASSE"
"LOGO_MIX": "THE MIX 107.77"
"CUST_VARIANT_2_COLOR": "BICOLORE"
"CUST_VARIANT_STRIPES_4": "BANDES 4"
"CUST_VARIANT_SOLID": "SOLIDE"
"CUST_WEAR_BACK RIGHT": "ARRIÈRE DROIT"
"CUST_WPN_UPGRADE_DESC_SMG_GANG_3": "Le silencieux augmente les dégâts et diminue le recul."
"CUST_TATTOO_RCALF_1": "ANCRÉ"
"CUST_TATTOO_LARM_6": "PRIS DANS LA TOILE"
"CUST_TATTOO_LUPPARM_4": "CHARMEUR DE SERPENT"
"VEHICLE_PAINT_PRECIOUS_METAL": "MÉTAL PRÉCIEUX"
"HAIR_COLOR_BRUNETTE_MATTE": "BRUN MAT"
"HAIR_COLOR_AUBURN_MATTE": "AUBURN MAT"
"HAIR_COLOR_WHITE": "BLANCS"
"CUST_VARIANT_BLOOD": "SANG"
"CUST_ITEM_CF_IMPR_UBDY_F_SHIRTLOW": "GILET BRANCHÉ MAGICIEN"
"CUST_ITEM_FEMALE_NLM_UNDWEAR_2": "CULOTTE \"PARTY TIME\""
"CUST_ITEM_CM_NLMD_EAR_M_EARRING": "CLOUS PUNK STYLÉS"
"LOGO_420": "103.6 Four 20"
"CUST_VARIANT_MATERIAL__17": "CUST_VARIANT_MATERIAL_#17"
"CUST_ITEM_CM_HAIR_RECEDINGPEAK": "CHAPEAU À PLUMES"
"CUST_INSULT_B": "DANIEL-SAN"
"PLAYER_MORPH_LOBES_SIZE_TEXT": "TAILLE DES LOBES"
"VEHICLE_COLOR_KABUKI_RED": "ROUGE KABUKI"
"CUST_ITEM_CM_IMPM_LBDY_M_SHORTS": "BERMUDA KABANA"
"CUST_CHOOSE_CHARACTER": "PERSONNALISER PERSONNAGE"
"PLAYER_MORPH_EYELID_LOOK_TEXT": "APPARENCE DES PAUPIÈRES"
"CUST_TATTOO_RFORARM_4": "PIERRE FROIDE"
"CUST_COMP_FACE_MOLE_5": "GRAIN DE BEAUTÉ 5"
"COLOR_SLOT_PAINT_AND_TRIM": "PEINTURE ET GARNITURE"
"FEMALE_OVERWEIGHT": "FEMME, GROSSE"
"CUST_SKIN_GREY_5": "ONYX"
"RIM_DEEP_DISH": "À DÉPORT"
"SLOT_HUBCAPS_REAR": "ENJOLIVEURS ARRIÈRE"
"SLOT_WINDOW_TINT": "VITRE TEINTÉE"
"BRIGHT_BLUE": "BLEU CLAIR"
"HAIR_Black": "NOIR"
"LOGO_SRAIR": "SR AIR"
"PLAYER_CREATION_PRESET_BLACK": "AFRO-AMÉRICAIN"
"VEHICLE_COLOR_CHROME": "CHROME"
"RIM_185": "V-F 604"
"SLOT_WEAPON_2": "ARME 2"
"LOGO_CARDS": "CARTES"
"CUST_ITEM_CF_DLC_SPACE_OUTFIT": "PRINCESSE DE L'ESPACE"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHIRT": "VÊTEMENTS BRANCHÉS DÉCONTRACT'"
"CUST_COLOR_CLOTHING_ORANGE_7": "ORANGE 7"
"CUST_WPN_UPGRADE_DESC_GRENADE_MOLOTOV_4": "Augmente les dégâts."
"CUST_COMP_EYE_MAKEUP_19": "YEUX BRILLANTS"
"CUST_ITEM_CM_NLMC_RWRST_M_WRISTBANDS": "BRACELET LUMINEUX \"RAVE X\""
"CUST_ITEM_CM_LLA_HAT_M_GIMPMASK": "SPÉCIAL SADO MASO"
"PLAYER_MORPH_BODY_MUSCLE_TEXT": "MUSCULATURE"
"PLAYER_MORPH_LUMINOSITY_TEXT": "LUMINOSITÉ"
"LOGO_STEER": "HEAVEN'S HELPERS"
"CUST_VARIANT_SMOKED": "VISIÈRE TEINTÉE"
"CUST_ITEM_CF_NLMB_RWRST_F_WRISTBAND": "POIGNET ANARCHISTE"
"CUST_COMPLIMENT_APPROVAL": "APPROBATION"
"CUST_VOICE_MALE_WHITE": "HOMME 1"
"COLOR_SLOT_MECHANICAL": "MÉCANIQUE"
"COMPONENT_DECAL_10": "DÉCALCO 10"
"CUST_VARIANT_THICKSTRIPES": "GROSSES BANDES"
"CUST_VARIANT_ZEBRA": "ZÉBRAS"
"CUST_ITEM_CM_IMPB_UBDY_M_JTURTLENECK": "DÎNER À PARIS"
"CUST_ITEM_CF_NLMH_LWRST_F_WRISTBANDS": "BRACELETS DE FÊTARDE"
"CUST_ITEM_CF_HAIR_M_LONGUP-01": "RELEVÉS VINTAGE"
"CUST_SKIN_GREEN_5": "VERT MENTHE"
"PLAYER_MORPH_LOWER_LIP_SIDES_ELEVATION_TEXT": "HAUTEUR CÔTÉS LÈVRE INFÉRIEURE"
"CUST_WEAR_NORMAL_EXTRA_HIGH_SUSPENDERS": "NORMAL, SUPER HAUT, BRETELLES"
"CUST_ITEM_CF_PSB_LBDY_F_SHORTSHORTS": "SHORT DE TRAÎNÉE"
"CUST_SKIN": "PEAU"
"PLAYER_MORPH_CHEEKBONE_HEIGHT_TEXT": "HAUTEUR DES POMMETTES"
"CUST_TATTOO_LHAND_2": "VIVRE OU..."
"CUST_VARIANT_PATTERN_2_DECALS": "STYLE 2 AVEC IMPRIMÉS"
"CUST_VARIANT_DEFAULT": "PAR DÉFAUT"
"CUST_ITEM_BANDANA_1": "BANDANA"
"CUST_MOVEMENT_TAUNT": "VANNE"
"PLAYER_CREATION_MENU_1": "PRÉRÉGLAGES"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_5": "JAUNE-VERT 5"
"CUST_TATTOO_CHEST_6": "BOUCHE BÉE"
"VEHICLE_PAINT_GANG_SAINTS": "SAINTS"
"DARK_RED": "ROUGE FONCÉ"
"LEVEL_3": "NIVEAU 3"
"LOGO_SPELUNKER_1": "SPÉLÉOLOGUE"
"CUST_ITEM_CM_IMPB_UBDY_M_JLOWSHIRT": "HABILLÉ EN CACHEMIRE"
"CUST_ITEM_FEMALE_LL_EARRINGS_3": "DORMEUSES RAYÉES"
"CUST_GANG_STRIPPER": "STRIP-TEASEUR"
"VEHICLE_PAINT_METAL": "MÉTAL"
"LOGO_WONDERMART_1": "WONDERMART 1"
"CUST_WEAR_TUCKED_HIGH_PANT_NO_SUSPENDERS": "RENTRÉ, HAUT"
"CUST_FINE_TUNING": "VISAGE"
"PLAYER_MORPH_JAW_SPACING_TEXT": "ESPACEMENT DE LA MÂCHOIRE"
"PLAYER_MORPH_EYE_ELEVATION_TEXT": "ÉLÉVATION DES YEUX"
"CUST_COLOR_CLOTHING_ORANGE_3": "ORANGE 3"
"SLOT_RIMS": "JANTES"
"PLAYER_MORPH_NECK_BACK_WIDTH_TEXT": "LARGEUR DE LA NUQUE"
"CUST_COMP_MALE_EYEBROWS_4": "MONOSOURCIL"
"VEHICLE_PAINT_OPAQUE_PAINT": "PEINTURE OPAQUE"
"COMPONENT_OPTION_9": "OPTION 9"
"CUST_VARIANT_BIG_DIAMONDS": "GROS DIAMANTS"
"CUST_ITEM_MALE_PLANETSAINTS_BRIEFS_1": "SLIP DES SAINTS"
"CUST_SKIN_GREEN_1": "DRÔLE DE VERT"
"CUST_RONIN_TAUNT_D": "VANNE RONIN 4"
"PLAYER_MORPH_JOWLS_ELEVATION_TEXT": "HAUTEUR DES MÂCHOIRES"
"WARDROBE_CONTROL_WEAR": "PORTER"
"VEHICLE_PAINT_TRICKED_METALLIC": "MÉTALLIQUE"
"COLOR_SLOT_INTERIOR_AND_SOFTTOP": "INTÉRIEUR ET SOFT-TOP"
"CUST_ITEM_CM_IMPL_UBDY_M_JSHIRT": "VESTE MOD AVEC CHEMISE"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_4": "JAUNE-ORANGE 4"
"CUST_TATTOO_LHAND_6": "CŒUR BRISÉ"
"CUST_COLOR_INDIGO_2": "INDIGO 2"
"CUST_COLOR_PURPLE_3": "VIOLET 3"
"CUST_VARIANT_MATERIAL__16__14_DEFAULT": "CUST_VARIANT_MATERIAL_#16_(14_DEFAULT)"
"CUST_WEAR_CLOSED": "FERMÉ"
"CUST_WEAR_LOW_LEFT_UNZIPPED_RIGHT_UNZIPPED": "OUVERT, BAS"
"CUST_ITEM_LEATHER_LACE_FEMALE_R": "FILLE D'OKTOBERFEST"
"CUST_MENU_PRESETS": "PRÉRÉGLAGES"
"CUST_MORPH_CAT_MOUTH": "BOUCHE"
"PLAYER_MORPH_BODY_TEXT": "CORPS"
"CUST_COLOR_CLOTHING_VIOLET-RED_8": "VIOLET-ROUGE 8"
"CUST_COLOR_CLOTHING_BROWNS_9": "BRUN 9"
"PAINT_1": "PEINTURE 1"
"MALE_SLENDER": "HOMME, MINCE"
"CUST_VARIANT_DRAGON_BOWTIE": "DRAGON"
"CUST_VARIANT_CANVAS": "TOILE"
"CUST_WEAR_U": "U"
"CUST_ITEM_CM_IMPE_UBDY_M_SHIRT": "CHEMISE SOUTH BEACH"
"CUST_ITEM_CF_LPH_FOOT_F_CLSHOES": "CHAUSSURES DE POM-POM GIRL"
"CUST_CAT_NOT_FOR_DEMO": "NOT FOR DEMO"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_1": "JAUNE-VERT 1"
"CUST_TATTOO_CHEST_2": "DRAGON PORTE-BONHEUR"
"COLOR_SLOT_GRILL": "CALANDRE"
"CUST_VARIANT_NEW_EYES": "NOUVEAUX YEUX"
"CUST_ITEM_CF_NLMC_UBDY_M_SHIRT": "HAUT \"CÔTÉ SOMBRE\""
"CUST_ITEM_CM_NLMC_FOOT_M_SHOES": "BASKETS RAVE X"
"CUST_ITEM_CF_IMPQ_FOOT_F_LATEXHEELS": "TALONS DE DIVA"
"STORE_WEAPON_AMMO": "ACHETER MUNITIONS/GRENADES"
"CUST_COMP_FACE_BANDAGE_1": "BANDAGE NEZ"
"CUST_COMP_FACE_MAKEUP_9": "ŒIL AU BEURRE NOIR DROIT"
"VEHICLE_COLOR_ALUMINUM": "ALUMINIUM"
"VEHICLE_PAINT_TIRE_TREAD": "SILLONS PNEUS"
"SLOT_TIRE_DURABILITY_DESC": "Améliore tes pneus pour éviter une crevaison au mauvais moment."
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_4": "PIERRES PRÉCIEUSES"
"PLAYER_CREATION_MENU_5": "CORPS"
"CUST_COLOR_CLOTHING_GREYS_8": "GRIS 8"
"DARK_INDIGO": "INDIGO FONCÉ"
"CUST_VARIANT_POCKET": "POCHE"
"CUST_ITEM_CF_LPC_MASK_F_FEMHEROMASK": "MASQUE DE SUPER-HÉROÏNE"
"CUST_CAT_LEFT_WRIST": "POIGNET GAUCHE"
"CUST_TATTOO_HAND_LEFT": "MAIN GAUCHE"
"PLAYER_MORPH_EAR_ELEVATION_TEXT": "ÉLÉVATION DES OREILLES"
"VEHICLE_COLOR_ACTIVE_RED": "ROUGE VIF"
"CUST_VARIANT_SHOE": "TOILE"
"CUST_WEAR_HIGH_LEFT_ROLLED_RIGHT_UNZIPPED": "Revers G, ouvert D, haut"
"CUST_ITEM_CM_IMPO_LBDY_M_PANTS": "PANTALON BCBG"
"CUST_ITEM_FEMALE_MURDERBRAWL_OUTFIT": "TENUE THREE COUNT (FEMME)"
"CUST_COMPLIMENT_I": "HUE!"
"VEHICLE_COLOR_FRESH_PLUM_PURPLE": "PRUNE"
"VEHICLE_COLOR_PURPLE_DARK_TINT": "TEINTE VIOLET FONCÉ"
"Gray": "GRIS"
"CUST_VARIANT_DIAMONDS": "PETITS DIAMANTS"
"CUST_ITEM_CM_FPIC_EYEBRIGHT": "ANNEAU AU SOURCIL (DROITE)"
"CUST_ITEM_CM_HAIR_SHORTAFRO": "AFRO COURTE"
"CUST_INSULT_F": "FIAJ"
"PLAYER_MORPH_MOUTH_BITE_TEXT": "POSITION DES DENTS"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_RPG_3": "Augmente les dégâts."
"CUST_WPN_UPGRADE_DESC_RIFLE_NG_2": "Augmente la durée des rafales."
"CUST_TATTOO_RCALF_5": "CROIX"
"CUST_TATTOO_LARM_2": "PORTEUR DE LA MORT"
"CUST_COMP_FEMALE_EYEBROWS_2": "EFFILÉ EN ARRIÈRE"
"CUST_ITEM_CM_PSC_EYES_M_HPSGLASS": "LUNETTES DE SOLEIL DE HIPSTER"
"CUST_PRESET_DESTRUCT_WARNING_TEXT": "Le choix d'une présélection annule tous les autres changements effectués précédemment.\n\nContinuer?"
"CUST_SECONDARY_COLOR": "COULEUR SECONDAIRE"
"CUST_WPN_UPGRADE_DESC_SMG_STORM_4": "Les balles perforantes font plus de dégâts et transpercent l'armure."
"CUST_COMP_FACE_MOLE_1": "GRAIN DE BEAUTÉ 1"
"VEHICLE_COLOR_DUST_RED": "OCRE"
"VEHICLE_COLOR_MINT_CHAR_GREEN": "VERT MENTHE"
"CUST_WEAR_NORMAL_EXTRA_HIGH": "NORMAL, SUPER HAUT"
"CUST_ITEM_CM_PSD_FOOT_M_HIPSNEAKERS": "CHAUSSURES \"KOALA\""
"CUST_SKIN_GREY_1": "ALBÂTRE"
"FACIAL_EXPRESSION_SMARMY": "OBSÉQUIEUX"
"PLAYER_MORPH_EARS_YAW_TEXT": "OUVERTURE DES OREILLES"
"PLAYER_MORPH_NOSTRIL_WIDTH_TEXT": "LARGEUR DES NARINES"
"VEHICLE_PAINT_GANG_BROTHERHOOD": "BROTHERHOOD"
"SLOT_HOOD": "CAPOT"
"CUST_ITEM_MALE_NLM_OUTFIT_B": "ANCIEN TAULARD"
"CUST_ITEM_CM_LPC_HAND_M_HEROGLOVES": "GANTS DE HÉROS DE STEELPORT"
"CUST_WPN_UPGRADE_DESC_RIFLE_GANG_3": "Augmente la cadence de tir et la capacité de tes chargeurs."
"RIM_181": "SD WGM TY"
"LOGO_NUMBER8": "NUMÉRO 8"
"LOGO_GHOST_1": "FANTÔME 1"
"CUST_BRO_TAUNT_D": "VANNE BROTHERHOOD 4"
"PLAYER_MORPH_UPPER_LIP_EDGES_LENGTH_TEXT": "LONGUEUR EXTRÉMITÉS LÈVRE SUPÉRIEURE"
"PLAYER_MORPH_EYELID_SLANT_TEXT": "INCLINAISON DES PAUPIÈRES"
"VEHICLE_COLOR_SATIN_BRIGHT_WHITE": "BLANC SATIN CLAIR"
"CUST_ITEM_FEMALE_NLM_OUTFIT_H": "RAVER HIPPIE"
"CUST_COLOR_CLOTHING_VIOLET_7": "VIOLET 7"
"CUST_WEAR_TATTOO_BAND_B": "BANDEAU 2"
