"DROP_SPHERE": "DAI SFERA"
"RADIO_STATION_KRHYME": "KRHYME"
"MAP_ICON_STAIRS": "SCALE"
"GIVE_ALL_WEAPONS": "ARMI"
"MENU_OPTION_CANCEL": "ANNULLA"
"POC2_UPGRADE_CAR": "PERSONALIZZA VEICOLO"
"VCUST_FRONT_AXLE_OPTION": "ASSE ANTERIORE"
"LINGERIE_STORE_NAME": "LEATHER & LACE"
"STORE_WEAPON_STORE_MSG": "COMPRA DELLE ARMI"
"HASH_E632737E": "PERCENTUALE GIOCO COMPLETATA"
"GIVE_ELECTRIC": "RICEVI GRANATA ELETTRICA"
"GIVE_CYBERSMG": "RICEVI CYBER BLASTER"
"CLEAR_SKIES": "TEMPO SERENO"
"VARIANT_ALREADY_OWNED": "Possiedi già questo stile per quest'oggetto."
"CRIB_HUD_HANGAR_NAME": "HANGAR AEROPORTUALE"
"VCUST_PURCHASE_WHEELS_PROMPT": "Vuoi comprare questa configurazione ruote per ${0}?"
"PURCHASEABLE_PROPERTEY_HOSPITAL": "OSPEDALE"
"STAT_MAYHEM_OBJECTS_DESTROYED": "VANDALISMO: NUMERO DI OGGETTI DISTRUTTI"
"STAT_COMBAT_CAR_RESPECT": "RISPETTO OTTENUTO CON UCCISIONI CON AUTO"
"ESCORT_NAME_21A": "TUFFO"
