"DROP_SPHERE": "DAJ KULĘ"
"ESCORT_NAME_29A": "ZASAPANEGO"
"DROP_NFORCER": "DAJ NFORCER"
"DROP_CONDOR": "DAJ CONDOR"
"GIVE_DRONE": "DAJ SAMOLOT BEZZAŁOGOWY REAPER"
"PURCHASEABLE_PROPERTEY_BROTHEL": "DOM SCHADZEK HARANO"
"PURCHASE_TATTOOS_NAME": "KUP TATUAŻ"
"VEHICLE_COLOR_BASIC": "ZAAWANSOWANE"
"MENU_TITLE_INSUFFICIENT_FUNDS": "ZA MAŁO PIENIĘDZY"
"STORE_TEXT_INSUFFICIENT_FUNDS_BLANK": "Masz za mało pieniędzy, by to kupić."
"STAT_TAUNTING_TOTAL_GANG_MEMBERS_TAUNTED": "LICZBA WYDRWIONYCH CZŁONKÓW GANGU"
"STAT_TAUNTING_TOTAL_COMPLIMENTS_GIVEN": "LICZBA WYKONANYCH KOMPLEMENTÓW"
"ESCORT_NAME_39_B": "GŻDACZA"
"HEAVY_RAIN": "MOCNY DESZCZ"
"EVIL_CARS": "ZŁE SAMOCHODY"
"STORE_RESPECT": "SZACUN +{0}"
"STORE_SELECT_BUILD": "WYBIERZ BUDOWĘ CIAŁA"
"RUSTY_NEEDLE_NAME": "ZARDZEWIAŁA IGŁA"
"STAT_LUCHADORES_KILLED": "ZABICI LUCHADORES"
"STAT_DRIVING_BAILOUT": "WYSKOKI ZZA KÓŁKA"
"STATS_NONE": "BRAK"
"ESCORT_NAME_27A": "SZALONEGO"
"DEMO_FREEPLAY": "SWOBODNA GRA"
"CONTROL_SCROLL_LIST": "PRZEWIŃ LISTĘ"
"Gang_Saints": "ŚWIĘCI Z 3. ULICY"
"DROP_ANCHOR": "DAJ ANCHOR"
"TIME_SET_MIDNIGHT_DESC": "Ustawia czas na północ."
"GIVE_WEAPON_DESC": "Dodaje tę broń do twoich klamotów."
"WPNSTOR_TEXT_CRIB_TAKE_BLANK_FULL": "Czy chcesz wziąć \"%s\" z chaty?"
"TATTOO_INSUFFICIENT_FULL": "Masz za mało pieniędzy, by zrobić sobie \"%s\" na części ciała: %s."
"CUST_BROWSER_TITLE": "PRZEGLĄDARKA MODYFIKACJI"
"HORDE_MODE_QUIT_TEXT": "Czy na pewno chcesz wyjść?\n(Obaj gracze zakończą grę w trybie hordy.)"
"STAT_MAX_WRONG_WAY_DISTANCE": "NAJDŁUŻSZY CZAS JAZDY PRZECIWNYM PASEM"
"STAT_PEOPLE_RUN_OVER": "PRZEJECHANI LUDZIE"
"STAT_AERIAL_STUNTS_FOUND": "ZNALEZIONE AKROBACJE LOTNICZE"
"PLAYER_CREATION_ABOUT_TO_REVERT": "Czy chcesz usunąć te zmiany?"
"DROP_VULTURE": "DAJ VULTURE"
"STORE_SKINNY": "SZCZUPŁA {0}%%%%"
"GARAGE_RETRIEVE_VEHICLE": "WYPROWADŹ"
"COMPLETION_EXIT_STRONGHOLD_CONFIRMATION": "Czy na pewno chcesz opuścić fortecę?"
"GANG_CUST_GANG_SIGN_OPT": "ZNAK"
"STORE_NOT_AVAILABLE": "NIEDOSTĘPNE"
"VEHICLE_FREE": "DARMO"
"STAT_COOP_MISSIONS_COMPLETED": "WSPÓŁPRACA: LICZBA UKOŃCZONYCH MISJI"
"STAT_COMBAT_NUTSHOT_RESPECT": "SZACUN ZDOBYTY NA STRZAŁACH W JAJA"
"ESCORT_NAME_25A": "MŚCIWEGO"
"CUST_GANG_NAME_NINJA": "NINJA"
"GIVE_KOBRA": "DAJ KA-1 KOBRA"
"DROP_PHOENIX": "DAJ PHOENIX"
"EVIL_CARS_2": "ZŁE SAMOCHODY 2"
"COSTUME_NAME": "UDAWAJMY"
"HAIR_CAT_NONE": "BRAK"
"STAT_PHOTO_OP_FOUND": "ZNALEZIONE SESJE ZDJĘCIOWE"
"STATS_DISTANCE_METERS": "%0.2f m."
"STAT_HOLDUP_ROBBED": "OBRABOWANE SKLEPY"
"Max Notoriety Col1_NAME": "RANKING KOSY"
"SPActivity": "ROZGRYWKA: {C10} AKCJA: {C3}"
"HASH_CC9E7A7D": "ZNAK ŚMIERCI: CZAS GRY"
"PLAYER_CREATION_NEW_PRESET_FULL": "Wybranie nowego zestawu anuluje wszelkie dokonane zmiany!"
"HUD_SHOP_NO_WEAPONS": "Nie masz broni."
"VCUST_TIRES_TITLE": "OPONY"
"PURCHASEABLE_PROPERTEY_CHOP": "ZAKŁAD SAMOCHODOWY DAVILI"
"STAT_VEHICLE_WATERCRAFT": "JEDNOSTKI PŁYWAJĄCE"
"STAT_HUMAN_TORCH_BONUS_EARNED": "WYPALANIE SZLAKU: ZDOBYTY PREMIOWY CZAS"
"STAT_MAX_DRIVER_BAILOUT_DISTANCE": "NAJDŁUŻSZY WYSKOK ZZA KÓŁKA"
"ESCORT_NAME_23A": "WONNEGO"
"RADIO_STATION_KRHYME": "KRHYME"
"MAP_ICON_STAIRS": "SCHODY"
"GIVE_ALL_WEAPONS": "BROŃ"
"MENU_OPTION_CANCEL": "ANULUJ"
"POC2_UPGRADE_CAR": "MODYFIKUJ POJAZD"
"VCUST_FRONT_AXLE_OPTION": "PRZEDNIA OŚ"
"LINGERIE_STORE_NAME": "SKÓRA I KORONKA"
"STORE_WEAPON_STORE_MSG": ", BY KUPIĆ BROŃ"
"HASH_E632737E": "PROCENT GRY UKOŃCZONY"
"GIVE_ELECTRIC": "DAJ GRANAT ELEKTRYCZNY"
"GIVE_CYBERSMG": "DAJ CYBERMIOTACZ"
"CLEAR_SKIES": "CZYSTE NIEBO"
"VARIANT_ALREADY_OWNED": "Już posiadasz ten styl ubioru."
"CRIB_HUD_HANGAR_NAME": "HANGAR NA LOTNISKU"
"VCUST_PURCHASE_WHEELS_PROMPT": "Czy chcesz kupić ten zestaw kół za ${0}?"
"PURCHASEABLE_PROPERTEY_HOSPITAL": "SZPITAL"
"STAT_MAYHEM_OBJECTS_DESTROYED": "CHAOS: LICZBA ZNISZCZONYCH OBIEKTÓW"
"STAT_COMBAT_CAR_RESPECT": "SZACUN ZDOBYTY NA ZABÓJSTWACH CZŁONKÓW GANGU Z SAMOCHODU"
"ESCORT_NAME_21A": "BRUNATNEGO"
