"CUST_ITEM_CF_HAIR_MED": "POR EL HOMBRO"
"CUST_ITEM_CM_CNC_UBDY_M_LOGOB": "CAMISETA B CROOKS & CASTLES"
"CUST_ITEM_SHORT_SOCKS": "ZAPATOS DE PAPÁ"
"CUST_ITEM_BIKER_BOOTS_3": "ZAPATILLAS DE DÍA DE VAGANCIA"
"CUST_TATTOO_RIGHT_LEG": "PIERNA DERECHA"
"FACIAL_EXPRESSION_SAD": "TRISTE"
"PLAYER_MORPH_MIDDLE_BROW_ELEVATION_TEXT": "ALTURA MEDIA CEJA"
"CUST_COMP_EYE_MAKEUP_15": "REINA DEL NILO"
"CUST_COLOR_BLEACHED_BLONDE": "PLATINO"
"CUST_VARIANT_17_DEFAULT": "ESTILO 2"
"CUST_ITEM_CM_MOCAP_SUIT_M_MOCAP": "CAPTURA DE MOVIMIENTOS"
"CUST_ITEM_FEMALE_LP_UNDWEAR_1": "TANGA DE JUERGA"
"PRESET_WARNING_HEADING": "ATENCIÓN"
"CUSTOM_WALK_MALE": "VARÓN PREDETERMINADO"
"PLAYER_MORPH_EYE_SPACING_TEXT": "DISTANCIA OJOS"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_9": "VERDE AMARILLENTO 9"
"CUST_TATTOO_RHAND_1": "CUATRO CALAVERAS"
"Chin": "BARBILLA"
"CUST_PRESET_SEX": "SEXO"
"CUST_COMP_FACE_MAKEUP_1": "TODO CUBIERTO"
"VEHICLE_COLOR_GOLD": "ORO"
"CUST_VARIANT_JERSEY_2": "ESTILO 2"
"CUST_VARIANT_STRIPESA": "RAYAS 1"
"CUST_SKIN_HISPANIC_01": "HISPANO 1"
"CUST_TATTOO_FACE_6": "MARIPOSA"
"SLOT_RIM_COLOR": "COLOR DE LLANTAS"
"DARK_PINK": "ROSA OSCURO"
"LOGO_BROTHERHOOD_1": "BROTHERHOOD 1"
"CUST_SKIN_PURPLE_5": "MORADO"
"CUSTOM_WALK_16": "MATÓN ESTILO 11"
"CUST_MENU_FINE_TUNING": "CARA"
"CUST_COLOR_CLOTHING_BROWNS_1": "MARRÓN 1"
"CUST_COMP_MUSTACHE_16": "EJECUTIVO"
"COMPONENT_DECAL_3": "PEGATINA 3"
"CUST_VARIANT_LEOPARD_1": "LEOPARDO 1"
"CUST_ITEM_CM_CNC_UBDY_M_VARJACKET": "CHAQUETA DEPORTIVA CROOKS & CASTLES"
"CUST_SKIN_BLACK_06": "NEGRO F"
"PLAYER_MORPH_BROW_ANGLE_TEXT": "ÁNGULO DE CEJAS"
"LOGO_STALLA_1": "STALLAGERIFFIC"
"CUST_ITEM_CF_RING_F_GOTHSET": "SORTIJAS DEL LÍMITE DEL MAL"
"CUST_ITEM_CF_RING_F_SMHEART": "PEQUEÑO CORAZÓN ENGARZADO"
"CUST_INSULT_N": "VOGUE"
"PLAYER_MORPH_SLOPE_ELEVATION_TEXT": "ALTURA SESGO"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_STAG_2": "Aumenta la cadencia de fuego y el daño. La mira de punto rojo mejora la precisión al apuntar."
"CUST_TATTOO_LUPPARM_8": "TODO SOBRE EL MAQUEO"
"VEHICLE_COLOR_SEAFOAM_TEAL": "VERDE AZULADO ESPUMA DE MAR"
"CRAZY_1": "LOCO 1"
"CUST_ITEM_CF_RING_F_DMNDNAILS": "LAS SUPREME"
"CUSTOM_WALK_FEMALE_4": "CHULA"
"CUST_COMP_CHEEK_MAKEUP_6": "NOCHE PARA RECORDAR"
"SURGEON_CAT_BODY": "CUERPO"
"CUST_TATTOO_LCALF_2": "GANCHO DE IZQUIERDA"
"CUST_VARIANT_POLKA_DOTS": "A TOPOS"
"CUST_VARIANT_MED_TRI_COLOR": "TRICOLOR MEDIANO"
"CUST_ITEM_FEMALE_LETSPRETEND_OUTFIT_C": "HEROÍNA DE STEELPORT"
"CUST_ITEM_CM_LPC_UBDY_M_HEROSHIRT": "CAMISA DE HÉROE DE STEELPORT"
"CUST_COMPLIMENT_A": "LA EXPERIENCIA"
"SURGEON_STORE_NAME_1": "IMAGE AS DESIGNED"
"CUST_WPN_UPGRADE_DESC_PISTOL_GANG_4": "Las balas explosivas sorprenden a tus enemigos."
"CUST_COMP_EYE_MAKEUP_2": "MANCHA IZQUIERDA"
"RIM_189": "C-X 503"
"LOGO_SKEETERS_6": "SKEETERS 6"
"CUST_VARIANT_BRA_1": "LUNARES"
"CUST_VARIANT_WILD": "SALVAJE"
"CUST_ITEM_CF_NLMD_UBDY_F_SHIRT": "CAMISETA ROCKERA"
"CUST_COMPLIMENT_CC": "GRITO UOH"
"SLOT_RIGHT_SIDE": "LADO DERECHO"
"SLOT_TAILS": "COLAS"
"CUST_WEAR_TUCKED_BUTTONED_EXTRA_HIGH_PANT_NO_SUSPENDERS": "POR DENTRO, ABROCHADO, EXTRA ALTO, SIN TIRANTES"
"CUST_WEAR_TUCKED_BUTTONED": "POR DENTRO, ABROCHADO"
"CUST_ITEM_CM_IMPN_UBDY_M_UNBUTTONED": "CAMISA ABIERTA DE VESTIR MODERN"
"CUST_ITEM_CM_IMPM_EYES_M_SUNGLASSES": "GAFAS DE SOL KABANA"
"PLAYER_MORPH_MOUTH_SHAPE_TEXT": "FORMA BOCA"
"CUST_TATTOO_RFORARM_8": "ARMADO Y PELIGROSO"
"CUST_TATTOO_UPPBACK_7": "DRAMATIS PERSONAE"
"CUST_COMP_FACE_MOLE_9": "LUNAR 9"
"LOCALIZE_NONE": "NINGUNO"
"RALLY_2": "RALLY 2"
"MALE_EMACIATED": "VARÓN DEMACRADO"
"LOGO_VIRAL_1": "VIRAL 1"
"CUST_VARIANT_2STRIPE": "2 RAYAS"
"CUST_VARIANT_SMALL_STRIPE": "RAYAS FINAS"
"CUST_VARIANT_STEEL": "ACERO"
"SLOT_ROOF_LIGHTS": "LUCES SUPERIORES"
"DARK_ORANGE": "NARANJA OSCURO"
"CUST_ITEM_FEMALE_LL_UNDWEAR_1": "SELVA DE NEÓN"
"COLOR_SLOT_PAINT_1_AND_PAINT_3": "PINTURA 1 Y PINTURA 3"
"CUST_VARIANT_PLATINUM": "PLATINO"
"CUST_SKIN_OILED_2": "ASIÁTICO ACEITADO 1"
"PLAYER_MORPH_EYE_SIZE_TEXT": "TAMAÑO DE OJOS"
"PLAYER_MORPH_BOTTOM_LIP_MIDDLE_SIZE_TEXT": "TAMAÑO MEDIO LABIO INFERIOR"
"RIM_SPORTS": "DEPORTIVO"
"CUST_ITEM_CF_NLMD_FOOT_F_CANVASSHOES": "ZAPATILLAS DE TELA"
"CUST_ITEM_CM_LPG_MASK_M_MASKLAMB": "MÁSCARA DE CORDERO"
"CUST_INSULT_J": "BBBJ"
"CUST_TATTOO_LCALF_6": "HOMBRE DE TRIBU"
"VEHICLE_COLOR_INSANE_RED": "ROJO DEMENTE"
"CUST_ITEM_FEMALE_NLM_EARRINGS_4": "PENDIENTES NECESITO SANGRAR"
"CUST_ITEM_FEMALE_LETSPRETEND_OUTFIT_G": "VAQUERA SEXY"
"CUST_ITEM_CM_LPE_LBDY_M_MPANTS": "PANTALONES DE BATALLÓN"
"CUST_ITEM_CM_LLA_UBDY_M_GIMPSHIRT": "CAMISA DE CHICO MALO"
"CUST_ITEM_CM_PSG_FOOT_M_SNEAKERS": "KICKS"
"CUST_COMPLIMENT_E": "EL AMIGO"
"PLAYER_MORPH_BODY_FAT_TEXT": "GORDURA"
"PLAYER_MORPH_SKULL_TOP_HEIGHT_TEXT": "ALTURA CORONA"
"CUST_COLOR_CLOTHING_GREYS_4": "GRIS 4"
"CUST_WPN_UPGRADE_DESC_GRENADE_FLASHBANG_3": "Lanza más lejos."
"CUST_GANG_NINJA": "NINJA"
"CUST_COMP_CHEEK_MAKEUP_2": "SUPERMODELO"
"COMPONENT_ADD_REINFORCED_BUMPER": "PARACHOQUES REFORZADO"
"CUST_ITEM_CF_HAIR_SPACEGIRL": "CIENCIA FICCIÓN"
"CUST_ITEM_CF_IMPN_FOOT_F_SANDALS": "TACONES DE ALTURA"
"CUST_TATTOO_UPPER_LEG_LEFT": "PIERNA IZQUIERDA SUPERIOR"
"PLAYER_MORPH_SKULL_TOP_ELEVATION_TEXT": "ALTURA CORONA"
"CUST_ITEM_FEMALE_NLM_OUTFIT_D": "NIÑA INDIE"
"CUST_ITEM_CF_LPG_LBDY_F_SHORTSCHAPS": "VAQUERA SEXY"
"CUST_ITEM_CM_LLN_LBDY_M_WLPANTS": "PANTALONES DIVA DE DISCO"
"CUST_ITEM_CM_LLB_FOOT_M_LTHRBOOTS": "BOTAS DE CUERO BONDAGE"
"CUST_COMP_EYE_MAKEUP_6": "UN POCO POR ENCIMA"
"LOGO_NUMBER4": "NÚMERO 4"
"LOGO_SKEETERS_2": "SKEETERS 2"
"CUST_ITEM_CF_LLI_UBDY_F_TUBETOP": "TOP AJUSTADO"
"CUST_VARIANT_SPORT_SHOE": "CALZADO DEPORTIVO"
"CUST_ITEM_FEMALE_LL_UNDWEAR_5": "TANGA TE ENSEÑO MI AMOR"
"CUST_VOICE_FEMALE_ASIAN": "MUJER 1"
"CUST_WPN_UPGRADE_DESC_RIFLE_STAG_3": "Aumenta la cadencia de fuego. El cañón más largo ayuda a reducir el aumento de retroceso."
"CUST_TATTOO_UPPBACK_3": "GÁNSTER ESPACIAL"
"COLOR_SLOT_PAINT_1_AND_RIMS_2": "PINTURA 1 Y LLANTAS 2"
"CUST_TATTOO_LOWBACK_1": "RECUERDA A LOS CAÍDOS"
"CUST_COLOR_FLESH_1": "CARNE 1"
"CUST_VARIANT_ULTORSHIRT": "ULTOR"
"CUST_WEAR_LOW_LEFT_ZIPPED_RIGHT_ROLLED": "DERECHA ENROLLADO, BAJO"
"RIM_SET_007": "JUEGO DE LLANTAS 7"
"VEHICLE_PAINT_MILITARY": "MILITAR"
"COMPONENT_OPTION_5": "OPCIÓN 5"
"LOGO_DOGFIGHT": "¡Pelea de perros!"
"CUST_VARIANT_BALD": "CALVO"
"CUST_ITEM_CM_DECKERSUIT": "EL DECKER"
"CUSTOM_WALK_6": "VARÓN PREDETERMINADO 2"
"CUST_COMP_EYE_MAKEUP_11": "ESTILO OSCURO"
"CUST_VARIANT_SKIRTC": "ESTILO 1"
"CUST_VARIANT_TRICOLOR": "TRICOLOR"
"CUST_VARIANT_SUEDESUEDE": "ANTE"
"CUST_ITEM_CM_FPIC_SETB": "PENDIENTES EN CEJA DCHA. Y NARIZ"
"PLAYER_MORPH_EAR_LONGITUDE_TEXT": "LONGITUD DE OREJAS"
"CUST_WPN_UPGRADE_DESC_SPECIAL_STRIKE_3": "Más velocidad al apuntar y más munición."
"CUST_TATTOO_NECK_5": "OSITO DE PELUCHE"
"CUST_WEAR_LOW_BOTH_ROLLED": "ENROLLADOS BAJOS"
"CUST_ITEM_IMPRESSIONS_FEMALE_N": "ESTILO MOD"
"CUST_ITEM_CM_HAIR_SIDEPARTMED1": "CORTO Y A LA IZQUIERDA"
"CUST_OPACITY_SLIDER": "OPACIDAD"
"CUST_MORPH_CAT_BROW": "CEJAS"
"LETS_PRETEND_NAME": "LET'S PRETEND"
"CUST_COMP_FACE_MAKEUP_5": "SIN DORMIR"
"CUST_VARIANT_PIMPCOAT_LEOPARD2": "LEOPARDO 2"
"CUST_ITEM_CM_NECK_LL_HEART": "COLLAR DE PROMESA"
"CUST_ITEM_CM_HAIR_COMBOVER": "EL MONJE"
"CUST_ITEM_CM_LLO_LBDY_M_SBLPANTS": "PANTALONES DE POCKET ROCKET"
"CUST_ITEM_DANE_S_HAIR": "PINZA DE MARIPOSA"
"CUST_SKIN_HISPANIC_05": "HISPANO 5"
"CUST_TATTOO_RHAND_5": "MÁQUINA DEL AMOR"
"LOGO_SHARKS_TEXT_2": "TEXTO SHARKS 2"
"CUST_VARIANT_FISHNET_1": "RED DE PESCA 1"
"CUST_ITEM_CM_NECK_FLEURDELIS": "CADENA DE FLOR DE LOS SAINTS"
"CUST_ITEM_CM_CNC_HAT_M_CAP": "GORRA DE BÉISBOL CROOKS & CASTLES"
"CUST_ITEM_CF_LLI_FOOT_F_STUDDEDHEALS": "SANDALIAS REBELDES"
"CUST_ITEM_CM_HAIR_SIDESPIKED": "ANIME"
"CUST_RONIN_COMPLIMENT_B": "CUMPLIDO DE LOS RONIN 2"
"PLAYER_MORPH_BROW_ARCH_TEXT": "ARCO CEJAS"
"CUST_COLOR_CLOTHING_VIOLET-RED_4": "ROJO VIOLETA 4"
"CUST_COLOR_CLOTHING_BROWNS_5": "MARRÓN 5"
"Component_Paint": "PINTURA"
"COMPONENT_DECAL_7": "PEGATINA 7"
"CUST_WEAR_HIGH": "ALTO"
"CUST_RACE_BLACK": "NEGRO"
"CUST_SKIN_BLACK_02": "AFROAMERICANO 2"
"PLAYER_MORPH_CHIN_ELEVATION_TEXT": "ELEVACIÓN BARBILLA"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_8": "NARANJA AMARILLENTO 8"
"CUST_TATTOO_FACE_2": "CUANDO LOS SANTOS LLORAN"
"CUST_VARIANT_BABYT": "CAMISETA INFANTIL"
"CUST_ITEM_CM_POLICESUIT": "UNIFORME DE POLI"
"CUST_SKIN_PURPLE_1": "MORADO PROFUNDO"
"CUSTOM_WALK_12": "TIPO GÁNGSTER"
"PLAYER_MORPH_NECK_BACK_DEPTH_TEXT": "PROFUNDIDAD NUCA"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_GANG_2": "Aumenta el tamaño de tus cargadores. Añade un segundo cañón para causar más daño."
"COMPONENT_OPTION_10": "OPCIÓN 10"
"CUST_VARIANT_MATERIAL_4": "CUST_VARIANT_MATERIAL#4"
"CUST_VARIANT_BIKER_1": "MOTORISTA 1"
"CUST_ITEM_FEMALE_PS_EARRINGS_4": "AROS PLANET SAINTS"
"CUST_ITEM_CF_LPG_UBDY_F_SHIRT": "ESTILO VAQUERA"
"CUST_ITEM_CF_PSG_LBDY_F_GFXJEANS": "VAQUEROS QUE NI PINTADOS"
"CUST_COMPLIMENT_M": "EL NINJA"
"COMPONENT_LOW_PROFILE": "PERFIL BAJO"
"LOGO_MIX": "THE MIX 107.77"
"CUST_VARIANT_2_COLOR": "BICOLOR"
"CUST_VARIANT_STRIPES_4": "RAYAS 4"
"CUST_VARIANT_SOLID": "SÓLIDO"
"CUST_WEAR_BACK RIGHT": "ATRÁS DERECHA"
"CUST_WPN_UPGRADE_DESC_SMG_GANG_3": "El supresor aumenta el daño y reduce el retroceso."
"CUST_TATTOO_RCALF_1": "ECHEN LAS ANCLAS"
"CUST_TATTOO_LARM_6": "ATRAPADO EN LA RED"
"CUST_TATTOO_LUPPARM_4": "ENCANTADOR DE SERPIENTES"
"VEHICLE_PAINT_PRECIOUS_METAL": "METALIZADO PRECIOSO"
"HAIR_COLOR_BRUNETTE_MATTE": "CASTAÑO MATE"
"HAIR_COLOR_AUBURN_MATTE": "CAOBA MATE"
"HAIR_COLOR_WHITE": "BLANCO"
"CUST_VARIANT_BLOOD": "SANGRE"
"CUST_ITEM_CF_IMPR_UBDY_F_SHIRTLOW": "CHALECO HILLS DE MAGO"
"CUST_ITEM_FEMALE_NLM_UNDWEAR_2": "TANGA DE FIESTA"
"CUST_ITEM_CM_NLMD_EAR_M_EARRING": "PENDIENTES PUNKI"
"LOGO_420": "103.6 Four 20"
"CUST_VARIANT_MATERIAL__17": "CUST_VARIANT_MATERIAL_#17"
"CUST_ITEM_CM_HAIR_RECEDINGPEAK": "GORRA CON PLUMA"
"CUST_INSULT_B": "DANIEL-SAN"
"PLAYER_MORPH_LOBES_SIZE_TEXT": "TAMAÑO LÓBULOS"
"VEHICLE_COLOR_KABUKI_RED": "ROJO KABUKI"
"CUST_ITEM_CM_IMPM_LBDY_M_SHORTS": "BERMUDAS KABANA"
"CUST_CHOOSE_CHARACTER": "PERSONALIZAR PERSONAJE"
"PLAYER_MORPH_EYELID_LOOK_TEXT": "ASPECTO DE PÁRPADOS"
"CUST_TATTOO_RFORARM_4": "SANGRE FRÍA"
"CUST_COMP_FACE_MOLE_5": "LUNAR 5"
"COLOR_SLOT_PAINT_AND_TRIM": "PINTURA Y EMBELLECEDOR LATERAL"
"FEMALE_OVERWEIGHT": "MUJER CON SOBREPESO"
"CUST_SKIN_GREY_5": "ÓNICE"
"RIM_DEEP_DISH": "DEEP DISH"
"SLOT_HUBCAPS_REAR": "TAPACUBOS TRASEROS"
"SLOT_WINDOW_TINT": "TINTE DE VENTANA"
"BRIGHT_BLUE": "AZUL BRILLANTE"
"HAIR_Black": "NEGRO"
"LOGO_SRAIR": "SR AIR"
"PLAYER_CREATION_PRESET_BLACK": "AFROAMERICANO"
"VEHICLE_COLOR_CHROME": "CROMO"
"RIM_185": "V-F 604"
"SLOT_WEAPON_2": "ARMA 2"
"LOGO_CARDS": "TARJETAS"
"CUST_ITEM_CF_DLC_SPACE_OUTFIT": "PRINCESA ESPACIAL"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHIRT": "ROPA HILLS INFORMAL"
"CUST_COLOR_CLOTHING_ORANGE_7": "NARANJA 7"
"CUST_WPN_UPGRADE_DESC_GRENADE_MOLOTOV_4": "Aumenta el daño."
"CUST_COMP_EYE_MAKEUP_19": "SIEMPRE ALERTA"
"CUST_ITEM_CM_NLMC_RWRST_M_WRISTBANDS": "BRAZALETE BRILLANTE DE RAVE X"
"CUST_ITEM_CM_LLA_HAT_M_GIMPMASK": "MÁSCARA DE SAFEWORD"
"PLAYER_MORPH_BODY_MUSCLE_TEXT": "MUSCULATURA"
"PLAYER_MORPH_LUMINOSITY_TEXT": "LUMINOSIDAD"
"LOGO_STEER": "AYUDANTES CELESTIALES"
"CUST_VARIANT_SMOKED": "VISERA CASCO"
"CUST_ITEM_CF_NLMB_RWRST_F_WRISTBAND": "MUÑEQUERA DE ANARQUISTA"
"CUST_COMPLIMENT_APPROVAL": "APROBACIÓN"
"CUST_VOICE_MALE_WHITE": "VARÓN 1"
"COLOR_SLOT_MECHANICAL": "MECÁNICA"
"COMPONENT_DECAL_10": "PEGATINA 10"
"CUST_VARIANT_THICKSTRIPES": "RAYAS GRUESAS"
"CUST_VARIANT_ZEBRA": "CEBRA"
"CUST_ITEM_CM_IMPB_UBDY_M_JTURTLENECK": "CENA EN PARÍS"
"CUST_ITEM_CF_NLMH_LWRST_F_WRISTBANDS": "BRAZALETES DE FIESTA"
"CUST_ITEM_CF_HAIR_M_LONGUP-01": "RECOGIDO DE ÉPOCA"
"CUST_SKIN_GREEN_5": "VERDE MENTA"
"PLAYER_MORPH_LOWER_LIP_SIDES_ELEVATION_TEXT": "ALTURA LADO LABIO INFERIOR"
"CUST_WEAR_NORMAL_EXTRA_HIGH_SUSPENDERS": "NORMAL, EXTRA ALTO, TIRANTES"
"CUST_ITEM_CF_PSB_LBDY_F_SHORTSHORTS": "PANTALONES DE GUARRILLA"
"CUST_SKIN": "PIEL"
"PLAYER_MORPH_CHEEKBONE_HEIGHT_TEXT": "ALTURA DE PÓMULOS"
"CUST_TATTOO_LHAND_2": "VIVE O..."
"CUST_VARIANT_PATTERN_2_DECALS": "ESTILO 2 CON PEGATINAS"
"CUST_VARIANT_DEFAULT": "PREDETERMINADO"
"CUST_ITEM_BANDANA_1": "EL BANDIDO"
"CUST_MOVEMENT_TAUNT": "PROVOCACIÓN"
"PLAYER_CREATION_MENU_1": "PREDEFINIDOS"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_5": "VERDE AMARILLENTO 5"
"CUST_TATTOO_CHEST_6": "BIEN ABIERTA"
"VEHICLE_PAINT_GANG_SAINTS": "SAINTS"
"DARK_RED": "ROJO OSCURO"
"LEVEL_3": "NIVEL 3"
"LOGO_SPELUNKER_1": "SPELUNKER'S"
"CUST_ITEM_CM_IMPB_UBDY_M_JLOWSHIRT": "VESTIDO DE CACHEMIRA"
"CUST_ITEM_FEMALE_LL_EARRINGS_3": "PENDIENTES A RAYAS"
"CUST_GANG_STRIPPER": "STRIPPER"
"VEHICLE_PAINT_METAL": "METALIZADO"
"LOGO_WONDERMART_1": "WONDERMART 1"
"CUST_WEAR_TUCKED_HIGH_PANT_NO_SUSPENDERS": "POR DENTRO, ALTO"
"CUST_FINE_TUNING": "CARA"
"PLAYER_MORPH_JAW_SPACING_TEXT": "DISTANCIA MANDÍBULA"
"PLAYER_MORPH_EYE_ELEVATION_TEXT": "ELEVACIÓN OJOS"
"CUST_COLOR_CLOTHING_ORANGE_3": "NARANJA 3"
"SLOT_RIMS": "LLANTAS"
"PLAYER_MORPH_NECK_BACK_WIDTH_TEXT": "ANCHURA NUCA"
"CUST_COMP_MALE_EYEBROWS_4": "UNICEJO"
"VEHICLE_PAINT_OPAQUE_PAINT": "PINTURA OPACA"
"COMPONENT_OPTION_9": "OPCIÓN 9"
"CUST_VARIANT_BIG_DIAMONDS": "DIAMANTES GRANDES"
"CUST_ITEM_MALE_PLANETSAINTS_BRIEFS_1": "CALZONCILLOS DE LOS SAINTS"
"CUST_SKIN_GREEN_1": "GIGANTE VERDE"
"CUST_RONIN_TAUNT_D": "PROVOCACIÓN DE LOS RONIN 4"
"PLAYER_MORPH_JOWLS_ELEVATION_TEXT": "ALTURA MANDÍBULA INFERIOR"
"WARDROBE_CONTROL_WEAR": "PONERSE"
"VEHICLE_PAINT_TRICKED_METALLIC": "TRUCADO METALIZADO"
"COLOR_SLOT_INTERIOR_AND_SOFTTOP": "INTERIOR Y TECHO DE LONA"
"CUST_ITEM_CM_IMPL_UBDY_M_JSHIRT": "CHAQUETA CON CAMISA"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_4": "NARANJA AMARILLENTO 4"
"CUST_TATTOO_LHAND_6": "CORAZÓN ROTO"
"CUST_COLOR_INDIGO_2": "AÑIL 2"
"CUST_COLOR_PURPLE_3": "MORADO 3"
"CUST_VARIANT_MATERIAL__16__14_DEFAULT": "CUST_VARIANT_MATERIAL_#16_(14_DEFAULT)"
"CUST_WEAR_CLOSED": "CERRADO"
"CUST_WEAR_LOW_LEFT_UNZIPPED_RIGHT_UNZIPPED": "CREM. BAJADA, BAJOS"
"CUST_ITEM_LEATHER_LACE_FEMALE_R": "CHICA OKTOBERFEST"
"CUST_MENU_PRESETS": "PREDEFINIDOS"
"CUST_MORPH_CAT_MOUTH": "BOCA"
"PLAYER_MORPH_BODY_TEXT": "CUERPO"
"CUST_COLOR_CLOTHING_VIOLET-RED_8": "ROJO VIOLETA 8"
"CUST_COLOR_CLOTHING_BROWNS_9": "MARRÓN 9"
"PAINT_1": "PINTURA 1"
"MALE_SLENDER": "VARÓN ESBELTO"
"CUST_VARIANT_DRAGON_BOWTIE": "DRAGÓN"
"CUST_VARIANT_CANVAS": "LONETA"
"CUST_WEAR_U": "U"
"CUST_ITEM_CM_IMPE_UBDY_M_SHIRT": "CAMISA DE SOUTH BEACH"
"CUST_ITEM_CF_LPH_FOOT_F_CLSHOES": "ZAPATILLAS DE ¡ARRIBA, CHICOS!"
"CUST_CAT_NOT_FOR_DEMO": "NOT FOR DEMO"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_1": "VERDE AMARILLENTO 1"
"CUST_TATTOO_CHEST_2": "DRAGÓN DE LA SUERTE"
"COLOR_SLOT_GRILL": "REJILLA"
"CUST_VARIANT_NEW_EYES": "OJOS NUEVOS"
"CUST_ITEM_CF_NLMC_UBDY_M_SHIRT": "CAMISETA LADO OSCURO"
"CUST_ITEM_CM_NLMC_FOOT_M_SHOES": "ZAPATILLAS DE RAVE X"
"CUST_ITEM_CF_IMPQ_FOOT_F_LATEXHEELS": "TACONES DE DIVA"
"STORE_WEAPON_AMMO": "COMPRAR MUNICIÓN/GRANADAS"
"CUST_COMP_FACE_BANDAGE_1": "TIRITA EN LA NARIZ"
"CUST_COMP_FACE_MAKEUP_9": "OJO MORADO DERECHO"
"VEHICLE_COLOR_ALUMINUM": "ALUMINIO"
"VEHICLE_PAINT_TIRE_TREAD": "DIBUJO DE NEUMÁTICO"
"SLOT_TIRE_DURABILITY_DESC": "Mejora los neumáticos para evitar un pinchazo en el peor momento."
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_4": "PENDIENTES DE GEMA"
"PLAYER_CREATION_MENU_5": "CUERPO"
"CUST_COLOR_CLOTHING_GREYS_8": "GRIS 8"
"DARK_INDIGO": "AÑIL OSCURO"
"CUST_VARIANT_POCKET": "BOLSILLO"
"CUST_ITEM_CF_LPC_MASK_F_FEMHEROMASK": "MÁSCARA DE SUPERHEROÍNA"
"CUST_CAT_LEFT_WRIST": "MUÑECA IZQUIERDA"
"CUST_TATTOO_HAND_LEFT": "MANO IZQUIERDA"
"PLAYER_MORPH_EAR_ELEVATION_TEXT": "ELEVACIÓN DE OREJAS"
"VEHICLE_COLOR_ACTIVE_RED": "ROJO ACTIVO"
"CUST_VARIANT_SHOE": "LONETA"
"CUST_WEAR_HIGH_LEFT_ROLLED_RIGHT_UNZIPPED": "Iz. enrollado, der. crem. bajada, altos"
"CUST_ITEM_CM_IMPO_LBDY_M_PANTS": "PANTALONES DE NIÑO PIJO"
"CUST_ITEM_FEMALE_MURDERBRAWL_OUTFIT": "TRAJE DE MUJER DE 3 COUNT"
"CUST_COMPLIMENT_I": "¡ARRE!"
"VEHICLE_COLOR_FRESH_PLUM_PURPLE": "MORADO CIRUELA FRESCA"
"VEHICLE_COLOR_PURPLE_DARK_TINT": "TINTE MORADO OSCURO"
"Gray": "GRIS"
"CUST_VARIANT_DIAMONDS": "DIAMANTES PEQUEÑOS"
"CUST_ITEM_CM_FPIC_EYEBRIGHT": "ANILLO CEJA DERECHA"
"CUST_ITEM_CM_HAIR_SHORTAFRO": "AFRO DISCIPLINADO"
"CUST_INSULT_F": "#FIAJ"
"PLAYER_MORPH_MOUTH_BITE_TEXT": "CIERRE DE BOCA"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_RPG_3": "Aumenta el daño."
"CUST_WPN_UPGRADE_DESC_RIFLE_NG_2": "Aumenta el tamaño de la ráfaga."
"CUST_TATTOO_RCALF_5": "LA CRUZ A CUESTAS"
"CUST_TATTOO_LARM_2": "MENSAJERO DE LA MUERTE"
"CUST_COMP_FEMALE_EYEBROWS_2": "EN PUNTA"
"CUST_ITEM_CM_PSC_EYES_M_HPSGLASS": "GAFAS DE SOL DE GAFAPASTA"
"CUST_PRESET_DESTRUCT_WARNING_TEXT": "Al elegir una configuración predefinida se pierden todos los cambios.\n\n¿Continuar?"
"CUST_SECONDARY_COLOR": "COLOR SECUNDARIO"
"CUST_WPN_UPGRADE_DESC_SMG_STORM_4": "La munición perforadora hace más daño y atraviesa armaduras."
"CUST_COMP_FACE_MOLE_1": "LUNAR 1"
"VEHICLE_COLOR_DUST_RED": "ROJO POLVORIENTO"
"VEHICLE_COLOR_MINT_CHAR_GREEN": "VERDE MENTA"
"CUST_WEAR_NORMAL_EXTRA_HIGH": "NORMAL, EXTRA ALTO"
"CUST_ITEM_CM_PSD_FOOT_M_HIPSNEAKERS": "ZAPATILLAS DE KOALA"
"CUST_SKIN_GREY_1": "ALABASTRO"
"FACIAL_EXPRESSION_SMARMY": "ZALAMERO"
"PLAYER_MORPH_EARS_YAW_TEXT": "ABERTURA OREJAS"
"PLAYER_MORPH_NOSTRIL_WIDTH_TEXT": "ANCHURA ORIFICIO NASAL"
"VEHICLE_PAINT_GANG_BROTHERHOOD": "BROTHERHOOD"
"SLOT_HOOD": "CAPÓS"
"CUST_ITEM_MALE_NLM_OUTFIT_B": "EL EXCONVICTO"
"CUST_ITEM_CM_LPC_HAND_M_HEROGLOVES": "GUANTES DE HÉROE DE STEELPORT"
"CUST_WPN_UPGRADE_DESC_RIFLE_GANG_3": "Aumenta la cadencia de fuego y el tamaño de tus cargadores."
"RIM_181": "SD WGM TY"
