"ACT_WHORED_Z_AGRIZOOPHOBIA": "To spory problem."
"ACT_FRAUD_FIRST_VISIT_BONUS_STRING": "ZA OBRAŻENIA OTRZYMANE W TYM OBSZARZE BONUSOWYM DOSTANIESZ DODATKOWĄ ADRENALINĘ"
"ACT_CHOP_SHOP_SEEK_CARS_MSG": "Przyprowadź potrzebne samochody do [format][color:green]dziupli[/format], by zarobić kasę."
"GARAGE_CANNOT_CUSTOMIZE": "TEGO POJAZDU NIE MOŻNA MODYFIKOWAĆ"
"CTS_MESSAGE_GO_PENTHOUSE": "IŚĆ DO APARTAMENTU"
"ACT_LEVEL_1": "POZIOM 1"
"ACT_ESCORT_TITLE": "WYBÓR POZIOMU ESKORTY"
"ACT_VANDAL_PISTOL_MSG": "PISTOLETU"
"ACT_CHOP_SHOP_APPROACH_CAR_MSG": "Dogoń ten samochód i ukradnij go."
"HASH_DBD1BF7C": "GANG %s ZOSTAŁ ODPARTY"
"ACT_WHORED_HITNRUN": "Lepiej je koś."
"CHOP_STREET_HOOD": "SPORTOWA MASKA"
"ACT_VANDAL_STATIC_BONUS_LUXURY_CAR_MSG": "PREMIA ZA SAMOCHODY LUKSUSOWE"
"ACT_ESCORT_OBJECTIVE_TEXT_02": "UCIEKNIJ REPORTEROM"
"ACTIVITY_NAME_TRAFFICKING": "HANDEL"
"ACT_ZOMBIE_START": "Zagrać w Powstanie Zombie?"
"ACT_VANDAL_OBJECTIVE_2": "Łącz ze sobą kombinację zniszczeń, by otrzymać premię!"
"ACT_PIMPING_TRAP_ATTACK_GET_CONTACTS": "ODKRYWASZ PUŁAPKĘ! ZREKRUTUJ TE [format][color:green]KONTAKTY[/format] I ZABIERAJ SIĘ STAMTĄD."
"ACT_HELI_TARGETS_TEXT": "UKOŃCZONE CELE"
"ACT_WHORED_NINJAS_FAIL": "Ciche, ale zabójcze."
"CHOP_STREET_GRILL": "SPORTOWA ATRAPA CHŁODNICY"
"ACT_VANDAL_THROWN_MSG": "BRONI MIOTANEJ"
"ACT_VANDAL_BOAT_MSG": "ŁODZIE"
"ACT_PIMPING_HOS_COLON": "DZIWKI:"
"ACT_FRAUD_KILLED": "Tracisz wiarygodność za zabicie kogoś."
"ACT_WHORED_D_NORMS_REVENGE": "Kiedy masz tylko młotek, wszyscy wyglądają jak dziwki."
"ACT_WHORED_STARPOWER": "Cała twoja broń została ulepszona, a przeciwnicy wybuchają po dotknięciu!"
"HORDE_CHARACTER_GIMPY": "GIMPY"
"ACT_RUNNING_MAN_WAGER_REJECT_TEXT": "NIE CHCĘ GRAĆ, DAJ MI MOJE %ls."
"ACT_TRAFFICKING_START": ", BY ROZPOCZĄĆ GRĘ W HANDEL"
"ACT_VANDAL_CAR_COMPACT_MSG": "SAMOCHODY KOMPAKTOWE"
"ACT_VANDAL_STATIC_BONUS_VAN_MSG": "PREMIA ZA FURGONETKI"
"ACT_FRAUD_BONUS_DISTRICT": "PREMIA DZIELNICOWA"
