"CUST_ITEM_CF_HAIR_MED": "OFF THE SHOULDER"
"LOGO_STALLA_1": "STALLAGERIFFIC"
"CUST_ITEM_CF_RING_F_GOTHSET": "RAND VAN DE DUISTERNIS-RINGEN"
"CUST_ITEM_CF_RING_F_SMHEART": "RINGEN MET HARTJES"
"CUST_INSULT_N": "VOGUE"
"PLAYER_MORPH_SLOPE_ELEVATION_TEXT": "HOOGTE HELLING"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_STAG_2": "Verhoog de vuursnelheid en vergroot de schade. Vizier met rode punt laat je nog beter mikken."
"CUST_TATTOO_LUPPARM_8": "ALLES OVER DE BLING"
"VEHICLE_COLOR_SEAFOAM_TEAL": "ZEEBLAUWGRIJS"
"CRAZY_1": "GEK 1"
"CUST_ITEM_CF_RING_F_DMNDNAILS": "THE GOLDDIGGER"
"CUSTOM_WALK_FEMALE_4": "VROUWELIJKE POOIER"
"CUST_COMP_CHEEK_MAKEUP_6": "WAT EEN GOEDE NACHT"
"SURGEON_CAT_BODY": "LICHAAM"
"CUST_TATTOO_LCALF_2": "SUCKER PUNCH"
"CUST_VARIANT_POLKA_DOTS": "BOLLETJES"
"CUST_VARIANT_MED_TRI_COLOR": "MEDIUM DRIE KLEUREN"
"CUST_ITEM_FEMALE_LETSPRETEND_OUTFIT_C": "STEELPORT HELDIN"
"CUST_ITEM_CM_LPC_UBDY_M_HEROSHIRT": "STEELPORT HELD SHIRT"
"CUST_COMPLIMENT_A": "DE ERVARING"
"SURGEON_STORE_NAME_1": "IMAGE AS DESIGNED"
"CUST_WPN_UPGRADE_DESC_PISTOL_GANG_4": "Ontploffende kogels geven een schok aan je vijanden."
"CUST_COMP_EYE_MAKEUP_2": "LINKSE LAP"
"RIM_189": "C-X 503"
"LOGO_SKEETERS_6": "SKEETERS 6"
"CUST_VARIANT_BRA_1": "STIPPEN"
"CUST_VARIANT_WILD": "WILD"
"CUST_ITEM_CF_NLMD_UBDY_F_SHIRT": "RAWK SHIRT"
"CUST_COMPLIMENT_CC": "WOOW SCHREEUW"
"SLOT_RIGHT_SIDE": "RECHTERKANT"
"SLOT_TAILS": "ACHTERPANELEN"
"CUST_WEAR_TUCKED_BUTTONED_EXTRA_HIGH_PANT_NO_SUSPENDERS": "INGESTOPT, DICHTGEKNOOPT, EXTRA HOGE BROEK, GEEN BRETELS"
"CUST_WEAR_TUCKED_BUTTONED": "INGESTOPT, DICHTGEKNOOPT"
"CUST_ITEM_CM_IMPN_UBDY_M_UNBUTTONED": "MODERN OPENGEKNOOPT NET OVERHEMD"
"CUST_ITEM_CM_IMPM_EYES_M_SUNGLASSES": "KABANA ZONNEBRIL"
"PLAYER_MORPH_MOUTH_SHAPE_TEXT": "VORM MOND"
"CUST_TATTOO_RFORARM_8": "GEWAPEND EN GEVAARLIJK"
"CUST_TATTOO_UPPBACK_7": "DRAMATIS PERSONAE"
"CUST_COMP_FACE_MOLE_9": "MOEDERVLEK 9"
"LOCALIZE_NONE": "GEEN"
"RALLY_2": "RALLY 2"
"MALE_EMACIATED": "MAN UITGEMERGELD"
"LOGO_VIRAL_1": "VIRAL 1"
"CUST_VARIANT_2STRIPE": "TWEE STREPEN"
"CUST_VARIANT_SMALL_STRIPE": "SMALLE STREPEN"
"CUST_VARIANT_STEEL": "STAAL"
"SLOT_ROOF_LIGHTS": "DAKLICHTEN"
"DARK_ORANGE": "DONKERORANJE"
"CUST_ITEM_FEMALE_LL_UNDWEAR_1": "NEON JUNGLE"
"COLOR_SLOT_PAINT_1_AND_PAINT_3": "VERF 1 EN VERF 3"
"CUST_VARIANT_PLATINUM": "PLATINA"
"CUST_SKIN_OILED_2": "GEOLIED AZIATISCH 1"
"PLAYER_MORPH_EYE_SIZE_TEXT": "OOGFORMAAT"
"PLAYER_MORPH_BOTTOM_LIP_MIDDLE_SIZE_TEXT": "FORMAAT MIDDENSTUK ONDERLIP"
"RIM_SPORTS": "SPORT"
"CUST_ITEM_CF_NLMD_FOOT_F_CANVASSHOES": "RAWK CANVAS SCHOENEN"
"CUST_ITEM_CM_LPG_MASK_M_MASKLAMB": "LAMMETJESMASKER"
"CUST_INSULT_J": "LIK DIT MAAR"
"CUST_TATTOO_LCALF_6": "STAMGENOOT"
"VEHICLE_COLOR_INSANE_RED": "WILDROOD"
"CUST_ITEM_FEMALE_NLM_EARRINGS_4": "NEED TO BLEED OORBELLEN"
"CUST_ITEM_FEMALE_LETSPRETEND_OUTFIT_G": "SEXY COWGIRL"
"CUST_ITEM_CM_LPE_LBDY_M_MPANTS": "BATALJON-BROEK"
"CUST_ITEM_CM_LLA_UBDY_M_GIMPSHIRT": "NAUGHTY BOY-SHIRT"
"CUST_ITEM_CM_PSG_FOOT_M_SNEAKERS": "KICKS"
"CUST_COMPLIMENT_E": "DE AMIGO"
"PLAYER_MORPH_BODY_FAT_TEXT": "DIKHEID"
"PLAYER_MORPH_SKULL_TOP_HEIGHT_TEXT": "HOOGTE SCHEDELUITEINDE"
"CUST_COLOR_CLOTHING_GREYS_4": "GRIJS 4"
"CUST_WPN_UPGRADE_DESC_GRENADE_FLASHBANG_3": "Gooi verder."
"CUST_GANG_NINJA": "NINJA"
"CUST_COMP_CHEEK_MAKEUP_2": "SUPERMODEL"
"COMPONENT_ADD_REINFORCED_BUMPER": "VERSTEVIGDE BUMPER"
"CUST_ITEM_CF_HAIR_SPACEGIRL": "DE SCI-FI"
"CUST_ITEM_CF_IMPN_FOOT_F_SANDALS": "SKY HIGH HAKKEN"
"CUST_TATTOO_UPPER_LEG_LEFT": "LINKER BOVENBEEN"
"PLAYER_MORPH_SKULL_TOP_ELEVATION_TEXT": "HOOGTE SCHEDELUITEINDE"
"CUST_ITEM_FEMALE_NLM_OUTFIT_D": "INDIE KID"
"CUST_ITEM_CF_LPG_LBDY_F_SHORTSCHAPS": "SEXY COWGIRL"
"CUST_ITEM_CM_LLN_LBDY_M_WLPANTS": "DISCO DIVA BROEK"
"CUST_ITEM_CM_LLB_FOOT_M_LTHRBOOTS": "SM LEREN LAARZEN"
"CUST_COMP_EYE_MAKEUP_6": "EEN BEETJE BOVEN"
"LOGO_NUMBER4": "NUMMER 4"
"LOGO_SKEETERS_2": "SKEETERS 2"
"CUST_ITEM_CF_LLI_UBDY_F_TUBETOP": "TOPJE"
"CUST_VARIANT_SPORT_SHOE": "SPORTSCHOEN"
"CUST_ITEM_FEMALE_LL_UNDWEAR_5": "SHOW YOU MY LOVE G-STRING"
"CUST_VOICE_FEMALE_ASIAN": "VROUW 1"
"CUST_WPN_UPGRADE_DESC_RIFLE_STAG_3": "Verhoog de vuursnelheid. Verlengde loop is nuttig tegen de toegenomen terugslag."
"CUST_TATTOO_UPPBACK_3": "RUIMTEGANGSTER"
"COLOR_SLOT_PAINT_1_AND_RIMS_2": "VERF 1 EN VELGEN 2"
"CUST_TATTOO_LOWBACK_1": "HERINNER DE DODEN"
"CUST_COLOR_FLESH_1": "VLEES 1"
"CUST_VARIANT_ULTORSHIRT": "ULTOR"
"CUST_WEAR_LOW_LEFT_ZIPPED_RIGHT_ROLLED": "OPGEROLD, RECHTS, LAAG"
"RIM_SET_007": "VELGSET 7"
"VEHICLE_PAINT_MILITARY": "MILITAIR"
"COMPONENT_OPTION_5": "OPTIE 5"
"LOGO_DOGFIGHT": "Dog Fight!"
"CUST_VARIANT_BALD": "KAAL"
"CUST_ITEM_CM_DECKERSUIT": "DE DECKER"
"CUSTOM_WALK_6": "STANDAARDMAN 2"
"CUST_COMP_EYE_MAKEUP_11": "DONKERE LINER"
"CUST_VARIANT_SKIRTC": "STIJL 1"
"CUST_VARIANT_TRICOLOR": "DRIE KLEUREN"
"CUST_VARIANT_SUEDESUEDE": "SUÈDE"
"CUST_ITEM_CM_FPIC_SETB": "PIERCINGS IN NEUS EN RECHTSE WENKBRAUW"
"PLAYER_MORPH_EAR_LONGITUDE_TEXT": "LENGTEGRAAD OOR"
"CUST_WPN_UPGRADE_DESC_SPECIAL_STRIKE_3": "Richt sneller en draag meer munitie."
"CUST_TATTOO_NECK_5": "TEDDYBEER"
"CUST_WEAR_LOW_BOTH_ROLLED": "BEIDE GEROLD, LAAG"
"CUST_ITEM_IMPRESSIONS_FEMALE_N": "MODIEUZE STIJL"
"CUST_ITEM_CM_HAIR_SIDEPARTMED1": "KORT EN LINKS"
"CUST_OPACITY_SLIDER": "DOORSCHIJNING"
"CUST_MORPH_CAT_BROW": "WENKBRAUW"
"LETS_PRETEND_NAME": "LET'S PRETEND"
"CUST_COMP_FACE_MAKEUP_5": "DE CLOWN"
"CUST_VARIANT_PIMPCOAT_LEOPARD2": "LUIPAARD 2"
"CUST_ITEM_CM_NECK_LL_HEART": "BELOFTE-HALSKETTING"
"CUST_ITEM_CM_HAIR_COMBOVER": "DE MONK"
"CUST_ITEM_CM_LLO_LBDY_M_SBLPANTS": "REGENBROEK"
"CUST_ITEM_DANE_S_HAIR": "HAARCLIP"
"CUST_SKIN_HISPANIC_05": "LATINO 5"
"CUST_TATTOO_RHAND_5": "LIEFDESMACHINE"
"LOGO_SHARKS_TEXT_2": "HAAIENTEKST 2"
"CUST_VARIANT_FISHNET_1": "VISNET 1"
"CUST_ITEM_CM_NECK_FLEURDELIS": "SAINTS LELIE-KETTING"
"CUST_ITEM_CM_CNC_HAT_M_CAP": "CROOKS & CASTLES HONKBALPETJE"
"CUST_ITEM_CF_LLI_FOOT_F_STUDDEDHEALS": "REBELLENSANDALEN"
"CUST_ITEM_CM_HAIR_SIDESPIKED": "LEVENDE SPIKES"
"CUST_RONIN_COMPLIMENT_B": "RONINCOMPLIMENT 2"
"PLAYER_MORPH_BROW_ARCH_TEXT": "BOOG WENKBRAUW"
"CUST_COLOR_CLOTHING_VIOLET-RED_4": "PAARSROOD 4"
"CUST_COLOR_CLOTHING_BROWNS_5": "BRUIN 5"
"Component_Paint": "VERF"
"COMPONENT_DECAL_7": "DECORATIE 7"
"CUST_WEAR_HIGH": "HOOG"
"CUST_RACE_BLACK": "ZWART"
"CUST_SKIN_BLACK_02": "AFRO-AMERIKAAN 2"
"PLAYER_MORPH_CHIN_ELEVATION_TEXT": "KINVERHOGING"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_8": "GEELORANJE 8"
"CUST_TATTOO_FACE_2": "WHEN SAINTS CRY"
"CUST_VARIANT_BABYT": "BABY T-SHIRT"
"CUST_ITEM_CM_POLICESUIT": "SPD UNIFORM"
"CUST_SKIN_PURPLE_1": "DIEPPAARS"
"CUSTOM_WALK_12": "MAGERE GANGSTA"
"PLAYER_MORPH_NECK_BACK_DEPTH_TEXT": "DIEPTE ACHTERKANT NEK"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_GANG_2": "Vergroot je magazijnen. Voeg een tweede loop toe voor meer schade."
"COMPONENT_OPTION_10": "OPTIE 10"
"CUST_VARIANT_MATERIAL_4": "CUST_VARIANT_MATERIAL#4"
"CUST_VARIANT_BIKER_1": "MOTORRIJDER 1"
"CUST_ITEM_FEMALE_PS_EARRINGS_4": "PLANET SAINTS OORBELLEN"
"CUST_ITEM_CF_LPG_UBDY_F_SHIRT": "COWGIRLSTIJL"
"CUST_ITEM_CF_PSG_LBDY_F_GFXJEANS": "TRUE FIT JEANS"
"CUST_COMPLIMENT_M": "DE NINJA"
"COMPONENT_LOW_PROFILE": "LAAG PROFIEL"
"LOGO_MIX": "THE MIX 107.77"
"CUST_VARIANT_2_COLOR": "TWEE KLEUREN"
"CUST_VARIANT_STRIPES_4": "STREPEN 4"
"CUST_VARIANT_SOLID": "GEDEKT"
"CUST_WEAR_BACK RIGHT": "TERUG NAAR RECHTS"
"CUST_WPN_UPGRADE_DESC_SMG_GANG_3": "De aanjager vergroot de schade en reduceert de terugslag."
"CUST_TATTOO_RCALF_1": "VAST GEANKERD"
"CUST_TATTOO_LARM_6": "GEVANGEN IN HET WEB"
"CUST_TATTOO_LUPPARM_4": "SLANGENBEZWEERDER"
"VEHICLE_PAINT_PRECIOUS_METAL": "EDELMETAAL"
"HAIR_COLOR_BRUNETTE_MATTE": "MAT BRUNETTE"
"HAIR_COLOR_AUBURN_MATTE": "MAT KASTANJEBRUIN"
"HAIR_COLOR_WHITE": "WIT"
"CUST_VARIANT_BLOOD": "BLOED"
"CUST_ITEM_CF_IMPR_UBDY_F_SHIRTLOW": "HILLS GOOCHELAARSVEST"
"CUST_ITEM_FEMALE_NLM_UNDWEAR_2": "PARTY TIME-STRING"
"CUST_ITEM_CM_NLMD_EAR_M_EARRING": "ELEGANTE PUNK OORBEL"
"LOGO_420": "103.6 Four 20"
"CUST_VARIANT_MATERIAL__17": "CUST_VARIANT_MATERIAL_#17"
"CUST_ITEM_CM_HAIR_RECEDINGPEAK": "GEVEDERD PETJE"
"CUST_INSULT_B": "DANIEL-SAN"
"PLAYER_MORPH_LOBES_SIZE_TEXT": "OMVANG OORLEL"
"VEHICLE_COLOR_KABUKI_RED": "KABUKIROOD"
"CUST_ITEM_CM_IMPM_LBDY_M_SHORTS": "KABANA SHORTS"
"CUST_CHOOSE_CHARACTER": "PERSONAGE AANPASSEN"
"PLAYER_MORPH_EYELID_LOOK_TEXT": "UITERLIJK OOGLID"
"CUST_TATTOO_RFORARM_4": "STEENKOELE"
"CUST_COMP_FACE_MOLE_5": "MOEDERVLEK 5"
"COLOR_SLOT_PAINT_AND_TRIM": "VERF EN SIERLIJST"
"FEMALE_OVERWEIGHT": "VROUW OVERGEWICHT"
"CUST_SKIN_GREY_5": "ONYX"
"RIM_DEEP_DISH": "DEEP DISH"
"SLOT_HUBCAPS_REAR": "WIELDOPPEN ACHTER"
"SLOT_WINDOW_TINT": "RAAMKLEUR"
"BRIGHT_BLUE": "FELBLAUW"
"HAIR_Black": "ZWART"
"LOGO_SRAIR": "SR AIR"
"PLAYER_CREATION_PRESET_BLACK": "AFRIKAANS-AMERIKAANS"
"VEHICLE_COLOR_CHROME": "CHROOM"
"RIM_185": "V-F 604"
"SLOT_WEAPON_2": "WAPEN 2"
"LOGO_CARDS": "KAARTEN"
"CUST_ITEM_CF_DLC_SPACE_OUTFIT": "SPACE PRINSES"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHIRT": "HILLS CASUAL"
"CUST_COLOR_CLOTHING_ORANGE_7": "ORANJE 7"
"CUST_WPN_UPGRADE_DESC_GRENADE_MOLOTOV_4": "Vergroot de schade."
"CUST_COMP_EYE_MAKEUP_19": "STRALEND"
"CUST_ITEM_CM_NLMC_RWRST_M_WRISTBANDS": "RAVE X NEONARMBAND"
"CUST_ITEM_CM_LLA_HAT_M_GIMPMASK": "SAFEWORD-MASKER"
"PLAYER_MORPH_BODY_MUSCLE_TEXT": "GESPIERDHEID"
"PLAYER_MORPH_LUMINOSITY_TEXT": "HELDERHEID"
"LOGO_STEER": "HEAVEN'S HELPERS"
"CUST_VARIANT_SMOKED": "GETINTE ZONNEKLEP"
"CUST_ITEM_CF_NLMB_RWRST_F_WRISTBAND": "ANARCHIST BAND"
"CUST_COMPLIMENT_APPROVAL": "DE BEVESTIGING"
"CUST_VOICE_MALE_WHITE": "MAN 1"
"COLOR_SLOT_MECHANICAL": "MECHANISCH"
"COMPONENT_DECAL_10": "DECORATIE 10"
"CUST_VARIANT_THICKSTRIPES": "BREDE STREPEN"
"CUST_VARIANT_ZEBRA": "ZEBRA"
"CUST_ITEM_CM_IMPB_UBDY_M_JTURTLENECK": "DINER IN PARIJS"
"CUST_ITEM_CF_NLMH_LWRST_F_WRISTBANDS": "PARTY TIME ARMBANDEN"
"CUST_ITEM_CF_HAIR_M_LONGUP-01": "VINTAGE UPDO"
"CUST_SKIN_GREEN_5": "COOL MINT-GROEN"
"PLAYER_MORPH_LOWER_LIP_SIDES_ELEVATION_TEXT": "HOOGTE ZIJKANT ONDERLIP"
"CUST_WEAR_NORMAL_EXTRA_HIGH_SUSPENDERS": "NORMAAL, EXTRA HOOG, BRETELS"
"CUST_ITEM_CF_PSB_LBDY_F_SHORTSHORTS": "HOOCHIE KORTE BROEK"
"CUST_SKIN": "HUID"
"PLAYER_MORPH_CHEEKBONE_HEIGHT_TEXT": "HOOGTE JUKBEENDEREN"
"CUST_TATTOO_LHAND_2": "LEEF OF..."
"CUST_VARIANT_PATTERN_2_DECALS": "STIJL 2 M/DECORATIES"
"CUST_VARIANT_DEFAULT": "STANDAARD"
"CUST_ITEM_BANDANA_1": "DE BANDIET"
"CUST_MOVEMENT_TAUNT": "BELEDIGING"
"PLAYER_CREATION_MENU_1": "INSTELLINGEN"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_5": "GEELGROEN 5"
"CUST_TATTOO_CHEST_6": "WIJD OPEN"
"VEHICLE_PAINT_GANG_SAINTS": "SAINTS"
"DARK_RED": "DONKERROOD"
"LEVEL_3": "NIVEAU 3"
"LOGO_SPELUNKER_1": "SPELUNKER'S"
"CUST_ITEM_CM_IMPB_UBDY_M_JLOWSHIRT": "GEKLEED IN KASJMIER"
"CUST_ITEM_FEMALE_LL_EARRINGS_3": "GESTREEPTE OORBELLEN"
"CUST_GANG_STRIPPER": "STRIPPER"
"VEHICLE_PAINT_METAL": "METAAL"
"LOGO_WONDERMART_1": "WONDERMART 1"
"CUST_WEAR_TUCKED_HIGH_PANT_NO_SUSPENDERS": "INGESTOPT, HOGE BROEK"
"CUST_FINE_TUNING": "GEZICHT"
"PLAYER_MORPH_JAW_SPACING_TEXT": "PLAATSING KAAK"
"PLAYER_MORPH_EYE_ELEVATION_TEXT": "VERHOGING OGEN"
"CUST_COLOR_CLOTHING_ORANGE_3": "ORANJE 3"
"SLOT_RIMS": "VELGEN"
"PLAYER_MORPH_NECK_BACK_WIDTH_TEXT": "BREEDTE ACHTERKANT NEK"
"CUST_COMP_MALE_EYEBROWS_4": "EEN WENKBRAUW"
"VEHICLE_PAINT_OPAQUE_PAINT": "DEKKENDE VERF"
"COMPONENT_OPTION_9": "OPTIE 9"
"CUST_VARIANT_BIG_DIAMONDS": "GROTE RUITEN"
"CUST_ITEM_MALE_PLANETSAINTS_BRIEFS_1": "SAINTS ONDERBROEK"
"CUST_SKIN_GREEN_1": "MOOI GROEN"
"CUST_RONIN_TAUNT_D": "RONINBELEDIGING 4"
"PLAYER_MORPH_JOWLS_ELEVATION_TEXT": "HOOGTE KAAKBEENDEREN"
"WARDROBE_CONTROL_WEAR": "DRAGEN"
"VEHICLE_PAINT_TRICKED_METALLIC": "TRICKED METALLIC"
"COLOR_SLOT_INTERIOR_AND_SOFTTOP": "INTERIEUR EN CABRIOKAP"
"CUST_ITEM_CM_IMPL_UBDY_M_JSHIRT": "MANNELIJK MODEL MET OVERHEMD"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_4": "GEELORANJE 4"
"CUST_TATTOO_LHAND_6": "HARTENLEED"
"CUST_COLOR_INDIGO_2": "INDIGO 2"
"CUST_COLOR_PURPLE_3": "PAARS 3"
"CUST_VARIANT_MATERIAL__16__14_DEFAULT": "CUST_VARIANT_MATERIAL_#16_(14_DEFAULT)"
"CUST_WEAR_CLOSED": "GESLOTEN"
"CUST_WEAR_LOW_LEFT_UNZIPPED_RIGHT_UNZIPPED": "BEIDE OPENGERITST, LAAG"
"CUST_ITEM_LEATHER_LACE_FEMALE_R": "OKTOBERFEST GIRL"
"CUST_MENU_PRESETS": "INSTELLINGEN"
"CUST_MORPH_CAT_MOUTH": "MOND"
"PLAYER_MORPH_BODY_TEXT": "LICHAAM"
"CUST_COLOR_CLOTHING_VIOLET-RED_8": "PAARSROOD 8"
"CUST_COLOR_CLOTHING_BROWNS_9": "BRUIN 9"
"PAINT_1": "VERF 1"
"MALE_SLENDER": "MAN SLANK"
"CUST_VARIANT_DRAGON_BOWTIE": "DRAAK"
"CUST_VARIANT_CANVAS": "CANVAS"
"CUST_WEAR_U": "U"
"CUST_ITEM_CM_IMPE_UBDY_M_SHIRT": "SOUTH BEACH SHIRT"
"CUST_ITEM_CF_LPH_FOOT_F_CLSHOES": "GO TEAM!-SCHOENEN"
"CUST_CAT_NOT_FOR_DEMO": "NIET VOOR DEMO"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_1": "GEELGROEN 1"
"CUST_TATTOO_CHEST_2": "GELUKKIGE DRAAK"
"COLOR_SLOT_GRILL": "GRILLE"
"CUST_VARIANT_NEW_EYES": "NIEUWE OGEN"
"CUST_ITEM_CF_NLMC_UBDY_M_SHIRT": "DARK SIDE-TRUI"
"CUST_ITEM_CM_NLMC_FOOT_M_SHOES": "RAVE X SNEAKERZ"
"CUST_ITEM_CF_IMPQ_FOOT_F_LATEXHEELS": "DIVA-HAKKEN"
"STORE_WEAPON_AMMO": "MUNITIE / HANDGRANATEN KOPEN"
"CUST_COMP_FACE_BANDAGE_1": "NEUSVERBAND"
"CUST_COMP_FACE_MAKEUP_9": "BLAUW RECHTEROOG"
"VEHICLE_COLOR_ALUMINUM": "ALUMINUM"
"VEHICLE_PAINT_TIRE_TREAD": "BANDENPROFIEL"
"SLOT_TIRE_DURABILITY_DESC": "Een bandenupgrade voorkomt dat je een klapband krijgt op een gevoelig moment."
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_4": "OORBELLEN MET EDELSTENEN"
"PLAYER_CREATION_MENU_5": "LICHAAM"
"CUST_COLOR_CLOTHING_GREYS_8": "GRIJS 8"
"DARK_INDIGO": "DONKERINDIGO"
"CUST_VARIANT_POCKET": "ZAK"
"CUST_ITEM_CF_LPC_MASK_F_FEMHEROMASK": "SUPERHELDINNEN MASKER"
"CUST_CAT_LEFT_WRIST": "LINKERVUIST"
"CUST_TATTOO_HAND_LEFT": "LINKERHAND"
"PLAYER_MORPH_EAR_ELEVATION_TEXT": "OORVERHOGING"
"VEHICLE_COLOR_ACTIVE_RED": "VOLROOD"
"CUST_VARIANT_SHOE": "CANVAS"
"CUST_WEAR_HIGH_LEFT_ROLLED_RIGHT_UNZIPPED": "L. opgerold, R. opengeritst, Hoog"
"CUST_ITEM_CM_IMPO_LBDY_M_PANTS": "KLASSIEKE BROEK"
"CUST_ITEM_FEMALE_MURDERBRAWL_OUTFIT": "THREE COUNT-PAK VROUW"
"CUST_COMPLIMENT_I": "GIDDEE UP!"
"VEHICLE_COLOR_FRESH_PLUM_PURPLE": "VERSE PRUIMENPAARS"
"VEHICLE_COLOR_PURPLE_DARK_TINT": "DONKERPAARSE TINT"
"Gray": "GRIJS"
"CUST_VARIANT_DIAMONDS": "KLEINE DIAMANTEN"
"CUST_ITEM_CM_FPIC_EYEBRIGHT": "WENKBRAUWPIERCING RECHTS"
"CUST_ITEM_CM_HAIR_SHORTAFRO": "TAMME AFRO"
"CUST_INSULT_F": "ZIE JE DIT"
"PLAYER_MORPH_MOUTH_BITE_TEXT": "MONDOPENING"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_RPG_3": "Vergroot de schade."
"CUST_WPN_UPGRADE_DESC_RIFLE_NG_2": "Verleng de duur van salvo."
"CUST_TATTOO_RCALF_5": "KWAAD VERDRAGEN"
"CUST_TATTOO_LARM_2": "BRENGER DES DOODS"
"CUST_COMP_FEMALE_EYEBROWS_2": "SPITS TOELOPEND"
"CUST_ITEM_CM_PSC_EYES_M_HPSGLASS": "HIPSTER-ZONNEBRIL"
"CUST_PRESET_DESTRUCT_WARNING_TEXT": "Door een instelling te kiezen, worden alle andere wijzigingen die je al gemaakt had ongedaan gemaakt en je verliest eerdere wijzigingen.\n\nWil je verdergaan?"
"CUST_SECONDARY_COLOR": "SECUNDAIRE KLEUR"
"CUST_WPN_UPGRADE_DESC_SMG_STORM_4": "Pantserdoorborende kogels richten meer schade aan en boren pantsers door."
"CUST_COMP_FACE_MOLE_1": "MOEDERVLEK 1"
"VEHICLE_COLOR_DUST_RED": "STOFROOD"
"VEHICLE_COLOR_MINT_CHAR_GREEN": "MINTGROEN"
"CUST_WEAR_NORMAL_EXTRA_HIGH": "NORMAAL, EXTRA HOOG"
"CUST_ITEM_CM_PSD_FOOT_M_HIPSNEAKERS": "KOALA-KIKS"
"CUST_SKIN_GREY_1": "ALBAST"
"FACIAL_EXPRESSION_SMARMY": "SLIJMEND"
"PLAYER_MORPH_EARS_YAW_TEXT": "OOROPENING"
"PLAYER_MORPH_NOSTRIL_WIDTH_TEXT": "BREEDTE NEUSGATEN"
"VEHICLE_PAINT_GANG_BROTHERHOOD": "BROTHERHOOD"
"SLOT_HOOD": "MOTORKAPPEN"
"CUST_ITEM_MALE_NLM_OUTFIT_B": "THE EX-CON"
"CUST_ITEM_CM_LPC_HAND_M_HEROGLOVES": "STEELPORT HELD HANDSCHOENEN"
"CUST_WPN_UPGRADE_DESC_RIFLE_GANG_3": "Verhoog de vuursnelheid en vergroot je magazijnen."
"RIM_181": "SD WGM TY"
"LOGO_NUMBER8": "NUMMER 8"
"LOGO_GHOST_1": "GEEST 1"
"CUST_BRO_TAUNT_D": "BROTHERHOODBELEDIGING 4"
"PLAYER_MORPH_UPPER_LIP_EDGES_LENGTH_TEXT": "LENGTE UITEINDEN BOVENLIP"
"PLAYER_MORPH_EYELID_SLANT_TEXT": "HELLING OOGLID"
"VEHICLE_COLOR_SATIN_BRIGHT_WHITE": "SATIJNWIT"
"CUST_ITEM_FEMALE_NLM_OUTFIT_H": "HIPPIE RAVER"
"CUST_COLOR_CLOTHING_VIOLET_7": "PAARS 7"
"CUST_WEAR_TATTOO_BAND_B": "BAND 2"
"CUST_WEAR_RIGHT_ROLLED_LOW": "OPGEROLD, RECHTS, LAAG"
"CUST_ITEM_CM_SUIT_M_CYBERAVATAR": "CYBER SAINT"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_H": "MASTER OF THE SEAS"
"CUST_BODY_HAIR": "LICHAAMSBEHARING"
"CUST_COLOR_CLOTHING_YELLOWS_4": "GEEL 4"
"CUST_TATTOO_RUPPARM_4": "8-BIT GAT"
"SLOT_TRIM_COLOR": "SIERLIJSTKLEUR"
"CUST_ITEM_CF_NLMB_LWRST_F_WRISTBAND": "ANARCHIE ARMBAND"
"Brunette": "BRUNETTE"
"LOGO_HORSE": "PAARD"
"LOGO_SAW": "KETTINGZAAG"
"CUST_VARIANT_FLAT_TOP_DESIGN_A": "VLAK TOP ONTWERP A"
"CUST_ITEM_CM_IMPL_UBDY_M_JSCARF": "T-ROY STIJL"
"CUST_ITEM_FEMALE_LL_BRA_3": "TOUCH MY HEART"
"CUST_VOICE_MALE_LATINO": "MAN 3"
"CUST_VARIANT_GANG_CAMO": "GANGCAMOU"
"CUST_ITEM_CM_NLMA_LBDY_M_SPPANTS": "STEAMPUNK STRIJDER"
"PLAYER_CREATION_PRESET_MALE": "MAN"
"CUST_WPN_UPGRADE_DESC_PISTOL_POLICE_2": "Vergroot je magazijnen."
"CUST_COMP_MUSTACHE_26": "DE SPANJAARD"
"RIM_177": "SD RZ245"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_D": "BEACH BUM"
"CUST_ITEM_FEMALE_PS_UNDWEAR_2": "SCHANDALIGE SAINTS STRING"
"CUST_ITEM_CM_LLK_LBDY_M_BOXERS": "NET WAKKER"
"STRONGHOLD_CUSTOMIZATION": "STRONGHOLD AANPASSEN"
"TATTOO_STORE_TITLE": "RUSTY'S NEEDLE"
"CUST_TATTOO_LFORARM_4": "VERBORGEN WAPEN"
"COLOR_SLOT_SOFTTOP": "CABRIOKAP"
"SLOT_LIGHTS": "LAMPEN"
"CUST_VARIANT_TRI_COLOR": "DRIE KLEUREN"
"CUST_ITEM_CM_DLC_RING_M_PIMPSET": "Z-STIJL BLING"
"CUST_ITEM_CM_FPIC_EYEBLEFT": "WENKBRAUWPIERCING LINKS"
"CUST_ITEM_CM_IMPB_LBDY_M_DRESSPANTS": "SNAZZY BROEK"
