"CUST_ITEM_CF_HAIR_MED": "セミロング"
"CUST_VARIANT_SUEDESUEDE": "スエード"
"CUST_ITEM_CM_FPIC_SETB": "右眉スタッド＆鼻スタッドセット"
"PLAYER_MORPH_EAR_LONGITUDE_TEXT": "耳の前後位置"
"CUST_WPN_UPGRADE_DESC_SPECIAL_STRIKE_3": "照準が速くなり、使用回数が増えます"
"CUST_TATTOO_NECK_5": "ベア"
"CUST_WEAR_LOW_BOTH_ROLLED": "左右ロールアップ（低）"
"CUST_ITEM_IMPRESSIONS_FEMALE_N": "モッズファッション"
"CUST_ITEM_CM_HAIR_SIDEPARTMED1": "ショート左"
"CUST_OPACITY_SLIDER": "不透明度"
"CUST_MORPH_CAT_BROW": "眉"
"LETS_PRETEND_NAME": "LET'S PRETEND"
"CUST_COMP_FACE_MAKEUP_5": "ピエロ"
"CUST_VARIANT_PIMPCOAT_LEOPARD2": "ヒョウ柄2"
"CUST_ITEM_CM_NECK_LL_HEART": "プロミスネックレス"
"CUST_ITEM_CM_HAIR_COMBOVER": "モンク"
"CUST_ITEM_CM_LLO_LBDY_M_SBLPANTS": "ポケットロケットパンツ"
"CUST_ITEM_DANE_S_HAIR": "バタフライクリップ"
"CUST_SKIN_HISPANIC_05": "ラテンアメリカ系5"
"CUST_TATTOO_RHAND_5": "ラブマシーン"
"LOGO_SHARKS_TEXT_2": "SHARKS TEXT 2"
"CUST_VARIANT_FISHNET_1": "フィッシュネット1"
"CUST_ITEM_CM_NECK_FLEURDELIS": "フルール・ド・セインツチェーン"
"CUST_ITEM_CM_CNC_HAT_M_CAP": "CROOKS & CASTLESキャップ"
"CUST_ITEM_CF_LLI_FOOT_F_STUDDEDHEALS": "スタッズヒール"
"CUST_ITEM_CM_HAIR_SIDESPIKED": "スパイキー"
"CUST_RONIN_COMPLIMENT_B": "ローニン敬意2"
"PLAYER_MORPH_BROW_ARCH_TEXT": "眉の弧"
"CUST_COLOR_CLOTHING_VIOLET-RED_4": "バイオレットレッド4"
"CUST_COLOR_CLOTHING_BROWNS_5": "ブラウン5"
"Component_Paint": "すべて塗装"
"COMPONENT_DECAL_7": "デカール7"
"CUST_WEAR_HIGH": "高め"
"CUST_RACE_BLACK": "黒人"
"CUST_SKIN_BLACK_02": "黒人2"
"PLAYER_MORPH_CHIN_ELEVATION_TEXT": "顎の高さ"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_8": "イエローオレンジ8"
"CUST_TATTOO_FACE_2": "涙"
"CUST_VARIANT_BABYT": "ベビーT"
"CUST_ITEM_CM_POLICESUIT": "スティールポート警察ユニフォーム"
"CUST_SKIN_PURPLE_1": "ディープパープル"
"CUSTOM_WALK_12": "ギャング"
"PLAYER_MORPH_NECK_BACK_DEPTH_TEXT": "首筋の隆起"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_GANG_2": "装弾数を増やします。銃身を2つに増やして攻撃力を上げます"
"COMPONENT_OPTION_10": "オプション10"
"CUST_VARIANT_MATERIAL_4": "CUST_VARIANT_MATERIAL#4"
"CUST_VARIANT_BIKER_1": "バイカー1"
"CUST_ITEM_FEMALE_PS_EARRINGS_4": "セインツフープピアス"
"CUST_ITEM_CF_LPG_UBDY_F_SHIRT": "カウガールシャツ"
"CUST_ITEM_CF_PSG_LBDY_F_GFXJEANS": "ストレートジーンズ"
"CUST_COMPLIMENT_M": "ニンジャ"
"COMPONENT_LOW_PROFILE": "薄型"
"LOGO_MIX": "THE MIX 107.77"
"CUST_VARIANT_2_COLOR": "2色"
"CUST_VARIANT_STRIPES_4": "ストライプ4"
"CUST_VARIANT_SOLID": "無地"
"CUST_WEAR_BACK RIGHT": "バックライト"
"CUST_WPN_UPGRADE_DESC_SMG_GANG_3": "攻撃力を上げ反動を軽減します"
"CUST_TATTOO_RCALF_1": "イカリ"
"CUST_TATTOO_LARM_6": "スパイダーウェブ"
"CUST_TATTOO_LUPPARM_4": "コブラ"
"VEHICLE_PAINT_PRECIOUS_METAL": "貴金属"
"HAIR_COLOR_BRUNETTE_MATTE": "ブルネット（マット）"
"HAIR_COLOR_AUBURN_MATTE": "とび色（マット）"
"HAIR_COLOR_WHITE": "ホワイト"
"CUST_VARIANT_BLOOD": "ブラッド"
"CUST_ITEM_CF_IMPR_UBDY_F_SHIRTLOW": "ヒルズマジシャンベスト"
"CUST_ITEM_FEMALE_NLM_UNDWEAR_2": "パーティータイムTバック"
"CUST_ITEM_CM_NLMD_EAR_M_EARRING": "スタイリッシュパンクピアス"
"LOGO_420": "103.6 Four 20"
"CUST_VARIANT_MATERIAL__17": "CUST_VARIANT_MATERIAL_#17"
"CUST_ITEM_CM_HAIR_RECEDINGPEAK": "フロントフェザー"
"CUST_INSULT_B": "ダニエルさん"
"PLAYER_MORPH_LOBES_SIZE_TEXT": "耳たぶの大きさ"
"VEHICLE_COLOR_KABUKI_RED": "カブキ・レッド"
"CUST_ITEM_CM_IMPM_LBDY_M_SHORTS": "カバナショーツ"
"CUST_CHOOSE_CHARACTER": "キャラクターをカスタマイズ"
"PLAYER_MORPH_EYELID_LOOK_TEXT": "まぶた"
"CUST_TATTOO_RFORARM_4": "キラー"
"CUST_COMP_FACE_MOLE_5": "ホクロ5"
"COLOR_SLOT_PAINT_AND_TRIM": "塗装とトリム"
"FEMALE_OVERWEIGHT": "女性 太り気味"
"CUST_SKIN_GREY_5": "オニキス"
"RIM_DEEP_DISH": "ディープディッシュ"
"SLOT_HUBCAPS_REAR": "リアホイールキャップ"
"SLOT_WINDOW_TINT": "ウィンドウスモーク"
"BRIGHT_BLUE": "明るいブルー"
"HAIR_Black": "ブラック"
"LOGO_SRAIR": "SR AIR"
"PLAYER_CREATION_PRESET_BLACK": "黒人"
"VEHICLE_COLOR_CHROME": "クローム"
"RIM_185": "V-F 604"
"SLOT_WEAPON_2": "武器2"
"LOGO_CARDS": "CARDS"
"CUST_ITEM_CF_DLC_SPACE_OUTFIT": "スペースガール"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHIRT": "ヒルズカジュアル"
"CUST_COLOR_CLOTHING_ORANGE_7": "オレンジ7"
"CUST_WPN_UPGRADE_DESC_GRENADE_MOLOTOV_4": "攻撃力が上がります"
"CUST_COMP_EYE_MAKEUP_19": "ブライトアイ"
"CUST_ITEM_CM_NLMC_RWRST_M_WRISTBANDS": "レイヴ蛍光ブレスレット"
"CUST_ITEM_CM_LLA_HAT_M_GIMPMASK": "スレイブマスク"
"PLAYER_MORPH_BODY_MUSCLE_TEXT": "筋肉"
"PLAYER_MORPH_LUMINOSITY_TEXT": "日焼け"
"LOGO_STEER": "HEAVEN'S HELPERS"
"CUST_VARIANT_SMOKED": "色つきサンバイザー"
"CUST_ITEM_CF_NLMB_RWRST_F_WRISTBAND": "アナーキストバンド"
"CUST_COMPLIMENT_APPROVAL": "賛成"
"CUST_VOICE_MALE_WHITE": "男性1"
"COLOR_SLOT_MECHANICAL": "メカニカル"
"COMPONENT_DECAL_10": "デカール10"
"CUST_VARIANT_THICKSTRIPES": "太いストライプ"
"CUST_VARIANT_ZEBRA": "ゼブラ"
"CUST_ITEM_CM_IMPB_UBDY_M_JTURTLENECK": "ドレスジャケット&タートルネック"
"CUST_ITEM_CF_NLMH_LWRST_F_WRISTBANDS": "セクシーギャルブレスレット"
"CUST_ITEM_CF_HAIR_M_LONGUP-01": "ロングヘアアップ"
"CUST_SKIN_GREEN_5": "クールミントグリーン"
"PLAYER_MORPH_LOWER_LIP_SIDES_ELEVATION_TEXT": "下唇外側の高さ"
"CUST_WEAR_NORMAL_EXTRA_HIGH_SUSPENDERS": "普通（かなり高）サスペンダー有"
"CUST_ITEM_CF_PSB_LBDY_F_SHORTSHORTS": "タイトショートパンツ"
"CUST_SKIN": "皮膚"
"PLAYER_MORPH_CHEEKBONE_HEIGHT_TEXT": "頬骨の高さ"
"CUST_TATTOO_LHAND_2": "LIVE OR..."
"CUST_VARIANT_PATTERN_2_DECALS": "スタイル2デカール付き"
"CUST_VARIANT_DEFAULT": "デフォルト"
"CUST_ITEM_BANDANA_1": "バンダナ"
"CUST_MOVEMENT_TAUNT": "挑発"
"PLAYER_CREATION_MENU_1": "プリセット"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_5": "イエローグリーン5"
"CUST_TATTOO_CHEST_6": "ジョーズ"
"VEHICLE_PAINT_GANG_SAINTS": "セインツ"
"DARK_RED": "ダークレッド"
"LEVEL_3": "レベル3"
"LOGO_SPELUNKER_1": "SPELUNKER'S"
"CUST_ITEM_CM_IMPB_UBDY_M_JLOWSHIRT": "ドレスジャケット&カシミヤVネック"
"CUST_ITEM_FEMALE_LL_EARRINGS_3": "ストライプイヤリング"
"CUST_GANG_STRIPPER": "ダンサー"
"VEHICLE_PAINT_METAL": "金属"
"LOGO_WONDERMART_1": "WONDERMART 1"
"CUST_WEAR_TUCKED_HIGH_PANT_NO_SUSPENDERS": "裾入れ 腰深"
"CUST_FINE_TUNING": "顔"
"PLAYER_MORPH_JAW_SPACING_TEXT": "顎骨の間隔"
"PLAYER_MORPH_EYE_ELEVATION_TEXT": "目の出っ張り"
"CUST_COLOR_CLOTHING_ORANGE_3": "オレンジ3"
"SLOT_RIMS": "リム"
"PLAYER_MORPH_NECK_BACK_WIDTH_TEXT": "首筋の幅"
"CUST_COMP_MALE_EYEBROWS_4": "一本眉"
"VEHICLE_PAINT_OPAQUE_PAINT": "不透明塗料"
"COMPONENT_OPTION_9": "オプション9"
"CUST_VARIANT_BIG_DIAMONDS": "ビッグダイヤモンド"
"CUST_ITEM_MALE_PLANETSAINTS_BRIEFS_1": "セインツブリーフ"
"CUST_SKIN_GREEN_1": "ジョリーグリーン"
"CUST_RONIN_TAUNT_D": "ローニン挑発4"
"PLAYER_MORPH_JOWLS_ELEVATION_TEXT": "下顎の高さ"
"WARDROBE_CONTROL_WEAR": "服"
"VEHICLE_PAINT_TRICKED_METALLIC": "トリックメタリック"
"COLOR_SLOT_INTERIOR_AND_SOFTTOP": "内装とソフトトップ"
"CUST_ITEM_CM_IMPL_UBDY_M_JSHIRT": "ランウェイジャケット&シャツ"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_4": "イエローオレンジ4"
"CUST_TATTOO_LHAND_6": "ブロークンハート"
"CUST_COLOR_INDIGO_2": "インディゴ2"
"CUST_COLOR_PURPLE_3": "パープル3"
"CUST_VARIANT_MATERIAL__16__14_DEFAULT": "CUST_VARIANT_MATERIAL_#16_(14_DEFAULT)"
"CUST_WEAR_CLOSED": "クローズ"
"CUST_WEAR_LOW_LEFT_UNZIPPED_RIGHT_UNZIPPED": "左右ジッパー開け（低）"
"CUST_ITEM_LEATHER_LACE_FEMALE_R": "オクトーバーフェストガール"
"CUST_MENU_PRESETS": "プリセット"
"CUST_MORPH_CAT_MOUTH": "口"
"PLAYER_MORPH_BODY_TEXT": "身体"
"CUST_COLOR_CLOTHING_VIOLET-RED_8": "バイオレットレッド8"
"CUST_COLOR_CLOTHING_BROWNS_9": "ブラウン9"
"PAINT_1": "ペイント1"
"MALE_SLENDER": "男性 痩せ型"
"CUST_VARIANT_DRAGON_BOWTIE": "ドラゴン"
"CUST_VARIANT_CANVAS": "キャンバス"
"CUST_WEAR_U": "U"
"CUST_ITEM_CM_IMPE_UBDY_M_SHIRT": "マイアミショートスリーブシャツ"
"CUST_ITEM_CF_LPH_FOOT_F_CLSHOES": "チアリーダーシューズ"
"CUST_CAT_NOT_FOR_DEMO": "デモでは使えません"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_1": "イエローグリーン1"
"CUST_TATTOO_CHEST_2": "ラッキードラゴン"
"COLOR_SLOT_GRILL": "グリル"
"CUST_VARIANT_NEW_EYES": "ニューアイズ"
"CUST_ITEM_CF_NLMC_UBDY_M_SHIRT": "ゴシックシャツ"
"CUST_ITEM_CM_NLMC_FOOT_M_SHOES": "レイヴスニーカー"
"CUST_ITEM_CF_IMPQ_FOOT_F_LATEXHEELS": "セクシーサンダル"
"STORE_WEAPON_AMMO": "弾薬／手榴弾を購入"
"CUST_COMP_FACE_BANDAGE_1": "ばんそうこう（鼻）"
"CUST_COMP_FACE_MAKEUP_9": "あざ（右目）"
"VEHICLE_COLOR_ALUMINUM": "アルミニウム"
"VEHICLE_PAINT_TIRE_TREAD": "タイヤトレッド"
"SLOT_TIRE_DURABILITY_DESC": "タイヤをアップグレードすると、大事なときにパンクして恥をかく心配がなくなる"
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_4": "ジュエリーピアス"
"PLAYER_CREATION_MENU_5": "身体"
"CUST_COLOR_CLOTHING_GREYS_8": "グレー8"
"DARK_INDIGO": "ダークインディゴ"
"CUST_VARIANT_POCKET": "ポケット"
"CUST_ITEM_CF_LPC_MASK_F_FEMHEROMASK": "スーパーヒロインマスク"
"CUST_CAT_LEFT_WRIST": "左手首"
"CUST_TATTOO_HAND_LEFT": "左手"
"PLAYER_MORPH_EAR_ELEVATION_TEXT": "耳の高さ"
"VEHICLE_COLOR_ACTIVE_RED": "アクティブ・レッド"
"CUST_VARIANT_SHOE": "キャンバス"
"CUST_WEAR_HIGH_LEFT_ROLLED_RIGHT_UNZIPPED": "左まくりあげ右ジッパー開け（高）"
"CUST_ITEM_CM_IMPO_LBDY_M_PANTS": "ネイバーパンツ"
"CUST_ITEM_FEMALE_MURDERBRAWL_OUTFIT": "レスリングスーツ（女性用）"
"CUST_COMPLIMENT_I": "ハイヨー"
"VEHICLE_COLOR_FRESH_PLUM_PURPLE": "フレッシュプラムパープル"
"VEHICLE_COLOR_PURPLE_DARK_TINT": "ダークスモーク（パープル）"
"Gray": "グレー"
"CUST_VARIANT_DIAMONDS": "ダイヤモンドスモール"
"CUST_ITEM_CM_FPIC_EYEBRIGHT": "アイブロウリング（右）"
"CUST_ITEM_CM_HAIR_SHORTAFRO": "ショートアフロ"
"CUST_INSULT_F": "ガススプレー"
"PLAYER_MORPH_MOUTH_BITE_TEXT": "口の噛みこみ角度"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_RPG_3": "攻撃力が上がります"
"CUST_WPN_UPGRADE_DESC_RIFLE_NG_2": "バースト射撃の発射数を増やします"
"CUST_TATTOO_RCALF_5": "クロス"
"CUST_TATTOO_LARM_2": "死の使い"
"CUST_COMP_FEMALE_EYEBROWS_2": "逆反り"
"CUST_ITEM_CM_PSC_EYES_M_HPSGLASS": "ヒップスターサングラス"
"CUST_PRESET_DESTRUCT_WARNING_TEXT": "設定を選択するとこれまでに行った他の変更をすべて取り消し、これまでの変更がすべて失われます。\n\n続行しますか？"
"CUST_SECONDARY_COLOR": "セカンドカラー"
"CUST_WPN_UPGRADE_DESC_SMG_STORM_4": "装甲も貫通する徹甲弾で攻撃力が上がります"
"CUST_COMP_FACE_MOLE_1": "ホクロ1"
"VEHICLE_COLOR_DUST_RED": "ダストレッド"
"VEHICLE_COLOR_MINT_CHAR_GREEN": "ミントチャール・グリーン"
"CUST_WEAR_NORMAL_EXTRA_HIGH": "普通（かなり高）"
"CUST_ITEM_CM_PSD_FOOT_M_HIPSNEAKERS": "ハイカットスニーカー"
"CUST_SKIN_GREY_1": "ライトイエロー"
"FACIAL_EXPRESSION_SMARMY": "ごますり"
"PLAYER_MORPH_EARS_YAW_TEXT": "耳の開き具合"
"PLAYER_MORPH_NOSTRIL_WIDTH_TEXT": "鼻腔の幅"
"VEHICLE_PAINT_GANG_BROTHERHOOD": "ブラザーフッド"
"SLOT_HOOD": "ボンネット"
"CUST_ITEM_MALE_NLM_OUTFIT_B": "プリズンフレンド"
"CUST_ITEM_CM_LPC_HAND_M_HEROGLOVES": "スティールポートヒーローグローブ"
"CUST_WPN_UPGRADE_DESC_RIFLE_GANG_3": "連射速度、装弾数を上げます"
"RIM_181": "SD WGM TY"
"LOGO_NUMBER8": "NUMBER 8"
"LOGO_GHOST_1": "GHOST 1"
"CUST_BRO_TAUNT_D": "ブラザーフッド挑発4"
"PLAYER_MORPH_UPPER_LIP_EDGES_LENGTH_TEXT": "上唇の縁の長さ"
"PLAYER_MORPH_EYELID_SLANT_TEXT": "まぶたの角度"
"VEHICLE_COLOR_SATIN_BRIGHT_WHITE": "サテンブライト・ホワイト"
"CUST_ITEM_FEMALE_NLM_OUTFIT_H": "ヒッピーレイヴァー"
"CUST_COLOR_CLOTHING_VIOLET_7": "バイオレット7"
"CUST_WEAR_TATTOO_BAND_B": "輪2"
"CUST_WEAR_RIGHT_ROLLED_LOW": "右ロールアップ（低）"
"CUST_ITEM_CM_SUIT_M_CYBERAVATAR": "サイバーセインツ"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_H": "パイレーツ"
"CUST_BODY_HAIR": "体毛"
"CUST_COLOR_CLOTHING_YELLOWS_4": "イエロー4"
"CUST_TATTOO_RUPPARM_4": "8ビットギャット"
"SLOT_TRIM_COLOR": "トリムカラー"
"CUST_ITEM_CF_NLMB_LWRST_F_WRISTBAND": "アナーキーバングル"
"Brunette": "プルネット"
"LOGO_HORSE": "HORSE"
"LOGO_SAW": "CHAINSAW"
"CUST_VARIANT_FLAT_TOP_DESIGN_A": "フラットトップA"
"CUST_ITEM_CM_IMPL_UBDY_M_JSCARF": "T-ROYスタイル"
"CUST_ITEM_FEMALE_LL_BRA_3": "マイハート"
"CUST_VOICE_MALE_LATINO": "男性3"
"CUST_VARIANT_GANG_CAMO": "ギャング迷彩"
"CUST_ITEM_CM_NLMA_LBDY_M_SPPANTS": "スチームパンクパンツ"
"PLAYER_CREATION_PRESET_MALE": "男性"
"CUST_WPN_UPGRADE_DESC_PISTOL_POLICE_2": "装弾数が増えます"
"CUST_COMP_MUSTACHE_26": "スパニッシュ"
"RIM_177": "SD RZ245"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_D": "ビーチカジュアル"
"CUST_ITEM_FEMALE_PS_UNDWEAR_2": "スキャンダラスセインツTバック"
"CUST_ITEM_CM_LLK_LBDY_M_BOXERS": "ボクサーパンツ"
"STRONGHOLD_CUSTOMIZATION": "アジトのカスタマイズ"
"TATTOO_STORE_TITLE": "RUSTY'S NEEDLE"
"CUST_TATTOO_LFORARM_4": "ナイフ"
"COLOR_SLOT_SOFTTOP": "ソフトトップ"
"SLOT_LIGHTS": "ライト"
"CUST_VARIANT_TRI_COLOR": "3色"
"CUST_ITEM_CM_DLC_RING_M_PIMPSET": "ズィーモスリング"
"CUST_ITEM_CM_FPIC_EYEBLEFT": "アイブロウリング（左）"
"CUST_ITEM_CM_IMPB_LBDY_M_DRESSPANTS": "スタイリッシュパンツ"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_E": "ストリートカジュアル"
"BRIGHT_PURPLE": "明るいパープル"
"LOGO_8BALL": "8 BALL"
"CUST_VARIANT_SPORT_SHORTS_1": "スタイル2"
"CUST_VARIANT_ARGYLE": "アーガイル"
"CUST_TATTOO_RARM_6": "スパイダーウェブ"
"RIM_152": "LUMINATI"
"CUST_ITEM_CM_NLMA_FOOT_M_SPBOOTS": "スチームパンクブーツ"
"CUST_ITEM_PLAIN_WHITE_TEE": "Tシャツ"
"CUST_ITEM_CM_PSF_UBDY_M_SAINTSJERSEY": "チームセインツジャージ"
"CUST_TATTOO_TORSO_UPPER_BACK": "背中上部"
"Paint": "ペイント"
"LOGO_GIRL_1": "GIRL 1"
"CUST_VARIANT_10_DEFAULT": "変形10"
"CUST_VARIANT_TIE_DYE_1": "タイダイ1"
"CUST_VARIANT_CMCOA_MSUNSHINE01": "ノーマル"
"CUST_WEAR_TATTOO_AZTEC_TURTLE": "アステカの亀"
"CUST_ITEM_MID_LENGTH_CHAIN_LOOPS_1": "バギージーンズ"
"CUST_SHOES": "シューズ"
"CUST_TATTOO_ENTIRE_BACK": "背中全体"
"PLAYER_MORPH_NOSE_SLOPE_TEXT": "鼻の傾斜"
"CUST_SKIN_CAUCASIAN_01": "白人1"
"CUST_MENU_MAKEUP": "メイク"
"CUST_WPN_UPGRADE_DESC_GRENADE_EXPLOSIVE_2": "効果範囲が広がります"
"CUST_TATTOO_STOMACH_3": "タートル"
"CUST_COMP_MUSTACHE_5": "歯ブラシ"
"VEHICLE_COLOR_TINT_20": "スモーク20%%"
"CUST_ITEM_CF_CLASSICUP": "クラシックアップ"
"CUST_COMPLIMENT_V": "拍手"
"PLAYER_MORPH_OLD_TEXT": "年齢プリセット"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_1": "バイオレットブルー1"
"LOGO_WASHINGTON": "WASHINGTON"
"CUST_GANG_ZOMBIE": "ゾンビ"
"VEHICLE_COLOR_AMERICANA_RED": "アメリカーナ・レッド"
"RIM_SET_016": "リムセット16"
"CUST_VARIANT_PATTERN_1_DECALS": "スタイルデカール付き"
"CUST_FACIAL_EXP_SAINTLY": "聖者"
"CUST_ITEM_WEAR_OPTIONS": "衣服スタイル"
"CUST_COMP_FACE_BLOODY_FACE": "流血（顔）"
"LOGO": "ロゴ"
"CUST_COLOR_RED_3": "レッド3"
"CUST_ITEM_CF_IMPO_NECK_F_NECKLACE": "アーバンサファリネックレス"
"CUST_EYEWEAR": "アイウェア"
"CUST_FACIAL_FEATURES": "顔立ち"
"TATTOO_NAME": "RUSTY'S NEEDLE"
"CUST_TATTOO_RARM_2": "死の使い"
"VEHICLE_PAINT_EXOTIC": "エキゾチック"
"RIM_156": "LX-19"
"SLOT_DECAL_8": "ステッカー8"
"SLOT_MISCELLANEOUS": "その他"
"CUST_VARIANT_FADE": "色あせ"
"CUST_ITEM_CM_IMPB_UBDY_M_LOWSHIRT": "フィットカシミヤVネック"
"CUST_ITEM_CF_LLI_EYES_F_SUNGLASSES": "クリーパーサングラス"
"CUST_ITEM_CM_HAIR_WILDMESSY2": "ハードロック"
"CUST_ITEM_CF_PSE_FOOT_F_STRAPPYSANDLES": "ポールダンサーハイヒール"
"CUST_SKIN_ASIAN_04": "アジア系4"
"CUST_EYELINER": "アイライン"
"CUST_MORPH_CAT_EYES": "目"
"CUST_COLOR_CLOTHING_BLUES_8": "ブルー8"
"SLOT_DOORS": "ドア"
"LOGO_BALANCE_1": "BALANCE 1"
"CUST_ITEM_LEATHER_LACE_MALE_A": "ボンデージスーツ"
"CUST_ITEM_CM_NLMD_UBDY_M_JACKETCOMBO": "パンクアナーキージャケット"
"PLAYER_MORPH_EYE_HEIGHT_TEXT": "目の高さ"
"SLOT_TORQUE": "トルク"
"LOGO_SCORPION": "SCORPION"
"CUST_VARIANT_THICK_STRIPES": "ストライプ（濃）"
"CUST_VARIANT_PLAID_BIG": "格子模様2"
"CUST_ITEM_CM_JOY_UBDY_THECODE": "JOYSTICK JUNKIESコードコントロール"
"CUST_ITEM_CF_LPC_LBDY_F_FEMHEROLEGS": "スティールポートヒロインタイツ"
"CUST_SKIN_CAUCASIAN_05": "白人5"
"EXIT": "終了"
"BRIGHT_BLUE-GREEN": "ブライトブルーグリーン"
"CUST_VARIANT_LETTERMANSTYLE": "スタイル1"
"CUST_VARIANT_CMUNS_UTSHIRT04_U": "スタイル2"
"CUST_ITEM_CM_RADIATIONMASK": "防護マスク"
"CUST_ITEM_CF_NLME_UBDY_F_HOODIEDOWN": "ヒッピーパーカー（フードダウン）"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_5": "バイオレットブルー5"
"SLOT_CHASSIS": "シャーシ"
"CUST_VARIANT_MATERIAL__1": "CUST_VARIANT_MATERIAL_#1"
"CUST_WEAR_LOW_LEFT_ZIPPED_RIGHT_UNZIPPED": "右ジッパー開け（低）"
"CUST_ITEM_IMPRESSIONS_MALE_E": "ジャングルツアーガイド"
"CUST_ITEM_CM_IMPB_UBDY_M_DRSSHIRTTIE": "ドレスシャツ（ネクタイ付き）"
"CUST_ITEM_CF_HAIR_PUNKSHAVEDSIDES": "パンクロック"
"CUST_ITEM_CM_PSC_UBDY_M_HOODIEUP": "七部袖パーカー（フードアップ）"
"CUST_CAT_BODY_HAIR": "体毛"
"CUST_COMPLIMENT_ZZ": "うなずき"
"PLAYER_MORPH_TIPS_SPACING_TEXT": "耳の先端の間隔"
"CUST_COLOR_CLOTHING_GREENS_9": "グリーン9"
"CUST_TATTOO_STOMACH_7": "ドクロのエース"
"CUST_COMP_MUSTACHE_1": "シェブロン"
"RIM_202": "RBP R96 CUSTOM PURPLE"
"LOGO_ROUNDHOUSE": "ROUNDHOUSE"
"LOGO_REAPER": "REAPER"
"CUST_COMPLIMENT_R": "ジェシカ"
"CUST_WPN_UPGRADE_DESC_SPECIAL_RCGUN_4": "軍用車両を操縦します"
"VEHICLE_PAINT_PEARLESCENT_PAINT": "パール塗料"
"HAIR_COLOR_BLONDE_MATTE": "ブロンド（マット）"
"CUST_COLOR_ROSE_3": "ローズ3"
"LOGO_NUMBER11": "NUMBER 11"
"CUST_ITEM_CM_LPG_MASK_M_MASKPIG": "ブタマスク"
"CUST_CAT_PIERCING_NOSE": "鼻"
"PLAYER_MORPH_UPPER_LIP_SHAPE_TEXT": "上唇の形"
"CUST_VOICE_FEMALE_LATINO": "女性3"
"CUST_COMP_EYES_PALE_BLUE": "ペールブルー"
"RIM_SET_012": "リムセット12"
"CUST_VARIANT_STOCKINGS_1": "無地"
"CUST_VARIANT_3COLOR_THICK": "3色（濃）"
"CUST_WEAR_UNTUCKED": "裾出し"
"CUST_ITEM_CM_PSI_NECK_M_CHAINS": "フルールチェーン"
"SLOT_FUZZY_DICE": "ファジーダイス"
"CUST_WEAR_BOTH_ROLLED_LOW": "左右ロールアップ（低）"
"CUST_ITEM_CF_IMPR_LBDY_F_PANTS": "ヒルズパンツ"
"CUST_ITEM_LEATHER_LACE_FEMALE_I": "パンクロックダンサー"
"PLAYER_MORPH_JOWLS_SPACING_TEXT": "下顎の間隔"
"CUST_COLOR_CLOTHING_VIOLET_3": "バイオレット3"
"CUST_ITEM_CM_DLC_HAND_M_GPGLOVES": "ゲンキグローブ"
"CUST_CAT_UPPER_BODY": "トップス"
"CUST_BRO_COMPLIMENT_B": "ブラザーフッド敬意2"
"PLAYER_CREATION_AGE_YOUNG": "若者"
"PLAYER_MORPH_TIPS_ELEVATION_TEXT": "耳の先端の高さ"
"PLAYER_CREATION_PRESET_HISPANIC": "ラテンアメリカ系"
"VEHICLE_COLOR_SLOW_BURN_RED": "スローバーンレッド"
"CUST_VARIANT_PEACE": "ピース"
"CUST_WEAR_ZIPPED_HOOD_DOWN": "ジッパー閉 フードダウン"
"CUST_ITEM_CF_RING_F_SHARKTOOTH": "シャークトゥースリング"
"CUST_ITEM_CM_LLB_SUIT_M_LTHR2": "ボンデージスーツ"
"FACIAL_EXPRESSION_DEATH_A": "死1"
"CUST_ITEM_CF_IMPO_FOOT_M_PLTFRMS": "サファリプラットフォームサンダル"
"CUST_ITEM_CF_NLMH_FOOT_F_SHAGBOOTSM": "シャグファーブーツ"
"CUST_ITEM_CF_PSB_HAT_F_BASTILLECAP": "ポエトリーハット"
"FACIAL_EXPRESSION_BLANK": "虚ろ"
"PLAYER_MORPH_NOSE_ELEVATION_TEXT": "鼻の位置"
"CUST_COMP_MUSTACHE_22": "チンストリップ"
"VEHICLE_COLOR_RUST_BROWN": "ラストブラウン"
"SLOT_REAR_MODS": "リア改造"
"CUST_COLOR_TEAL_1": "ティール1"
"CUST_VARIANT_SQUARES": "四角"
"CUST_WEAR_TUCKED_ZIPPED": "裾入れ ジッパー閉"
"CUST_ITEM_CM_PSC_FOOT_M_SNEAKERS": "ハイトップスニーカー"
"PLAYER_MORPH_TEMPLE_WIDTH_TEXT": "こめかみの幅"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_LAUNCHER_2": "装弾数を増やします。グレネードが当たったものにくっつきます"
"CUST_GANG_GIMP": "スレイブ"
"CUST_ITEM_CM_DLC_HAT_M_KNIGHT": "ナイトヘルメット"
