"HASH_9EA21200": "ZERO COOL"
"HASH_EFBC9FA7": "DISRUPT [format][color:Location]SYSTEM[/format]"
"HASH_21A425A7": "CLEAR [format][color:Location]ZIN TROOPS[/format]"
"HASH_486964A7": "GO TO [format][color:location]ACTIVITY START[/format]"
"HASH_AAE1ADA7": "DRAW SWORD"
"HASH_FD1B22A7": "DESTROY [format][color:kill]DOOR[/format]"
"HASH_041391A7": "\\"I WONDERED WHAT SHE WAS DOING LATER\\""
"HASH_B3D8C8A8": "TARGET PRACTICE (CLEAR OUT ZIN TROOPS)"
"HASH_B995F4A8": "MEET [format][color:location]PIERCE[/format]"
"HASH_770163A8": "PLATFORMING RIFT"
"HASH_A2EFA9A8": "PIERCE WAS ABANDONED!\nTHE SAINTS NEED TO STICK TOGETHER!"
"M17_FAIL_GAT_DIED": "GAT DIED"
"HASH_4A94F3A8": "START AGAIN"
"HASH_5E3145A8": "PIERCE WAS ABANDONED!\nTHE SAINTS NEED TO STICK TOGETHER!"
"HASH_08DBA2A8": "Like a Siren calling ships to the rocks, the velvety expanse of space has been a harsh mistress to many. To me, the unconquered reaches were a challenge I not only accepted but yearned for. So many poor souls blithely unaware of how mediocre their existences were without a firm hand to guide them toward greatness. Oh how I longed to be that hand."
"HASH_8ED34BA9": "MEET [format][color:Location]CID[/format] ON SHIP"
"HASH_FBE75DA9": "CLEAR OUT ZIN TROOPS"
"HASH_EC46CEA9": "You're not big enough to go through the hole.\n\nWhat would you like to do?\n\n"
"HASH_287481A9": "OLEG DIED!"
"HASH_0DC716A9": "LOOK AT THE COMPUTER"
"HASH_1D3FDDA9": "GO TO [format][color:location]PARK[/format]"
"HASH_BD1668A9": "You're not even paying attention! My father was as dim as the second sun on the fourteenth of Zinuary."
"HASH_3DFA5AAA": "If you want ship access in the northern part of downtown, hack these stores."
"HASH_29ED91AA": "MEET PIERCE ON THE SHIP"
"HASH_35F831AA": "WWGD"
"HASH_D184F5AA": "THE SAINTS WING"
"HASH_F714C8AA": "12 HOURS LATER"
"HASH_EDA4E1AA": "Killbane laughs.  \\"Do you really think a wimp like Matty here can defeat me?\\"\n\nMatt Miller cowers a bit.  \\"I don't think I can do this.\\"\n\nWhat do you say?"
"HASH_125FF7AA": "A SCHOLASTIC APTITUDE TEST"
"HASH_D2DF1AAB": "HACK [format][color:Location]FRIENDLY FIRE[/format]"
"HASH_013CCEAB": "HACK THE LOCAL FRIENDLY FIRE"
"HASH_B00FF7AB": "MEET PIERCE ON SHIP"
"HASH_CE1F84AB": "GO TO [format][color:location]MISSION START[/format]"
"HASH_233F35AB": "While Zinlow must have been well aware of that, as a professor seeking tenure, he was obligated to maintain a façade of impartiality, I'm sure."
"HASH_C6987DAC": "CLEAR [format][color:Location]ZIN TROOPS[/format]"
"HASH_8AA42CAC": "If we want to shut down the simulation, we'll need to build a key."
"m20_failure_gat_died": "GAT DIED! "
"HASH_451AB2AC": "COVER AS THE CARDINAL BLOWN!\n DON'T DO ANYTHING TO RAISE ATTENTION."
"HASH_B43446AC": "GET CID TO THE [format][color:location]POWER SOURCE[/format]"
"HASH_49DB30AC": "PET THE PARROT"
"HASH_C48718AC": "While I do consider it one of my finest features, my cranial crown was not the source of Zinfax's ire."
"HASH_AF8B46AD": "GO TO [format][color:location]NUKE PLANT[/format]"
"HASH_04FA92AD": "EVALUATE [format][color:location]THREAT[/format]"
"mm_3_2_failure_donnie_died": "DONNIE DIED!"
"HASH_8E5F43AD": "REWIRE [format][color:use]SPEAKERS[/format]"
"HASH_0E88D5AD": "KEEP WALKING"
"HASH_7FA923AD": "JOSH WAS ABANDONED!\nTHE SAINTS NEED TO STICK TOGETHER!"
"HASH_0A1CCCAD": "\\"See, you don't care about Miller.  You only care about yourself.\\"\n\nWhat do you say?"
"HASH_A07AE9AD": "\\"BRING BACK THE WOMAN WITH THE WHIP\\""
"HASH_46922CAD": "After extracting Zinjai from his personal nightmare, he gave his most whole-hearted approval. When asked what his version of hell was, he said:"
"HASH_714AD2AD": "Some did not survive the training and were sent off to work in the mines or forced to join the Zin National Orchestra (famous across seven galaxies for how hideous their music is). In order to endure the training, I often relied upon:"
"HASH_59DC8CAE": "EXPLORE THE RIFT"
"HASH_50F348AE": "UPLOAD [format][color:Location]VIRUS[/format]"
"M05_FAIL_CID_DIED": "CID DIED!"
"HASH_67FD35AE": "FOLLOW [format][color:location]ASHA[/format]"
"HASH_DB3C2EAF": "CLEAR [format][color:Location]ZIN TROOPS[/format]"
"HASH_4E26B9AF": "There's lot of ways to disrupt the simulation."
"HASH_A3A47CAF": "DON'T LOSE NYTEBLAYDE"
"HASH_247688AF": "\\"TOLD YOU, KID\\""
"HASH_B8FAB4B0": "DISRUPT THE SYSTEM"
"HASH_4C1763B0": "COMPLETE TRAINING PROGRAM"
"HASH_AAEA8BB0": "LOYALTY - THE GIRL WHO BEAT CYRUS"
"HASH_82E49AB0": "GO TO [format][color:location]KEITH'S RALLY[/format]"
"HASH_2480AEB0": "GO TO [format][color:location]ACTIVITY START[/format]"
"HASH_BAE587B0": "RESCUE KINZIE"
"HASH_EB2B0AB0": "You start to desperately run back to the main room when your foot catches a loose flagstone.\n\nYou fall and break your neck.\n\nYou are dead.\n\nThanks for playing Dragons and Tears: Part 1 of The Spiraling Darkness Trilogy\n\n"
"HASH_041653B0": "ACQUIRE MORE SHIPS"
"HASH_30182AB0": "THE ART OF DIPLOMACY"
"HASH_0B890EB1": "CLEAR OUT ZIN TROOPS"
"HASH_151B28B1": "FIND THE [format][color:location]BIGGEST, GLOWINGEST THING[/format]"
"M03_FAIL_SHIP_DESTROYED": "YOU DIED!"
"HASH_0FB666B1": "The terrestrial victories I had accumulated in my prior campaigns often failed to adequately test my keen tactical instinct. The maneuvers and strategies employed by so many of my foes were woefully pedestrian on their best days. I knew somewhere in the celestial womb, a leader must exist who could properly challenge me. How fortunate I was that I only had to eradicate twelve civilizations before coming toe-to-toe with the talented and well-trained forces of the Jetyang Theocracy."
"HASH_D8097CB2": "EXPLORE [format][color:Location]RIFT[/format]"
"HASH_FB1450B2": "MEET [format][color:Location]PIERCE[/format] ON SHIP"
"HASH_7886F8B2": "RACE THROUGH THE SYSTEM"
"HASH_05ADA3B2": "CONFIRM PROTOTYPES"
"HASH_B554C2B2": "SUPERCOMPUTER DESTROYED!\nUSE THE MACHINE GUN {TANK_FIRE_PRIMARY_IMG} TO SAFELY DESTROY IT'S TIRES."
"HASH_50AA17B2": "COLLECT [format][color:use]RIFLE[/format]"
"HASH_F22F6BB2": "\\"PLEASE?\\""
"HASH_10DEF3B2": "CHARLES DICKENS"
"HASH_47114CB3": "%ls IS BUSY"
"HASH_8DA9F7B3": "PAYBACK"
"HASH_77A51CB3": "UPLOAD [format][color:Location]VIRUS[/format]"
"HASH_5F1359B3": "LOYALTY - PUMP UP THE VOLUME"
"HASH_079971B3": "HACK THE PLANET"
"HASH_D6E931B3": "POWER UP CID"
"HASH_A0E3DDB3": "GO THROUGH [format][color:location]BACK DOOR[/format]"
"HASH_1B8EB2B3": "\\"FUCK OFF\\""
"HASH_919F3BB3": "After basic, I entered service and was sent to the front line of the great war that was brewing on Planet Bedard. There, I led the charge against the great Bedardian commander Franscot. Using my innately keen insight, I surprised Franscot by:"
"HASH_53694CB4": "CLEAR OUT ZIN TROOPS"
"HASH_2DBEBEB4": "CARJACK THE DATA"
"HASH_0D7108B4": "\\"I can't let you do that. But is there anything else I can do for you?\\"\n\nWhat do you say?"
"HASH_41FFE8B4": "I was excited too but we mustn't be rash."
"HASH_EDE66AB4": "PROMOTE ME TO EMPEROR"
"HASH_762716B4": "With a furnace of pure hatred burning inside me, nothing would stop me from overtaking any challenge set before me. \n\nIt was evident in the latter days of my training that I was going to excel at:"
"HASH_71E8CCB4": "\\"ZINYAK,NEVER LET ANYTHING-OR ANYONE-STOP YOU FROM PURSUING YOUR DREAMS.\\""
"HASH_3B2C2EB5": "GHOST IN THE MACHINE"
"HASH_8B7E66B5": "GET IN [format][color:location]CAR[/format]"
"HASH_A8661AB5": "INSPECT THE [format][color:location]BODY[/format]"
"HASH_323F2CB5": "PUNCH KILLBANE"
"HASH_F88C64B5": "GET [format][color:use]MAIL[/format]"
"HASH_74040CB5": "A DUEL OF SWORDS"
"HASH_C3EADCB5": "Of course, not all of the Zinlings there were courteous, studious-minded folk. Predictably, it wasn't long before I crossed the path of a brutish young man named Zinfax. We instantly loathed each other. It was obvious from the start that Zinfax took umbrage with my:"
"MISSION_PARTNER_CONNECTED": "CO-OP PLAYER CONNECTED"
"HASH_192F25B6": "CLEAR OUT ZIN TROOPS"
"HASH_ECA523B6": "Get yourself some new clothes and a clean car to get back in the swing of things."
"HASH_3DDD56B6": "KILL [format][color:kill]CYRUS[/format]"
"HASH_EDEE79B6": "RETURN TO [format][color:location]SIMULATION[/format]"
"HASH_A73375B6": "GO TO [format][color:location]DOCK [/format]"
"HASH_B922F8B6": "[format][color:defend]DEFEND[/format] CID"
"HASH_5F9294B6": "LEAVE PLANET TO WALK ON THE MOON"
"HASH_626E01B6": "DEEPEST FEAR"
"HASH_3FD88DB7": "HACK [format][color:Location]RUSTY'S NEEDLE[/format]"
"HASH_EBA3B9B7": "To get you access from the Northwest Island, you have to hack to these stores."
"HASH_4C152BB7": "DISRUPT [format][color:Location]SYSTEM[/format]"
"HASH_4824EFB7": "Remember what we did back on the campaign trail? We gotta handle this shit like we did in Boise."
"HASH_E18D4AB7": "KILL (INITIALIZE VIRUS INJECTION)"
"HASH_814FE8B7": "MEET [format][color:location]DONNIE AND CID[/format]"
"HASH_655CB7B7": "GO TO [format][color:location]KINZIE'S WAREHOUSE[/format]"
"HASH_18C171B7": "TAKE A TORCH"
"HASH_525B5FB7": "ATTACK [format][color:kill]PAUL[/format]"
"HASH_A4101CB7": "KICK DOOR"
"HASH_BBCFE8B7": "MEET & GREET"
"HASH_B6334DB7": "\\"I'M SORRY...\\""
"HASH_8D546AB7": "KILL [format][color:kill]SHERIFF[/format]"
"HASH_F11B39B8": "MEET [format][color:Location]KINZIE[/format] ON SHIP"
"HASH_C06156B8": "SECRET ADMIRER"
"HASH_125A5EB8": "FIGHT [format][color:kill]TANYA[/format]"
"HASH_CD5311B8": "HELP THE AI ENTER THE SIMULATION"
"HASH_564613B8": "\\"NICE OUTFIT\\""
"HASH_D77011B8": "Those were already part of our daily routine. I saw no need to beat a dead horse. Do you see what I did there? I made a pun. It was a very good one too."
"HASH_CBF639B9": "Replay Co-op Mission?"
"HASH_354E59B9": "HACK THE LOCAL FRIENDLY FIRE"
"HASH_B9B0BDB9": "The cops smoked your asses!"
"HASH_0A2E18B9": "SPEED RIFT"
"HASH_6EDE1FB9": "COVER AS CYRUS BLOWN!\n DON'T DO ANYTHING TO RAISE ATTENTION."
"HASH_DE3B6AB9": "KILL [format][color:kill]EVIL YOU[/format]"
"HASH_02A2E1B9": "GET TO [format][color:location]IO TOWER[/format]"
"HASH_4F2D9EB9": "The Pendulum chops off your hand. Fortunately in the Simulation you can grow it back. You probably shouldn't do that again.\n\nWhat do you do?"
"HASH_BFE7CAB9": "\\"I AM A SLAVE\\""
"HASH_9A361CBA": "CLEAR [format][color:Location]ZIN TROOPS[/format]"
"HASH_93DDB2BA": "GO [format][color:location]CAUSE MAYHEM[/format]"
"HASH_49594CBA": "Impossible. My character is unimpeachable. Everyone can see that."
"HASH_6234DCBB": "HACK [format][color:Location]LETS PRETEND[/format]"
"HASH_01DFC2BB": "HACK THE LOCAL RIM JOBS"
"HASH_67E9E6BB": "SPEND QUALITY TIME WITH GAT"
"HASH_0D9334BB": "RAILED AGAINST MY ACCUSER"
"HASH_399D4DBB": "THOUGHTS OF MY CHILDHOOD, A MORE INNOCENT TIME IN MY LIFE"
"HASH_FC9486BB": "I had acquired the money to attend the finest school in Zinland but that was just the beginning. While I would love to say Zinkov Preparatory Academy embraced me with open arms, the truth of the matter is I was not the finest student. In order to gain admission, I had to endure rigorous physical and academic testing before they would grant me access to their legendary halls of learning."
"HASH_1379E9BC": "COMPLETE TRAINING PROGRAM"
"HASH_05EC4EBC": "Want to piss off Zinyak? Let's say we give him a taste of the old filibuster."
"HASH_AC45EBBC": "MEET JOHNNY ON THE SHIP"
"HASH_26151FBC": "FIGHT [format][color:kill]ZINYAK[/format]"
"HASH_5B48A2BC": "CONTAINER DESTROYED!\n ONLY USE THE SONIC BOOM TO KEEP THE CONTAINERS INTACT."
"HASH_FBFBECBC": "SCAN PLANET"
"HASH_A00A53BD": "CLEAR OUT ZIN TROOPS"
"HASH_BCA809BD": "OPEN THE DOOR"
"HASH_6352A5BD": "KILL [format][color:kill]WARDEN[/format]"
"HASH_B32630BD": "ZINYAK LIED"
"HASH_125A35BD": "\\"I WONDER WHY...\\""
"HASH_95B4BFBE": "STEALTH BOX 9000"
"HASH_3D4246BE": "CLEAR [format][color:Location]ZIN TROOPS[/format]"
"HASH_63EEB8BE": "KING OF STILWATER"
"HASH_D56A79BE": "Thank God for gerrymandering."
"HASH_94B5A7BE": "WE HAVE THE TECHNOLOGY "
"HASH_5AAA88BE": "ZIMOS WAS ABANDONED!\nTHE SAINTS NEED TO STICK TOGETHER!"
"HASH_B68CBCBE": "ZIMOS DIED!"
"HASH_A895B3BE": "As you guzzle down the bottle of ancient murder wine, you become light headed and pass out.\n\nWhat do you do?"
"HASH_5CF69CBF": "UPLOAD [format][color:Location]VIRUS[/format]"
"HASH_F7F034BF": "MEET [format][color:Location]SHAUNDI[/format] ON SHIP"
"HASH_7FEBB0BF": "GO PLAY IN [format][color:Location]TRAFFIC[/format]"
"HASH_7A4ECFBF": "Jump-kicking works in 2D sidescrollers. Let's see how it works here."
"HASH_965654BF": "CRY"
"HASH_9D0C91BF": "GO TO [format][color:location]COMM ROOM[/format]"
"HASH_30C83CBF": "Do you honestly think I would have traveled all the way to the Jetyang quadrant without bringing the finest chefs in the universe with me?"
"HASH_1D3CACC0": "MEET [format][color:Location]KEITH[/format] ON SHIP"
"HASH_FD099CC0": "A beautiful dominatrix emerges from the only shadow on the island.\n\nWhat do you say?"
"HASH_B1877CC0": "And how would a comforting reminiscence break their will exactly?"
"HASH_865F82C0": "After basic, I entered service and was sent to the front line of the great war that was brewing on Planet Bedard. There, I led the charge against the great Bedardian commander Franscot. Using my innately keen insight, I surprised Franscot by:"
"HASH_615C1CC1": "GO TO [format][color:location]TANK MAYHEM[/format]"
"MOL_JB01_FAILURE_VIP_DIED": "THE VIP DIED!"
"HASH_EB571DC1": "GO TO [format][color:location]ACTIVITY START[/format]"
"HASH_521CE6C1": "DEFEAT THE [format][color:kill]THROWBACK CLONES[/format]"
"HASH_F1A7A7C1": "SAINTS HQ HAS BEEN ABANDONED!"
"HASH_5514BAC1": "COMMANDING TROOPS"
"HASH_339248C1": "Order of operation, don't you know. Yes, I admit, I let my personal dislike for that heinous bully overcome me and I snapped Zinfax's neck like old bark flaking off a dying oak. My time at Zinkov Preparatory now at an end, I entered yet another phase of my life, one that would take me to a great many exotic locations and allow me to realize, finally, my true potential."
"HASH_1FDF33C2": "HACK THE STEEL MILLS RUSTYS NEEDLE"
"HASH_07CC6BC2": "MEET PIERCE ON THE SHIP"
"HASH_991842C2": "KILL [format][color:Location]JULIUS[/format]"
"HASH_256DA6C2": "START MISSION"
"HASH_76D609C2": "GO TO [format][color:location]ANGEL'S CASINO[/format]"
"HASH_943DD8C2": "EXIT GAME"
"HASH_3ACFE4C2": "DRINK THE MILK"
"HASH_EE9C9DC3": "MEET [format][color:Location]FUN SHAUNDI[/format] ON SHIP"
"HASH_A4E21DC3": "GET IN THE  [format][color:location]HELICOPTER[/format]"
"HASH_ECB5EDC3": "NOT ENOUGH PEDESTRIANS KILLED!"
"HASH_210A03C3": "TAKE [format][color:use]HELICOPTER[/format]"
"HASH_79A98EC3": "ENTER [format][color:use]HELICOPTER[/format]"
"HASH_D36E3DC3": "APPROACH THE COMPUTER"
"HASH_EE92A8C3": "A LIFE WITH ONLY ME"
"HASH_4AE775C4": "HACK THE PLANET ZIN IN ROSEN OAKS"
"HASH_317C84C4": "KILL [format][color:kill]ATTACKERS[/format]"
"HASH_55CEF8C4": "HEAD TO THE [format][color:location]ROOF[/format]"
"HASH_34F8BFC4": "GO TO [format][color:location]DROP OFF LOCATION [/format]"
"HASH_80017DC4": "PASSENGER ESCAPED!"
"HASH_BDEC4BC4": "ENTER [format][color:use]CAR[/format]"
"HASH_1346C3C4": "CHASE [format][color:location]CYRUS[/format]"
"HASH_11089CC4": "SNEAKING INTO HIS BASE UNDER THE COVER OF DARKNESS"
"HASH_8D063AC4": "SCIENCE"
"HASH_BE6631C5": "KILL AND LET DIE"
"HASH_5B70C9C5": "COLLECT [format][color:use]SHOTGUN[/format]"
"HASH_FADFA3C5": "\\"TIME TO GO, MATT\\""
"HASH_BCE483C5": "QUIRKZURG"
"HASH_FFCEF2C5": "And I thought I had left such uncultured diversions back on Zin. I learned then that this so-called \\"sport\\" had reached a far wider audience than I had hoped. Yes, Quirkzug chose to challenge me at arm wrestling. "
"HASH_EBD1AEC6": "HOT AND COLD"
"HASH_84E11DC6": "SHAUNDI DIED!"
"HASH_BB232FC6": "\\"SHUT THE HELL UP, KILLBANE\\""
"HASH_97721BC6": "TOUCH THE PENDULUM"
"HASH_C66ED8C7": "HACK [format][color:Location]NOBODY LOVES ME[/format]"
"HASH_3846C8C7": "RACE THROUGH THE SYSTEM"
"HASH_E77FA9C7": "MEET [format][color:Location]KINZIE[/format] ON SHIP"
"HASH_D021FEC7": "RUN BACK TO GET THE OTHER TORCH"
"HASH_033E59C7": "SHOOT [format][color:kill]GENERATOR[/format]"
"HASH_B5B56FC7": "SURVIVE"
"HASH_3386AAC7": "CLUB MANAGER DIED!\n KEEP HIM ALIVE UNTIL YOU'VE INTERROGATED HIM."
"HASH_7E39F1C7": "SAVE THE HUMAN RACE"
"HASH_7ED3C2C7": "\\"AND WHO'S THAT?\\""
"HASH_563F51C7": "Once the Simulation was completed, all I needed to do was:"
"HASH_FA379AC8": "You've been a leader for a long time. Do you remember what it's like to serve?"
"HASH_945CD2C8": "GET BACK TO [format][color:location]RALLY[/format]"
"HASH_9EA69CC8": "MAKE A COCONUT RADIO"
"HASH_4A04CAC9": "CLEAR OUT ZIN TROOPS"
"HASH_7E241AC9": "SHUT DOWN [format][color:Location]HOTSPOT[/format]"
"HASH_FCD831C9": "GO TO [format][color:location]GRIEVES' CHOP SHOP[/format]"
"mm_3_3_failure_ufo_abandon": "YOU LEFT THE UFO!"
"HASH_8EDE6FC9": "TAKE PHOTO-OP"
"HASH_DB39CFC9": "Matt Miller weakly nods.  \\"Alright then.\\"\n\nWhat should Matt do?"
"HASH_770745C9": "\\"I'M A SLAVE\\""
"HASH_20B62FCA": "CLEAR OUT ZIN TROOPS"
"HASH_638049CA": "COMPLETE [format][color:Location]RACE[/format]"
"HASH_BFC44ACA": "REPORT BACK TO MATT"
"MOL_P01_FAILURE_ESCAPE": "THE TARGET ESCAPED"
"HASH_E82651CA": "PLANT [format][color:use]BOMBS 0/2[/format]"
"HASH_5C91DDCA": "MY OWN FRAGILE EGO"
"HASH_E84F2FCB": "SHUT DOWN [format][color:Location]HOTSPOT[/format]"
"HASH_26262CCB": "REPORT BACK TO KINZIE"
"HASH_37DF89CB": "GO TO [format][color:location]THIRD STOP[/format]"
"HASH_9CC92BCB": "GO TO [format][color:location]SMILING JACK'S[/format]"
"HASH_DC11CACB": "TAKE A VEHICLE TO [format][color:location]RIM JOBS[/format]"
"HASH_887B06CB": "DEFEND WITH [format][color:defend]GAT[/format]"
"HASH_C0B0A8CB": "I am proud to state that Zinjai passed every test in spectacular fashion-though we did almost have an incident when:"
"HASH_C573BBCB": "QUESTIONED MY AUTHORITY IN FRONT OF THE TROOPS"
"HASH_9F7BC7CC": "MEET SHAUNDI ON THE SHIP"
"HASH_758E69CC": "INITIALIZE VIRUS INJECTION"
"HASH_1C4680CC": "MISSION ABANDONED!"
"HASH_DC65ADCC": "EXPLORE THE TOWER"
"HASH_67F564CC": "DISARM BOMB"
"HASH_B1B86BCC": "LOOK AT THE UNICORN"
"HASH_1F4A57CC": "\\"CAN'T I GET ANOTHER WRESTLER?\\""
"HASH_331B63CC": "TOUCH THE PENDULUM"
"HASH_C54064CC": "DESTROY [format][color:kill]ALIENS[/format]"
"HASH_0EE7F6CC": "A MUSEUM DEDICATED TO THE GREATEST CULTURES OF THE UNIVERSE"
"HASH_79D120CD": "MEET KEITH ON THE SHIP"
"HASH_36546ECD": "ANOMALOUS READINGS"
"HASH_D9B34FCD": "Cyrus is gonna pay for that fucking poodle skirt."
"HASH_F917FDCD": "FINISH OFF TANYA"
"HASH_744886CD": "START AGAIN"
"HASH_892D0ECD": "ENTER THE [format][color:location]STATUE[/format]"
"HASH_DABABACD": "\\"YOUR MOM'S A SLAVE\\""
"HASH_F6EB8ECD": "MAKE A RAFT OUT OF SEAGULL CORPSES AND KALE"
"HASH_8AF42CCE": "CO-OP MISSION"
"HASH_6A637DCE": "UPLOAD [format][color:Location]VIRUS[/format]"
"HASH_2C4A9DCE": "Let's go for a drive."
"HASH_920579CE": "You have selected {0} and {1}. Proceed with prototype selection?"
"HASH_3FF709CE": "LEAVE [format][color:location]CASINO[/format]"
"HASH_6792A2CE": "JUST WALK AWAY"
"HASH_B921D8CE": "Indeed! No longer was I a simple passenger on our interplanetary death vessels, I now had my hand firm upon the rudder. Metaphorically speaking, of course, interplanetary death vessels are steered by complicated navigation systems."
"HASH_A6209ACF": "MISSION COMPLETE!"
"M06_FAILURE_OUT_OF_TIME": "CONNECTION TERMINATED"
"HASH_5EB6DBCF": "DODGE KILLBANE'S COUNTERATTACK"
"HASH_2C8382CF": "WE WERE ATTACKED PRIOR TO THE DINNER COURSE OF A FINE MEAL"
"HASH_0CEC12CF": "I shan't abide any author who dares suggest frugality and the demand for a proper work ethic are grounds for otherworldly intervention. I don't care if the worker's boy is on crutches! That man had a business to run! \n\nNo. Absolutely not."
"HASH_A2282BD0": "CO-OP RIFT"
"HASH_62C279D0": "UPLOAD [format][color:Location]VIRUS[/format]"
"HASH_1C9969D0": "KILL [format][color:kill]REINFORCEMENTS[/format]"
"HASH_858DA5D0": "WAIT FOR [format][color:defend]RESCUE VEHICLE[/format]"
"HASH_FACFA1D0": "FAILED TO ESCAPE THE SAINTS HQ IN TIME"
"HASH_DC540BD0": "Matt Miller takes advantage of Killbane's surprise and punches him again.\n\nKillbane yells, \\"This is impossible!\\"\n\nWhat should Matt do?"
"M01_OBJ_KILL_ZINYAK": "FIGHT [format][color:kill]ZINYAK[/format]"
"HASH_59F431D0": "It was time to leave terra firma behind me and venture toward the stars. After forcibly convincing my crew to celebrate my newly-appointed position with a soiree in my honor, we lifted anchor and spread our sails (again, metaphorically speaking) towards destinations just ripe for the picking. \n\nAnd that, dear reader, is where my tale gets most exciting."
"HASH_176B30D1": "If you stabilize the environment, I can upgrade your powers."
"HASH_CAD8FBD1": "STAND [format][color:defend]GUARD[/format]"
"HASH_175171D1": "THAT BURNING SENSATION"
"M16_FAIL_SHAUNDI_DIED": "SHAUNDI DIED!"
"HASH_4F34B9D1": "KILL ZINFAX AND THEN ENTER MILITARY SERVICE"
"HASH_8764EAD2": "HACK [format][color:Location]PLANET ZIN[/format]"
"HASH_D17637D2": "HACK THE RUSTY'S NEEDLE IN NEW BARANEC"
"HASH_F4A94CD2": "STEAL [format][color:Location]VEHICLE[/format]"
"HASH_72F161D2": "SHUT DOWN THE HOTSPOT"
"HASH_E0CFE3D2": "MEET JOHNNY ON THE SHIP"
"HASH_F62AB7D2": "Prototype updated model of the STAG tank, extra damage, more armor, more killing."
"HASH_3AC004D2": "ATTACK [format][color:kill]VIRUS CARRIER[/format]"
"HASH_88EF38D2": "DRINK THE MILK"
"HASH_A4BE0CD2": "INVESTIGATE THE PLANET"
"HASH_C7DD6CD2": "As was custom in his native home of Zinburgh, Zinjai faced his brother in a duel to the death at the age of three years old. Zinjai won. \n\nOh, I should note that duels to the death are used in some cultures as greetings. A most curious tradition, that."
"HASH_917389D3": "%ls DECLINED"
"HASH_27DBEBD3": "INITIALIZE VIRUS INJECTION"
"M16_FAIL_BEN_KING_DIED": "BEN KING DIED!"
"HASH_4D1FD5D3": "\\"BITCH\\""
"HASH_614EE1D3": "\\"FUCK OFF\\""
"HASH_2C3076D3": "ELIMINATE CANCER FOREVER"
"HASH_9E71B1D4": "FUN TRUMPS ALL"
"HASH_27C927D4": "CARJACK THE DATA"
"HASH_0C8FD4D4": "MEET ANGEL AT [format][color:location]ANGEL'S CASINO[/format]"
"HASH_285C2FD4": "SHOOT OUT THE [format][color:kill]LIGHTS[/format]"
"HASH_B838CED4": "The computer does not fuck off.\n\nWhat do you type?"
"HASH_818FE7D5": "CLEAR [format][color:Location]ZIN TROOPS[/format]"
"HASH_92C647D5": "KILL [format][color:kill]DEALER [/format]"
"MOL_JB01_FAILURE_LIMO_DES": "THE CAR WAS DESTROYED!"
"MOL_BK_01_BEN_DIED": "BEN KING DIED!"
"HASH_0259E0D5": "LOCATE KEITH DAVID"
"HASH_48FF7FD5": "PUNCH KILLBANE AGAIN"
"HASH_185148D6": "ASCEND THE TOWER"
"HASH_CF197BD6": "STEAL [format][color:Location]VEHICLE[/format]"
"HASH_12592AD6": "She may not be the most pleasant person, but if you're going to stop Zinyak, you need Asha."
"HASH_5C4C8FD6": "GET BACK TO THE [format][color:location]UFO[/format]"
"HASH_983A3AD6": "DEFEND [format][color:defend]POSITION[/format]"
"HASH_0B81D6D6": "Jane. Sweet, sweet Jane, how like my mother's dreams, you are. Even now, all these years later, just the thought of Emma, Elinor, and Elizabeth's exploits and romantic missteps brings a lump to my throat. Oh, the intoxicating back and forth between Miss Bennet and Mr. Darcy, how I could read those lines toward infinity."
"HASH_5326FAD7": "MEET [format][color:location]KINZIE[/format]"
"HASH_D01571D7": "GO TO [format][color:location]CID[/format]"
"HASH_620122D7": "SEARCH FOR SECRET DOORS"
"HASH_C03176D7": "SOURCE HEALTH"
"HASH_CCF31ED7": "\\"I WANT TO RESCUE MATT MILLER\\""
"HASH_A2FD77D7": "PICK UP [format][color:use]ROCKET LAUNCHER[/format]"
"HASH_BE4C1CD7": "Zin may not be the most cultured celestial body but it's still my home."
"HASH_87F785D8": "START LUCHADORE STRONGHOLD"
"HASH_9ADFDDD8": "If you want 100%, you'll do this."
"HASH_057007D8": "KILL [format][color:Location]TARGET[/format]"
"HASH_B846AAD8": "MEET [format][color:Location]FUN SHAUNDI[/format] ON SHIP"
"HASH_E8C26ED8": "GET TO [format][color:location]COVER[/format]"
"HASH_B6E7E0D8": "PURCHASE NEW CLOTHING"
"HASH_42D96ED8": "JOSH DIED!"
"HASH_2C8640D8": "\\"NICE OUTFIT\\""
"HASH_00D774D8": "WALK ON THE MOON"
"HASH_34FF8CD8": "Those words kept me strong through four years of demanding study, kept my mind clear from physical distraction, and are to thank for my graduating with honors from Zinkov Preparatory, a first for anyone from the hamlet of Zinshire."
"HASH_9CBE96D9": "HACK THE FRIENDLY FIRE IN LOREN SQUARE"
"HASH_C6444CD9": "HELLO TEACUP"
"HASH_E976ADD9": "\\"YOU LOCKED ME IN A VIRTUAL HELL HOLE!\\""
"HASH_FA6458D9": "Building the radio was easier than you expected... syndicated reruns have given you the tools needed to survive. Sadly, you have no place to plug it in.\n\nWhat do you do?"
"HASH_C52799D9": "\\"I'M A SLAVE\\""
"HASH_B6EAB8D9": "In its own way, I suppose it is. But that's not the answer I'm looking for."
"HASH_813246D9": "While it is a stirring morale booster, that was not the tactic I used."
"HASH_E44AFBDA": "WIN [format][color:Location]M.O.M.[/format]"
"HASH_C757D7DA": "KILL [format][color:Location]TARGET[/format]"
