"HASH_0FFDDB00": "RECRUITING"
"HASH_CD4B6FF0": "%ls has been killed!"
"HASH_2F1431F0": "Don't Look Down"
"HASH_105658F1": "Have a homie deliver a helicopter."
"HASH_CA5ED9F1": "TANK"
"HASH_1663E9F1": "JOSH"
"HASH_0FA264F1": "Mutilate your enemies by tearing them to shreds!"
"HASH_A170DEF1": "%s is down!"
"HASH_B10448F2": "REWARDS - MORNINGSTAR"
"HASH_AC1714F2": "WEAPON HOMIE"
"HASH_57328DF2": "Something is blocking your path."
"HASH_E91A2FF2": "THE SAINTS NEED YOU IN STEELPORT"
"HASH_E5C993F3": "{ACTION_IMG} SCOPED ZOOM MODE"
"HASH_93908AF3": "Homies get a medium health boost"
"HASH_0A079AF3": "DAMAGE - SMALL ARMS 3"
"HASH_A63176F3": "LV{0}"
"HASH_8D4A7FF3": "Hack failed!"
"HASH_2E1A31F4": "HUMAN SHIELDS"
"HASH_26C7DDF4": "Vehicle Delivery can be found in your HUB \\"PHONE\\" menu. Use it to instantly retrieve that have been scanned using {SCAN_IMG}."
"HASH_88F2F3F4": "Carry 75%% more special ammo"
"HASH_07ECB8F4": "The official Nyte Blayde Bloody Cannoness outfit."
"SPECIAL_ABDUCTION": "ABDUCTION GUN"
"HASH_81C1D5F5": "{FIREARM_IMG} FIRE WEAPON"
"HASH_653090F5": "Harder instances of PROF. GENKI'S M.O.M. Activity are available in the simulation. \nCheck your MAP for locations."
"HASH_B8795BF5": "Your gang can now use Luchadore vehicles."
"HASH_7A526FF5": "New Downloadable Content is available in your Gateway Weapon Cache."
"HASH_9E0EDEF5": "Full medieval style armor."
"HASH_2F1459F5": "Roll with Zimos. "
"HASH_7407C1F5": "Compact SMG that fires bullets in extremely rapid succession."
"HASH_C259D4F5": "'MERICA"
"HASH_B85735F6": "FLASHPOINTS"
"HASH_044C97F6": "SILVERLINK - XP"
"HASH_4D30EFF6": "You now receive a 10%% bonus to all Respect earned for upgrading the Nuke Plant crib."
"HASH_9A36B2F6": "This Stronghold is yours!\nCustomize and Upgrade it at the 'Safeword' Crib to extend the Saints control and receive huge upgrade bonuses."
"HASH_75E375F6": "EXPLOSIONS - NO RAGDOLL"
"HASH_89A5F7F7": "PRESS {CROUCH_IMG} CROUCH \nCrouching makes you more accurate when firing."
"HASH_F85035F7": "INSTANT RELOAD - SMGS"
"HASH_2F614DF7": "New Downloadable Content available in your Crib Wardrobe, Weapon Cache, and Garage."
"HASH_E50B2DF8": "Continue to Zoom Aim at the clerk to rob this store."
"HASH_EA202DF8": "You can now have Guardsmen in your gang."
"HASH_F7DBE5F8": "SUPER JUMP"
"HASH_CF9A8FF8": "AGAIN TO DISMISS PARTY"
"HASH_987D68F9": "DIVERSION HUD"
"HASH_E26E63F9": "STAMINA - INCREASE 4"
"HASH_616DAFF9": "Carry 25%% more SMG ammo"
"HASH_FFE841F9": "REVIVE YOUR [format][color:purple]HOMIE[/format]"
"HASH_D11CC6FA": "{PRATFALL_ALT_IMG} / {PRATFALL_IMG} RAGDOLL \n{ANALOG_LS_IMG} AIRBORNE AFTERTOUCH"
"HASH_06FF55FA": "AMMO - PISTOL 2"
"HASH_894E9AFA": "Increase the length of the Stamina bar."
"HASH_C1624BFA": "DONNIE"
"HASH_1F9290FA": "SNIPER AMMO"
"HASH_426409FA": "ATTACK MATT"
"HASH_72C171FA": "On Her Saint's Secret Service"
"HASH_4343CDFB": "HOMIE - OLEG"
"HASH_62D1DDFB": "Your Deckers Notoriety will decay at a much faster rate"
"HASH_EC6762FB": "Your gang can now use Morningstar vehicles."
"HASH_78FE9EFB": "You store 10%% more ammo in your Crib Weapon Cache."
"HASH_3BE99DFB": "Are you sure you want to leave the Stronghold?\nYou will lose all progress since the last checkpoint."
"HASH_C544DEFB": "SECONDS"
"HASH_53D8D2FC": "MINIGAME"
"HASH_8B2E8BFC": "{CROUCH_IMG} CROUCH \nCrouching makes you more accurate when firing."
"HASH_4AE031FC": "Minor reduction in damage taken from fire."
"HASH_856CEDFC": "CYRUS TEMPLE"
"HASH_0787D6FC": "A working model of Kinzie's arm cannon from the Decker Use-Net.  Where does she get the time?"
"HASH_86B291FC": "FLASHPOINT DISCOVERED"
"HASH_D6B765FD": "CROUCH"
"HASH_E99B58FD": "Fun Bob hairstyle."
"HASH_C1566FFE": "AMMO - SMG 2"
"HASH_7C150BFE": "Minor reduction in damage taken from bullets and lasers."
"HASH_01EA2DFE": "Call up Lin to back you up."
"HASH_03EDD3FE": "RETRY OR EXIT MISSION?"
"HASH_6961C2FF": "STRONGHOLD"
"HASH_8C6ECDFF": "UNARMED"
