"HASH_B9F9F000": "Maybe later, alright?"
"HASH_379D8FA7": "So we're not blowing up?"
"HASH_ED506FA7": "Fuck! I..."
"HASH_4FDCCFA7": "So, NyteBlayde, huh. What else can you tell me? Does he a love interest or anything?"
"HASH_023F77A7": "Enter Zinyak."
"HASH_E1310FA7": "That is MISTER Keith David to you."
"HASH_C100FBA8": "I wouldn't put us in harm's way without some backup protocol, you know."
"HASH_52E17BA8": "Yes...."
"HASH_ABD133A8": "Since when did the Vice Kings have giant robots?"
"HASH_476A93A8": "Ain't nothin' unethical about that!"
"HASH_5C3B67A8": "Though you sure you won't get me the whole--"
"HASH_79F78BA8": "That's all, folks!"
"HASH_7F191FA9": "Destination, Kinzie?"
"HASH_03C0B7A9": "Here they come."
"HASH_B486C3A9": "We're sure.  If she had, things would be a lot worse off in here."
"HASH_6B7E4FA9": "Kinzie? Kinzie?"
"HASH_20260BA9": "I see you put on your big-boy pants.  Great.  Now can we get on with it?"
"HASH_40402BA9": "When you're the Head of State, you set your own rules. And this simulation is the same way."
"HASH_61DB83A9": "But figuring out how we couldn've made the Key fly is worth our time?"
"HASH_FD3E37A9": "The reporter from GenkiBowl? I reckoned it'd be a royal or something."
"HASH_3DEC1BA9": "Wait, is that a shield generator?"
"HASH_73A2C7A9": "I know that.  You think I don't know that?"
"HASH_67DAEFA9": "Shh! He'll hear you."
"HASH_6E7003A9": "Do be careful."
"HASH_4EC1BFA9": "Translation device! Ha! Nice one, Kinz--oh, there it is."
"HASH_EBBF0BA9": "Deal."
"HASH_CF9263A9": "Bohemian Shaundi might go along with it..."
"HASH_FFFCDFA9": "Tell me, Keith!"
"HASH_0821A3A9": "Propaganda truck, huh? Come at me!"
"HASH_2BA3EBA9": "Let me load up a few targets from the simulation for you."
"HASH_7A53EFA9": "SHIT...!"
"HASH_9E2B43A9": "Well nobody could replace you, Johnny."
"HASH_536C93A9": "Well, things get messy sometimes..."
"HASH_31A0D7A9": "We need to take out these guards."
"HASH_BEB407A9": "Did I hang a velvet Elvis in the Smithsonian?"
"HASH_43C077AA": "Hey, he came close that one time!"
"HASH_13CB37AA": "Well, you don't have super powers either."
"HASH_F61417AA": "Crash-land if you have to!"
"HASH_FC7EA3AA": "*sigh*  Kinzie, stop talking."
"HASH_B43983AA": "That was a nice piece of shooting."
"HASH_8605DFAA": "I don't even care that I can't swear!"
"HASH_A23767AA": "Great.  Listening to the creepy blocked caller could never go bad..."
"HASH_46CD5FAA": "I have to find her."
"HASH_CEBF93AA": "So I'm not really a NyteBlayde fan. What's the Cyprian Order?"
"HASH_550A63AA": "Watch your proximity meter to see if you're getting closer to the cluster or farther away."
"HASH_BE8017AA": "Kinzie, what now?"
"HASH_B5FE67AA": "Hey, I heard \\"pilotable statue\\".  That's enough for me."
"HASH_92312BAA": "Hm. Shaundi, you and CID make sure this ship remains intact. Gat, you're with me."
"HASH_935E5BAA": "Kinzie, what happened to Shaundi?"
"HASH_BA115FAA": "Gat! Let me go in first!"
"HASH_17CA63AA": "Feel better?"
"HASH_1FE287AA": "Why would I waste *two* bullets on those lights when I can just use *one* on the guard?"
"HASH_34FAA7AB": "Good work, Kinzie... now hook me back up with the tank and I can finish this..."
"HASH_BF9A0BAB": "What? Oh god no! Oh shit, man. Don't even put that in my head. "
"HASH_EF3883AB": "HUB?"
"HASH_2048BBAB": "It's great seeing you enjoy the outside world, but we need to stay focused Kinzie.  What's next"
"HASH_86021FAB": "Warren Williams is gonna pay for taking my girl."
"HASH_2D5443AB": "Neither of which I've ever seen.  And this is amateur night, not open auditions."
"HASH_113E7FAC": "BONUS ROOOOOOUND!"
"HASH_0373F7AC": "We kill that motherfucker."
"HASH_139253AC": "The thug who launched a nuclear missile to take out America because he's a big baby that hates losing? Name rings a bell."
"HASH_595BF7AC": "Come on, you kicked Killbane's ass in that game."
"HASH_E910F3AC": "UUUUPP!"
"HASH_784097AC": "I knew Genki couldn't be too far behind."
"HASH_04FF8FAC": "Gat! Let me go in first!"
"HASH_4BBA7BAC": "Right."
"HASH_27CFB3AC": "Let her go, Veteran Child."
"HASH_15D267AC": "Keith! Keith, you have to stop!"
"HASH_B9C5AFAC": "What the hell..."
"HASH_C8DC17AC": "Wait... Shaundi?"
"HASH_AC192BAC": "Oh. Ooooh."
"HASH_CDD0C7AC": "Why would you want to help me and how do you know who I even am?"
"HASH_1BB0B3AC": "Been a helluva ride, hasn't it..."
"HASH_D0B803AC": "Well that's about as clear as mud.  And why don't they float...?"
"HASH_669DD7AC": "What is this?"
"HASH_4E28FFAC": "Holy shit...how many of you are there?"
"HASH_1E50CBAD": "A lone bloke, forever on the prowl, looking to kill those who forever denied him love. "
"HASH_46C78FAD": "You think you can come here and fuck with MY country?"
"HASH_31C283AD": "But I'm the President, dammit."
"HASH_005F47AD": "The data I'll be working against is buried in the security protocols.  Hack this gun shop so I can see what's in there."
"HASH_40DAC7AD": "I can handle whatever that asshole throws at me."
"HASH_79EBCFAD": "Scan fast."
"HASH_25E5CBAD": "Exactly."
"HASH_B2409BAD": "Whoops..."
"HASH_323947AD": "Kinzie, can't you shut him up?"
"HASH_444ADFAD": "Clever, but kind of a dick thing to do, mate."
"HASH_C50F1FAD": "What am I picking up in your voice there, sweetie?"
"HASH_223DD3AD": "Woo. Tingly."
"HASH_84F0AFAD": "Right."
"HASH_6CF3D3AE": "Voila."
"HASH_D3ACC7AE": "Here we go."
"HASH_EDEE43AE": "I gotta put up with this every time?"
"HASH_5B3577AE": "If you want the shield down, throwing me into the shield generator is the thing to do."
"HASH_7B981FAE": "If it works, sure thing."
"HASH_DDC36BAE": "Gee, Ben. Thanks."
"HASH_17B113AE": "Ouch, sorry about that one."
"HASH_7DC4ABAE": "I'm also lying. But I'll be there as soon as I can."
"HASH_BFA5A7AE": "Oh yeah... Matt had it REAL bad..."
"HASH_FFDD83AE": "Well nobody could replace you, Johnny."
"HASH_81F56FAE": "And that means what?"
"HASH_B5730BAE": "I could do this all day..."
"HASH_257453AE": "You attacking this ship, Kinzie?"
"HASH_CEA763AE": "Any idea what the loud speaker is saying?"
"HASH_5EDD77AE": "DELETE"
"HASH_EE4E9BAE": "Josh Birk. How's life after NyteBlayde?"
"HASH_095A7FAE": "If you think you could manage, that would be much better."
"HASH_AA4377AE": "Shit, think I killed her..."
"HASH_63212BAE": "At least your direct."
"HASH_DF816BAF": "Shoulda paid your bill."
"HASH_4B81F7AF": "You have done well.  Now I will no longer be the cause of you not completing all the tasks available for you to do.  Here is your immediate reward as well."
"HASH_9702AFAF": "Yes, Kinzie. I did."
"HASH_7F885FAF": "Um. Sure."
"HASH_E2D0C3AF": "What's next?"
"HASH_CA2D6BAF": "Down but never out, Zach."
"HASH_7BC95BAF": "Maybe we could get CID one of these murderbots instead?"
"HASH_7D663FAF": "I made magic on that stage, Matt! Did you see it?"
"HASH_53CBE3AF": "I cannot put into words how wonderful it is to have you back, Johnny. When we thought you were dead, well..."
"HASH_9F440FAF": "I will shoot you ALL down!"
"HASH_DB6F97B0": "DELETE"
"HASH_CB0EAFB0": "And you haven't told them to fuck off yet?"
"HASH_BA7F07B0": "If I end up killing the stripper don't blame me."
"HASH_997EA7B0": "More Zin dropping in like death from above!"
"HASH_1D3DBFB0": "Do you think he'll be okay?"
"HASH_FC0487B0": "I feel it in my brain, Kinzie... I have become Death."
"HASH_F833AFB0": "But..."
"HASH_B2D9E3B0": "Boss, you and King should head back down the street to where you came in.  It looks like Tanya is on her way."
"HASH_E611E7B0": "Oh yeah! This is my jam!"
"HASH_F177E7B0": "Listen!  I think I hacked in the right code to make it a giant, pilotable statue.  Use it to kill Paul."
"HASH_FE0B87B0": "Abduct my cabinet, I will rip your fucking head off."
"HASH_5AFC6FB0": "I can't believe MI6 sold us out."
"HASH_D896FBB0": "I want one!"
"HASH_6AF10BB0": "Isn't that overkill?!"
"HASH_7680A7B0": "Kinzie... am I...?"
"HASH_99514FB0": "So I bring the tank to the warehouse...what happens next?"
"HASH_15A113B0": "Is there anything you can do to make it go faster?"
"HASH_8CD28BB1": "Great. I have murderbots!"
"HASH_464F03B1": "I'm not going to let your key get hurt, Kinzie. Promise."
"HASH_ABC8C7B1": "While you reflect on what you just said, Kinzie, I'm going to follow the aliens to my friend."
"HASH_6EA56FB1": "Yeah, I guess he is.  You figure Donnie's out there, too?"
"HASH_F85EA3B1": "Hell yeah. You got it, Johnny."
"HASH_B1CCFFB1": "Suggestions?"
"HASH_7CECF7B1": "Au revoir."
"HASH_F2E57FB1": "Do you really wish to test that?"
"HASH_6FBC7BB1": "Hell yeah. You got it, Johnny."
"HASH_96604BB1": "Sweet!"
"HASH_2134FBB1": "Kinzie really seems to have stepped up. She's all right. "
"HASH_E8A80FB1": "I had one installed like the first day I was in office. Heh heh. Love the poles."
"HASH_F0BBCFB1": "Uh, Kinzie?"
"HASH_CABEAFB2": "Is that too much to ask?"
"HASH_590443B2": "Hey, I heard \\"pilotable statue\\".  That's enough for me."
"HASH_AD18F7B2": "Not very big."
"HASH_1653EBB2": "You're gonna get me outta here, right?"
"HASH_702C8FB2": "This certainly ain't the White House.  I miss my office there right now..."
"HASH_BB5A23B2": "You. Are so. Fucking. Dead."
"HASH_FD1593B2": "Don't let them get in this room!"
"HASH_D6B09FB2": "Get your ass back here this instant!"
"HASH_F250C3B2": "Good lighting, nice crowd. Ben, I'll meet you near the back. There's something I have to do."
"HASH_44D2D7B2": "Prize room! Nice."
"HASH_005637B2": "Do me a solid, self. Get the fuck off this floor."
"HASH_F34FDFB2": "Asha, I respect you too much to bullshit y--"
"HASH_4FA3DBB2": "Whoa, there.  Kidding. Why are you so pissed off?"
"HASH_193477B2": "Legwork, huh? All right. "
"HASH_1658BFB2": "What do you think'll happen to my younger self when this whole place crashes?"
"HASH_3B7AA3B2": "Here I come, Pierce!"
"HASH_DA027BB2": "Bank right!"
"HASH_28E2A3B2": "I look forward to stomping all over the murder floor."
"HASH_96F13BB3": "No difference."
"HASH_6F7043B3": "Hold on, let me pinpoint a way for you to--"
"HASH_287903B3": "Perhaps you could get your Chief of Staff to read me his biography sometime.  He does not seem to understand the difficulty I have turning pages on my own."
"HASH_884867B3": "And taking down Tanya is mine, you understand?"
"HASH_D836AFB3": "Not if you want me to actually understand what you need me to do."
"HASH_67ACB7B3": "Yeah, I'll be fine.  Now get going and finish this already."
"HASH_37E0CBB3": "It doesn't always work like that.  Sometimes the portal only opens up to a specific point in the simulation.  I'm sorry."
"HASH_7502B3B3": "Wow. You're really going all out with this."
"HASH_F6B247B3": "Get into the car! GET IN!"
"HASH_B7C37FB3": "Turn on the switch and..."
"HASH_E5B367B3": "Power up my dancing?  Ben, I don't need any boost to that, baby.  Dancing... kinda my life.  Well, it would be if I had more time for it.  I'm a fucking natural."
"HASH_5E34BFB3": "Right boss."
"HASH_D2DF87B3": "What happens when we get to Zinyak?"
"HASH_5B62B3B3": "Ugh, I feel like a dustbin at a truck stop."
"HASH_541C8FB3": "Maaaatt..."
"HASH_25104FB3": "Oh yes I CAN stop the signal!"
"HASH_C25CFFB3": "What's the plan, CID?"
"HASH_6CDD3BB3": "Kinzie didn't say anything about shit exploding."
"HASH_DCFA77B3": "Shit. What the fuck is going on?"
"HASH_B540D7B4": "You gonna be okay with these guys?"
"HASH_094213B4": "Zinyak's soldiers are everywhere."
"HASH_9D36F3B4": "Okay. Time to clock in."
"HASH_395193B4": "I will find that ugly son of a bitch..."
"HASH_0C462FB4": "Every five steps, I said."
"HASH_F3046BB4": "Gonna..."
"HASH_C7756BB4": "Step one, go back to the cargo bay and load up on bombs."
"HASH_D90F5FB4": "We have to get her back, boss.  I know you know that, but seriously, we have to!  Kinzie's the only one who can keep us alive out here in space on this alien ship.  I'm certainly not putting my life in Matt's hands forever.  Please get her back."
"HASH_A9AEFFB4": "Can't stay in here, Ben."
"HASH_8D1483B4": "Tell me, Keith!"
"HASH_40B2BFB4": "They think that's gonna stop a tank?"
"HASH_605BEBB5": "Right. Absolutely. Potential threats all over the place."
"HASH_D835FBB5": "I'm fixin' to bury you, Zinyak."
"HASH_4F8D4BB5": "DELETE"
"HASH_52D56FB5": "You don't even know what I was going to ask."
"HASH_59814BB5": "Ahh! Shit!"
"HASH_A399ABB5": "Kinzie, goddammit! I didn't get this far to sit on my ass--"
"HASH_98B067B5": "It shouldn't, no."
"HASH_D8DFF7B5": "I don't want to talk about what happened in my simulation so don't ask."
"HASH_510897B5": "Throw me into the shield generator and I will disable it."
"HASH_72539FB5": "Ain't nothin' unethical about that!"
"HASH_4FB14BB5": "Like hell we are.  Julius runs this shit.  And you just lost your chance to walk outta here alive."
"HASH_BD50FBB5": "Okay, we're done here.  Let's..."
"HASH_B601FBB5": "Alright. This is bugging me. I know that woman. Who is she?"
"HASH_9605E3B5": "Think I got the last one."
"HASH_DB46A7B5": "Those things all have people in them, don't they..."
"HASH_7F6397B5": "We're savin' her this time..."
"HASH_AD02EFB5": "That's sounds...like a hoot."
"HASH_CF26EFB5": "Is Matt sure I'm gonna be able to absorb their powers?"
"HASH_ABCDCFB6": "Is Cyrus really that bad of a guy?"
"HASH_D60F07B6": "I need to find something that looks important..."
"HASH_6EF097B6": "Look, I know secrecy is MI6's thing but I've kind of had enough with--"
"HASH_6EE2EFB6": "Seems evil me is about as scrupulous as Dane Vogel when it comes to using company resources."
"HASH_535753B6": "Trust me, that's a good thing.  Now let's get you out of here."
"HASH_B3C91BB6": "Now the guards."
"HASH_42D70BB6": "I GOT A ROBOT!"
"HASH_17F893B6": "DELETE"
"HASH_BFD36FB6": "Let's just focus on flying, shall we?"
"HASH_F9CB77B6": "No.  Well, yes-it's...Sorry this is a little awkward."
"HASH_8074F3B6": "Hey, Doris! We still down for tennis?"
"HASH_ADED03B6": "Oh. See, Kinzie, that actually makes it sound fun."
"HASH_C8EEBFB6": "Is this a spaceship? What the fuck?"
"HASH_C68AC3B6": "You've got a Warden coming for you. I'll get you out."
"HASH_59C073B6": "Ben, there is no time BUT this."
"HASH_558C2FB6": "Huh?"
"HASH_1B9CD3B7": "Why does the pirate have a raven?"
"HASH_01C393B7": "This is for Lady Liberty!"
"HASH_5AD917B7": "Shopping list is all checked off, so let's..."
"HASH_092EFFB7": "Get that thing and come pick me up, I'll be fine."
"HASH_94622FB7": "This better not be another murder light."
"HASH_DF72F7B7": "Ok, maybe abstract wasn't the right choice of words."
"HASH_E134AFB7": "Then let's go home..."
"HASH_BF6D53B7": "Oh I know."
"HASH_644517B7": "Dammit, Kinzie, you better--"
"HASH_DA8BB7B7": "Hey Kinzie, you wanna fuck?"
"HASH_1746E3B7": "Wow, she's really enjoying this."
"HASH_DA458FB7": "Feels familiar.  Doesn't someone try to kill me soon?"
"HASH_61B793B7": "Get away from me... I mean it!"
"HASH_69B923B7": "Whatever you do is your business, just leave me out of it..."
"HASH_2F77C7B8": "Every store you hack feeds me security data.  I can use that data to insert a virus which will open up a doorway back to the ship.  So go hack while I work on the virus."
"HASH_7F0187B8": "Any idea what the loud speaker is saying?"
"HASH_CF21B3B8": "Kinzie, where's Pierce?"
"HASH_5B8B4BB8": "Genki trained me for this moment..."
"HASH_570A9FB8": "Matt did it, it can't be that hard..."
"HASH_9CE517B8": "No kidding.  Does this guy really think we would just trust some random ghost in the machine?"
"HASH_AC2AB3B8": "What the hell? Is that OTHER Stilwater me?"
"HASH_EA4E7FB8": "Come on man, let's just get the fuck outta here..."
"HASH_112D17B8": "All I heard was \\"blah blah Key blah blah power generator.\\""
"HASH_8D4F73B8": "FUCK YOU PAUL!"
"HASH_80EEE7B8": "Alright, you two with me.  Your turn to shine."
"HASH_52B51FB8": "Wait--what?"
"HASH_E32F8FB8": "No."
"HASH_98D523B8": "Damn those things. How do they even get the tank balls through the doors?"
"HASH_D9E58BB8": "Fuck you, Zinyak."
"HASH_670E5FB8": "King, you still with me?"
"HASH_DCAA17B8": "Mmm! Freckle Bitches!"
"HASH_0502E7B8": "CID, you and me are gonna are gonna be best buds."
"HASH_F3AFEFB8": "That's no good.  I'm counting on them coming.  "
"HASH_2AB7CFB9": "Nevermind! I got this!"
"HASH_153203B9": "We're not going to let you down, Kinzie."
"HASH_93579BB9": "That is acceptable, monsieur Washington."
"HASH_FFFB5FB9": "Hey! You swore!"
"HASH_CB2FCBB9": "Throw me into the air again."
"HASH_DC50DFB9": "There is more to you than I thought."
"HASH_5FD22FB9": "You think?"
"HASH_1AA8C7B9": "Believe me, that's a bad idea."
"HASH_D8001FB9": "What the *BEEP* was that?"
"HASH_1204ABB9": "Kinzie, where we at on this?"
"HASH_17F7BFB9": "I'm hoping it'll be a robot."
"HASH_78D39FB9": "Hey, Matt, flip my superhero switch back to \\"On.\\""
"HASH_77C01BBA": "You gave me access to the webcam you set up in Viola's room, that's not an apology, that's creepy."
"HASH_232817BA": "Oh shit. One of these again?"
"HASH_61A8F3BA": "What's playing?"
"HASH_B0AA37BA": "The next infected person's on the move."
"HASH_0C3937BA": "Gee, thanks..."
"HASH_86350BBA": "What were we supposed to assume?"
"HASH_C0C093BA": "The fuck...?"
"HASH_342503BA": "Take that you *BEEP*!"
"HASH_05CDEFBA": "Get in! Get in!"
"HASH_AA8E5FBA": "Sounds good. Have Johnny meet me there."
"HASH_A514B7BA": "Cool, can I play games on it?"
"HASH_9E96A3BA": "Do you realize how crazy that sounds?"
"HASH_A455DFBA": "Don't."
"HASH_D28BBFBA": "Oh *BEEP*!"
"HASH_E7985FBA": "Ben, when do Tony and Tanya usually show up to kill you?"
"HASH_52BDB3BA": "Hon, this isn't working out so well."
"HASH_A91E53BA": "Thanks for the pep talk, Kinzie."
"HASH_E490F3BA": "OH, I am never drinking a Saints Flow again..."
"HASH_72F80FBA": "The big ugly mother. He's the one I want."
"HASH_9D02DFBA": "Is there more to this nightmare realm than shooting lights and clueless guards?"
"HASH_839E13BA": "I hope you don't mind but I took this opportunity to create something special for you two."
"HASH_DE950FBA": "If this is going to be authentic, I need to make sure to get every last detail right."
"HASH_21C65FBA": "Is the key finished?"
"HASH_9DD613BA": "And that means something to me?"
"HASH_366213BA": "Remember that meeting with your superiors? When they almost stripped you of your rank? "
"HASH_E526FBBA": "I'll be sure to give him your regards."
"HASH_4AD5DBBA": "Hey, I'm not complaining.  Though faster is better, Shaundi.  We're kinda under attack here."
"HASH_9C3E0FBA": "So where is this \\"Army of Minions\\" at?"
"HASH_8DF84FBA": "Ben King's a genius.  We managed to figured out how we can overload the simulation completely."
"HASH_235C8BBB": "Josh Birk. How's life after NyteBlayde?"
"HASH_0D6F2FBB": "Okay, we're here. What now? Is this over?"
"HASH_18C107BB": "But don't worry, you'll get them back once the exercise is complete."
"HASH_034783BB": "You two are with me. Time to bring the Zin empire to its knees."
"HASH_D56A1BBB": "Zinyak. Merde."
"HASH_FAE513BB": "That's no moon."
"HASH_93EA6FBB": "Keep saying shit that I understand and I'll buy you a pony."
"HASH_9D60F3BB": "Nevermind."
"HASH_A94C8FBB": "Without me, you'd still be stuck in those rifts without a body here or in the real world."
"HASH_EC33D7BB": "I hope you never had kids otherwise it'll be \\"hey George, go play in traffic with your friends.\\""
"HASH_70A9B3BB": "So play nice, or mama will take your toys away."
"HASH_711217BB": "Remarkable.  I am following your train of thought."
"HASH_65DAE7BB": "C'mon, it's cute."
"HASH_59414FBB": "I didn't know much about Asha Odekar before she helped us save the entire damn country, but in the years since, I've come to know her as one of the best soldiers I've ever met. If I'm going to take down Zinyak, I want her in my crew."
"HASH_EDDAF7BB": "That can't be good..."
"HASH_B935BBBB": "There's always a catch..."
"HASH_238E5FBB": "All those times I thought I was depressed, I probably just needed to kill someone with a mech suit..."
"HASH_E10BA7BB": "I'm picking up a lot of chatter but it's going by too fast."
"HASH_DB6BA7BC": "DELETE"
"HASH_DF3FCBBC": "Whatever...body count's never been a problem for me..."
"HASH_BA7693BC": "The nuke is stashed deep in the compound. It's likely primed and ready to go."
"HASH_E19B03BC": "Turned out it's Shaundi's nightmare. She's around here somewhere."
"HASH_62648FBC": "Work fast."
"HASH_1B3E03BC": "No. And it's not your power armor."
"HASH_2CB3DBBC": "I didn't let the crew kill me when you all took over, and I ain't lettin' you kill me now!"
"HASH_06566BBC": "I'm asking now."
"HASH_E87D0BBC": "With pleasure..."
"HASH_EB5A4FBC": "Be myself?"
"HASH_817947BC": "Did you not hear the part about this being easy?"
"HASH_ED7F03BC": "Man loves his own voice."
"HASH_5CA973BC": "Alright. Look, I'm glad I could help you two resolve...whatever it is you're resolving."
"HASH_A0BDFBBC": "Hey man, you can't just expect me to be ready again."
"HASH_B2956BBC": "Not unless you want it to."
"HASH_A8F543BC": "What are these, Zin pinatas?"
"HASH_725ACFBC": "Lower!"
"HASH_6E59A7BC": "Of course I do... I was just a kid when I came here.  Hell I was too scared to talk back then."
"HASH_A2A02FBC": "Thank you for the compliment but I'm a bit busy right now."
"HASH_B16C73BC": "Don't."
"HASH_6DBC97BC": "Sorry, man."
"HASH_09D303BC": "DELETE"
"HASH_231BFBBD": "You're the one who keeps running."
"HASH_C0C7A7BD": "Ha ha."
"HASH_1173D7BD": "Shit. Wh-what's it doing, Kinzie?"
"HASH_4D4C23BD": "What the hell is this place? These are all people."
"HASH_008913BD": "Lower! No, lower!"
"HASH_6EA72FBD": "You have fun with that. I'm taking the air duct."
"HASH_598323BD": "So you've failed like a thousand times already. Finally you decide to bring in help. And you choose who? My lesser half? That sociopath has never cared about anyone else in their entire life."
"HASH_842007BD": "That's the saddest radial menu I've ever seen."
"HASH_9F7EE7BD": "I can't erase them fast enough..."
"HASH_26B5B3BD": "Can't, they're internal to the simulation.  You're gonna have to get through them yourself."
"HASH_C0ACDFBD": "Now can I focus on this guy you won't tell me nothing about?"
"HASH_931F07BD": "Look out!"
"HASH_E2A777BD": "Julius?  He's not here, is he?"
"HASH_538DABBD": "Oh. More of those spheroid fellows."
"HASH_18F46FBD": "Plant some bombs around this walkway. I'm going inside."
"HASH_770087BD": "The rift is almost fully powered, but not quite."
"HASH_F68363BE": "Without Ms. Kensington, very doubtful."
"HASH_85E97FBE": "Is this going to take forever?"
"HASH_C8B33FBE": "Yep."
"HASH_FC604BBE": "I took out three of the relays. That's it, right?"
"HASH_5CC9BBBE": "What kind of matter you talking about?"
"HASH_C2EB9BBE": "What ever happened to single combat?"
"HASH_17D177BE": "Bert to Ernie. Bert to Ernie. Activate South Portico defenses."
"HASH_6FC1FBBE": "That assumes you're going to win.  You know what they say about assuming things."
"HASH_5067EBBE": "Can you show me that virus upload thing you do again? That's good stuff."
"HASH_270C83BE": "Gee, thanks..."
"HASH_121137BE": "I admit it's strange following you into battle like this. But I think you're not doing a terrible job."
"HASH_36DEEBBF": "KINZIE.  "
"HASH_1E8663BF": "I figure once we're free, we need to get this ship to a new hiding spot. Somewhere safe, somewhere..."
"HASH_8FEC33BF": "Do I need more than three of these things?"
"HASH_5B76EBBF": "Can you believe Kinzie keeps calling this thing power armor?"
"HASH_29BDB3BF": "The Saints."
"HASH_EFE0FFBF": "Stop playing around, you two!"
"HASH_19710BBF": "There, got it."
"HASH_7C65F7BF": "Might wanna hold that thought, the way through is closing off."
"HASH_8AC203BF": "Then how's this meant to cause him grief?"
"HASH_37BA8FBF": "We almost done?"
"HASH_0FE1EFBF": "So much for her giving up."
"HASH_893E47C0": "To the cockpit!"
"HASH_B142A7C0": "The fish...?  Wait, what were we talking about?"
"HASH_DB9F4BC0": "Time to make a monument."
"HASH_325BDBC0": "Because they aren't being deleted.  Here, I'm hacking in a weapon that'll remove each one's code."
"HASH_FAE95BC0": "By all means, continue this futile attempt."
"HASH_76D0CFC0": "I don't know if I can."
"HASH_22EEBBC0": "Ta, Matt.  Pleasure doing business with you."
"HASH_8B3987C0": "Shit, yeah, I remember now."
"HASH_B90E4BC0": "Do your thing then we can go after Tanya."
"HASH_07B503C0": "Ah, isn't there a nice hotel or something I can use instead?"
"HASH_804BC7C0": "That was amazing but I did not see Tanya anywhere."
"HASH_059477C0": "You know, I am glad that you rescued me first.  If it was Pierce first, I'd never hear the end of it.  It'd be all \\"the boss likes me better\\" and shit.  Though you really do need to tell me more about Paul sometime.  Don't think I'll ever let him live that down.  Maybe we could make a t-shirt."
"HASH_249D5BC0": "Exactly."
"HASH_668107C1": "Where the hell is Pierce with that helicopter?"
"HASH_74C35FC1": "Asha, that light has a family..."
"HASH_58BC43C1": "How sure are we that I'm allowed to buy guns here?"
"HASH_07CDB3C1": "We have one shot with this key, you know. We have to make it count."
"HASH_BC0A77C1": "Sounds good. Have Johnny meet me there."
"HASH_BAF97BC1": "Now they're at peace."
"HASH_CD9377C1": "To give his soldiers more juice?  I don't know, you said they're so \\"amazing\\"."
"HASH_ACEF9BC1": "Okay, we're here. What now? Is this over?"
"HASH_6EE51FC1": "No. I don't know if Zimos made it but Oleg is... well..."
"HASH_C7AC3FC1": "No more repairs here, mate."
"HASH_A8DCEBC2": "Wish I had something with more punch."
"HASH_F48437C2": "Oi!  That's Ben!"
"HASH_FA673FC2": "You mind telling us what this thing looks like?"
"HASH_7752DBC2": "If it helps..."
"HASH_C8CB03C2": "Where is this going, CID..."
"HASH_EC58B7C2": "Good point."
"HASH_A6A92FC2": "That assumes you're going to win.  You know what they say about assuming things."
"HASH_7AA9DFC2": "NO SUCH THING."
"HASH_B75E23C2": "Kinzie? Kinzie?"
"HASH_D500CFC2": "Even your technology won't save you."
"HASH_499ADBC2": "I want one!"
"HASH_E16BA7C2": "Oh god, now THIS is the jinx."
"HASH_45B05BC2": "Just wish I could've saved my shoes..."
"HASH_7A312FC2": "Hold on, doesn't someone try to kill me soon?"
"HASH_AD5517C2": "Shit. Where's Processing Chamber 9?"
"HASH_BAF2BBC2": "Now I'm following Josh Birk's TV alter-ego around the city. It's a dream come true."
"HASH_6A3143C2": "Oh, no you don't!  This ain't gonna be the day the music died."
"HASH_A41513C2": "Kinzie, what happened to Shaundi?"
"HASH_3387AFC2": "Josh Birk. How's life after NyteBlayde?"
"HASH_05257FC2": "Matt, you might just be a genius after all."
"HASH_BF189FC3": "Been a helluva ride, hasn't it..."
"HASH_92806FC3": "Shaundi--!"
"HASH_EB0A07C3": "DELETE"
"HASH_034903C3": "Just do it!"
"HASH_F2A343C3": "Now I'm following Josh Birk's TV alter-ego around the city. It's a dream come true."
"HASH_668C13C3": "Kinzie, where's the door?"
"HASH_A73753C3": "You wouldn't know \\"beloved\\" if it bit you on the backside."
"HASH_CD0F23C3": "This isn't a Matt Miller situation, Johnny knows how to handle himself."
"HASH_06BB7FC3": "Losing you just about broke Shaundi."
"HASH_BDFCB3C3": "Kinzie? Can you reset part of a simulation?"
"HASH_CA788BC3": "I tire of this.  Deal with her on your own.  Ta ta."
"HASH_A1E07BC3": "Kinzie... am I...?"
"HASH_23C673C3": "I'm here, Kinzie."
"HASH_6EC9B3C3": "Don't mind me, I'll just stand here and get shot at."
"HASH_6A5C13C4": "Matt, you little shit! What are you doing?"
"HASH_554607C4": "Mon Dieu..."
"HASH_F4D6FFC4": "These guards are terrible. Why would evil me hire such idiots?"
"HASH_775E37C4": "So many people. What are they doing with them?"
"HASH_5B8CE3C4": "The cops have Kinzie!"
"HASH_A8790BC4": "Earth? But there are others here..."
"HASH_37D1CBC4": "DELETE"
"HASH_312B5FC4": "One guy? No problem."
"HASH_3BB723C4": "I think I made it."
"HASH_51A1D3C4": "That sounds like a good thing."
"HASH_AC1557C4": "DELETE"
"HASH_1287BFC4": "Nothing will save you."
"HASH_A06EE3C4": "It's all yours , Kinzie..."
"HASH_CDD06BC4": "Or pour you a drink, ever think of that?"
"HASH_0FFD17C4": "You mean...other you?"
"HASH_A3E50FC4": "I know you think you're being valiant here. Really. I get that. You're an A1 superhero, Asha."
"HASH_65DD8FC4": "Want to add casual sex to that list?"
"HASH_A7B31FC4": "How much longer?"
