"HASH_F5497400": "HIGHLY ILLOGICAL"
"HASH_3E1FA74C": "OG SWEATSHIRT UP"
"Ben King Outfit": "KING STYLE"
"HASH_2CA55D4C": "SIX-SHOOTERS"
"HASH_0226B14C": "LATE NIGHT"
"HASH_18A63D4C": "YELLOW GREEN 2"
"HASH_5637434D": "RECHARGE RATE"
"HASH_6AA1434D": "GREEN BLADE"
"HASH_2DA8274D": "TINT 100%%"
"HASH_4E79154D": "HAPPY RAVER PANTZ"
"cm_lp35b_mask_m_hero": "GENERIC HERO MASK"
"HASH_EFB6534D": "FOREHEAD BANDAGE"
"HASH_F83EC74E": "GOLD-PLATED"
"HASH_45B3B94E": "RUBBER BAND GUN"
"HASH_80B1B94E": "EARS"
"HASH_1215C74E": "VINTAGE CLASS"
"HASH_B9BB7D4E": "RIPPLE JUNCTION 3RD STREET"
"HASH_40EB774E": "KICKSTAND PANTS"
"cm_lp35o_head_m_scigirl": "SCI-FI GIRL HELMET"
"HASH_9655634E": "BONED"
"HASH_A299B74E": "YELLOW ORANGE 7"
"HASH_55AEBD4F": "'Pop' goes the bad guy!"
"HASH_DFC78B4F": "REAR RIMS"
"HASH_0769174F": "DYNASTY BLUE"
"Paint_2": "PAINT 2"
"HASH_CAAB0F4F": "DECAL 8"
"cf_suit_femsim": "SIM HEROINE"
"cf_hair_longwavy_02": "PROM QUEEN"
"HASH_C136194F": "GREEN CAT"
"HASH_0664C150": "'MERICA"
"HASH_76342150": "WINDOWS"
"HASH_CC449550": "BROWN LIGHT TINT"
"HASH_32F8D550": "BIKER GLOVES"
"HASH_20994750": "FEMME BOT HELMET"
"HASH_81987751": "Our weapon artists need professional help."
"HASH_D3019351": "Not intended for children"
"HASH_405E7B51": "CYBORG PISTOL"
"HASH_B3D12951": "EAR ANGLE"
"HASH_B71E5D51": "RACE"
"HASH_F138C551": "COCONUT TAN"
"HASH_60F55751": "SHOW OFF YOUR GUNS ARMBAND"
"HASH_0DAECB51": "PEEP TOE HEELS"
"HASH_03269751": "DARK PURPLE"
"HASH_2B8E4551": "CRO-MAGNON"
"HASH_E58E9152": "Transparently lethal"
"HASH_E8E7C552": "EVIL"
"CUST_RACE_WHITE": "WHITE"
"HASH_DFFD9B52": "BUMPERS"
"HASH_D4035352": "ORANGE 4"
"HASH_556D5953": "BIKER JACKET"
"HASH_18FFBF53": "ALTAR BOY CASSOCK"
"cm_lbdy_president_slacks": "PRESIDENTIAL SLACKS"
"HASH_ABD70F54": "SEPTUM HEIGHT"
"HASH_1685C154": "FOREHEAD"
"HASH_6B04B554": "GIRLS BEST FRIEND RIGHT"
"HASH_DE2D6B54": "NETWORK COMBAT BOOTS"
"HASH_4020A954": "FOREVER WILD"
"HASH_826BFB55": "DIAMOND PLATE"
"HASH_1C619155": "Show your love for your favorite weapons store."
"HASH_B0E19755": "NOSE"
"HASH_7D074755": "ROYAL PURPLE"
"HASH_68987B55": "NEIGHBOR CARDIGAN"
"cm_hair_topknot_01": "TOPKNOT"
"HASH_2BC89955": "SEEK FORGIVENESS"
"HASH_1FCBF955": "YELLOW GREEN 6"
"HASH_CBE1A356": "Disturbing now comes in pastel shades."
"HASH_295A2356": "COLOR SCHEMES"
"HASH_B3481156": "INDUSTRIAL"
"HASH_24695556": "ZOMBIE HOCKEY"
"HASH_CEC20156": "HITCHED"
"cm_hair_ponytailbraid_01": "BRAIDED PONYTAIL"
"HASH_32062156": "LITTLE PATCH LINE"
"HASH_020B7557": "BLOCK GUN"
"Lets Pretend Male M": "GENTLEMANS TUXEDO AND TOPHAT"
"HASH_739A0F57": "CLASSIC STRIPE BRACELET"
"HASH_D84D4B57": "ROCKIN' LOVE"
"HASH_FC5F0557": "OUT OF THIS WORLD RING"
"HASH_9138A757": "L E F T"
"HASH_A5F47357": "YELLOW ORANGE 3"
"HASH_A5847B58": "EYEBALL DEPTH"
"HASH_C9E53958": "HOT PINK LOW RISE"
"HASH_168DBF58": "RIPPLE JUNCTION GANGBUSTERS T"
"HASH_E9243358": "SPECIAL INVESTIGATOR"
"HASH_F99F7D58": "METRO FEDORA"
"Auburn": "AUBURN"
"HASH_FC9AFD58": "SAY YOUR PRAYERS"
"HASH_D8037758": "FALL OF THE RONIN"
"HASH_80E48358": "FLOAT ON"
"HASH_020DDB58": "THICK FEMININE"
"HASH_C3779F58": "BROWN"
"HASH_07A5C759": "GENKI"
"HASH_B76EDB59": "PET DETECTIVE"
"HASH_607D1B59": "KABANA HAT"
"HASH_23719959": "PARISIAN RUNWAY TURTLENECK"
"HASH_81698959": "FACE WEAR"
"HASH_E44EC15A": "FEMALE"
"HASH_64F8895A": "THE DOLLAR DANDY"
"HASH_B4EC275A": "MODERN COAT JACKET WITH TIE"
"cm_suit_m_rugged": "SCROUNGE SUIT"
"HASH_7C6C955A": "CUNNING"
"HASH_2F7C855A": "NATURAL EYES"
"HASH_A9B7E75B": "DAMAGE"
"HASH_7A9F7B5B": "GONE WILD HAT"
"cf_lbdy_gympants": "GYM PANTS"
"cf_hair_vintagebob-04": "VINTAGE MOVIE STAR"
"HASH_C3AD915C": "VIOLATOR"
"HASH_4E197B5C": "THE DUMPER"
"HASH_F2C1875C": "SAINT"
"HASH_F53C5B5D": "You'll shoot your eye out."
"HASH_227B315D": "SKULL BACK DEPTH"
"HASH_896F075D": "MOUTH WIDTH"
"HASH_B3937F5D": "WEAPON 1"
"HASH_3A9C215D": "TRAILBLAZING"
"HASH_B7DC415D": "RAGGED PANTS"
"HASH_B063155D": "DARK YELLOW-GREEN"
"HASH_A3C0E35E": "SUSPENSION STYLE"
"HASH_B5DB515E": "PRIMARY SURFACES"
"HASH_56CF375E": "STRATAGEM MEDLEY"
"HASH_EF0C7B5E": "CAPTAIN'S GLOVES"
"HASH_F026CD5E": "HOBO GLOVES"
"HASH_C038255F": "LOWER EYELID HEIGHT"
"HASH_A2097F5F": "GET YOUR WINGS"
"HASH_926B955F": "SAINTS ASCENSION"
"HASH_6CF0E35F": "MOLE 6"
"HASH_9E8F0D60": "No matter what you're firing, you gotta represent."
"HASH_03505360": "Add Nitrous to your vehicle, giving it that burst of speed when you need it most."
"HASH_FDAF9B60": "BROSEPH SNEAKS"
"HASH_537C0F60": "LEFT BROW STUD AND NOSE STUD"
"HASH_718FB760": "PUNK LINER"
"HASH_993D3761": "HAIR ACCESSORY COLOR"
"HASH_641D5961": "SPOILERS"
"HASH_E13A3D61": "KILLBANE MASK"
"HASH_B5477561": "CHOKER CHAIN"
"HASH_22418561": "SHORT AND RIGHT"
"HASH_F2777761": "CLASSIC STRIPE BRACELET"
"HASH_32613361": "SKELETON PANTS"
"HASH_4D8D9961": "SPIDER BITE"
"HASH_996CB562": "GENTLEMANS TOPHAT"
"HASH_D8C1AF62": "TRACK TOP COMBO"
"HASH_4CDD5F62": "CANDY GIRL SKIRT"
"HASH_66F85B62": "HILLS TURTLENECK"
"HASH_A169F962": "RASTA"
"HASH_0589DD62": "KABUKI"
"cm_suit_m_eva": "EVA SUIT"
"HASH_22837F62": "TRACKED"
"HASH_A4EA7B62": "BLONDE"
"HASH_D06E4562": "EAR PIERCINGS"
"HASH_5D1D3763": "Pyew!  Pyew!  Pyew!"
"HASH_8B2C2363": "ENGINE"
"HASH_729C6963": "OPTION 6"
"HASH_37096563": "RUBBER"
"HASH_6A8A6963": "RIM SET 4"
"HASH_E36C8D63": "INTERIOR"
"HASH_24990F63": "COURAGE"
"HASH_D676D564": "GOLD-PLATED"
"HASH_1319B364": "Shiny!"
"HASH_47594564": "AFRICAN AMERICAN 1"
"HASH_C31D4364": "DECAL 4 "
"HASH_3CDDA964": "FRIENDLY MUTTON CHOPS"
"HASH_5D598F64": "VIOLET RED 7"
"HASH_93512364": "BROWN 6"
"HASH_EDD22365": "DOUBLE PLAY"
"HASH_6CCEA965": "CHEEKBONE HEIGHT"
"HASH_E6C44965": "SAINTS PURPLE"
"HASH_A41DAF65": "JEANS"
"HASH_63F8BD65": "EURO PUNK PANTS"
"HASH_86175165": "GO-GO"
"HASH_FA056565": "REPLICANT"
"HASH_C0A40565": "WILD CAT"
"HASH_CA0FD766": "All you gotta do is shoot straight."
"HASH_D078C366": "TYRANT"
"HASH_BA425966": "MALE 2"
"HASH_F104BB66": "GLASS"
"HASH_DBF6A566": "PRETTY PRINCESS PINK"
"male_average": "MALE AVERAGE"
"HASH_D83B8766": "CAPTAIN PANTS"
"HASH_001BBF66": "REPTILIAN"
"HASH_AF12D167": "LET THE GOOD TIMES ROLL"
"HASH_0CBDE167": "Kid, with a gun like that, you'll go far in this biz."
"HASH_78420767": "KABANA WATCH"
"HASH_38BDD567": "AND LET DIE"
"HASH_502BA167": "DIRTY RAT"
"HASH_29483F68": "Shots now penetrate through multiple targets."
"HASH_9ADAF568": "LOWER LEFT ARM"
"HASH_6A230168": "THE SCROOB"
"HASH_0E524568": "SAFEWORD PANTS"
"HASH_551F8F68": "BREATH OF THE DRAGON"
"HASH_CAA76569": "TEMPLE HEIGHT"
"HASH_196D2169": "UPPER RIGHT ARM"
"HASH_C416F969": "MILITARY MAN"
"cm_suit_m_fun": "FUNTIME! SUIT"
"cm_lbdy_bountyhunter": "RANSOM COLLECTOR PANTS"
"cf_hat_80shairbow": "BIGGER BOW"
"HASH_611E4969": "BLUSHING BRIDE"
"HASH_CE2D0B69": "GREY 7"
"HASH_7B30076A": "OILED CAUCASIAN 1"
"HASH_2B0A0D6A": "BLUSH GRAY"
"Space Princess": "SPACE PRINCESS OUTFIT"
"cf_hair_fauxhawk_01": "QUIFF"
"HASH_444E2B6A": "WHITE"
"HASH_E32A056A": "MADE IN AMERICA"
"HASH_8D970F6B": "PURPLE TENTACLE"
"HASH_DF3F236B": "LOWER CHEST"
"HASH_B9B5536B": "\\"QUARTER CIRCLE FORWARD + A\\""
"HASH_051BBB6B": "FRONT BUMPERS"
"Nobody Loves Me Female D": "HIPSTER GIRL"
"HASH_4E4F336B": "DARK BLUE-GREEN"
"HASH_680B856C": "TOO HOT TO HANDLE"
"HASH_B61A916C": "EM RAILGUN"
"cm_pack_bountyhunter": "RANSOM COLLECTOR ROCKET PACK"
"HASH_7B45696D": "The latest in a long line of death-dealers"
"HASH_5D93576D": "EAR DEPTH"
"HASH_17E1516D": "BROSEPH SHIRT COMBO"
"HASH_CBB9036D": "STEAMPUNK FINGERLESS GLOVES"
"HASH_F74CA76D": "HILLS T SHIRT"
"HASH_6671656D": "HONOR LOYALTY DUTY"
"HASH_2A7AC56E": "Powerful current now causes targets to burst into flame!"
"HASH_962E436E": "RIGHT HAND"
"cf_suit_fempresident": "MADAME PRESIDENT"
"HASH_9495A96E": "BLACK"
"HASH_9100656E": "GUARDSMEN"
"HASH_3E0B5D6E": "HANDS"
"HASH_A3F83D6F": "TIGER"
"HASH_2F83936F": "WHEELS"
"Planet Saints Male F": "STREET BALL"
"HASH_D364D36F": "Run around as the Devil's own daughter, sporting her adorable little miss princess costume! Cute with a touch of absolute evil!"
"cm_suit_misfortune": "IRON ROGUE SUIT"
"HASH_844EED6F": "RAGGED SHIRT"
"HASH_395F2D6F": "CATWALK"
"HASH_F5F8F970": "It's hunting season ..."
"HASH_1E9E6570": "INDIE KICKS"
"HASH_82540D70": "GO TEAM! SKIRT"
"HASH_1B2B5770": "VINTAGE ALLURE"
"HASH_66738D70": "MELANCHOLY"
"HASH_C940CF70": "GREY 3"
"HASH_F3EC2B71": "DEEP SILVER"
"HASH_6D4EC571": "STUNNED"
"HASH_922E0D71": "LIFE SUCKS EARRINGS"
"HASH_130D8371": "STEELPORT HERO PANTS"
"HASH_A9C56B71": "SHORT AND SWEET"
"HASH_6F1AD171": "NINJA2 SHOES"
"HASH_52724B71": "EXTRA AMMO"
"HASH_BED89772": "ASCENSION"
"HASH_91E1D972": "KNOCKOUT BANDAGES"
"HASH_C24F6B72": "YOUNG SOLDIER BOOTS"
"HASH_F027C773": "SKULL BACK WIDTH"
"HASH_5B33F173": "MOUTH DEPTH"
"HASH_7C5DC373": "OILED AFRICAN AMERICAN 1"
"HASH_CEF80173": "CHEEKBONES"
"HASH_952C7D73": "DOOR MODS"
"HASH_9D67A173": "BERRY RED"
"HASH_201B2F73": "KABANA SANDALS"
"HASH_F27BF773": "WRESTLER"
"HASH_FDAC9174": "GAS CAPS"
"HASH_A7584D74": "DEEP BRUNSWICK GREEN"
"HASH_02278974": "CATALYST GREEN"
"cf_suit_bathtowel": "TOWEL WRAP"
"HASH_ABBF3374": "LICK THE TOAD"
"HASH_4CBA4B75": "Remember: Short, controlled bursts."
"HASH_FF662375": "NOSE STYLE"
"HASH_77642975": "MURDERBRAWL ARM GAUNTLET"
"HASH_E6131175": "ALL MY LOVE THONG"
"HASH_BAB71975": "SAINTS HOODIE UP"
"HASH_02F45175": "LIGHT BROWN"
"HASH_2A0C8176": "CAPTAIN'S PANTS"
"HASH_3E32E976": "RACOON EYES"
"HASH_F9B6B377": "SCOPE POWER"
"HASH_6EC1BD77": "TEAL METAL"
"HASH_C3E53177": "SEXY KITTEN MASK"
"HASH_60937F77": "GOTH COUTURE"
"HASH_EA9F7F77": "CARDINAL "
"HASH_33748978": "POMPADOUR"
"HASH_4AE05D78": "LIZZY"
"HASH_372CF978": "BIKINI TAN, SHORTS"
"HASH_99E2C979": "The future is here. And it's purple."
"HASH_0F90E579": "UPPER BACK"
"HASH_B7954779": "BRUISED PLUM PURPLE"
"HASH_42FF4779": "TIME TO GET WET SWIM BOTTOM"
"HASH_5411CB79": "PIERCED EVERYWHERE"
"HASH_A1F2F379": "MIZUNDERSTOOD CHOKER"
"cm_ubdy_vnecksweat": "FITTED V-NECK"
"HASH_76E27379": "EGYPTIAN PRIEST"
"HASH_DDB51F79": "ORANGE 8"
"HASH_F066A97A": "UPPER LIP MIDDLE HEIGHT"
"HASH_87C9617A": "RANDOMIZE"
"HASH_75F1AD7A": "OPTION 2"
"HASH_4CF7D57A": "TABLETOP GRAY"
"HASH_59F5AB7A": "REGATTA BLUE"
"HASH_8E11897A": "ASTRO A40 SAINTS HEADSET"
"HASH_E229D17A": "WOMENS FREE THROW JERSEY"
"HASH_B3901D7A": "SKIN01"
"HASH_7DEA0F7B": "GOLD-PLATED"
"HASH_419BF37B": "STYLE"
"HASH_6F7BCB7B": "GLOSS"
"HASH_CFF2AD7B": "TANK TOP"
"cm_hat_postapocman": "APOCALYPTIC GOGGLES"
"HASH_25EEBB7B": "ACES UP"
"HASH_1A6C237C": "STYLISH COAT WITH VEST"
"cm_suit_m_hero2": "GENERIC HERO SUIT"
"HASH_A371F77C": "EVA HELMET"
"cm_hat_bountyhunter": "RANSOM COLLECTOR HELMET"
"HASH_C7C9C17C": "MASS PRODUCED"
"HASH_D4202F7D": "The original party-in-a-gun"
"HASH_4034817D": "AFRICAN AMERICAN 5"
"HASH_7C2B1F7D": "FRONT FENDERS"
"cm_suit_bountyhunter": "RANSOM COLLECTOR SUIT"
"HASH_3BB06D7D": "CHIN STRAP"
"HASH_5A344B7D": "VIOLET RED 3"
"HASH_943CE77D": "BROWN 2"
"HASH_33B7CF7E": "Suck 'em up in style."
"HASH_D5AF4F7E": "LUCHADOR SOLDIER"
"HASH_C586AF7E": "BRIGHT YELLOW"
"HASH_3FD0117E": "BONED"
"HASH_6245397F": "Bullets now explode on impact."
"HASH_B8F96D7F": "RED PLAID"
"HASH_892A737F": "ALL-AMERICAN"
"HASH_EBC3117F": "HISPANIC 2"
"HASH_BCBBBF7F": "SAD TO THE BONE HOODIE"
"cm_hair_70smaleshort": "DISCO BUSINESSMAN"
"HASH_07767B7F": "SPLIT PERSONALITY"
"HASH_85BDBF80": "It's a purple people popper."
"cm_hat_80sbandana": "HACHIMAKI"
"cm_foot_postapocman": "APOCALYPTIC BOOTS"
"HASH_B72DD581": "Just like an old gangster movie."
"HASH_02587581": "AGE"
"HASH_EDF5CD81": "RIM SET 13"
"HASH_2D4F3B81": "K12 97.6"
"HASH_4C377381": "NAUGHTY GIRL GLOVES"
"HASH_5B996782": "MOUTH SIDE HEIGHT"
"HASH_81DA9B82": "ARMS"
"HASH_2DCBD382": "BRONZE"
"cm_foot_benking": "SUAVE SLIP-ONS"
"HASH_098DD982": "VIOLET BLUE 4"
"HASH_DDACEF82": "LOWER BODY"
"HASH_07FEE583": "OF THE RIVER"
"Gang_Customization": "GANG CUSTOMIZATION"
"HASH_5063E783": "REALITY CLIMAX PANTS"
"cf_lbdy_80sskirtleggings": "SKIRT AND LEGGINGS"
"HASH_5BFE7583": "TRIBAL FLEUR"
"HASH_D067C583": "3RD STREET SAINTS"
"HASH_87B2E783": "GREEN 8"
"HASH_3EFAB184": "OUTBACK CAMO"
"HASH_6010EF84": "You got a problem with that?"
"HASH_CACCB784": "Time for a block party."
"HASH_2AB28D84": "DOUBLE CHIN DEPTH"
"HASH_C9C6C184": "BROW"
"HASH_8BEC5384": "TIP ELEVATION"
"HASH_D6A18B84": "INEBRIATED"
"HASH_F704CF84": "CAUCASIAN 4"
"cm_suit_team6body": "ZERO SAINTS THIRTY"
"cm_hair_highponytail_01": "CROYDON FACELIFT"
"HASH_4F645F84": "BRIGHT PINK"
"HASH_CC69BB85": "JUMPS"
"HASH_1C0E1D86": "JAW HEIGHT"
"HASH_FE604B86": "ASIAN 5"
"HASH_519CEB86": "DECAL 9"
"HASH_7B0A7B86": "TINT 80%%"
"HASH_505B4586": "THE BROTHERHOOD"
"HASH_17EFCF87": "EAR HEIGHT"
"HASH_86906987": "CROWN"
"HASH_CB3E6F87": "CLOTH"
"HASH_385E1587": "BLUE 9"
"HASH_629BAD88": "TRIO"
"HASH_F60D5188": "HO"
"HASH_8AA8BD89": "Somebody got a little too up close and personal."
"HASH_C7436F89": "ZinTek T.R.P.R."
"HASH_EC23A989": "TRIM 2"
"HASH_4C755589": "BOMBER JACKET"
"HASH_1F0AA989": "KING ME"
"HASH_3046218A": "If you're actually using this weapon, we salute you!"
"HASH_2B5A0D8A": "SONIC GUN"
"HASH_DDB2698A": "KARDAK LASERSHOT"
"HASH_764F358A": "NOSE DEPTH"
"HASH_CB788B8A": "MURDERBRAWL ARM GAUNTLET"
"HASH_87DCFF8B": "BROW SPACING"
"HASH_6628278B": "LOWER RIGHT ARM"
"HASH_5B76138B": "WORKIN' THE STREETS"
"HASH_17F8A98B": "CAMO CAPRIS"
"HASH_F9FE9B8B": "DOOR KNOCKER"
"HASH_B36E4D8C": "The weapon's flamethrower has a longer range"
"HASH_74C1BB8C": "Rain down on your enemies with a plague of explosive frogs!"
"HASH_D21AE78C": "MOUTH STYLE"
"HASH_79E0F98D": "THREE COUNT MAN"
"HASH_2BB4BF8D": "DAY GLO PANTS"
"cm_suit_f_hero": "STEELPORT HEROINE SUIT"
"HASH_E552C38D": "EYES"
"HASH_BF1B218E": "SPARE TIRES"
"HASH_E69AA58E": "DARK PURPLE METAL"
"HASH_DE7FCB8E": "MODERN"
"male_obese": "MALE OBESE"
"HASH_EBBA8B8E": "NYTE BLAYDE"
"HASH_0C737F8E": "DISCO FEVER SHIRT"
"HASH_3A9E338E": "Z STYLE HOOPS"
"HASH_55624B8E": "SPIRIT OF THE WOLF"
"HASH_2CEA298E": "YELLOW 1"
"HASH_37BAD38F": "CLASSY NECKLACE"
"HASH_CF15658F": "METRO PANTS"
"HASH_E01A3B8F": "CANDY KID SHADES"
"HASH_4DCAC18F": "HILLS CASUAL T"
"HASH_0C82DF8F": "STACY HAIR WITH HAIR BAND"
"HASH_78AA618F": "BLOCK LEGS"
"HASH_CC6A278F": "VIOLET 2"
"HASH_0528A190": "TOUGH GUY"
"HASH_4D8EED90": "Rock on!"
"HASH_6198C390": "For that 21st-Century military look"
"HASH_E14B1790": "STEELPORT GUARD UNIFORM"
"HASH_84EEFB90": "EUROPEAN MODEL PANTS"
"HASH_F42F1B90": "HILLS JACKET WITH VEST"
"HASH_18676D90": "STEER THE BOAT"
"HASH_F504DF91": "ACIDIC AMMO"
"HASH_53240F91": "AFRICAN AMERICAN"
"HASH_DF4B8191": "MODERN SOLDIER"
"HASH_38476391": "5 O'CLOCK SHADOW"
"HASH_445FBF91": "LUCHADOR"
"HASH_54C0A392": "YELLOW LIGHT TINT"
"HASH_4C446F92": "MUSTARD GREEN"
"HASH_5C1BD792": "JUMP SHOT"
"HASH_FE935F92": "HORSESHOE"
"HASH_6D5A6B92": "LOWER BACK"
"HASH_CC49DD93": "SOAKMASTER"
"HASH_70CCE593": "Brings the boom."
"HASH_BB603F93": "DOMINATOR"
"HASH_C1A96193": "COMPLIMENT"
"HASH_A508B193": "SAINTS GONE WILD G STRING"
"HASH_CD8F0794": "Reduces the weapon's recoil, improving aim"
"HASH_4E381594": "GOLD-PLATED"
"HASH_806F1994": "How many richochets can you get?"
"HASH_4F6B6594": "XENOBLASTER"
"HASH_56514B94": "REMOVE ALL CLOTHING"
"HASH_DD92C994": "TRUE LOVE"
"HASH_C9F9C594": "TOUGH RIDER BOOTS"
"HASH_28641594": "KNIGHT"
"HASH_85480995": "COOL KILLS"
"HASH_20436595": "TREBUCHET"
"HASH_4905A795": "GAT STYLE SHADES"
"HASH_ACF92995": "THUG SWEATSHIRT"
"HASH_D3020F95": "SKINTIGHT SHORT-SHORTS"
"cm_udwr_testtypea": "!!TEST UNDERWEAR A!!"
"cm_lp35c_suit_m_ninja": "VIOLET NINJA"
"HASH_8CD62395": "BRIGHT GREEN"
"HASH_AB9CAF96": "GOLD-PLATED"
"HASH_173DE596": "EAR LENGTH"
"HASH_FD119D96": "WEAR OPTIONS"
"HASH_294F6996": "SECONDARY SURFACES"
"cf_suit_50sfem": "50s GIRL SUIT"
"HASH_CB07E396": "VIOLET 6"
"HASH_931C9397": "GOLD-PLATED"
"HASH_3DAD9B97": "SPINNERS"
"HASH_EFA1A397": "ORANGE DARK TINT"
"HASH_0F130597": "FOREST GREEN"
"HASH_EE2F9397": "DEATHMATCH BOOTS"
"cf_hair_marcelwave-01": "MARCEL WAVE"
"HASH_520F8F97": "THE DEVIL YOU KNOW"
"HASH_2B87ED97": "YELLOW 5"
"HASH_BEEF8B98": "MEAN AND CLEAN"
"HASH_F3601998": "PARTY ANIMAL"
"cm_hair_choppybob-01": "LAYERED BOB"
"HASH_1760B798": "SPACE SAINTS"
"HASH_F595BD99": "Kills with this weapon now grant additional cache."
"HASH_CA619F99": "DEFAULT FEMALE"
"cm_ubdy_president_vest": "PRESIDENTIAL SUIT"
"HASH_7745BF9A": "Inserts an explosive charge and rocket motor into targets."
"HASH_C21A7F9A": "CHIN WIDTH"
"HASH_0093219A": "CHEERING"
"HASH_50A7E19A": "TUBE TOP WITH JACKET"
"HASH_D70A019A": "ROBOTO-SAN"
"HASH_36D63F9A": "PURITY"
"HASH_AE27419A": "DALI"
"HASH_A587C19B": "TOO GOOD FOR YOU"
"HASH_E9BD219C": "LOUNGE HOODIE"
"HASH_EDAFFF9D": "Simple. Straightforward. Lethal."
"HASH_30F9059D": "If you're going to erase someone from existence, do it in style."
"HASH_C20B259D": "EARS"
"HASH_657E899D": "MAERO MULLET"
"HASH_405A8D9D": "FLEUR DE SAINTS HOODIE"
"cf_hair_frenchbraid-02": "DOUBLE FRENCH BRAID"
"HASH_7DD9F59E": "J7 ROCKET LAUNCHER"
"HASH_F2F1D19E": "DISCO MAN HEELS"
"cm_lp35p_eyes_m_forged": "FORGED"
"HASH_F90D8F9F": "ASIAN 1"
"HASH_DBDF419F": "GANGSTERS IN SPACE SUIT"
"HASH_F301719F": "FUNTIME! TOP"
"tat_neck_fleur": "FLEUR DE SAINTS"
"HASH_5736819F": "TRIBAL BAND"
"HASH_B37E0BA0": "HOP DISTANCE"
"HASH_F9138BA0": "BLUE STEEL"
"HASH_47EE71A0": "FAMILY JEWELS"
"cm_mask_amazonion": "AMAZON MASK"
"HASH_CA24BDA0": "ISIS"
"Default": "DEFAULT"
"HASH_54B72BA1": "BENEVOLENCE"
"HASH_F574EFA2": "SECURITY 1"
"HASH_87FE4DA2": "BASIC BOB"
"HASH_6B2DE1A3": "SUNNY OUTLOOK"
"HASH_583B5DA3": "ORANGE LIGHT TINT"
"HASH_94393DA3": "LOGO BOXERS"
"HASH_D365FFA3": "BROKEN HEART"
"HASH_0CF411A3": "HAWKED"
"HASH_9E7C8BA4": "INTERGALACTIC MAN"
"HASH_013B03A4": "DARK BLUE"
"HASH_F89927A5": "That's just nasty."
"HASH_002221A5": "SNAPPER RED"
"HASH_7A049FA5": "NOSE STUD LEFT"
"HASH_FC73D5A5": "CAPTAIN BOOTS"
"HASH_9C75CBA5": "CASUAL LEATHER JACKET"
"SPACE SMUGGLER": "PUCKISH ROGUE"
"HASH_278235A6": "RED 6"
"HASH_1DD895A7": "LIGHTNING SHOTS"
"HASH_099375A7": "EFFECTIVE RANGE"
"HASH_D6B295A7": "Cry some more!"
"HASH_F2FC81A7": "Returning to the lineup will discard your current settings.\nAre you sure you want to do this?"
"HASH_604B5DA7": "GALACTIC DOVE GRAY"
"player_lips": "LIPSTICK"
"HASH_1C82F1A7": "PRIVATE EYE EARRINGS"
"HASH_ACC561A7": "WART 3"
"HASH_96FDAFA8": "DOUBLE CHIN HEIGHT"
"HASH_3E9117A8": "HINT OF BLUE"
"HASH_CF5C1BA8": "FUMIGATOR 3000"
"HASH_83EDF9A8": "PARISIAN CATWALK JACKET"
"HASH_4B5DD9A8": "COMBAT PANTS"
"HASH_A7E153A8": "URBAN SAFARI LO CUT"
"cm_hair_50sgreaser": "THE GREASER"
"HASH_8E04ABA8": "GREEN 4"
"HASH_EC5593A9": "UPPER LIP SIDE HEIGHT"
"HASH_4AB54FA9": "You have reached the maximum number of selections allowed."
"HASH_897877A9": "THE LEAN"
"HASH_AB5C49A9": "COME AT ME BRO"
"female_athletic": "FEMALE ATHLETIC"
"HASH_5AD607A9": "HEAVYWEIGHT TIGHTS"
"HASH_905A03A9": "BUCKET HAT"
"HASH_320F0FA9": "DREADED PIGTAILS"
"HASH_003B95A9": "VIOLET BLUE 8"
"HASH_1F3625AA": "BLACK BART"
"HASH_D56A3FAA": "Be a scoundrel, or just look like one."
"HASH_F8EE7BAA": "DOUBLE CHIN WIDTH"
"HASH_2DB7FFAA": "BRIDGE HEIGHT"
"HASH_E028F7AA": "BED MODS"
"HASH_97B8EFAA": "MILITARY CUT"
"HASH_F1D913AA": "URBAN SAFARI T SHIRT"
"HASH_EDEA03AB": "Represent."
"HASH_DC02A1AB": "CUMIA MAGNUM"
"HASH_DDDEFBAB": "PILLOW PRINCESS"
"HASH_4CA279AB": "CHAZ BEIGE"
"HASH_61E6C1AB": "CANDY CHEW ORANGE"
"cm_hair_revolutionary": "REVOLUTIONARY"
"HASH_3693BDAB": "BLUE GREEN 3"
"HASH_703EAFAC": "Aye, lad, 'tis a bonnie plaid gun."
"cf_hair_longstraight-03": "HIME CUT"
"HASH_E67035AC": "RED ORANGE 3"
"HASH_31E859AC": "BLUE 5"
"HASH_0BF841AD": "STEAMPUNK"
"HASH_FB700DAD": "GOLD-PLATED"
"HASH_6EBAE5AD": "Girl Power, baby!"
"HASH_582AA7AD": "DECAL 5"
"HASH_C73387AD": "ORANGE METAL"
"HASH_7AD387AD": "BLUE WAVE"
"HASH_4393DFAD": "SAINTS FLEUR RINGS"
"HASH_394CE9AD": "RAWK LIP RING"
"cf_ubdy_hillstshirt": "CAP SLEEVE TOP"
"HASH_039765AD": "BRIGHT ORANGE"
"HASH_96AA31AE": "STYLISH STEAMPUNK"
"HASH_A2F515AE": "SKELETON GLOVES"
"HASH_485611AF": "Sweet-looking weapon, dude."
"HASH_E9661DAF": "NITROUS"
"HASH_CED2AFAF": "THE NEXT DEEP VOYAGER"
"HASH_480977B0": "INNER BROW HEIGHT"
"HASH_AC318DB0": "YOU CHICKEN?"
