"CUST_ITEM_CF_HAIR_MED": "DO RAMION"
"CUST_WEAR_HIGH_BOTH_ROLLED": "OBA PODWINIĘTE WYSOKO"
"CUST_ITEM_IMPRESSIONS_MALE_B": "MĘSKI B \"WRAŻENIA\" "
"CUST_ITEM_CM_PSD_UBDY_M_PUFFYVEST": "PUCHOWA KAMIZELKA"
"CUST_VARIANT_FLAT_TOP_DESIGN_B": "PŁASKA GÓRA STYL B"
"CUST_ITEM_CF_RING_F_LGFINGERNAILS": "PAZNOKCIE Z MANICURE"
"CUST_WEAR_NORMAL_LOW": "NORMALNE, NISKIE"
"CUST_COLOR_CLOTHING_VIOLET_4": "FIOLETOWY 4"
"HAIR_COLOR_REDHEAD_MATTE": "MATOWY RUDY"
"CUST_VARIANT_NO_STRIPES": "ZWYKŁY"
"CUST_WEAR_TATTOO_BAND_A": "OPASKA 1"
"CUST_WEAR_HIGH_LEFT_UNZIPPED_RIGHT_ZIPPED": "LEWY ROZPIĘTY, WYSOKO"
"CUST_ITEM_TROOPER_SHADES": "JAK DO HOLLYWOOD"
"CUST_COLOR_CLOTHING_YELLOWS_7": "ŻÓŁTY 7"
"CUST_TATTOO_RUPPARM_7": "W TWOJEJ KRWI"
"CUST_COMP_FACE_BLOODY_NOSE": "ROZWALONY NOS"
"CUST_VARIANT_TIE_DYE": "NIERÓWNOMIERNIE FARBOWANE"
"player_lips_gloss": "BŁYSZCZYK DO UST"
"FACIAL_EXPRESSION_GRUMPY": "ZRZĘDLIWY"
"CUST_TATTOO_LFORARM_7": "ZEŚLIJ GO"
"COLOR_SLOT_TRIM_4": "DODATKI 4"
"CUST_ITEM_CF_DLC_WP_OUTFIT": "WOJOWNICZA KSIĘŻNICZKA"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_F": "SPORTOWIEC"
"CUST_ITEM_LEATHER_JACKET_OUTFIT": "STRÓJ - SKÓRZANA KURTKA"
"CUST_VARIANT_SPORT_SHORTS_2": "STYL 1"
"CUST_ITEM_CF_PSD_LBDY_F_GFXSWEATPANTS": "LUZACKIE SPODNIE 3/4"
"PLAYER_MORPH_NOSTRILS_DEPTH_TEXT": "GŁĘBOKOŚĆ NOZDRZY"
"CUST_COMP_MUSTACHE_25": "MARSJANIN"
"SLOT_BODY_KIT": "ZESTAWY MODYFIKACJI"
"CUST_VARIANT_PIMPCOAT_HEARTS": "SERCA"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_G": "STUDENTKA ASP"
"PLAYER_MORPH_BALL_WIDTH_TEXT": "SZEROKOŚĆ CZUBKA"
"VEHICLE_COLOR_RED_LIGHT_TINT": "ODCIEŃ JASNEJ CZERWIENI"
"CUST_VARIANT_SANDALS_03": "NORMALNE"
"CUST_ITEM_CM_IMPL_EYES_M_DSSUNGLS": "OKULARY PILOTKI \"MIAMI\" "
"CUST_ITEM_FEMALE_PS_UNDWEAR_1": "LILIJKI"
"CUST_CAT_RIGHT_WRIST": "PRAWY NADGARSTEK"
"PLAYER_MORPH_JAW_WIDTH_TEXT": "SZEROKOŚĆ ŻUCHWY"
"COMPONENT_OPTION_1": "OPCJA 1"
"SLOT_INTERIOR_COLOR": "KOLOR WNĘTRZA"
"SK02": "SKÓRA02"
"CUSTOM_WALK_2": "STYL ALFONSA"
"CUST_WPN_UPGRADE_DESC_SPECIAL_DRONE_3": "Pozwala przenosić więcej rakiet."
"CUST_TATTOO_LOWBACK_5": "W ZIMNEJ STALI POKŁADAMY NADZIEJĘ"
"CUST_ITEM_CM_LPE_UBDY_M_MUBODYSUIT": "KAMIZELKA KULOODPORNA ŻOŁNIERZA PRZYSZŁOŚCI"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_SATCHEL_4": "Możesz nosić więcej ładunków."
"CUST_TATTOO_NECK_1": "MORSKA GWIAZDA"
"CUST_COMP_BODY_MASK_1": "BRAK"
"LOGO_MUSEUM_ERO_1": "MUZEUM EROMENOS 1"
"CUST_VARIANT_BIKER_NODECAL": "BEZ NAKLEJEK"
"CUST_VARIANT_PLAIN_NO_TIE": "ZWYKŁE"
"CUST_WEAR_SUSPENDERS": "SZELKI"
"CUST_ITEM_CM_CNC_UBDY_M_LOGOB": "T-SHIRT B \"CROOKS & CASTLES\""
"CUST_ITEM_SHORT_SOCKS": "OJCOWSKIE BUTY"
"CUST_ITEM_BIKER_BOOTS_3": "LUZACKIE BUTY"
"CUST_TATTOO_RIGHT_LEG": "PRAWA NOGA"
"FACIAL_EXPRESSION_SAD": "SMUTNY"
"PLAYER_MORPH_MIDDLE_BROW_ELEVATION_TEXT": "WYSOKOŚĆ ŚRODKA BRWI"
"CUST_COMP_EYE_MAKEUP_15": "KRÓLOWA NILU"
"CUST_COLOR_BLEACHED_BLONDE": "TLENIONY BLOND"
"CUST_VARIANT_17_DEFAULT": "STYL 2"
"CUST_ITEM_CM_MOCAP_SUIT_M_MOCAP": "STRÓJ DO MOTION CAPTURE"
"CUST_ITEM_FEMALE_LP_UNDWEAR_1": "STRINGI \"ZABAWA! Z G\""
"PRESET_WARNING_HEADING": "UWAGA"
"CUSTOM_WALK_MALE": "DOMYŚLNY MĘŻCZYZNA"
"PLAYER_MORPH_EYE_SPACING_TEXT": "ROZSTAW OCZU"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_9": "ŻÓŁTOZIELONY 9"
"CUST_TATTOO_RHAND_1": "CZTERY CZASZKI"
"Chin": "PODBRÓDEK"
"CUST_PRESET_SEX": "PŁEĆ"
"CUST_COMP_FACE_MAKEUP_1": "WSZYSTKO ZAMALOWANE"
"VEHICLE_COLOR_GOLD": "ZŁOTO"
"CUST_VARIANT_JERSEY_2": "STYL 2"
"CUST_VARIANT_STRIPESA": "PASY 1"
"CUST_SKIN_HISPANIC_01": "LATYNOSKA 1"
"CUST_TATTOO_FACE_6": "MOTYL"
"SLOT_RIM_COLOR": "KOLOR FELG"
"DARK_PINK": "CIEMNORÓŻOWE"
"LOGO_BROTHERHOOD_1": "BRACTWO 1"
"CUST_SKIN_PURPLE_5": "FIOLET"
"CUSTOM_WALK_16": "STYL ZBIRA 11"
"CUST_MENU_FINE_TUNING": "TWARZ"
"CUST_COLOR_CLOTHING_BROWNS_1": "BRĄZOWY 1"
"CUST_COMP_MUSTACHE_16": "DYREKTOR"
"COMPONENT_DECAL_3": "NAKLEJKA 3"
"CUST_VARIANT_LEOPARD_1": "LAMPART 1"
"CUST_ITEM_CM_CNC_UBDY_M_VARJACKET": "KURTKA SPORTOWA \"CROOKS & CASTLES\""
"CUST_SKIN_BLACK_06": "CZARNA F"
"PLAYER_MORPH_BROW_ANGLE_TEXT": "KĄT BRWI"
"LOGO_STALLA_1": "STALLAGERIFFIC"
"CUST_ITEM_CF_RING_F_GOTHSET": "PIERŚCIONKI \"SKRAJ MROKU\""
"CUST_ITEM_CF_RING_F_SMHEART": "ZESTAW \"MAŁE SERDUSZKA\""
"CUST_INSULT_N": "MODNISIA"
"PLAYER_MORPH_SLOPE_ELEVATION_TEXT": "WYSOKOŚĆ BOKÓW"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_STAG_2": "Zwiększa szybkostrzelność i obrażenia. Celownik kolimatorowy zwiększa celność ostrzału."
"CUST_TATTOO_LUPPARM_8": "LICZY SIĘ TYLKO BLING"
"VEHICLE_COLOR_SEAFOAM_TEAL": "MORSKI TURKUS"
"CRAZY_1": "SZALONE 1"
"CUST_ITEM_CF_RING_F_DMNDNAILS": "ŻONA BOGACZA"
"CUSTOM_WALK_FEMALE_4": "DZIWKOWY"
"CUST_COMP_CHEEK_MAKEUP_6": "CHOLERNIE DOBRA NOC"
"SURGEON_CAT_BODY": "CIAŁO"
"CUST_TATTOO_LCALF_2": "CIOS ZNIENACKA"
"CUST_VARIANT_POLKA_DOTS": "GROCHY"
"CUST_VARIANT_MED_TRI_COLOR": "ŚREDNIE TRÓJKOLOROWE"
"CUST_ITEM_FEMALE_LETSPRETEND_OUTFIT_C": "BOHATERKA STEELPORT"
"CUST_ITEM_CM_LPC_UBDY_M_HEROSHIRT": "KOSZULA BOHATERA STEELPORT"
"CUST_COMPLIMENT_A": "DOŚWIADCZENIE"
"SURGEON_STORE_NAME_1": "CIAŁO NA ZAMÓWIENIE"
"CUST_WPN_UPGRADE_DESC_PISTOL_GANG_4": "Wybuchające pociski wstrząsną twoimi wrogami."
"CUST_COMP_EYE_MAKEUP_2": "PRZEPASKA NA LEWYM"
"RIM_189": "C-X 503"
"LOGO_SKEETERS_6": "SKEETERS 6"
"CUST_VARIANT_BRA_1": "GROCHY"
"CUST_VARIANT_WILD": "DZIKIE"
"CUST_ITEM_CF_NLMD_UBDY_F_SHIRT": "ROCKOWA KOSZULA"
"CUST_COMPLIMENT_CC": "OKRZYK"
"SLOT_RIGHT_SIDE": "PRAWY BOK"
"SLOT_TAILS": "OGONY"
"CUST_WEAR_TUCKED_BUTTONED_EXTRA_HIGH_PANT_NO_SUSPENDERS": "WPUSZCZONA, ZAPIĘTA, B. WYS. SPODNIE, BEZ SZELEK"
"CUST_WEAR_TUCKED_BUTTONED": "WPUSZCZONA, ZAPIĘTA"
"CUST_ITEM_CM_IMPN_UBDY_M_UNBUTTONED": "ROZPIĘTA ELEGANCKA KOSZULA \"MODERN\" "
"CUST_ITEM_CM_IMPM_EYES_M_SUNGLASSES": "OKULARY PRZECIWSŁONECZNE \"MIAMI\""
"PLAYER_MORPH_MOUTH_SHAPE_TEXT": "KSZTAŁT UST"
"CUST_TATTOO_RFORARM_8": "UZBROJONY I NIEBEZPIECZNY"
"CUST_TATTOO_UPPBACK_7": "DRAMATIS PERSONAE"
"CUST_COMP_FACE_MOLE_9": "PIEPRZYK 9"
"LOCALIZE_NONE": "BRAK"
"RALLY_2": "RAJD 2"
"MALE_EMACIATED": "MĘŻCZYZNA - WYCHUDZONY"
"LOGO_VIRAL_1": "WIRUS 1"
"CUST_VARIANT_2STRIPE": "DWA PASKI"
"CUST_VARIANT_SMALL_STRIPE": "CIENKIE PASY"
"CUST_VARIANT_STEEL": "STAL"
"SLOT_ROOF_LIGHTS": "ŚWIATŁA NA DACHU"
"DARK_ORANGE": "CIEMNOPOMARAŃCZOWE"
"CUST_ITEM_FEMALE_LL_UNDWEAR_1": "NEONOWA DŻUNGLA"
"COLOR_SLOT_PAINT_1_AND_PAINT_3": "LAKIER 1 I LAKIER 3"
"CUST_VARIANT_PLATINUM": "PLATYNA"
"CUST_SKIN_OILED_2": "NATŁUSZCZONA AZJATYCKA 1"
"PLAYER_MORPH_EYE_SIZE_TEXT": "WIELKOŚĆ OCZU"
"PLAYER_MORPH_BOTTOM_LIP_MIDDLE_SIZE_TEXT": "WIELKOŚĆ ŚRODKA DOLNEJ WARGI"
"RIM_SPORTS": "SPORTOWE"
"CUST_ITEM_CF_NLMD_FOOT_F_CANVASSHOES": "ROCKOWE PŁÓCIENNE BUTY"
"CUST_ITEM_CM_LPG_MASK_M_MASKLAMB": "MASKA OWCY"
"CUST_INSULT_J": "BBBJ"
"CUST_TATTOO_LCALF_6": "CZŁONEK PLEMIENIA"
"VEHICLE_COLOR_INSANE_RED": "SZALONA CZERWIEŃ"
"CUST_ITEM_FEMALE_NLM_EARRINGS_4": "KOLCZYKI \"MUSISZ KRWAWIĆ\""
"CUST_ITEM_FEMALE_LETSPRETEND_OUTFIT_G": "SEKSOWNA KOWBOJKA"
"CUST_ITEM_CM_LPE_LBDY_M_MPANTS": "SPODNIE BATALIONU"
"CUST_ITEM_CM_LLA_UBDY_M_GIMPSHIRT": "KOSZULA \"NIEGRZECZNY CHŁOPCZYK\""
"CUST_ITEM_CM_PSG_FOOT_M_SNEAKERS": "TRAMPKI"
"CUST_COMPLIMENT_E": "AMIGO"
"PLAYER_MORPH_BODY_FAT_TEXT": "TUSZA"
"PLAYER_MORPH_SKULL_TOP_HEIGHT_TEXT": "WYSOKOŚĆ CZUBKA GŁOWY"
"CUST_COLOR_CLOTHING_GREYS_4": "SZARY 4"
"CUST_WPN_UPGRADE_DESC_GRENADE_FLASHBANG_3": "Zwiększony zasięg rzutu."
"CUST_GANG_NINJA": "NINJA"
"CUST_COMP_CHEEK_MAKEUP_2": "SUPERMODELKA"
"COMPONENT_ADD_REINFORCED_BUMPER": "WZMOCNIONY ZDERZAK"
"CUST_ITEM_CF_HAIR_SPACEGIRL": "SCI-FI"
"CUST_ITEM_CF_IMPN_FOOT_F_SANDALS": "SZPILKI DO NIEBA"
"CUST_TATTOO_UPPER_LEG_LEFT": "GÓRNA CZĘŚĆ LEWEJ NOGI"
"PLAYER_MORPH_SKULL_TOP_ELEVATION_TEXT": "WYSOKOŚĆ CZUBKA GŁOWY"
"CUST_ITEM_FEMALE_NLM_OUTFIT_D": "DZIECIAK INDIE"
"CUST_ITEM_CF_LPG_LBDY_F_SHORTSCHAPS": "SEKSOWNA KOWBOJKA"
"CUST_ITEM_CM_LLN_LBDY_M_WLPANTS": "SPODNIE \"DIWA DISCO\""
"CUST_ITEM_CM_LLB_FOOT_M_LTHRBOOTS": "SKÓRZANE BUTY BONDAGE"
"CUST_COMP_EYE_MAKEUP_6": "ODROBINA NA GÓRZE"
"LOGO_NUMBER4": "NUMER 4"
"LOGO_SKEETERS_2": "SKEETERS 2"
"CUST_ITEM_CF_LLI_UBDY_F_TUBETOP": "TOP BEZ RAMIĄCZEK"
"CUST_VARIANT_SPORT_SHOE": "BUT SPORTOWY"
"CUST_ITEM_FEMALE_LL_UNDWEAR_5": "STRINGI \"OKAŻĘ CI SWOJĄ MIŁOŚĆ\""
"CUST_VOICE_FEMALE_ASIAN": "KOBIETA 1"
"CUST_WPN_UPGRADE_DESC_RIFLE_STAG_3": "Zwiększa szybkostrzelność. Dłuższa lufa zmniejsza odrzut."
"CUST_TATTOO_UPPBACK_3": "KOSMICZNY GANGSTER"
"COLOR_SLOT_PAINT_1_AND_RIMS_2": "LAKIER 1 I FELGI 2"
"CUST_TATTOO_LOWBACK_1": "PAMIĘTAJ O POLEGŁYCH"
"CUST_COLOR_FLESH_1": "CIELISTY 1"
"CUST_VARIANT_ULTORSHIRT": "ULTOR"
"CUST_WEAR_LOW_LEFT_ZIPPED_RIGHT_ROLLED": "PRAWY PODWINIĘTY, NISKO"
"RIM_SET_007": "ZESTAW FELG 7"
"VEHICLE_PAINT_MILITARY": "WOJSKOWY"
"COMPONENT_OPTION_5": "OPCJA 5"
"LOGO_DOGFIGHT": "Walka psów!"
"CUST_VARIANT_BALD": "ŁYSY"
"CUST_ITEM_CM_DECKERSUIT": "DECKER"
"CUSTOM_WALK_6": "DOMYŚLNY MĘŻCZYZNA 2"
"CUST_COMP_EYE_MAKEUP_11": "CIEMNA KREDKA"
"CUST_VARIANT_SKIRTC": "STYL 1"
"CUST_VARIANT_TRICOLOR": "TRÓJKOLOROWE"
"CUST_VARIANT_SUEDESUEDE": "ZAMSZ"
"CUST_ITEM_CM_FPIC_SETB": "ĆWIEK W PRAWEJ BRWI I W NOSIE"
"PLAYER_MORPH_EAR_LONGITUDE_TEXT": "POZYCJA USZU"
"CUST_WPN_UPGRADE_DESC_SPECIAL_STRIKE_3": "Szybsze celowanie i większa ilość nalotów do dyspozycji."
"CUST_TATTOO_NECK_5": "PLUSZOWY MIŚ"
"CUST_WEAR_LOW_BOTH_ROLLED": "OBA PODWINIĘTE, NISKO"
"CUST_ITEM_IMPRESSIONS_FEMALE_N": "STYL MOD"
"CUST_ITEM_CM_HAIR_SIDEPARTMED1": "KRÓTKO I NA LEWO"
"CUST_OPACITY_SLIDER": "OSTROŚĆ"
"CUST_MORPH_CAT_BROW": "BRWI"
"LETS_PRETEND_NAME": "UDAWAJMY"
"CUST_COMP_FACE_MAKEUP_5": "NIE MOGĘ SPAĆ"
"CUST_VARIANT_PIMPCOAT_LEOPARD2": "LAMPART 2"
"CUST_ITEM_CM_NECK_LL_HEART": "NASZYJNIK OBIETNICY"
"CUST_ITEM_CM_HAIR_COMBOVER": "MNICH"
"CUST_ITEM_CM_LLO_LBDY_M_SBLPANTS": "SPODNIE MOTOROWEROWE"
"CUST_ITEM_DANE_S_HAIR": "MOTYLKOWA PRZYPINKA"
"CUST_SKIN_HISPANIC_05": "LATYNOSKA 5"
"CUST_TATTOO_RHAND_5": "MIŁOSNA MASZYNA"
"LOGO_SHARKS_TEXT_2": "REKINY TEKST 2"
"CUST_VARIANT_FISHNET_1": "SIATKA 1"
"CUST_ITEM_CM_NECK_FLEURDELIS": "ŁAŃCUSZEK LILA ŚWIĘTYCH"
"CUST_ITEM_CM_CNC_HAT_M_CAP": "CZAPECZKA BEJSBOLOWA \"CROOKS & CASTLES\""
"CUST_ITEM_CF_LLI_FOOT_F_STUDDEDHEALS": "BUNTOWNICZE OBCASY"
"CUST_ITEM_CM_HAIR_SIDESPIKED": "ANIME"
"CUST_RONIN_COMPLIMENT_B": "KOMPLEMENT RONINÓW 2"
"PLAYER_MORPH_BROW_ARCH_TEXT": "ŁUK BRWI"
"CUST_COLOR_CLOTHING_VIOLET-RED_4": "FIOLETOWOCZERWONY 4"
"CUST_COLOR_CLOTHING_BROWNS_5": "BRĄZOWY 5"
"Component_Paint": "POMALUJ WSZYSTKO"
"COMPONENT_DECAL_7": "NAKLEJKA 7"
"CUST_WEAR_HIGH": "WYSOKO"
"CUST_RACE_BLACK": "CZARNA"
"CUST_SKIN_BLACK_02": "CZARNA 2"
"PLAYER_MORPH_CHIN_ELEVATION_TEXT": "WZNIESIENIE PODBRÓDKA"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_8": "ŻÓŁTOPOMARAŃCZOWY 8"
"CUST_TATTOO_FACE_2": "KIEDY ŚWIĘCI PŁACZĄ"
"CUST_VARIANT_BABYT": "DZIECIĘCY T-SHIRT"
"CUST_ITEM_CM_POLICESUIT": "MUNDUR POLICJI STEELPORT"
"CUST_SKIN_PURPLE_1": "GŁĘBOKI FIOLET"
"CUSTOM_WALK_12": "GANGSTERSKI"
"PLAYER_MORPH_NECK_BACK_DEPTH_TEXT": "GŁĘBOKOŚĆ KARKU"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_GANG_2": "Zwiększa pojemność amunicyjną. Druga lufa zwiększa obrażenia."
"COMPONENT_OPTION_10": "OPCJA 10"
"CUST_VARIANT_MATERIAL_4": "CUST_VARIANT_MATERIAL#4"
"CUST_VARIANT_BIKER_1": "MOTOCYKLISTA 1"
"CUST_ITEM_FEMALE_PS_EARRINGS_4": "KÓŁKA \"PLANETA ŚWIĘTYCH\""
"CUST_ITEM_CF_LPG_UBDY_F_SHIRT": "STYLÓWA NA KOWBOJKĘ"
"CUST_ITEM_CF_PSG_LBDY_F_GFXJEANS": "PRZYLEGAJĄCE DŻINSY"
"CUST_COMPLIMENT_M": "NINJA"
"COMPONENT_LOW_PROFILE": "NISKI PROFIL"
"LOGO_MIX": "THE MIX 107.77"
"CUST_VARIANT_2_COLOR": "DWUKOLOROWE"
"CUST_VARIANT_STRIPES_4": "PASY 4"
"CUST_VARIANT_SOLID": "JEDNOLITE"
"CUST_WEAR_BACK RIGHT": "TYŁ PRAWO"
"CUST_WPN_UPGRADE_DESC_SMG_GANG_3": "Tłumik zwiększa obrażenia i zmniejsza odrzut."
"CUST_TATTOO_RCALF_1": "ZAKOTWICZONY"
"CUST_TATTOO_LARM_6": "ZŁAPANY W SIEĆ"
"CUST_TATTOO_LUPPARM_4": "ZAKLINACZ WĘŻY"
"VEHICLE_PAINT_PRECIOUS_METAL": "CENNY METAL"
"HAIR_COLOR_BRUNETTE_MATTE": "MATOWE CIEMNE"
"HAIR_COLOR_AUBURN_MATTE": "MATOWY KASZTAN"
"HAIR_COLOR_WHITE": "BIAŁE"
"CUST_VARIANT_BLOOD": "KRWI"
"CUST_ITEM_CF_IMPR_UBDY_F_SHIRTLOW": "KAMIZELKA MAGIKA \"WZGÓRZA\""
"CUST_ITEM_FEMALE_NLM_UNDWEAR_2": "IMPREZOWE STRINGI"
"CUST_ITEM_CM_NLMD_EAR_M_EARRING": "STYLOWE PUNKOWE KOLCZYKI"
"LOGO_420": "103.6 Four 20"
"CUST_VARIANT_MATERIAL__17": "CUST_VARIANT_MATERIAL_#17"
"CUST_ITEM_CM_HAIR_RECEDINGPEAK": "CZAPECZKA Z PIÓRKIEM"
"CUST_INSULT_B": "DANIEL-SAN"
"PLAYER_MORPH_LOBES_SIZE_TEXT": "WIELKOŚĆ PŁATKÓW USZU"
"VEHICLE_COLOR_KABUKI_RED": "CZERWIEŃ KABUKI"
"CUST_ITEM_CM_IMPM_LBDY_M_SHORTS": "SZORTY \"KABANA\""
"CUST_CHOOSE_CHARACTER": "DOSTOSUJ POSTAĆ"
"PLAYER_MORPH_EYELID_LOOK_TEXT": "WYGLĄD POWIEK"
"CUST_TATTOO_RFORARM_4": "ZIMNY JAK GŁAZ"
"CUST_COMP_FACE_MOLE_5": "PIEPRZYK 5"
"COLOR_SLOT_PAINT_AND_TRIM": "LAKIER I DODATKI"
"FEMALE_OVERWEIGHT": "KOBIETA - Z NADWAGĄ"
"CUST_SKIN_GREY_5": "ONYKS"
"RIM_DEEP_DISH": "GŁĘBOKIE FELGI"
"SLOT_HUBCAPS_REAR": "TYLNE KOŁPAKI"
"SLOT_WINDOW_TINT": "PRZYCIEMNIENIE OKIEN"
"BRIGHT_BLUE": "JASKRAWONIEBIESKIE"
"HAIR_Black": "CZARNE"
"LOGO_SRAIR": "SR AIR"
"PLAYER_CREATION_PRESET_BLACK": "AFROAMERYKANIN"
"VEHICLE_COLOR_CHROME": "CHROM"
"RIM_185": "V-F 604"
"SLOT_WEAPON_2": "BROŃ 2"
"LOGO_CARDS": "KARTY"
"CUST_ITEM_CF_DLC_SPACE_OUTFIT": "KOSMICZNA KSIĘŻNICZKA"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHIRT": " SWOBODNY STRÓJ \"WZGÓRZA"
"CUST_COLOR_CLOTHING_ORANGE_7": "POMARAŃCZOWY 7"
"CUST_WPN_UPGRADE_DESC_GRENADE_MOLOTOV_4": "Zwiększa obrażenia."
"CUST_COMP_EYE_MAKEUP_19": "JASNE SPOJRZENIE"
"CUST_ITEM_CM_NLMC_RWRST_M_WRISTBANDS": "FLUORESCENCYJNA BRANSOLETKA \"RAVE X\""
"CUST_ITEM_CM_LLA_HAT_M_GIMPMASK": "SPECJALNOŚĆ \"SŁOWO BEZPIECZEŃSTWA\""
"PLAYER_MORPH_BODY_MUSCLE_TEXT": "MUSKULATURA"
"PLAYER_MORPH_LUMINOSITY_TEXT": "JASNOŚĆ"
"LOGO_STEER": "NIEBIAŃSCY POMOCNICY"
"CUST_VARIANT_SMOKED": "PRZYCIEMNIONY DASZEK"
"CUST_ITEM_CF_NLMB_RWRST_F_WRISTBAND": "OPASKA ANARCHISTY"
"CUST_COMPLIMENT_APPROVAL": "POCHWAŁA"
"CUST_VOICE_MALE_WHITE": "MĘŻCZYZNA 1"
"COLOR_SLOT_MECHANICAL": "MECHANIKA"
"COMPONENT_DECAL_10": "NAKLEJKA 10"
"CUST_VARIANT_THICKSTRIPES": "PIN STRIPES"
"CUST_VARIANT_ZEBRA": "ZEBRA"
"CUST_ITEM_CM_IMPB_UBDY_M_JTURTLENECK": "OBIAD W PARYŻU"
"CUST_ITEM_CF_NLMH_LWRST_F_WRISTBANDS": "IMPREZOWE BRANSOLETKI"
"CUST_ITEM_CF_HAIR_M_LONGUP-01": "UPIĘTE WŁOSY RETRO"
"CUST_SKIN_GREEN_5": "MIĘTOWA ZIELEŃ"
"PLAYER_MORPH_LOWER_LIP_SIDES_ELEVATION_TEXT": "WYSOKOŚĆ BOKÓW DOLNEJ WARGI"
"CUST_WEAR_NORMAL_EXTRA_HIGH_SUSPENDERS": "NORMALNE, BARDZO WYSOKIE, SZELKI"
"CUST_ITEM_CF_PSB_LBDY_F_SHORTSHORTS": "SZORTY ZDZIRY"
"CUST_SKIN": "SKÓRA"
"PLAYER_MORPH_CHEEKBONE_HEIGHT_TEXT": "WYSOKOŚĆ KOŚCI POLICZKOWYCH"
"CUST_TATTOO_LHAND_2": "ŻYJ ALBO..."
"CUST_VARIANT_PATTERN_2_DECALS": "STYL 2 Z NADRUKIEM"
"CUST_VARIANT_DEFAULT": "DOMYŚLNE"
"CUST_ITEM_BANDANA_1": "BANDYTA"
"CUST_MOVEMENT_TAUNT": "DRWINA"
"PLAYER_CREATION_MENU_1": "GOTOWE ZESTAWY"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_5": "ŻÓŁTOZIELONY 5"
"CUST_TATTOO_CHEST_6": "SZEROKO OTWARTE"
"VEHICLE_PAINT_GANG_SAINTS": "ŚWIĘCI"
"DARK_RED": "CIEMNOCZERWONE"
"LEVEL_3": "POZIOM 3"
"LOGO_SPELUNKER_1": "GROTOŁAZ"
"CUST_ITEM_CM_IMPB_UBDY_M_JLOWSHIRT": "UBRANA W KASZMIR"
"CUST_ITEM_FEMALE_LL_EARRINGS_3": "ZWISAJĄCE W PASKI"
"CUST_GANG_STRIPPER": "STRIPTIZERKA"
"VEHICLE_PAINT_METAL": "METAL"
"LOGO_WONDERMART_1": "WONDERMART 1"
"CUST_WEAR_TUCKED_HIGH_PANT_NO_SUSPENDERS": "WPUSZCZONA, WYSOKIE SPODNIE"
"CUST_FINE_TUNING": "TWARZ"
"PLAYER_MORPH_JAW_SPACING_TEXT": "ROZSTAW SZCZĘK"
"PLAYER_MORPH_EYE_ELEVATION_TEXT": "WZNIESIENIE OCZU"
"CUST_COLOR_CLOTHING_ORANGE_3": "POMARAŃCZOWY 3"
"SLOT_RIMS": "FELGI"
"PLAYER_MORPH_NECK_BACK_WIDTH_TEXT": "SZEROKOŚĆ KARKU"
"CUST_COMP_MALE_EYEBROWS_4": "ZROŚNIĘTE"
"VEHICLE_PAINT_OPAQUE_PAINT": "NIEPRZEJRZYSTY LAKIER"
"COMPONENT_OPTION_9": "OPCJA 9"
"CUST_VARIANT_BIG_DIAMONDS": "WIELKIE DIAMENTY"
"CUST_ITEM_MALE_PLANETSAINTS_BRIEFS_1": "SLIPY ŚWIĘTYCH"
"CUST_SKIN_GREEN_1": "WESOŁY ZIELONY CZŁOWIECZEK"
"CUST_RONIN_TAUNT_D": "DRWINA RONINÓW 4"
"PLAYER_MORPH_JOWLS_ELEVATION_TEXT": "WYSOKOŚĆ ZWISAJĄCYCH POLICZKÓW"
"WARDROBE_CONTROL_WEAR": "ZAŁÓŻ"
"VEHICLE_PAINT_TRICKED_METALLIC": "WYBAJERZONY METALIK"
"COLOR_SLOT_INTERIOR_AND_SOFTTOP": "WNĘTRZE I DACH"
"CUST_ITEM_CM_IMPL_UBDY_M_JSHIRT": "MOD Z KOSZULĄ"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_4": "ŻÓŁTOPOMARAŃCZOWY 4"
"CUST_TATTOO_LHAND_6": "ZŁAMANE SERCE"
"CUST_COLOR_INDIGO_2": "INDYGO 2"
"CUST_COLOR_PURPLE_3": "FIOLETOWY 3"
"CUST_VARIANT_MATERIAL__16__14_DEFAULT": "CUST_VARIANT_MATERIAL_#16_(14_DEFAULT)"
"CUST_WEAR_CLOSED": "ZAMKNIĘTE"
"CUST_WEAR_LOW_LEFT_UNZIPPED_RIGHT_UNZIPPED": "OBA ROZPIĘTE, NISKO"
"CUST_ITEM_LEATHER_LACE_FEMALE_R": "KELNERKA Z OKTOBERFEST"
"CUST_MENU_PRESETS": "ZESTAWY"
"CUST_MORPH_CAT_MOUTH": "USTA"
"PLAYER_MORPH_BODY_TEXT": "CIAŁO"
"CUST_COLOR_CLOTHING_VIOLET-RED_8": "FIOLETOWOCZERWONY 8"
"CUST_COLOR_CLOTHING_BROWNS_9": "BRĄZOWY 9"
"PAINT_1": "LAKIER 1"
