"CUST_ITEM_CF_HAIR_MED": "ДО ПЛЕЧ" 
"CUST_VARIANT_STRIPESB": "ПОЛОСКИ 2"
"CUST_VARIANT_COLORED_COLLAR": "ЦВЕТНОЙ ВОРОТНИК"
"CUST_ITEM_CF_NLME_UBDY_F_SADTEXT": "ТОЛСТОВКА \"SAD TO THE BONE\""
"CUST_SKIN_HISPANIC_02": "ЛАТИНОС 2"
"CUST_COLOR_ROSE_2": "РОЗОВЫЙ 2"
"LOGO_NUMBER10": "НОМЕР 10"
"CUST_VARIANT_COLORB": "СТИЛЬ 2"
"RIM_SET_013": "НАБОР ОБОДОВ 13"
"LOGO_K12": "K12 97.6"
"CUST_ITEM_CF_LLR_HAND_F_LACYGLOVE": "ПЕРЧАТКИ ДРЯННОЙ ДЕВЧОНКИ"
"CUST_SKIN_DEMON": "РОЗОВЫЙ ДЕМОН"
"CUST_PRESET_AGE": "ВОЗРАСТ"
"PLAYER_MORPH_AFRICAN_TEXT": "АФРИКАНСКИЙ"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_4": "ИНДИГО 4"
"VEHICLE_COLOR_BRONZE": "БРОНЗА"
"CUST_VARIANT_TYEDYE": "СТИЛЬ 1"
"CUST_CAT_LOWER_BODY": "НИЖНЯЯ ЧАСТЬ ТЕЛА"
"CUST_TATTOO_ARMS": "РУКИ"
"PLAYER_MORPH_MOUTH_SIDES_ELEVATION_TEXT": "ВЫСОТА КРАЕВ РТА"
"PLAYER_CREATION_FIGURE_OBESE": "ТУЧНЫЙ"
"CUST_COLOR_CLOTHING_GREENS_8": "ЗЕЛЕНЫЙ 8"
"CUST_TATTOO_STOMACH_6": "СВЯТЫЕ С ТРЕТЬЕЙ УЛИЦЫ"
"CUST_WEAR_TATTOO_MAY_LION": "МЭЙ ЛИОН"
"CUST_WEAR_FINGER_RR": "ПРАВЫЙ БЕЗЫМЯННЫЙ ПАЛЕЦ"
"CUST_ITEM_CM_DLC_UBDY_M_GPPANTS": "ШТАНЫ \"АПОФЕОЗ РЕАЛЬНОСТИ\""
"CUST_COMPLIMENT_S": "С РЕКИ"
"Gang_Customization": "ИЗМЕНЕНИЕ БАНДЫ"
"BRIGHT_PINK": "ЯРКО-РОЗОВЫЙ"
"CUST_SKIN_CAUCASIAN_04": "БЕЛЫЙ 4"
"FACIAL_EXPRESSION_INEBRIATED": "ПЬЯНЫЙ"
"PLAYER_MORPH_DOUBLE_CHIN_DEPTH_TEXT": "ГЛУБИНА ВТ. ПОДБОРОДКА"
"PLAYER_MORPH_BALL_ELEVATION_TEXT": "ВЫСОТА КОНЧИКА"
"PLAYER_MORPH_BROW_TEXT": "БРОВИ"
"CUST_VARIANT_BUTTONED_SHIRT": "РУБАШКА "
"CUST_ITEM_CM_PSF_FOOT_M_HIGHTOPS": "JUMPS"
"CUST_TATTOO_RARM_3": "БРАТСТВО"
"VEHICLE_COLOR_TINT_80": "КРАСКА 80%%"
"RIM_157": "RADIANT"
"SLOT_DECAL_9": "КАРТИНКА 9"
"CUST_VARIANT_ARMY": "АРМИЯ"
"CUST_SKIN_ASIAN_05": "АЗИАТ 5"
"PLAYER_MORPH_JAW_ELEVATION_TEXT": "ВЫСОТА ЧЕЛЮСТИ"
"CUST_COLOR_CLOTHING_BLUES_9": "СИНИЙ 9"
"VEHICLE_PAINT_CLOTH": "МАТЕРИАЛ"
"CUST_MORPH_CAT_CROWN": "МАКУШКА"
"PLAYER_MORPH_EARS_HEIGHT_TEXT": "ВЫСОТА УШЕЙ"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_LAUNCHER_3": "Увеличенный боекомплект."
"CUST_GANG_HO": "ШЛЮХА"
"COLOR_SLOT_PAINT_1_AND_TRIM": "РИСУНОК 1 И НАКЛАДКИ"
"CUST_VARIANT_PINSTRIPES": "В ТОНЕНЬКУЮ ПОЛОСКУ"
"CUST_VARIANT_2COLOR_THIN": "ДВА ЦВЕТА, ТОНКИЙ"
"PLAYER_MORPH_CHIN_PITCH_TEXT": "ПОДЪЕМ ПОДБОРОДКА"
"PLAYER_MORPH_BRIDGE_LENGTH_TEXT": "ДЛИНА ПЕРЕНОСИЦЫ"
"CUST_TATTOO_LFORARM_1": "Я КОРОЛЬ"
"COLOR_SLOT_TRIM_2": "НАКЛАДКИ 2"
"CUST_VARIANT_SERGIO": "СЕРДЖИО"
"CUST_ITEM_BASIC_T_SHIRT": "КУРТКА-БОМБЕР"
"LOGO_FIRE": "ПОЖАРНЫЙ"
"CUST_VARIANT_SOLID2": "ОДНОТОННЫЙ КОЗЫРЕК"
"CUST_ITEM_LEFT_UPPER_ARM_BARB_WIRE_01": "ПЕРЧАТКА СМЕРТЕЛЬНОЙ БИТВЫ"
"CUST_PRESET_FIGURE": "СОЗДАТЬ"
"PLAYER_MORPH_NOSE_DEPTH_TEXT": "ГЛУБИНА НОСА"
"CUST_COMP_MUSTACHE_23": "СТУК В ДВЕРЬ"
"CUST_VARIANT_LARGE_POLKA_DOTS": "БОЛЬШОЙ ГОРОШЕК"
"CUST_WEAR_LOW_LEFT_UNZIPPED_RIGHT_ZIPPED": "ЛЕВЫЙ РАССТЕГНУТ, НИЗКО"
"CUST_ITEM_CF_NLME_LBDY_F_KHAKIS": "КАМУФЛЯЖНЫЕ КАПРИ"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_A": "ТРУЖЕНИЦА УЛИЦ"
"CUST_CAT_MEDALLION": "МЕДАЛЬОНЫ"
"CUST_TATTOO_LOWER_ARM_RIGHT": "ПРАВЫЙ ЛОКОТЬ"
"PLAYER_MORPH_BROW_SPACING_TEXT": "РАССТОЯНИЕ МЕЖДУ БРОВЯМИ"
"LOGO_GHETTO_1": "БОЛЬШОЙ МАГНИТОФОН 1"
"PLAYER_MORPH_MOUTH_STYLE_TEXT": "СТИЛЬ РТА"
"CUST_ITEM_CM_NLMD_LBDY_M_PANTS": "СВЕТЯЩИЕСЯ ШТАНЫ"
"CUST_ITEM_MALE_MURDERBRAWL_OUTFIT": "МУЖСКОЙ КОСТЮМ \"РАЗ-ДВА-ТРИ\""
"CUST_CAT_EYES": "ГЛАЗА"
"CUST_COLOR_CLOTHING_YELLOWS_1": "ЖЕЛТЫЙ 1"
"CUST_TATTOO_RUPPARM_1": "ДУХ ВОЛКА"
"VEHICLE_PAINT_MODERN": "СОВРЕМЕННЫЙ"
"SLOT_SPARE_TIRE": "ЗАПАСНЫЕ КОЛЕСА"
"MALE_OBESE": "ПОЛНЫЙ МУЖЧИНА"
"CUST_VARIANT_ROPES": "ЦЕПОЧКИ"
"CUST_ITEM_CM_DLC_M_EARRINGS01": "ОБРУЧИ В СТИЛЕ ЗЕД"
"CUST_ITEM_CM_NYTEBLAYDE": "НОЧНОЙ КЛИНОК"
"CUST_ITEM_CM_LLN_UBDY_M_SEQSHIRT": "РУБАШКА ДИСКО-ЛИХОРАДКИ"
"PLAYER_MORPH_FACE_SCALE_TEXT": "МАСШТАБ ЛИЦА"
"CUST_COLOR_CLOTHING_VIOLET_2": "ФИОЛЕТОВЫЙ 2"
"CUST_WEAR_BOTH_ROLLED_HIGH": "ОБА ЗАСТЕГНУТЫ ВЫСОКО"
"CUST_ITEM_CM_NECK_PEARLS": "СТИЛЬНОЕ ОЖЕРЕЛЬЕ"
"CUST_ITEM_CM_IMPN_LBDY_M_PANTS": "ГОРОДСКИЕ ШТАНЫ"
"CUST_ITEM_CF_IMPR_UBDY_F_SHIRT": "РУБАШКА \"ХИЛЛЗ\""
"CUST_ITEM_CF_NLMH_EYES_F_HSNGLSTASSLES": "ОЧКИ СЛАДКОГО МАЛЬЧИКА"
"CUST_ITEM_BASIC_LIPSTICK": "ПРИЧЕСКА С ЛЕТНОЙ"
"CUST_BRO_COMPLIMENT_C": "ПОХВАЛА БРАТСТВА 3"
"CUST_MOVEMENT_MELEE": "БОЕВОЙ СТИЛЬ"
"CUST_TATTOO_LFORARM_5": "К ШТУРВАЛУ"
"CUST_VARIANT_COW": "КОРОВА"
"CUST_ITEM_CM_IMPL_LBDY_M_DRESSPANTS": "ЕВРОПЕЙСКИЕ МОДЕЛЬНЫЕ ШТАНЫ"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHIRTLOW": "КУРТКА \"ХИЛЛЗ\" С ЖИЛЕТОМ"
"CUST_ITEM_CM_NATIONALGUARD": "УНИФОРМА ОХРАННИКА СТИЛПОРТА"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_D": "ЭЛЕКТРО-ДИДЖЕЙ"
"CUST_GANG_LUCHADOR": "ЛУЧАДОР"
"LOGO_NODRUGS": "НЕТ нАРКОТИКАМ"
"CUST_VARIANT_DOTS": "ТОЧКИ"
"CUST_ITEM_5_O_CLOCK_SHADOW_1": "ТЕНЬ, 5 ЧАСОВ"
"RACE_AFRICAN": "НЕГР"
"CUST_WPN_UPGRADE_DESC_PISTOL_POLICE_3": "Гаситель повышает урон и снижает отдачу."
"CUST_COMP_MUSTACHE_27": "ПОДКОВА"
"VEHICLE_COLOR_YELLOW_LIGHT_TINT": "СВЕТЛО-ЖЕЛТАЯ КРАСКА"
"VEHICLE_COLOR_MUSTARD_GREEN": "ГОРЧИЧНО-ЗЕЛЕНЫЙ"
"RIM_176": "SD FTN59"
"CUST_VARIANT_PLAIN": "ПРОСТОЙ"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_E": "БАСКЕТБОЛИСТКА"
"CUST_TATTOO_TORSO_LOWER_BACK": "ЗАДНЯЯ ЧАСТЬ - НИЗ"
"CUST_ITEM_FEMALE_PS_UNDWEAR_3": "СУМАСШЕДШИЕ СТРИНГИ СВЯТЫХ"
"CUST_MOVEMENT_COMPLIMENT": "ПОХВАЛЫ"
"CUST_VARIANT_CIRCLE": "КРУГИ"
"CUST_VARIANT_METAL": "МЕТАЛЛ"
"CUST_VARIANT_FADED": "ЗАТЕМНЕННЫЙ"
"CUST_ITEM_CM_DLC_KNIGHT": "РЫЦАРЬ"
"CUST_ITEM_FEMALE_LL_BRA_2": "ИСТИННАЯ ЛЮБОВЬ"
"CUST_ITEM_CM_LLL_FOOT_M_LBOOTS": "БОТИНКИ БАЙКЕРА"
"CUST_DIALOG_DISROBE_TITLE": "СНЯТЬ ВСЮ ОДЕЖДУ"
"CUST_WPN_UPGRADE_DESC_SPECIAL_SNIPER_4": "Увеличенный боекомплект. Удлиненный ствол повышает урон и снижает отдачу."
"VEHICLE_PAINT_CLASSIC_50_S___60_S": "КЛАССИКА 50-Х - 60-Х"
"CUST_COLOR_BRIGHT_GREEN": "ЯРКО-ЗЕЛЕНЫЙ"
"CUST_VARIANT_DROOPS": "НАКЛОНЫ"
"CUST_ITEM_CF_LLI_LBDY_F_SHORTS": "ШОРТЫ В ОБТЯЖКУ"
"CUST_ITEM_CF_NLME_UBDY_F_HOODIEUP": "БАЛАХОН ГРОМИЛЫ"
"CUST_ITEM_CM_PSI_EYES_M_SHADES": "ОЧКИ В СТИЛЕ ГЭТА"
"CUST_MENU_RACE_PRESETS": "УСТАНОВКИ РАСЫ"
"PLAYER_MORPH_MOUTH_SIZE_TEXT": "РАЗМЕР РТА"
"CUST_COLOR_CLOTHING_VIOLET_6": "ФИОЛЕТОВЫЙ 6"
"SLOT_SECONDARY_SURFACES": "ВТОРОСТЕПЕННАЯ ПОВЕРХНОСТЬ"
"LOGO_RFG": "RFG"
"CUST_VARIANT_SHAGGY": "ЛОХМАТЫЙ"
"CUST_MENU_WEAR_OPTION": "ПАРАМЕТРЫ ОДЕЖДЫ"
"PLAYER_MORPH_EARS_LENGTH_TEXT": "ДЛИНА УШЕЙ"
"CUST_COLOR_CLOTHING_YELLOWS_5": "ЖЕЛТЫЙ 5"
"CUST_TATTOO_RUPPARM_5": "ЗНАКОМСТВО С ДЬЯВОЛОМ"
"VEHICLE_COLOR_FOREST_GREEN": "ЛЕСНАЯ ЗЕЛЕНЬ"
"VEHICLE_COLOR_ORANGE_DARK_TINT": "ТЕМНО-ОРАНЖЕВАЯ КРАСКА"
"SLOT_SPINNERS": "РОТОР"
"LOGO_POT_LEAF": "ЛИСТ КОНОПЛИ "
"CUST_WEAR_UNBUTTONED": "РАССТЕГНУТЫЙ"
"CUST_ITEM_CM_IMPN_UBDY_M_TURTLENECK": "СОВРЕМЕННАЯ ВОДОЛАЗКА"
"CUST_ITEM_WOMEN_S_PLATFORM_SHOES": "БОТИНКИ СМЕРТЕЛЬНОЙ БИТВЫ"
"CUST_GANG_SPACE": "КОСМИЧЕСКИЕ СВЯТЫЕ"
"RIM_SET_017": "НАБОР ОБОДОВ 17"
"CUST_VARIANT_PATTERN_A": "СТИЛЬ 1"
"CUST_WEAR_TOP_BUTTONED": "ЗАСТЕГНУТЫЙ ДО ВЕРХА"
"CUST_ITEM_CM_LPG_SUIT_M_ANIMALSUIT": "ЗВЕРЬ ТУСОВОК"
"CUST_CAT_RIGHT_HAND": "ПРАВАЯ РУКА"
"CUST_COLOR_RED_2": "КРАСНЫЙ 2"
"CUST_VARIANT_LARGE_STRIPE": "БОЛЬШАЯ ПОЛОСА"
"CUST_ITEM_CM_PSG_LBDY_M_TRACKPANTS": "СПОРТИВНЫЕ ШТАНЫ"
"CUSTOM_WALK_FEMALE": "ЖЕНЩИНА (ПО УМОЛЧАНИЮ)"
"CUST_WPN_UPGRADE_DESC_GRENADE_EXPLOSIVE_3": "Увеличенная дистанция броска."
"CUST_TATTOO_STOMACH_2": "РОБОТ-САН"
"CUST_COMP_MUSTACHE_4": "ДАЛИ"
"LOGO_KRUNCH": "КРОВЬ 106.66"
"CUST_VARIANT_STRIPES_A": "ПОЛОСКИ 1"
"CUST_WEAR_BOTH": "ОБА"
"CUST_WEAR_TUCKED_EXTRA_HIGH_PANT_NO_SUSPENDERS": "ЗАПРАВЛЕННЫЙ, ЭКСТРА ПОДНЯТЫЕ ШТАНЫ"
"CUST_ITEM_CF_LLI_UBDY_F_JCKTTUBETOP": "ТОПИК С ЖАКЕТОМ"
"CUST_COMPLIMENT_W": "АПЛОДИСМЕНТЫ"
"PLAYER_MORPH_UPPER_LIP_LENGTH_TEXT": "ДЛИНА ВЕРХНЕЙ ГУБЫ"
"PLAYER_MORPH_CHIN_WIDTH_TEXT": "ШИРИНА ПОДБОРОДКА"
"COLOR_SLOT_PAINT_TRIM_AND_RIMS": "РИСУНОК, НАКЛАДКИ И РАМКА"
"PLAYER_MORPH_EAR_TIP_TEXT": "КОНЧИК УХА"
"CUST_ITEM_CF_PSD_UBDY_F_GFXHOODCOMBOUP": "ХИПСТЕРСКИЙ СВИТЕР"
"CUST_ITEM_CF_PSF_UBDY_F_LEFLEUR": "ТОЛСТОВКА \"ЛИЛИЯ СВЯТЫХ\""
"CUST_ITEM_CM_HAIR_TRIBALMULLET": "ДИКАРСКИЙ ГРЕБЕНЬ"
"PLAYER_MORPH_LOWER_LID_LENGTH_TEXT": "ДЛИНА НИЖНЕЙ ЧАСТИ ВЕКА"
"PLAYER_MORPH_EARS_TEXT": "УШИ"
"CUST_ITEM_CM_LLN_FOOT_M_LSHOES": "ДИСКО-КАБЛУКИ"
"tat_neck_fleur": "ЛИЛИЯ СВЯТЫХ"
"CUST_TATTOO_RARM_7": "ПЛЕМЕННАЯ ПОЛОСА"
"RIM_153": "LX-2"
"CUST_WEAR_UNTUCKED_TOP_BUTTON": "НАРАСПАШКУ, ЗАСТЕГНУТЫЙ ДО ВЕРХА"
"CUST_ITEM_CM_DLC_UBDY_M_GPTOP": "ТОП \"ВЕСЕЛКА!\""
"CUST_ITEM_LPA_M_SPACESUIT": "ГАНГСТЕР В КОСМОСЕ"
"CUST_TATTOO_LOWER_LEG_LEFT": "ЛЕВАЯ ГОЛЕНЬ"
"CUST_SKIN_ASIAN_01": "АЗИАТ 1"
"CUST_VARIANT_POLKA_DOT": "В ГОРОШЕК"
"CUST_ITEM_CF_RING_F_BIGGEM": "ФАМИЛЬНЫЕ ДРАГОЦЕННОСТИ"
"CUST_TATTOO_LOWER_LEG_RIGHT": "ПРАВАЯ ГОЛЕНЬ"
"LOGO_UNIVERSITY_NEWS": "Ун. новости Стилуотера."
"Default": "ПО УМОЛЧАНИЮ"
"LOGO_VOLITION_2": "VOLITION 2"
"LOGO_SECURITY_1": "ОХРАНА 1"
"CUST_ITEM_CF_HAIR_MEDIUMBOB": "ПРОСТОЙ ПУЧОК"
"CUST_SAMEDI_COMPLIMENT_A": "ПОХВАЛА САМЕДИ 1"
"PLAYER_MORPH_CHEEKBONE_SIZE_TEXT": "РАЗМЕР СКУЛ"
"VEHICLE_COLOR_ORANGE_LIGHT_TINT": "КРАСКА \"ОРАНЖЕВЫЙ СВЕТ\""
"RIM_130": "T130"
"CUST_ITEM_MALE_PS_UNDWEAR_1": "ТРУСЫ-БОКСЕРЫ СВЯТЫХ"
"CUST_ITEM_FEMALE_NLM_BRA_1": "РАЗБИТОЕ СЕРДЦЕ"
"CUST_ITEM_CM_HAIR_MOHAWK": "ИРОКЕЗ"
"DARK_BLUE": "ТЕМНО-СИНИЙ"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_A": "МЕЖГАЛАКТИЧЕСКИЙ ЧЕЛОВЕК"
"CUST_SAMEDI_TAUNT_D": "НАСМЕШКА САМЕДИ 4"
"PLAYER_MORPH_NOSE_WIDTH_TEXT": "ШИРИНА НОСА"
"VEHICLE_COLOR_SNAPPER_RED": "МОРСКОЙ ОКУНЬ"
"CUST_COLOR_YELLOW_1": "ЖЕЛТЫЙ 1"
"CUST_ITEM_CM_FPIC_NOSESLEFT": "ГВОЗДИК В ЛЕВУЮ НОЗДРЮ"
"CUST_COLOR_CLOTHING_RED_6": "КРАСНЫЙ 6"
"CUST_WPN_UPGRADE_DESC_MELEE_BAT_2": "Увеличивается урон."
"RIM_195": "AF1 MONOBLACK CX 504"
"CUST_VARIANT_ULTOR_W_TIE": "ГАЛСТУК ULTOR"
"PLAYER_MORPH_CHEEK_FATNESS_TEXT": "ПОЛНОТА ЩЕК"
"PLAYER_CREATION_BASIC": "ОСНОВНОЕ"
"CUST_COMP_FACE_WART_3": "БОРОДАВКА 3"
"VEHICLE_COLOR_GALACTIC_DOVE_GRAY": "СЕРЫЙ ГОЛУБЬ"
"COMPONENT_EXTRA_LOW_PROFILE": "ЭКСТРА НИЗКИЙ ПРОФИЛЬ"
"player_lips": "ГУБНАЯ ПОМАДА"
"CUST_ITEM_FEMALE_LP_EARRINGS_5": "СЕРЕЖКИ \"ДЕТЕКТИВ\""
"PLAYER_MORPH_EAR_SPACING_TEXT": "РАСПОЛОЖЕНИЕ УШЕЙ"
"LINEUP_WARNING_BODY": "Возвращение к настройкам сбросит все ваши текущие настройки.\nВы уверены, что хотите это сделать?"
"CUST_COLOR_CLOTHING_GREENS_4": "ЗЕЛЕНЫЙ 4"
"LOGO_UNIVERSITY_3": "УНИВЕРСИТЕТ СТИЛУОТЕР 2"
"CUST_ITEM_CM_IMPL_UBDY_M_JSWEATERTN": "ЖАКЕТ \"ПАРИЖСКИЕ ПОДМОСТКИ\""
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2A": "ВОДОЛАЗКА \"ГОРОДСКОЕ САФАРИ\" С НИЗКИМ ВОРОТОМ"
"CUST_ITEM_GASMASK": "ФУМИГАТОР-3000"
"CUST_ITEM_CF_LPE_LBDY_F_MPANTS": "БОЕВЫЕ ШТАНЫ"
"CUST_SKIN_BLUE_4": "СИНЯЯ ЛИНИЯ"
"PLAYER_MORPH_DOUBLE_CHIN_ELEVATION_TEXT": "ВЫСОТА ВТ. ПОДБОРОДКА"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_8": "ИНДИГО 8"
"LOGO_NEVERLAND": "НЕВЕРЛЕНД"
"FEMALE_ATHLETIC": "ЖЕНЩИНА СПОРТИВНОГО ТЕЛОСЛОЖЕНИЯ"
"CUST_ITEM_CF_DREADSINPIGTAILS": "ДРЭДЫ ИЗ КОСИЧЕК"
"CUST_ITEM_CM_PSG_HAT_M_BUCKETHAT": "ПАНАМКА Z-STYLE"
"CUST_ITEM_SQUARE_BELT_1": "ЧУЛКИ ТЯЖЕЛОВЕСА"
"CUST_MAX_COMPOSITE_WARNING": "Вы больше не можете выбирать."
"PLAYER_MORPH_UPPER_LIP_SIDES_ELEVATION_TEXT": "БОК. ВЫСОТА ВЕРХН. ГУБЫ"
"SLOT_BED_OPTIONS": "ОСНОВА"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2B": "ФУТБОЛКА \"ГОРОДСКОЕ САФАРИ\""
"CUST_ITEM_CM_HAIR_FLATTOP": "ВОЕННАЯ СТРИЖКА"
"PLAYER_MORPH_DOUBLE_CHIN_WIDTH_TEXT": "ШИРИНА ВТ. ПОДБОРОДКА"
"PLAYER_MORPH_BRIDGE_ELEVATION_TEXT": "ВЫСОТА ПЕРЕНОСИЦЫ"
"CUST_COLOR_CLOTHING_BLUE-GREEN_3": "СИНЕ-ЗЕЛЕНЫЙ 3"
"VEHICLE_COLOR_CANDY_CHEW_ORANGE": "АПЕЛЬСИНОВАЯ КОНФЕТА"
"VEHICLE_COLOR_CHAZ_BEIGE": "БЕЖЕВЫЙ"
"CUST_WEAR_TUCKED_LOW_PANT_NO_SUSPENDERS": "ЗАПРАВЛЕННЫЙ, НИЗКИЕ ШТАНЫ"
"CUST_INSULT_P": "ПРИНЦЕССА НА ГОРОШИНЕ"
"CUST_COLOR_CLOTHING_BLUES_5": "СИНИЙ 5"
"CUST_COLOR_CLOTHING_RED-ORANGE_3": "ГРАНАТОВЫЙ 3"
"VEHICLE_COLOR_BLUE_WAVE": "СИНЯЯ ВОЛНА"
"SLOT_DECAL_5": "КАРТИНКА 5"
"CUST_COLOR_BRIGHT_ORANGE": "ЯРКО-ОРАНЖЕВЫЙ"
"CUST_COLOR_BLUE_1": "СИНИЙ 1"
"CUST_VARIANT_PLAIN_NO_BOWTIE": "БЕЗ ГАЛСТУКА"
"CUST_ITEM_CF_RING_F_SAINTSSET": "КОЛЬЦА \"ЛИЛИЯ СВЯТЫХ\""
"CUST_ITEM_CF_NLMD_FACE_F_LIPRING": "РОК-КОЛЬЦО ДЛЯ ГУБЫ"
"CUST_ITEM_CM_NLMA_UBDY_M_SPSHIRTVEST": "СТИМПАНСТИЛЬНЫЙ СТИМПАНК"
"SLOT_NITROUS": "НИТРОДВИГАТЕЛИ"
"CUST_VARIANT_LARGEPLAID": "ОГРОМНЫЙ ПЛЕД"
"CUST_VARIANT_STRETCH_TOP_2": "СТИЛЬ 2"
"PLAYER_MORPH_MOUTH_ANGLE_TEXT": "УГОЛ РТА"
"CUST_VARIANT_MATERIAL__8": "CUST_VARIANT_MATERIAL_#8"
"CUST_WEAR_FINGER_LI": "ЛЕВЫЙ УКАЗАТЕЛЬНЫЙ ПАЛЕЦ"
"CUST_ITEM_IMPRESSIONS_MALE_L": "МОДНЫЙ И МОДЕРНОВЫЙ"
"PLAYER_MORPH_INNER_BROW_ELEVATION_TEXT": "ВНУТРЕННЯЯ ВЫСОТА БРОВЕЙ"
"CUST_COMP_FACE_SCAR_4": "БОЛЬШОЙ ШРАМ 4"
"CUST_COMP_MUSTACHE_8": "МЕСЬЕ"
"LOGO_TEXAS": "Техас."
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2E": "\"ГОРОДСКОЕ САФАРИ\" С РУБАШКОЙ С ВОРОТНИКОМ"
"PLAYER_MORPH_EYE_SEPARATION_TEXT": "ОТДАЛЕННОСТЬ ГЛАЗ"
"CUST_COLOR_CLOTHING_BLUE-GREEN_7": "СИНЕ-ЗЕЛЕНЫЙ 7"
"VEHICLE_COLOR_COLDWASH_BLUE": "ХОЛОДНЫЙ СИНИЙ"
"CUST_WEAR_HALF-WAY BUTTONED": "НАПОЛОВИНУ ЗАСТЕГНУТЫЙ"
"CUST_INSULT_T": "НЕТ"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_POLICE_3": "Увеличивается скорострельность, емкость обойм и урон. Мушка повышает точность прицельной стрельбы."
"CUST_COMP_TEST_FACE_MAKEUP": "УХМЫЛКА УПЫРЯ"
"SLOT_REINFORCED_BUMPER_DESC": "Бамперы повышенной прочности позволяют вам сносить все, что попадается на пути."
"PLAYER_MORPH_FOREHEAD_SHAPE_TEXT": "ФОРМА ЛБА"
"VEHICLE_COLOR_GRAY_DARK": "ТЕМНО-СЕРЫЙ"
"SLOT_DECAL_1": "КАРТИНКА 1"
"LOGO_ZOMBIE": "Зомби."
"LOGO_SR_1": "КВАРТАЛ СВЯТЫХ"
"CUST_VARIANT_CRAZY_JACKET_PLAID": "БЕЗУМНАЯ КУРТКА В КЛЕТКУ"
"CUST_VARIANT_POLICE": "ПОЛИЦИЯ"
"CUST_VARIANT_COLOR": "ЦВЕТНОЙ"
"CUST_BRA": "БЮСТГАЛТЕР"
"PLAYER_MORPH_CHIN_DEPTH_TEXT": "ГЛУБИНА ПОДБОРОДКА"
"CUST_COLOR_CLOTHING_BLUES_1": "СИНИЙ 1"
"CUST_COLOR_CLOTHING_RED-ORANGE_7": "ГРАНАТОВЫЙ 7"
"COLOR_SLOT_TRIM": "НАКЛАДКИ"
"COLOR_SLOT_PAINT_3_AND_TRIM": "РИСУНОК 3 И НАКЛАДКИ"
"CUST_VARIANT_TANK_TOP_2": "СТИЛЬ 2"
"CUST_ITEM_CF_DLC_WP_LBDY_F_LOWER": "ЮБКА КОРОЛЕВЫ ВОИНОВ"
"CUST_ITEM_CM_IMPL_UBDY_M_SHIRT": "МОДЕЛЬНАЯ РУБАШКА"
"CUST_ITEM_CM_HAIR_AFRO": "АФРО"
"CUST_TATTOO_ENTIRE_LEG_LEFT": "ЛЕВАЯ НОГА"
"CUST_TATTOO_HEAD_REAR": "ЗАТЫЛОК"
"PLAYER_MORPH_LOWER_LIP_SIZE_TEXT": "РАЗМЕР НИЖНЕЙ ГУБЫ"
"VEHICLE_COLOR_BRIGHT_RED": "ЯРКО-РЫЖИЙ"
"CUST_COLOR_REDHEAD": "РЫЖИЙ"
"CUST_VARIANT_STYLE_A": "СТИЛЬ 1"
"CUST_ITEM_CM_LLA_FOOT_M_LTHRBOOTS": "БАШМАКИ \"СТОП-СЛОВО\""
"PLAYER_MORPH_EYEBALLS_SPACING_TEXT": "РАССТОЯНИЕ МЕЖДУ ГЛАЗАМИ"
"PLAYER_MORPH_NOSE_PITCH_TEXT": "КОНЧИК НОСА"
"VEHICLE_COLOR_AUTUMN_WOOD_BROWN": "ОСЕННЕЕ ДЕРЕВО"
"LOGO_DUCKS": "Дакс Тракс"
"CUST_ITEM_CF_NLMC_UBDY_F_GOTHGIRL": "ФУТБОЛКА \"МИСТЕР ИКС\""
"PLAYER_MORPH_EAR_BOTTOM_TEXT": "НИЗ УХА"
"LOGO_REPAIR_1": "МАСТЕР"
"CUST_VARIANT_THICK": "ТОЛСТЫЕ ПОЛОСЫ"
"CUST_ITEM_IMPRESSIONS_FEMALE_P": "КОКТЕЙЛЬНОЕ ПЛАТЬЕ"
"CUST_ITEM_FEMALE_LP_BRA_3": "ПЛЯЖНАЯ МОДА"
"CUST_SKIN_RED_YELLOW_4": "ЛИМОННЫЙ"
"CUST_SKIN_METAL_3": "ЗОЛОТОЙ"
"PLAYER_MORPH_NOSTRILS_SPACING_TEXT": "РАЗМЕР НОЗДРЕЙ"
"CUST_COMP_FACE_MAKEUP_10": "ФИНГАЛ СЛЕВА"
"VEHICLE_COLOR_CHOCOLATE_BROWN": "ШОКОЛАДНЫЙ"
"CUST_VARIANT_NO_TIE": "БЕЗ ГАЛСТУКА"
"CUST_ITEM_CF_LLJ_EYES_F_SUNGLASSES": "БАБУШКИНЫ ОЧКИ"
