"DROP_SPHERE": "DONNER SPHÈRE"
"STAT_MAX_DRIVER_BAILOUT_DISTANCE": "DISTANCE L'HOMME QUI TOMBE À PIC MAXI"
"ESCORT_NAME_23A": "STINKY"
"RADIO_STATION_KRHYME": "KRHYME"
"MAP_ICON_STAIRS": "ESCALIERS"
"GIVE_ALL_WEAPONS": "ARMES"
"MENU_OPTION_CANCEL": "ANNULER"
"POC2_UPGRADE_CAR": "PERSONNALISER LE VÉHICULE"
"VCUST_FRONT_AXLE_OPTION": "ESSIEU AVANT"
"LINGERIE_STORE_NAME": "LEATHER & LACE"
"STORE_WEAPON_STORE_MSG": "ACHETER DES FLINGUES"
"HASH_E632737E": "POURCENTAGE DU JEU TERMINÉ"
"GIVE_ELECTRIC": "DONNER GRENADE ÉLECTRIQUE"
"GIVE_CYBERSMG": "DONNER CYBERDESTRUCTEUR"
"CLEAR_SKIES": "CIEL DÉGAGÉ"
"VARIANT_ALREADY_OWNED": "Tu possèdes déjà ce style d'objet."
"CRIB_HUD_HANGAR_NAME": "HANGAR D'AÉROPORT"
"VCUST_PURCHASE_WHEELS_PROMPT": "Veux-tu acheter cet ensemble de roues pour {0} $?"
"PURCHASEABLE_PROPERTEY_HOSPITAL": "HÔPITAL"
"STAT_MAYHEM_OBJECTS_DESTROYED": "CHAOS : NOMBRE D'OBJETS DÉTRUITS"
"STAT_COMBAT_CAR_RESPECT": "RESPECT GAGNÉ AVEC DES MEURTRES EN VOITURE"
"ESCORT_NAME_21A": "DIVING"
