"DROP_SPHERE": "SPHÄRE ENTFERNEN"
"DROP_ANCHOR": "ANCHOR ENTFERNEN"
"TIME_SET_MIDNIGHT_DESC": "Setzt die aktuelle Uhrzeit auf Mitternacht."
"GIVE_WEAPON_DESC": "Fügt diese Waffe zu deinem Arsenal hinzu."
"WPNSTOR_TEXT_CRIB_TAKE_BLANK_FULL": "Möchtest du \"%s\" aus deinem Domizil nehmen?"
"TATTOO_INSUFFICIENT_FULL": "Du hast nicht genug Geld, um eine Tätowierung \"%s\" (%s) zu kaufen."
"CUST_BROWSER_TITLE": "BROWSER"
"HORDE_MODE_QUIT_TEXT": "Bist du sicher, dass du aufhören möchtest?\n(Damit wird der Hordenmodus für beide Spieler beendet.)"
"STAT_MAX_WRONG_WAY_DISTANCE": "MAX. FALSCHE-RICHTUNG-DISTANZ"
"STAT_PEOPLE_RUN_OVER": "ÜBERFAHRENE PERSONEN"
"STAT_AERIAL_STUNTS_FOUND": "GEFUNDENE KUNSTFLÜGE"
"PLAYER_CREATION_ABOUT_TO_REVERT": "Möchtest du diese Änderungen verwerfen?"
"DROP_VULTURE": "VULTURE ENTFERNEN"
"STORE_SKINNY": "DÜNN {0}%%%%"
"GARAGE_RETRIEVE_VEHICLE": "ZURÜCKHOLEN"
"COMPLETION_EXIT_STRONGHOLD_CONFIRMATION": "Bist du sicher, dass du die Festung verlassen möchtest?"
"GANG_CUST_GANG_SIGN_OPT": "ZEICHEN"
"STORE_NOT_AVAILABLE": "NICHT VERFÜGBAR"
"VEHICLE_FREE": "KOSTENLOS"
"STAT_COOP_MISSIONS_COMPLETED": "KOOP: ABSOLVIERTE AUFTRÄGE"
"STAT_COMBAT_NUTSHOT_RESPECT": "DURCH EIERSCHÜSSE VERDIENTER RESPEKT"
"ESCORT_NAME_25A": "AVENGING"
"CUST_GANG_NAME_NINJA": "NINJAS"
"GIVE_KOBRA": "KA-1 KOBRA GEBEN"
"DROP_PHOENIX": "PHOENIX ENTFERNEN"
"EVIL_CARS_2": "BÖSE AUTOS 2"
"COSTUME_NAME": "LET'S PRETEND"
"HAIR_CAT_NONE": "KEIN(E)"
"STAT_PHOTO_OP_FOUND": "GEFUNDENE FANTREFFEN"
"STATS_DISTANCE_METERS": "%0.2fm"
"STAT_HOLDUP_ROBBED": "AUSGERAUBTE LÄDEN"
"Max Notoriety Col1_NAME": "BEKANNTHEITSBESTENLISTE"
"SPActivity": "SPIELT {C10} AKTIVITÄT: {C3}"
"HASH_CC9E7A7D": "TODESSTOSS: VERBRAUCHTE ZEIT"
"PLAYER_CREATION_NEW_PRESET_FULL": "Die Auswahl einer neuen Vorlage ändert alle anderen Auswahlen, die bereits getroffen wurden."
"HUD_SHOP_NO_WEAPONS": "Du hast keine Waffen."
"VCUST_TIRES_TITLE": "REIFEN"
"PURCHASEABLE_PROPERTEY_CHOP": "DAVILA'S AUTOMOTIVE"
"STAT_VEHICLE_WATERCRAFT": "WASSERFAHRZEUG"
"STAT_HUMAN_TORCH_BONUS_EARNED": "AMOKFAHRT: VERDIENTE BONUSZEIT"
"STAT_MAX_DRIVER_BAILOUT_DISTANCE": "MAX. FAHRERAUSSTIEGDISTANZ"
"ESCORT_NAME_23A": "STINKY"
"RADIO_STATION_KRHYME": "KRHYME"
"MAP_ICON_STAIRS": "TREPPE"
"GIVE_ALL_WEAPONS": "WAFFEN"
"MENU_OPTION_CANCEL": "ABBRECHEN"
"POC2_UPGRADE_CAR": "FAHRZEUG ANPASSEN"
"VCUST_FRONT_AXLE_OPTION": "FRONTACHSEN"
"LINGERIE_STORE_NAME": "LEATHER & LACE"
"STORE_WEAPON_STORE_MSG": "KAUFE WAFFEN"
"HASH_E632737E": "PROZENT DES SPIELS GESCHAFFT"
"GIVE_ELECTRIC": "ELEKTROGRANATE GEBEN"
"GIVE_CYBERSMG": "CYBERBLASTER GEBEN"
"CLEAR_SKIES": "HIMMEL FREI MACHEN"
"VARIANT_ALREADY_OWNED": "Du besitzt bereits diesen Stil."
"CRIB_HUD_HANGAR_NAME": "FLUGHAFENHANGAR"
"VCUST_PURCHASE_WHEELS_PROMPT": "Möchtest du diese Radeinstellung für {0}$ kaufen?"
"PURCHASEABLE_PROPERTEY_HOSPITAL": "KRANKENHAUS"
"STAT_MAYHEM_OBJECTS_DESTROYED": "VANDALISMUS: ANZAHL ZERSTÖRTER OBJEKTE"
"STAT_COMBAT_CAR_RESPECT": "DURCH AUTO-KILLS VERDIENTER RESPEKT"
"ESCORT_NAME_21A": "DIVING"
