"CUST_ITEM_CF_HAIR_MED": "ALLE SPALLE"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_9": "GIALLO VERDE 9"
"CUST_TATTOO_RHAND_1": "QUATTRO TESCHI"
"Chin": "MENTO"
"CUST_PRESET_SEX": "SESSO"
"CUST_COMP_FACE_MAKEUP_1": "RICOPERTO"
"VEHICLE_COLOR_GOLD": "ORO"
"CUST_VARIANT_JERSEY_2": "STILE 2"
"CUST_VARIANT_STRIPESA": "STRISCE 1"
"CUST_SKIN_HISPANIC_01": "ISPANICO 1"
"CUST_TATTOO_FACE_6": "FARFALLA"
"SLOT_RIM_COLOR": "COLORE CERCHIONI"
"DARK_PINK": "ROSA SCURO"
"LOGO_BROTHERHOOD_1": "BROTHERHOOD 1"
"CUST_SKIN_PURPLE_5": "VIOLA"
"CUSTOM_WALK_16": "STILE TEPPISTA 11"
"CUST_MENU_FINE_TUNING": "VOLTO"
"CUST_COLOR_CLOTHING_BROWNS_1": "MARRONE 1"
"CUST_COMP_MUSTACHE_16": "DIRIGENTE"
"COMPONENT_DECAL_3": "DECALCOMANIA 3"
"CUST_VARIANT_LEOPARD_1": "LEOPARDO 1"
"CUST_ITEM_CM_CNC_UBDY_M_VARJACKET": "GIACCA UNIVERSITARIA CROOKS & CASTLES"
"CUST_SKIN_BLACK_06": "NERO F"
"PLAYER_MORPH_BROW_ANGLE_TEXT": "ANGOLO FRONTE"
"LOGO_STALLA_1": "STALLAGERIFFIC"
"CUST_ITEM_CF_RING_F_GOTHSET": "ANELLI REGNO DEL MALE"
"CUST_ITEM_CF_RING_F_SMHEART": "SET ANELLI CON CUORICINO"
"CUST_INSULT_N": "ALLA MODA"
"PLAYER_MORPH_SLOPE_ELEVATION_TEXT": "ALTEZZA CURVA"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_STAG_2": "Aumenta il rateo di fuoco e i danni. Mirino Red dot per una maggiore precisione."
"CUST_TATTOO_LUPPARM_8": "TRIONFO DELLA BIGIOTTERIA"
"VEHICLE_COLOR_SEAFOAM_TEAL": "AZZURRO SPUMA MARINA"
"CRAZY_1": "MATTO 1"
"CUST_ITEM_CF_RING_F_DMNDNAILS": "CERCATRICE D'ORO"
"CUSTOM_WALK_FEMALE_4": "DONNA PAPPONE"
"CUST_COMP_CHEEK_MAKEUP_6": "MALEDETTA BUONANOTTE"
"SURGEON_CAT_BODY": "CORPO"
"CUST_TATTOO_LCALF_2": "COLPO BASSO"
"CUST_VARIANT_POLKA_DOTS": "PUNTI"
"CUST_VARIANT_MED_TRI_COLOR": "TRICOLORE MEDIO"
"CUST_ITEM_FEMALE_LETSPRETEND_OUTFIT_C": "EROINA DI STEELPORT"
"CUST_ITEM_CM_LPC_UBDY_M_HEROSHIRT": "CAMICIA EROE STEELPORT"
"CUST_COMPLIMENT_A": "L'ESPERIENZA"
"SURGEON_STORE_NAME_1": "IMAGE AS DESIGNED"
"CUST_WPN_UPGRADE_DESC_PISTOL_GANG_4": "Proiettili esplosivi per sorprendere il nemico."
"CUST_COMP_EYE_MAKEUP_2": "BENDA SINISTRA"
"RIM_189": "C-X 503"
"LOGO_SKEETERS_6": "SKEETER 6"
"CUST_VARIANT_BRA_1": "PUNTINI"
"CUST_VARIANT_WILD": "SELVAGGIO"
"CUST_ITEM_CF_NLMD_UBDY_F_SHIRT": "MAGLIETTA ROCK"
"CUST_COMPLIMENT_CC": "URLO WOOOO"
"SLOT_RIGHT_SIDE": "FIANCATA DES."
"SLOT_TAILS": "CODE"
"CUST_WEAR_TUCKED_BUTTONED_EXTRA_HIGH_PANT_NO_SUSPENDERS": "DENTRO, CHIUSA, VITA MOLTO ALTA, SENZA BRETELLE"
"CUST_WEAR_TUCKED_BUTTONED": "DENTRO, CHIUSA"
"CUST_ITEM_CM_IMPN_UBDY_M_UNBUTTONED": "CAMICIA FORMALE MODERNA SBOTTONATA"
"CUST_ITEM_CM_IMPM_EYES_M_SUNGLASSES": "OCCHIALI KABANA"
"PLAYER_MORPH_MOUTH_SHAPE_TEXT": "FORMA BOCCA"
"CUST_TATTOO_RFORARM_8": "ARMATO E PERICOLOSO"
"CUST_TATTOO_UPPBACK_7": "MASCHERE DEL DRAMMA"
"CUST_COMP_FACE_MOLE_9": "NEO 9"
"LOCALIZE_NONE": "NIENTE"
"RALLY_2": "RALLY 2"
"MALE_EMACIATED": "MASCHIO EMACIATO"
"LOGO_VIRAL_1": "VIRAL 1"
"CUST_VARIANT_2STRIPE": "DUE STRISCE"
"CUST_VARIANT_SMALL_STRIPE": "STRISCE SOTTILI"
"CUST_VARIANT_STEEL": "ACCIAIO"
"SLOT_ROOF_LIGHTS": "LUCI TETTUCCIO"
"DARK_ORANGE": "ARANCIONE SCURO"
"CUST_ITEM_FEMALE_LL_UNDWEAR_1": "GIUNGLA AL NEON"
"COLOR_SLOT_PAINT_1_AND_PAINT_3": "VERNICE 1 E VERNICE 3"
"CUST_VARIANT_PLATINUM": "PLATINO"
"CUST_SKIN_OILED_2": "ASIATICO UNTO 1"
"PLAYER_MORPH_EYE_SIZE_TEXT": "DIMENSIONE OCCHI"
"PLAYER_MORPH_BOTTOM_LIP_MIDDLE_SIZE_TEXT": "MISURA CENTRO LABBRO INF."
"RIM_SPORTS": "SPORTIVE"
"CUST_ITEM_CF_NLMD_FOOT_F_CANVASSHOES": "SCARPE DI TELA ROCK"
"CUST_ITEM_CM_LPG_MASK_M_MASKLAMB": "MASCHERA AGNELLO"
"CUST_INSULT_J": "POMPA"
"CUST_TATTOO_LCALF_6": "MEMBRO DI UNA TRIBÙ"
"VEHICLE_COLOR_INSANE_RED": "ROSSO ALLARME"
"CUST_ITEM_FEMALE_NLM_EARRINGS_4": "ORECCHINI AL SANGUE"
"CUST_ITEM_FEMALE_LETSPRETEND_OUTFIT_G": "COWGIRL SEXY"
"CUST_ITEM_CM_LPE_LBDY_M_MPANTS": "PANTALONI DA BATTAGLIA"
"CUST_ITEM_CM_LLA_UBDY_M_GIMPSHIRT": "CAMICIA DA MONELLO"
"CUST_ITEM_CM_PSG_FOOT_M_SNEAKERS": "KICKS"
"CUST_COMPLIMENT_E": "AMIGO"
"PLAYER_MORPH_BODY_FAT_TEXT": "GRASSO"
"PLAYER_MORPH_SKULL_TOP_HEIGHT_TEXT": "ALTEZZA CRANIO SOPRA"
"CUST_COLOR_CLOTHING_GREYS_4": "GRIGIO 4"
"CUST_WPN_UPGRADE_DESC_GRENADE_FLASHBANG_3": "Lancia più distante."
"CUST_GANG_NINJA": "NINJA"
"CUST_COMP_CHEEK_MAKEUP_2": "TOP MODEL"
"COMPONENT_ADD_REINFORCED_BUMPER": "AMMORTIZZATORI RINFORZATI"
"CUST_ITEM_CF_HAIR_SPACEGIRL": "FANTASCIENTIFICI"
"CUST_ITEM_CF_IMPN_FOOT_F_SANDALS": "TACCHI ALTI GRATTACIELO"
"CUST_TATTOO_UPPER_LEG_LEFT": "GAMBA SINISTRA IN ALTO"
"PLAYER_MORPH_SKULL_TOP_ELEVATION_TEXT": "ALTEZZA CRANIO SOPRA"
"CUST_ITEM_FEMALE_NLM_OUTFIT_D": "STILE ALTERNATIVO"
"CUST_ITEM_CF_LPG_LBDY_F_SHORTSCHAPS": "COWGIRL SEXY"
"CUST_ITEM_CM_LLN_LBDY_M_WLPANTS": "PANTALONI DA DIVA DELLA DISCOTECA"
"CUST_ITEM_CM_LLB_FOOT_M_LTHRBOOTS": "STIVALI DI PELLE SADOMASO"
"CUST_COMP_EYE_MAKEUP_6": "UN PO' SULLA PUNTA"
"LOGO_NUMBER4": "NUMERO 4"
"LOGO_SKEETERS_2": "SKEETER 2"
"CUST_ITEM_CF_LLI_UBDY_F_TUBETOP": "TOP"
"CUST_VARIANT_SPORT_SHOE": "SCARPA SPORTIVA"
"CUST_ITEM_FEMALE_LL_UNDWEAR_5": "PERIZOMA MOSTRAMI IL TUO AMORE"
"CUST_VOICE_FEMALE_ASIAN": "DONNA 1"
"CUST_WPN_UPGRADE_DESC_RIFLE_STAG_3": "Aumenta il rateo di fuoco. La canna più lunga aiuta a neutralizzare il rinculo aumentato."
"CUST_TATTOO_UPPBACK_3": "GANGSTER SPAZIALE"
"COLOR_SLOT_PAINT_1_AND_RIMS_2": "VERNICE 1 E CERCHIONI 2"
"CUST_TATTOO_LOWBACK_1": "RICORDA IL CADUTO"
"CUST_COLOR_FLESH_1": "CARNE 1"
"CUST_VARIANT_ULTORSHIRT": "ULTOR"
"CUST_WEAR_LOW_LEFT_ZIPPED_RIGHT_ROLLED": "DESTRA ARROTOLATA, BASSI"
"RIM_SET_007": "SET DI CERCHIONI 7"
"VEHICLE_PAINT_MILITARY": "MILITARE"
"COMPONENT_OPTION_5": "OPZIONE 5"
"LOGO_DOGFIGHT": "Dog Fight!"
"CUST_VARIANT_BALD": "CALVIZIE"
"CUST_ITEM_CM_DECKERSUIT": "IL DECKERS"
"CUSTOM_WALK_6": "UOMO PREDEFINITO 2"
"CUST_COMP_EYE_MAKEUP_11": "LINER DARK"
"CUST_VARIANT_SKIRTC": "STILE 1"
"CUST_VARIANT_TRICOLOR": "TRICOLORE"
"CUST_VARIANT_SUEDESUEDE": "SCAMOSCIATO"
"CUST_ITEM_CM_FPIC_SETB": "PIERCING SOPRACCIGLIO DX E NASO"
"PLAYER_MORPH_EAR_LONGITUDE_TEXT": "LUNGHEZZA ORECCHIO"
"CUST_WPN_UPGRADE_DESC_SPECIAL_STRIKE_3": "Mira più rapida e munizioni più numerose."
"CUST_TATTOO_NECK_5": "ORSACCHIOTTO DI PEZZA"
"CUST_WEAR_LOW_BOTH_ROLLED": "ENTRAMBE ARROTOLATE, BASSI"
"CUST_ITEM_IMPRESSIONS_FEMALE_N": "STILE MOD"
"CUST_ITEM_CM_HAIR_SIDEPARTMED1": "CORTI CON RIGA A SINISTRA"
"CUST_OPACITY_SLIDER": "OPACITÀ"
"CUST_MORPH_CAT_BROW": "SOPRACCIGLIA"
"LETS_PRETEND_NAME": "LET'S PRETEND"
"CUST_COMP_FACE_MAKEUP_5": "INSONNIA"
"CUST_VARIANT_PIMPCOAT_LEOPARD2": "LEOPARDO 2"
"CUST_ITEM_CM_NECK_LL_HEART": "COLLANA FIDANZAMENTO"
"CUST_ITEM_CM_HAIR_COMBOVER": "IL MONACO"
"CUST_ITEM_CM_LLO_LBDY_M_SBLPANTS": "PANTALONI POCKET ROCKET"
"CUST_ITEM_DANE_S_HAIR": "FERMAGLIO A FARFALLA"
"CUST_SKIN_HISPANIC_05": "ISPANICO 5"
"CUST_TATTOO_RHAND_5": "AMA LA MACCHINA"
"LOGO_SHARKS_TEXT_2": "SQUALI CON TESTO 2"
"CUST_VARIANT_FISHNET_1": "A RETE 1"
"CUST_ITEM_CM_NECK_FLEURDELIS": "COLLANA GIGLIO SAINTS"
"CUST_ITEM_CM_CNC_HAT_M_CAP": "BERRETTO BASEBALL CROOKS & CASTLES"
"CUST_ITEM_CF_LLI_FOOT_F_STUDDEDHEALS": "SANDALI DA RIBELLE"
"CUST_ITEM_CM_HAIR_SIDESPIKED": "ANIME"
"CUST_RONIN_COMPLIMENT_B": "COMPLIMENTO RONIN 2"
"PLAYER_MORPH_BROW_ARCH_TEXT": "ARCO SOPRACCIGLIA"
"CUST_COLOR_CLOTHING_VIOLET-RED_4": "VIOLA ROSSO 4"
"CUST_COLOR_CLOTHING_BROWNS_5": "MARRONE 5"
"Component_Paint": "VERNICE"
"COMPONENT_DECAL_7": "DECALCOMANIA 7"
"CUST_WEAR_HIGH": "ALTI"
"CUST_RACE_BLACK": "NERO"
"CUST_SKIN_BLACK_02": "AFROAMERICANO 2"
"PLAYER_MORPH_CHIN_ELEVATION_TEXT": "ELEVAZIONE MENTO"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_8": "GIALLO ARANCIONE 8"
"CUST_TATTOO_FACE_2": "QUANDO I SAINTS PIANGONO"
"CUST_VARIANT_BABYT": "BABY"
"CUST_ITEM_CM_POLICESUIT": "UNIFORME SPD"
"CUST_SKIN_PURPLE_1": "VIOLA PROFONDO"
"CUSTOM_WALK_12": "POSA GANGSTA"
"PLAYER_MORPH_NECK_BACK_DEPTH_TEXT": "PROFONDITÀ NUCA"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_GANG_2": "Aumenta la capienza dei caricatori. Aggiungi la seconda canna per aumentare i danni."
"COMPONENT_OPTION_10": "OPZIONE 10"
"CUST_VARIANT_MATERIAL_4": "CUST_VARIANT_MATERIAL#4"
"CUST_VARIANT_BIKER_1": "MOTOCICLISTA 1"
"CUST_ITEM_FEMALE_PS_EARRINGS_4": "ORECCHINI PLANET SAINTS"
"CUST_ITEM_CF_LPG_UBDY_F_SHIRT": "STILE COWGIRL"
"CUST_ITEM_CF_PSG_LBDY_F_GFXJEANS": "JEANS A SIGARETTA"
"CUST_COMPLIMENT_M": "IL NINJA"
"COMPONENT_LOW_PROFILE": "PROFILO BASSO"
"LOGO_MIX": "THE MIX 107.77"
"CUST_VARIANT_2_COLOR": "2 COLORI"
"CUST_VARIANT_STRIPES_4": "STRISCE 4"
"CUST_VARIANT_SOLID": "SOLIDO"
"CUST_WEAR_BACK RIGHT": "DIETRO DESTRA"
"CUST_WPN_UPGRADE_DESC_SMG_GANG_3": "Il silenziatore incrementa il danno e riduce il rinculo."
"CUST_TATTOO_RCALF_1": "SALDAMENTE ANCORATO"
"CUST_TATTOO_LARM_6": "PRESO IN TRAPPOLA"
"CUST_TATTOO_LUPPARM_4": "INCANTATORE DI SERPENTI"
"VEHICLE_PAINT_PRECIOUS_METAL": "METALLO PREZIOSO"
"HAIR_COLOR_BRUNETTE_MATTE": "BRUNO OPACO"
"HAIR_COLOR_AUBURN_MATTE": "RAMATI OPACO"
"HAIR_COLOR_WHITE": "BIANCHI"
"CUST_VARIANT_BLOOD": "SANGUE"
"CUST_ITEM_CF_IMPR_UBDY_F_SHIRTLOW": "GILET DA MAGO HILLS"
"CUST_ITEM_FEMALE_NLM_UNDWEAR_2": "TANGA DA SBALLO"
"CUST_ITEM_CM_NLMD_EAR_M_EARRING": "ORECCHINI DA PUNK ALLA MODA"
"LOGO_420": "103.6 Four 20"
"CUST_VARIANT_MATERIAL__17": "CUST_VARIANT_MATERIAL_#17"
"CUST_ITEM_CM_HAIR_RECEDINGPEAK": "CAPPELLO CON PIUMA"
"CUST_INSULT_B": "DANIEL-SAN"
"PLAYER_MORPH_LOBES_SIZE_TEXT": "MISURA LOBO"
"VEHICLE_COLOR_KABUKI_RED": "ROSSO KABUKI"
"CUST_ITEM_CM_IMPM_LBDY_M_SHORTS": "PANTALONCINI KABANA"
"CUST_CHOOSE_CHARACTER": "PERSONALIZZA PERSONAGGIO"
"PLAYER_MORPH_EYELID_LOOK_TEXT": "ASPETTO PALPEBRE"
"CUST_TATTOO_RFORARM_4": "PIETRA FREDDA"
"CUST_COMP_FACE_MOLE_5": "NEO 5"
"COLOR_SLOT_PAINT_AND_TRIM": "VERNICE E RIFINITURA"
"FEMALE_OVERWEIGHT": "FEMMINA SOVRAPPESO"
"CUST_SKIN_GREY_5": "ONICE"
"RIM_DEEP_DISH": "DEEP DISH"
"SLOT_HUBCAPS_REAR": "COPRICERCHI POSTERIORI"
"SLOT_WINDOW_TINT": "COLORE FINESTRINI"
"BRIGHT_BLUE": "BLU BRILLANTE"
"HAIR_Black": "NERI"
"LOGO_SRAIR": "SR AIR"
"PLAYER_CREATION_PRESET_BLACK": "AFROAMERICANO"
"VEHICLE_COLOR_CHROME": "CROMO"
"RIM_185": "V-F 604"
"SLOT_WEAPON_2": "ARMA 2"
"LOGO_CARDS": "CARTE"
"CUST_ITEM_CF_DLC_SPACE_OUTFIT": "PRINCIPESSA SPAZIALE"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHIRT": "ABITO HILLS CASUAL"
"CUST_COLOR_CLOTHING_ORANGE_7": "ARANCIONE 7"
"CUST_WPN_UPGRADE_DESC_GRENADE_MOLOTOV_4": "Infligge più danni."
"CUST_COMP_EYE_MAKEUP_19": "OCCHI SPLENDENTI"
"CUST_ITEM_CM_NLMC_RWRST_M_WRISTBANDS": "RAVE X BRACCIALE FLUORESCENTE"
"CUST_ITEM_CM_LLA_HAT_M_GIMPMASK": "SPECIALE SAFEWORD"
"PLAYER_MORPH_BODY_MUSCLE_TEXT": "MUSCOLI"
"PLAYER_MORPH_LUMINOSITY_TEXT": "LUMINOSITÀ"
"LOGO_STEER": "HEAVEN'S HELPERS"
"CUST_VARIANT_SMOKED": "VISIERA COLORATA"
"CUST_ITEM_CF_NLMB_RWRST_F_WRISTBAND": "FASCIA DA ANARCHICO"
"CUST_COMPLIMENT_APPROVAL": "APPROVAZIONE"
"CUST_VOICE_MALE_WHITE": "UOMO 1"
"COLOR_SLOT_MECHANICAL": "MECCANICA"
"COMPONENT_DECAL_10": "DECALCOMANIA 10"
"CUST_VARIANT_THICKSTRIPES": "STRISCE SPESSE"
"CUST_VARIANT_ZEBRA": "ZEBRATO"
"CUST_ITEM_CM_IMPB_UBDY_M_JTURTLENECK": "CENA A PARIGI"
"CUST_ITEM_CF_NLMH_LWRST_F_WRISTBANDS": "BRACCIALETTI DA SBALLO"
"CUST_ITEM_CF_HAIR_M_LONGUP-01": "DA SPOSA"
"CUST_SKIN_GREEN_5": "VERDE MENTA"
"PLAYER_MORPH_LOWER_LIP_SIDES_ELEVATION_TEXT": "ALTEZZA LATO LABBRO INF."
"CUST_WEAR_NORMAL_EXTRA_HIGH_SUSPENDERS": "NORMALI, MOLTO ALTI, BRETELLE"
"CUST_ITEM_CF_PSB_LBDY_F_SHORTSHORTS": "PANTALONCINI DA SGUALDRINA"
"CUST_SKIN": "PELLE"
"PLAYER_MORPH_CHEEKBONE_HEIGHT_TEXT": "ALTEZZA ZIGOMI"
"CUST_TATTOO_LHAND_2": "VIVI O..."
"CUST_VARIANT_PATTERN_2_DECALS": "STILE 2 CON DECALCOMANIE"
"CUST_VARIANT_DEFAULT": "PREDEFINITO"
"CUST_ITEM_BANDANA_1": "IL BRIGANTE"
"CUST_MOVEMENT_TAUNT": "PROVOCAZIONE"
"PLAYER_CREATION_MENU_1": "PREDEFINITI"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_5": "GIALLO VERDE 5"
"CUST_TATTOO_CHEST_6": "APRI BENE"
"VEHICLE_PAINT_GANG_SAINTS": "SAINTS"
"DARK_RED": "ROSSO SCURO"
"LEVEL_3": "LIVELLO 3"
"LOGO_SPELUNKER_1": "SPELUNKER'S"
"CUST_ITEM_CM_IMPB_UBDY_M_JLOWSHIRT": "RICOPERTO DI CASHMERE"
"CUST_ITEM_FEMALE_LL_EARRINGS_3": "PENDENTI A STRISCE"
"CUST_GANG_STRIPPER": "SPOGLIARELLISTE"
"VEHICLE_PAINT_METAL": "METALLO"
"LOGO_WONDERMART_1": "WONDERMART 1"
"CUST_WEAR_TUCKED_HIGH_PANT_NO_SUSPENDERS": "DENTRO, VITA ALTA"
"CUST_FINE_TUNING": "VOLTO"
"PLAYER_MORPH_JAW_SPACING_TEXT": "DISTANZA MASCELLA"
"PLAYER_MORPH_EYE_ELEVATION_TEXT": "ELEVAZIONE OCCHIO"
"CUST_COLOR_CLOTHING_ORANGE_3": "ARANCIONE 3"
"SLOT_RIMS": "CERCHIONI"
"PLAYER_MORPH_NECK_BACK_WIDTH_TEXT": "LARGHEZZA NUCA"
"CUST_COMP_MALE_EYEBROWS_4": "MONOCIGLIO"
"VEHICLE_PAINT_OPAQUE_PAINT": "VERNICE OPACA"
"COMPONENT_OPTION_9": "OPZIONE 9"
"CUST_VARIANT_BIG_DIAMONDS": "DIAMANTI GRANDI"
"CUST_ITEM_MALE_PLANETSAINTS_BRIEFS_1": "SLIP SAINTS"
"CUST_SKIN_GREEN_1": "VERDE PISELLO"
"CUST_RONIN_TAUNT_D": "PROVOCAZIONE RONIN 4"
"PLAYER_MORPH_JOWLS_ELEVATION_TEXT": "ALT. MANDIBOLA"
"WARDROBE_CONTROL_WEAR": "INDOSSA"
"VEHICLE_PAINT_TRICKED_METALLIC": "METALLIZZATO"
"COLOR_SLOT_INTERIOR_AND_SOFTTOP": "INTERNI E CAPOTE"
"CUST_ITEM_CM_IMPL_UBDY_M_JSHIRT": "UOMO MOD CON CAMICIA"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_4": "GIALLO ARANCIONE 4"
"CUST_TATTOO_LHAND_6": "CUORE SPEZZATO"
"CUST_COLOR_INDIGO_2": "INDACO 2"
"CUST_COLOR_PURPLE_3": "VIOLA 3"
"CUST_VARIANT_MATERIAL__16__14_DEFAULT": "CUST_VARIANT_MATERIAL_#16_(14_DEFAULT)"
"CUST_WEAR_CLOSED": "CHIUSO"
"CUST_WEAR_LOW_LEFT_UNZIPPED_RIGHT_UNZIPPED": "ENTRAMBE LE LAMPO APERTE, BASSI"
"CUST_ITEM_LEATHER_LACE_FEMALE_R": "RAGAZZA OKTOBERFEST"
"CUST_MENU_PRESETS": "SET PREDEFINITI"
"CUST_MORPH_CAT_MOUTH": "BOCCA"
"PLAYER_MORPH_BODY_TEXT": "CORPO"
"CUST_COLOR_CLOTHING_VIOLET-RED_8": "VIOLA ROSSO 8"
"CUST_COLOR_CLOTHING_BROWNS_9": "MARRONE 9"
"PAINT_1": "VERNICE 1"
"MALE_SLENDER": "MASCHIO IN FORMA"
"CUST_VARIANT_DRAGON_BOWTIE": "DRAGO"
"CUST_VARIANT_CANVAS": "TELA"
"CUST_WEAR_U": "U"
"CUST_ITEM_CM_IMPE_UBDY_M_SHIRT": "CAMICIA CARAIBICA"
"CUST_ITEM_CF_LPH_FOOT_F_CLSHOES": "SCARPE CHEERLEADER"
"CUST_CAT_NOT_FOR_DEMO": "NOT FOR DEMO"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_1": "GIALLO VERDE 1"
"CUST_TATTOO_CHEST_2": "DRAGONE FORTUNATO"
"COLOR_SLOT_GRILL": "GRIGLIA"
"CUST_VARIANT_NEW_EYES": "NUOVI OCCHI"
"CUST_ITEM_CF_NLMC_UBDY_M_SHIRT": "MAGLIA LATO OSCURO"
"CUST_ITEM_CM_NLMC_FOOT_M_SHOES": "RAVE X SCARPE DA GINNASTICA"
"CUST_ITEM_CF_IMPQ_FOOT_F_LATEXHEELS": "TACCHI ALTI DA VIP"
"STORE_WEAPON_AMMO": "ACQUISTA MUNIZIONI/GRANATE"
"CUST_COMP_FACE_BANDAGE_1": "BENDA NASO"
"CUST_COMP_FACE_MAKEUP_9": "OCCHIO NERO DESTRA"
"VEHICLE_COLOR_ALUMINUM": "ALLUMINIO"
"VEHICLE_PAINT_TIRE_TREAD": "BATTISTRADA"
"SLOT_TIRE_DURABILITY_DESC": "Potenzia gli pneumatici per evitare forature nei momenti più imbarazzanti."
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_4": "ORECCHINI GEMMA"
"PLAYER_CREATION_MENU_5": "CORPO"
"CUST_COLOR_CLOTHING_GREYS_8": "GRIGIO 8"
"DARK_INDIGO": "INDACO SCURO"
"CUST_VARIANT_POCKET": "TASCA"
"CUST_ITEM_CF_LPC_MASK_F_FEMHEROMASK": "MASCHERA SUPEREROINA"
"CUST_CAT_LEFT_WRIST": "POLSO SINISTRO"
"CUST_TATTOO_HAND_LEFT": "MANO SINISTRA"
"PLAYER_MORPH_EAR_ELEVATION_TEXT": "ELEVAZIONE ORECCHIO"
"VEHICLE_COLOR_ACTIVE_RED": "ROSSO VIVACE"
"CUST_VARIANT_SHOE": "TELA"
"CUST_WEAR_HIGH_LEFT_ROLLED_RIGHT_UNZIPPED": "Lampo aperta a dx, sx arrotolata, alti"
"CUST_ITEM_CM_IMPO_LBDY_M_PANTS": "PANTALONI DA FIGLIO DI PAPÀ"
"CUST_ITEM_FEMALE_MURDERBRAWL_OUTFIT": "COMPLETO DONNA 3 COUNT"
"CUST_COMPLIMENT_I": "AL GALOPPO!"
"VEHICLE_COLOR_FRESH_PLUM_PURPLE": "VIOLA PRUGNA BRILLANTE"
"VEHICLE_COLOR_PURPLE_DARK_TINT": "TINTA VIOLA SCURO"
"Gray": "GRIGI"
"CUST_VARIANT_DIAMONDS": "PICCOLI DIAMANTI"
"CUST_ITEM_CM_FPIC_EYEBRIGHT": "PIERCING SOPRACCIGLIO DESTRO"
"CUST_ITEM_CM_HAIR_SHORTAFRO": "AFRO"
"CUST_INSULT_F": "SCORREGGIA"
"PLAYER_MORPH_MOUTH_BITE_TEXT": "APERTURA BOCCA"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_RPG_3": "Infligge più danni."
"CUST_WPN_UPGRADE_DESC_RIFLE_NG_2": "Aumenta le raffiche."
"CUST_TATTOO_RCALF_5": "CROCE DA PORTARE"
"CUST_TATTOO_LARM_2": "PORTATORE DI MORTE"
"CUST_COMP_FEMALE_EYEBROWS_2": "A PUNTA"
"CUST_ITEM_CM_PSC_EYES_M_HPSGLASS": "OCCHIALI DA SOLE ALTERNATIVI"
"CUST_PRESET_DESTRUCT_WARNING_TEXT": "Scegliendo un set predefinito perderai tutte le altre modifiche precedentemente apportate.\n\nContinuare?"
"CUST_SECONDARY_COLOR": "COLORE SECONDARIO"
"CUST_WPN_UPGRADE_DESC_SMG_STORM_4": "I proiettili perforanti infliggono più danni e trapassano le corazze."
"CUST_COMP_FACE_MOLE_1": "NEO 1"
"VEHICLE_COLOR_DUST_RED": "PORPORA"
"VEHICLE_COLOR_MINT_CHAR_GREEN": "VERDE MENTA"
"CUST_WEAR_NORMAL_EXTRA_HIGH": "NORMALI, MOLTO ALTI"
"CUST_ITEM_CM_PSD_FOOT_M_HIPSNEAKERS": "SNEAKER KOALA"
"CUST_SKIN_GREY_1": "ALABASTRO"
"FACIAL_EXPRESSION_SMARMY": "FALSO"
"PLAYER_MORPH_EARS_YAW_TEXT": "APERTURA ORECCHIO"
"PLAYER_MORPH_NOSTRIL_WIDTH_TEXT": "LARGHEZZA NARICE"
"VEHICLE_PAINT_GANG_BROTHERHOOD": "BROTHERHOOD"
"SLOT_HOOD": "COFANI"
"CUST_ITEM_MALE_NLM_OUTFIT_B": "CRIMINALE"
"CUST_ITEM_CM_LPC_HAND_M_HEROGLOVES": "GUANTI EROE STEELPORT"
"CUST_WPN_UPGRADE_DESC_RIFLE_GANG_3": "Aumenta il rateo di fuoco e la capienza dei caricatori."
"RIM_181": "SD WGM TY"
"LOGO_NUMBER8": "NUMERO 8"
"LOGO_GHOST_1": "FANTASMA 1"
"CUST_BRO_TAUNT_D": "PROVOCAZIONE BROTHERHOOD 4"
"PLAYER_MORPH_UPPER_LIP_EDGES_LENGTH_TEXT": "LUNG. ESTREMITÀ LABBRO SUP."
"PLAYER_MORPH_EYELID_SLANT_TEXT": "INCLINAZIONE PALPEBRE"
"VEHICLE_COLOR_SATIN_BRIGHT_WHITE": "BIANCO RASO"
"CUST_ITEM_FEMALE_NLM_OUTFIT_H": "HIPPY AL RAVE"
"CUST_COLOR_CLOTHING_VIOLET_7": "VIOLA 7"
"CUST_WEAR_TATTOO_BAND_B": "FASCIA 2"
"CUST_WEAR_RIGHT_ROLLED_LOW": "DESTRA ARROTOLATA, BASSI"
"CUST_ITEM_CM_SUIT_M_CYBERAVATAR": "CYBER SAINTS"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_H": "LUPO DI MARE"
"CUST_BODY_HAIR": "PELI DEL CORPO"
"CUST_COLOR_CLOTHING_YELLOWS_4": "GIALLO 4"
"CUST_TATTOO_RUPPARM_4": "GAT 8 BIT"
"SLOT_TRIM_COLOR": "COLORE RIFINITURE"
"CUST_ITEM_CF_NLMB_LWRST_F_WRISTBAND": "BRACCIALE DA ANARCHICO"
"Brunette": "BRUNI"
