"CUST_ITEM_CF_HAIR_MED": "PO RAMENA"
"CUST_WEAR_TATTOO_BAND_A": "PÁSEK 1"
"CUST_WEAR_HIGH_LEFT_UNZIPPED_RIGHT_ZIPPED": "ROZEPNOUT LEVOU, VYSOKO"
"CUST_ITEM_TROOPER_SHADES": "PŘIPRAVEN NA HOLLYWOOD"
"CUST_COLOR_CLOTHING_YELLOWS_7": "ŽLUTÁ 7"
"CUST_TATTOO_RUPPARM_7": "MÁM TO V KRVI"
"CUST_COMP_FACE_BLOODY_NOSE": "ROZBITÝ NOS"
"CUST_VARIANT_TIE_DYE": "BATIKA"
"player_lips_gloss": "LESK NA RTY"
"FACIAL_EXPRESSION_GRUMPY": "NABRUČENÝ"
"CUST_TATTOO_LFORARM_7": "JAKO BLESK"
"COLOR_SLOT_TRIM_4": "LEMOVÁNÍ 4"
"CUST_ITEM_CF_DLC_WP_OUTFIT": "PRINCEZNA BOJOVNICE"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_F": "SPORTOVEC"
"CUST_ITEM_LEATHER_JACKET_OUTFIT": "KOŽENÝ KOMPLET"
"CUST_VARIANT_SPORT_SHORTS_2": "STYL 1"
"CUST_ITEM_CF_PSD_LBDY_F_GFXSWEATPANTS": "TEPLÁKY"
"PLAYER_MORPH_NOSTRILS_DEPTH_TEXT": "HLOUBKA NOSNÍCH DÍREK"
"CUST_COMP_MUSTACHE_25": "MARŤAN"
"SLOT_BODY_KIT": "DOPLŇKY NA KAPOTU"
"CUST_VARIANT_PIMPCOAT_HEARTS": "SRDCE"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_G": "STUDENTKA UMĚNÍ"
"PLAYER_MORPH_BALL_WIDTH_TEXT": "ŠÍŘKA ŠPIČKY NOSU"
"VEHICLE_COLOR_RED_LIGHT_TINT": "SVĚTLE ČERVENÝ ODSTÍN"
"CUST_VARIANT_SANDALS_03": "NORMÁLNÍ"
"CUST_ITEM_CM_IMPL_EYES_M_DSSUNGLS": "LETECKÉ BRÝLE RUNWAY"
"CUST_ITEM_FEMALE_PS_UNDWEAR_1": "KVĚTOVANÉ KALHOTKY"
"CUST_CAT_RIGHT_WRIST": "PRAVÉ ZÁPĚSTÍ"
"PLAYER_MORPH_JAW_WIDTH_TEXT": "ŠÍŘKA ČELISTI"
"COMPONENT_OPTION_1": "VARIANTA 1"
"SLOT_INTERIOR_COLOR": "BARVA INTERIÉRU"
"SK02": "SKIN02"
"CUSTOM_WALK_2": "NAKLÁNĚNÍ - PASÁK"
"CUST_WPN_UPGRADE_DESC_SPECIAL_DRONE_3": "Větší počet raket."
"CUST_TATTOO_LOWBACK_5": "CHLAD OCELI"
"CUST_ITEM_CM_LPE_UBDY_M_MUBODYSUIT": "ZBROJ VOJÁKA BUDOUCNOSTI"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_SATCHEL_4": "Uneseš více náloží."
"CUST_TATTOO_NECK_1": "NÁMOŘNÍ HVĚZDA"
"CUST_COMP_BODY_MASK_1": "ŽÁDNÉ"
"LOGO_MUSEUM_ERO_1": "MUZEUM EROMENOS 1"
"CUST_VARIANT_BIKER_NODECAL": "BEZ POTISKU"
"CUST_VARIANT_PLAIN_NO_TIE": "BEZ VZORU"
"CUST_WEAR_SUSPENDERS": "KŠANDY"
"CUST_ITEM_CM_CNC_UBDY_M_LOGOB": "TRIČKO CROOKS & CASTLES B"
"CUST_ITEM_SHORT_SOCKS": "TATÍKOVY PAPUČE"
"CUST_ITEM_BIKER_BOOTS_3": "BĚŽNÉ BOTY"
"CUST_TATTOO_RIGHT_LEG": "PRAVÁ NOHA"
"FACIAL_EXPRESSION_SAD": "SMUTNÝ"
"PLAYER_MORPH_MIDDLE_BROW_ELEVATION_TEXT": "STŘEDNÍ VÝŠKA OBOČÍ"
"CUST_COMP_EYE_MAKEUP_15": "KRÁLOVNA NILU"
"CUST_COLOR_BLEACHED_BLONDE": "ODBARVENÁ BLONĎATÁ"
"CUST_VARIANT_17_DEFAULT": "STYL 2"
"CUST_ITEM_CM_MOCAP_SUIT_M_MOCAP": "MOCAP"
"CUST_ITEM_FEMALE_LP_UNDWEAR_1": "TANGA ZÁBAVA"
"PRESET_WARNING_HEADING": "VAROVÁNÍ"
"CUSTOM_WALK_MALE": "MUŽ - ZÁKLADNÍ"
"PLAYER_MORPH_EYE_SPACING_TEXT": "ROZESTUP OČÍ"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_9": "ŽLUTOZELENÁ 9"
"CUST_TATTOO_RHAND_1": "ČTYŘI LEBKY"
"Chin": "BRADA"
"CUST_PRESET_SEX": "POHLAVÍ"
"CUST_COMP_FACE_MAKEUP_1": "VŠE ZAKRYTO"
"VEHICLE_COLOR_GOLD": "ZLATO"
"CUST_VARIANT_JERSEY_2": "STYL 2"
"CUST_VARIANT_STRIPESA": "PROUŽKY 1"
"CUST_SKIN_HISPANIC_01": "HISPÁNEC 1"
"CUST_TATTOO_FACE_6": "MOTÝLEK"
"SLOT_RIM_COLOR": "BARVA RÁFKŮ"
"DARK_PINK": "TMAVĚ FIALOVÁ"
"LOGO_BROTHERHOOD_1": "BRATRSTVO 1"
"CUST_SKIN_PURPLE_5": "FIALOVÁ"
"CUSTOM_WALK_16": "LUMP STYL 11"
"CUST_MENU_FINE_TUNING": "OBLIČEJ"
"CUST_COLOR_CLOTHING_BROWNS_1": "HNĚDÁ 1"
"CUST_COMP_MUSTACHE_16": "MANAŽER"
"COMPONENT_DECAL_3": "POTISK 3"
"CUST_VARIANT_LEOPARD_1": "LEOPARD 1"
"CUST_ITEM_CM_CNC_UBDY_M_VARJACKET": "BUNDA CROOKS & CASTLES"
"CUST_SKIN_BLACK_06": "ČERNOCH F"
"PLAYER_MORPH_BROW_ANGLE_TEXT": "SKLON OBOČÍ"
"LOGO_STALLA_1": "STALAGERIFICKÉ"
"CUST_ITEM_CF_RING_F_GOTHSET": "PRSTENY OKRAJ TEMNOTY"
"CUST_ITEM_CF_RING_F_SMHEART": "SADA MALÝCH SRDCÍ"
"CUST_INSULT_N": "MÓDNÍ PŘEHLÍDKA"
"PLAYER_MORPH_SLOPE_ELEVATION_TEXT": "VÝŠKA HŘBETU NOSU"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_STAG_2": "Zvyšuje kadenci a velikost zásobníku. Holografický zaměřovač pro přesnější mířenou střelbu."
"CUST_TATTOO_LUPPARM_8": "JE TO O BLINGU"
"VEHICLE_COLOR_SEAFOAM_TEAL": "MOŘSKÁ PĚNA"
"CRAZY_1": "ŠÍLENOST 1"
"CUST_ITEM_CF_RING_F_DMNDNAILS": "ZLATOKOPKA"
"CUSTOM_WALK_FEMALE_4": "PASAČKA"
"CUST_COMP_CHEEK_MAKEUP_6": "ZATRACENĚ DOBRÁ NOC"
"SURGEON_CAT_BODY": "TĚLO"
"CUST_TATTOO_LCALF_2": "NEČEKANÝ ÚDER"
"CUST_VARIANT_POLKA_DOTS": "PUNTÍK"
"CUST_VARIANT_MED_TRI_COLOR": "STŘEDNÍ TRIKOLORA"
"CUST_ITEM_FEMALE_LETSPRETEND_OUTFIT_C": "STEELPORTSKÁ HRDINKA"
"CUST_ITEM_CM_LPC_UBDY_M_HEROSHIRT": "TRIČKO SUPERHRDINY"
"CUST_COMPLIMENT_A": "KRÁL POPU"
"SURGEON_STORE_NAME_1": "IMAGE AS DESIGNED"
"CUST_WPN_UPGRADE_DESC_PISTOL_GANG_4": "Omráčí nepřítele výbušnými střelami."
"CUST_COMP_EYE_MAKEUP_2": "MONOKL NALEVO"
"RIM_189": "C-X 503"
"LOGO_SKEETERS_6": "SKEETERS 6"
"CUST_VARIANT_BRA_1": "PUNTÍKY"
"CUST_VARIANT_WILD": "DIVOČINA"
"CUST_ITEM_CF_NLMD_UBDY_F_SHIRT": "TRIČKO RAWK"
"CUST_COMPLIMENT_CC": "ZAJÁSÁNÍ"
"SLOT_RIGHT_SIDE": "PRAVÁ STRANA"
"SLOT_TAILS": "ZÁDĚ"
"CUST_WEAR_TUCKED_BUTTONED_EXTRA_HIGH_PANT_NO_SUSPENDERS": "ZASTRČENÉ, ZAPNUTÉ, EXTRA VYSOKÉ KALHOTY, BEZ KŠAND"
"CUST_WEAR_TUCKED_BUTTONED": "ZASTRČENÉ, ZAPNUTÉ"
"CUST_ITEM_CM_IMPN_UBDY_M_UNBUTTONED": "MODERNÍ ROZEPNUTÁ KOŠILE"
"CUST_ITEM_CM_IMPM_EYES_M_SUNGLASSES": "BRÝLE KABANA"
"PLAYER_MORPH_MOUTH_SHAPE_TEXT": "TVAR ÚST"
"CUST_TATTOO_RFORARM_8": "OZBROJENÝ A NEBEZPEČNÝ"
"CUST_TATTOO_UPPBACK_7": "DRAMATIS PERSONAE"
"CUST_COMP_FACE_MOLE_9": "PIHA 9"
"LOCALIZE_NONE": "PRÁZDNÉ"
"RALLY_2": "RALLY 2"
"MALE_EMACIATED": "VYCHRTLÝ MUŽ"
"LOGO_VIRAL_1": "VIRUS 1"
"CUST_VARIANT_2STRIPE": "DVA PRUHY"
"CUST_VARIANT_SMALL_STRIPE": "TENKÉ PRUHY"
"CUST_VARIANT_STEEL": "OCEL"
"SLOT_ROOF_LIGHTS": "STŘEŠNÍ SVĚTLA"
"DARK_ORANGE": "TMAVĚ ORANŽOVÁ"
"CUST_ITEM_FEMALE_LL_UNDWEAR_1": "NEONOVÁ DŽUNGLE"
"COLOR_SLOT_PAINT_1_AND_PAINT_3": "LAK 1 A LAK 3"
"CUST_VARIANT_PLATINUM": "PLATINOVÝ"
"CUST_SKIN_OILED_2": "NAOLEJOVANÝ ASIAT 1"
"PLAYER_MORPH_EYE_SIZE_TEXT": "VELIKOST OKA"
"PLAYER_MORPH_BOTTOM_LIP_MIDDLE_SIZE_TEXT": "VELIKOST STŘEDU DOLNÍHO RTU"
"RIM_SPORTS": "SPORTOVNÍ"
"CUST_ITEM_CF_NLMD_FOOT_F_CANVASSHOES": "PLÁTĚNÉ BOTY RAWK"
"CUST_ITEM_CM_LPG_MASK_M_MASKLAMB": "OVČÍ MASKA"
"CUST_INSULT_J": "BBBJ"
"CUST_TATTOO_LCALF_6": "NÁČELNÍK KMENE"
"VEHICLE_COLOR_INSANE_RED": "BLÁZNIVĚ ČERVENÁ"
"CUST_ITEM_FEMALE_NLM_EARRINGS_4": "NÁUŠNICE MUSÍM KRVÁCET"
"CUST_ITEM_FEMALE_LETSPRETEND_OUTFIT_G": "SEXY KOVBOJKA"
"CUST_ITEM_CM_LPE_LBDY_M_MPANTS": "VOJENSKÉ KALHOTY"
"CUST_ITEM_CM_LLA_UBDY_M_GIMPSHIRT": "TRIČKO ZLOBIVÉHO KLUKA"
"CUST_ITEM_CM_PSG_FOOT_M_SNEAKERS": "KICKS"
"CUST_COMPLIMENT_E": "AMIGO"
"PLAYER_MORPH_BODY_FAT_TEXT": "TLOUŠŤKA"
"PLAYER_MORPH_SKULL_TOP_HEIGHT_TEXT": "VÝŠKA TEMENE"
"CUST_COLOR_CLOTHING_GREYS_4": "ŠEDÁ 4"
"CUST_WPN_UPGRADE_DESC_GRENADE_FLASHBANG_3": "Dohodíš dál."
"CUST_GANG_NINJA": "NINDŽA"
"CUST_COMP_CHEEK_MAKEUP_2": "SUPERMODELKA"
"COMPONENT_ADD_REINFORCED_BUMPER": "ZESÍLENÝ NÁRAZNÍK"
"CUST_ITEM_CF_HAIR_SPACEGIRL": "SCI-FI"
"CUST_ITEM_CF_IMPN_FOOT_F_SANDALS": "VYSOKÉ PODPATKY"
"CUST_TATTOO_UPPER_LEG_LEFT": "LEVÁ NOHA NAHOŘE"
"PLAYER_MORPH_SKULL_TOP_ELEVATION_TEXT": "VÝŠKA TEMENE"
"CUST_ITEM_FEMALE_NLM_OUTFIT_D": "NEZÁVISLÁ"
"CUST_ITEM_CF_LPG_LBDY_F_SHORTSCHAPS": "SEXY KOVBOJKA"
"CUST_ITEM_CM_LLN_LBDY_M_WLPANTS": "KALHOTY DISCO DIVA"
"CUST_ITEM_CM_LLB_FOOT_M_LTHRBOOTS": "KOŽENÉ BONDÁŽOVÉ BOTY"
"CUST_COMP_EYE_MAKEUP_6": "TROCHU NAHORU"
"LOGO_NUMBER4": "ČÍSLO 4"
"LOGO_SKEETERS_2": "SKEETEŘI 2"
"CUST_ITEM_CF_LLI_UBDY_F_TUBETOP": "TÍLKO BEZ RAMÍNEK "
"CUST_VARIANT_SPORT_SHOE": "SPORTOVNÍ BOTA"
"CUST_ITEM_FEMALE_LL_UNDWEAR_5": "TANGA UKÁŽU TI LÁSKU"
"CUST_VOICE_FEMALE_ASIAN": "ŽENA 1"
"CUST_WPN_UPGRADE_DESC_RIFLE_STAG_3": "Zvýšení kadence. Prodloužená hlaveň snižuje zpětný ráz."
"CUST_TATTOO_UPPBACK_3": "VESMÍRNÝ GANGSTER"
"COLOR_SLOT_PAINT_1_AND_RIMS_2": "LAK 1 A RÁFKY 2"
"CUST_TATTOO_LOWBACK_1": "PAMATUJ NA PADLÉ"
"CUST_COLOR_FLESH_1": "PŘIROZENÁ 1"
"CUST_VARIANT_ULTORSHIRT": "ULTOR"
"CUST_WEAR_LOW_LEFT_ZIPPED_RIGHT_ROLLED": "SROLOVAT PRAVOU, NÍZKO"
"RIM_SET_007": "SADA RÁFKŮ 7"
"VEHICLE_PAINT_MILITARY": "VOJENSKÝ"
"COMPONENT_OPTION_5": "VARIANTA 5"
"LOGO_DOGFIGHT": "Psí zápasy!"
"CUST_VARIANT_BALD": "HOLÝ"
"CUST_ITEM_CM_DECKERSUIT": "DECKER"
"CUSTOM_WALK_6": "MUŽ - ZÁKLADNÍ 2"
"CUST_COMP_EYE_MAKEUP_11": "TEMNÁ LINKA"
"CUST_VARIANT_SKIRTC": "STYL 1"
"CUST_VARIANT_TRICOLOR": "TŘI BARVY"
"CUST_VARIANT_SUEDESUEDE": "SEMIŠ"
"CUST_ITEM_CM_FPIC_SETB": "PIERCING V PRAVÉM OBOČÍ A V NOSE"
"PLAYER_MORPH_EAR_LONGITUDE_TEXT": "DÉLKA UCHA"
"CUST_WPN_UPGRADE_DESC_SPECIAL_STRIKE_3": "Rychlejší zaměřování a větší množství munice."
"CUST_TATTOO_NECK_5": "MEDVÍDEK"
"CUST_WEAR_LOW_BOTH_ROLLED": "OBOJÍ SROLOVAT, NÍZKO"
"CUST_ITEM_IMPRESSIONS_FEMALE_N": "MOD STYLE"
"CUST_ITEM_CM_HAIR_SIDEPARTMED1": "PĚŠINKA NALEVO"
"CUST_OPACITY_SLIDER": "PRŮHLEDNOST"
"CUST_MORPH_CAT_BROW": "OBOČÍ"
"LETS_PRETEND_NAME": "LET'S PRETEND"
"CUST_COMP_FACE_MAKEUP_5": "NEMŮŽU SPÁT"
"CUST_VARIANT_PIMPCOAT_LEOPARD2": "LEOPARD 2"
"CUST_ITEM_CM_NECK_LL_HEART": "PŘÍVĚŠEK PŘÍSLIBŮ"
"CUST_ITEM_CM_HAIR_COMBOVER": "MNICH"
"CUST_ITEM_CM_LLO_LBDY_M_SBLPANTS": "KALHOTY POCKET ROCKET"
"CUST_ITEM_DANE_S_HAIR": "MOTÝLÍ SPONKA"
"CUST_SKIN_HISPANIC_05": "HISPÁNEC 5"
"CUST_TATTOO_RHAND_5": "MAŠINA NA LÁSKU"
"LOGO_SHARKS_TEXT_2": "ŽRALOCI, TEXT 2"
"CUST_VARIANT_FISHNET_1": "SIŤOVANÉ 1"
"CUST_ITEM_CM_NECK_FLEURDELIS": "ŘETĚZ SVATÝCH"
"CUST_ITEM_CM_CNC_HAT_M_CAP": "BASEBALLOVÁ ČEPICE CROOKS & CASTLES"
"CUST_ITEM_CF_LLI_FOOT_F_STUDDEDHEALS": "REBELSKÉ SANDÁLY"
"CUST_ITEM_CM_HAIR_SIDESPIKED": "ANIME"
"CUST_RONIN_COMPLIMENT_B": "POKLONA RONINŮ 2"
"PLAYER_MORPH_BROW_ARCH_TEXT": "KLENUTÍ OBOČÍ"
"CUST_COLOR_CLOTHING_VIOLET-RED_4": "ČERVENOFIALOVÁ 4"
"CUST_COLOR_CLOTHING_BROWNS_5": "HNĚDÁ 5"
"Component_Paint": "LAK"
"COMPONENT_DECAL_7": "POTISK 7"
"CUST_WEAR_HIGH": "VYSOKO"
"CUST_RACE_BLACK": "ČERNOCH"
"CUST_SKIN_BLACK_02": "ČERNOCH 2"
"PLAYER_MORPH_CHIN_ELEVATION_TEXT": "ZDVIH BRADY"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_8": "ŽLUTOORANŽOVÁ 8"
"CUST_TATTOO_FACE_2": "KDYŽ SVATÍ PLÁČOU"
"CUST_VARIANT_BABYT": "BABY-T"
"CUST_ITEM_CM_POLICESUIT": "POLICEJNÍ UNIFORMA"
"CUST_SKIN_PURPLE_1": "TMAVĚ FIALOVÁ"
"CUSTOM_WALK_12": "NAKLÁNĚNÍ - GANGSTER"
"PLAYER_MORPH_NECK_BACK_DEPTH_TEXT": "HLOUBKA ZADNÍ STRANY KRKU"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_GANG_2": "Zvětšení zásobníků. Druhá hlaveň navýší ničivý potenciál."
"COMPONENT_OPTION_10": "VARIANTA 10"
"CUST_VARIANT_MATERIAL_4": "CUST_VARIANT_MATERIAL#4"
"CUST_VARIANT_BIKER_1": "MOTORKÁŘ 1"
"CUST_ITEM_FEMALE_PS_EARRINGS_4": "NÁUŠNICE SVATÝCH"
"CUST_ITEM_CF_LPG_UBDY_F_SHIRT": "KOŠILE PRO KOVBOJKU"
"CUST_ITEM_CF_PSG_LBDY_F_GFXJEANS": "DŽÍNY TRUE FIT"
"CUST_COMPLIMENT_M": "NINDŽA"
"COMPONENT_LOW_PROFILE": "NÍZKÝ PROFIL"
"LOGO_MIX": "THE MIX 107.77"
"CUST_VARIANT_2_COLOR": "DVĚ BARVY"
"CUST_VARIANT_STRIPES_4": "PROUŽKY 4"
"CUST_VARIANT_SOLID": "JEDNOBAREVNÝ"
"CUST_WEAR_BACK RIGHT": "VZADU VPRAVO"
"CUST_WPN_UPGRADE_DESC_SMG_GANG_3": "Zvýší sílu zbraně a sníží zpětný ráz."
"CUST_TATTOO_RCALF_1": "KOTVA"
"CUST_TATTOO_LARM_6": "CHYTILI MĚ DO SÍTĚ"
"CUST_TATTOO_LUPPARM_4": "ZAŘÍKÁVAČ HADŮ"
"VEHICLE_PAINT_PRECIOUS_METAL": "VZÁCNÝ KOV"
"HAIR_COLOR_BRUNETTE_MATTE": "MATNÁ HNĚDÁ"
"HAIR_COLOR_AUBURN_MATTE": "MATNÁ ČERNÁ"
"HAIR_COLOR_WHITE": "BÍLÁ"
"CUST_VARIANT_BLOOD": "KRVE"
"CUST_ITEM_CF_IMPR_UBDY_F_SHIRTLOW": "KOUZELNICKÁ VESTA HILLS"
"CUST_ITEM_FEMALE_NLM_UNDWEAR_2": "TANGA NA PÁRTY"
"CUST_ITEM_CM_NLMD_EAR_M_EARRING": "STYLOVÉ PUNKERSKÉ NÁUŠNICE"
"LOGO_420": "103.6 čtyři 20"
"CUST_VARIANT_MATERIAL__17": "CUST_VARIANT_MATERIAL_#17"
"CUST_ITEM_CM_HAIR_RECEDINGPEAK": "CHOCHOLEK"
"CUST_INSULT_B": "DANIEL-SAN"
"PLAYER_MORPH_LOBES_SIZE_TEXT": "VELIKOST LALŮČKŮ"
"VEHICLE_COLOR_KABUKI_RED": "KABUKI ČERVENÁ"
"CUST_ITEM_CM_IMPM_LBDY_M_SHORTS": "ŠORTKY KABANA"
"CUST_CHOOSE_CHARACTER": "NASTAVENÍ POSTAVY"
"PLAYER_MORPH_EYELID_LOOK_TEXT": "VZHLED VÍČKA"
"CUST_TATTOO_RFORARM_4": "LEDOVĚ CHLADNEJ ZABIJÁK"
"CUST_COMP_FACE_MOLE_5": "PIHA 5"
"COLOR_SLOT_PAINT_AND_TRIM": "LAK A LEMOVÁNÍ"
"FEMALE_OVERWEIGHT": "TLUSTÁ ŽENA"
"CUST_SKIN_GREY_5": "ONYXOVÁ"
"RIM_DEEP_DISH": "DEEP DISH"
"SLOT_HUBCAPS_REAR": "ZADNÍ POKLICE"
"SLOT_WINDOW_TINT": "NÁDECH OKNA"
"BRIGHT_BLUE": "SVĚTLE MODRÁ"
"HAIR_Black": "ČERNÁ"
"LOGO_SRAIR": "SR AIR"
"PLAYER_CREATION_PRESET_BLACK": "AFROAMERIČAN"
"VEHICLE_COLOR_CHROME": "CHROM"
"RIM_185": "V-F 604"
"SLOT_WEAPON_2": "ZBRAŇ 2"
"LOGO_CARDS": "KARTY"
"CUST_ITEM_CF_DLC_SPACE_OUTFIT": "VESMÍRNÁ PRINCEZNA"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHIRT": "KOŠILE A BUNDA HILLS"
"CUST_COLOR_CLOTHING_ORANGE_7": "ORANŽOVÁ 7"
"CUST_WPN_UPGRADE_DESC_GRENADE_MOLOTOV_4": "Zvýší sílu zbraně."
"CUST_COMP_EYE_MAKEUP_19": "VELKÉ ZORNIČKY"
"CUST_ITEM_CM_NLMC_RWRST_M_WRISTBANDS": "SVÍTÍCÍ NÁRAMEK RAVE X"
"CUST_ITEM_CM_LLA_HAT_M_GIMPMASK": "SAFEWORD SPECIÁL"
"PLAYER_MORPH_BODY_MUSCLE_TEXT": "SVALNATOST"
"PLAYER_MORPH_LUMINOSITY_TEXT": "SVĚTLOST"
"LOGO_STEER": "NEBEŠTÍ POMOCNÍCI"
"CUST_VARIANT_SMOKED": "ZABARVENÉ STÍNÍTKO"
"CUST_ITEM_CF_NLMB_RWRST_F_WRISTBAND": "ANARCHISTICKÝ NÁRAMEK"
"CUST_COMPLIMENT_APPROVAL": "UZNÁNÍ"
"CUST_VOICE_MALE_WHITE": "MUŽ 1"
"COLOR_SLOT_MECHANICAL": "MECHANICKÝ"
"COMPONENT_DECAL_10": "POTISK 10"
"CUST_VARIANT_THICKSTRIPES": "ŠIROKÉ PRUHY"
"CUST_VARIANT_ZEBRA": "ZEBRA"
"CUST_ITEM_CM_IMPB_UBDY_M_JTURTLENECK": "VEČEŘE V PAŘÍŽI"
"CUST_ITEM_CF_NLMH_LWRST_F_WRISTBANDS": "NÁRAMKY PARTY TIME"
"CUST_ITEM_CF_HAIR_M_LONGUP-01": "RETRO ÚČES"
"CUST_SKIN_GREEN_5": "MENTOLOVĚ ZELENÁ"
"PLAYER_MORPH_LOWER_LIP_SIDES_ELEVATION_TEXT": "VÝŠKA STRAN DOLNÍHO RTU"
"CUST_WEAR_NORMAL_EXTRA_HIGH_SUSPENDERS": "NORMÁLNÍ, EXTRA VYSOKÉ, KŠANDY"
"CUST_ITEM_CF_PSB_LBDY_F_SHORTSHORTS": "KRÁTKÉ ŠORTKY"
"CUST_SKIN": "KŮŽE"
"PLAYER_MORPH_CHEEKBONE_HEIGHT_TEXT": "VÝŠKA LÍCNÍ KOSTI"
"CUST_TATTOO_LHAND_2": "ŽÍT ČI..."
"CUST_VARIANT_PATTERN_2_DECALS": "STYL 2 S POTISKY"
"CUST_VARIANT_DEFAULT": "ZÁKLADNÍ"
"CUST_ITEM_BANDANA_1": "BANDITA"
"CUST_MOVEMENT_TAUNT": "URÁŽKA"
"PLAYER_CREATION_MENU_1": "PŘEDVOLBY"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_5": "ŽLUTOZELENÁ 5"
"CUST_TATTOO_CHEST_6": "ČELISTI"
"VEHICLE_PAINT_GANG_SAINTS": "SVATÍ"
"DARK_RED": "TMAVĚ ČERVENÁ"
"LEVEL_3": "ÚROVEŇ 3"
"LOGO_SPELUNKER_1": "U JESKYŇÁŘE"
"CUST_ITEM_CM_IMPB_UBDY_M_JLOWSHIRT": "OBLEČENÝ V KAŠMÍRU"
"CUST_ITEM_FEMALE_LL_EARRINGS_3": "PROUŽKOVÉ VISAČKY"
"CUST_GANG_STRIPPER": "STRIPTÉRKA"
"VEHICLE_PAINT_METAL": "KOV"
"LOGO_WONDERMART_1": "WONDERMART 1"
"CUST_WEAR_TUCKED_HIGH_PANT_NO_SUSPENDERS": "ZASTRČENÉ, VYSOKÉ KALHOTY"
"CUST_FINE_TUNING": "OBLIČEJ"
"PLAYER_MORPH_JAW_SPACING_TEXT": "ROZESTUP ČELISTÍ"
"PLAYER_MORPH_EYE_ELEVATION_TEXT": "POSAZENÍ OKA"
"CUST_COLOR_CLOTHING_ORANGE_3": "ORANŽOVÁ 3"
"SLOT_RIMS": "RÁFKY"
"PLAYER_MORPH_NECK_BACK_WIDTH_TEXT": "ŠÍŘKA ZADNÍ STRANY KRKU"
"CUST_COMP_MALE_EYEBROWS_4": "SPOJENÉ OBOČÍ"
"VEHICLE_PAINT_OPAQUE_PAINT": "KRYCÍ LAK"
"COMPONENT_OPTION_9": "VARIANTA 9"
"CUST_VARIANT_BIG_DIAMONDS": "VELKÉ DIAMANTY"
"CUST_ITEM_MALE_PLANETSAINTS_BRIEFS_1": "SPODKY SVATÝCH"
"CUST_SKIN_GREEN_1": "VESELE ZELENÁ"
"CUST_RONIN_TAUNT_D": "URÁŽKA RONINŮ 4"
"PLAYER_MORPH_JOWLS_ELEVATION_TEXT": "VÝŠKA ČELISTÍ"
"WARDROBE_CONTROL_WEAR": "OBLEČENÍ"
"VEHICLE_PAINT_TRICKED_METALLIC": "PÁLENÝ KOV"
"COLOR_SLOT_INTERIOR_AND_SOFTTOP": "INTERIÉR A SKLÁDACÍ STŘECHA"
"CUST_ITEM_CM_IMPL_UBDY_M_JSHIRT": "MODELOVÝ MUŽ"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_4": "ŽLUTOORANŽOVÁ 4"
"CUST_TATTOO_LHAND_6": "ZLOMENÉ SRDCE"
"CUST_COLOR_INDIGO_2": "INDIGOVÁ 2"
"CUST_COLOR_PURPLE_3": "FIALOVÁ 3"
"CUST_VARIANT_MATERIAL__16__14_DEFAULT": "CUST_VARIANT_MATERIAL_#16_(14_DEFAULT)"
"CUST_WEAR_CLOSED": "ZAPNUTÉ"
"CUST_WEAR_LOW_LEFT_UNZIPPED_RIGHT_UNZIPPED": "OBOJÍ ROZEPNOUT, NÍZKO"
"CUST_ITEM_LEATHER_LACE_FEMALE_R": "HOLKA Z OKTOBERFESTU"
"CUST_MENU_PRESETS": "PŘEDVOLBY"
"CUST_MORPH_CAT_MOUTH": "ÚSTA"
"PLAYER_MORPH_BODY_TEXT": "TĚLO"
"CUST_COLOR_CLOTHING_VIOLET-RED_8": "ČERVENOFIALOVÁ 8"
"CUST_COLOR_CLOTHING_BROWNS_9": "HNĚDÁ 9"
"PAINT_1": "LAK 1"
"MALE_SLENDER": "ŠTÍHLÝ MUŽ"
"CUST_VARIANT_DRAGON_BOWTIE": "DRAK"
"CUST_VARIANT_CANVAS": "PLÁTĚNÝ"
"CUST_WEAR_U": "U"
"CUST_ITEM_CM_IMPE_UBDY_M_SHIRT": "TRIČKO SOUTH BEACH"
"CUST_ITEM_CF_LPH_FOOT_F_CLSHOES": "TENISKY ROZTLESKÁVAČKY"
"CUST_CAT_NOT_FOR_DEMO": "NEPŘÍSTUPNÉ V DEMU"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_1": "ŽLUTOZELENÁ 1"
"CUST_TATTOO_CHEST_2": "ŠŤASTNÝ DRAK"
"COLOR_SLOT_GRILL": "MŘÍŽKA CHLADIČE"
"CUST_VARIANT_NEW_EYES": "NOVÉ OČI"
"CUST_ITEM_CF_NLMC_UBDY_M_SHIRT": "KOŠILE Z TEMNÉ STRANY"
"CUST_ITEM_CM_NLMC_FOOT_M_SHOES": "RAVE X SNEAKERZ"
"CUST_ITEM_CF_IMPQ_FOOT_F_LATEXHEELS": "LATEXOVÉ BOTY NA PODPATKU"
