"DROP_SPHERE": "DAR ESFERA"
"SPActivity": "JUGANDO {C10} ACTIVIDAD: {C3}"
"HASH_CC9E7A7D": "MARCA DE MUERTE: TIEMPO EMPLEADO"
"PLAYER_CREATION_NEW_PRESET_FULL": "¡Si seleccionas una nueva configuración predefinida se cancelarán todos los cambios efectuados hasta ahora!"
"HUD_SHOP_NO_WEAPONS": "No tienes armas."
"VCUST_TIRES_TITLE": "NEUMÁTICOS"
"PURCHASEABLE_PROPERTEY_CHOP": "DAVILA'S AUTOMOTIVE"
"STAT_VEHICLE_WATERCRAFT": "VEHÍCULO ACUÁTICO"
"STAT_HUMAN_TORCH_BONUS_EARNED": "RASTRO LLAMEANTE: TIEMPO DE BONIFICACIÓN GANADO"
"STAT_MAX_DRIVER_BAILOUT_DISTANCE": "DISTANCIA MÁXIMA DE SALTO EN MARCHA"
"ESCORT_NAME_23A": "APESTOSO"
"RADIO_STATION_KRHYME": "KRHYME"
"MAP_ICON_STAIRS": "ESCALERAS"
"GIVE_ALL_WEAPONS": "ARMAS"
"MENU_OPTION_CANCEL": "CANCELAR"
"POC2_UPGRADE_CAR": "PERSONALIZAR VEHÍCULO"
"VCUST_FRONT_AXLE_OPTION": "EJE DELANTERO"
"LINGERIE_STORE_NAME": "LEATHER & LACE"
"STORE_WEAPON_STORE_MSG": "COMPRAR ARMAS"
"HASH_E632737E": "PORCENTAJE DE JUEGO COMPLETADO"
"GIVE_ELECTRIC": "DAR GRANADA ELÉCTRICA"
"GIVE_CYBERSMG": "DAR CYBER BUSTER"
"CLEAR_SKIES": "CIELO DESPEJADO"
"VARIANT_ALREADY_OWNED": "Ya tienes este estilo de objeto."
"CRIB_HUD_HANGAR_NAME": "HANGAR DEL AEROPUERTO"
"VCUST_PURCHASE_WHEELS_PROMPT": "¿Quieres comprar este juego de ruedas por {0} $?"
"PURCHASEABLE_PROPERTEY_HOSPITAL": "HOSPITAL"
"STAT_MAYHEM_OBJECTS_DESTROYED": "CAOS: NÚMERO DE OBJETOS DESTRUIDOS"
"STAT_COMBAT_CAR_RESPECT": "RESPETO GANADO POR MUERTOS CON COCHE"
"ESCORT_NAME_21A": "SALTO"
