"UNL_DESC_RESPECT_LUCHA_3": "За приобретение жилья \"Казино Раз-Два-Три\" количество любого зарабатываемого вами авторитета увеличивается на 15%%."
"UNL_DESC_HOMIE_ZGAT": "МОЗГИИИИИИ"
"TUT_STORE_INTRO_JEWELRY": "В ювелирных магазинах можно изменить своего персонажа. Покупая украшения, вы повышаете свой авторитет."
"TUT_QUICK_KILL": "Н АЖМИТЕ {CBA_OFC_HS_EXECUTE_IMG}, ЧТОБЫ БЫСТРО УБИТЬ СВОЙ ЩИТ"
"HUD_PRESS_BACK_CANCEL_PERSISTENT": "НАЖМИТЕ %ls ЕЩЕ РАЗ, ЧТОБЫ ОЧИСТИТЬ ЭКРАН."
"HOMIES_KINZIE_DESC": "Получите поддержку от Кинзи."
"UNL_FASTER_HOMIE_REVIVE_3": "ВОЗРОЖДЕНИЕ - СКОРОСТЬ 3"
"UNL_UPGRADE_AMMO_GRENADE_1": "ГРАНАТЫ"
"UNL_HOMIE_HELI": "БРАТОК - ВЕРТО"
"MISSION_COOP_CONFIRM_ACTIVITY": "ПОДТВЕРЖДЕНИЕ НАЧАЛА ЗАДАНИЯ: %ls."
"UNL_DESC_DLC_GAMEPLAY03_ALERT04": "Награды, связанные с решениями в мисии КАБАНа, получены. Проверьте свой гардероб, арсенал и гараж."
"UNL_DESC_RESPECT_BONUS_PURCHASE1": "Бонус в размере 5%% ко всему получаемому авторитету."
"TUT_ACT_GUARDIAN": "Обеспечьте безопасность своему информатору."
"HOMIES_COP_NOTORIETY_DESC": "Уберите дурную славу у полиции."
"HOMIES_ANGEL": "АНХЕЛЬ"
"UNL_GANG_NPC_MSTAR": "ИЗМЕНЕНИЕ БАНДЫ"
"UNL_DESC_VEHICLE_STAG_TANK": "Теперь в гараже вашего жилища есть танк КАБАНа."
"UNL_GANG_CUSTOMIZATION": "МОДИФИКАЦИЯ БАНДЫ"
"UNL_CASH_BONUS_MODIFIER": "БОНУС - НАЛИЧКА"
"UNL_DESC_WEP_CHAINSAW": "Взять бензопилу вы сможете на оружейном складе в вашем жилище."
"PLAYER_CHOICE_M19_OPTION2_TITLE": "[format][color:red]УНИЧТОЖИТЬ ВИРУС ЗОМБИ ПО ПРОСЬБЕ МЭРА[/format]"
"PLAYER_CHOICE_M16_OPTION1_TITLE": "[format][color:Purple]ЗАХВАТИТЬ ПРОИЗВОДИТЕЛЯ АВТОМАШИН[/format]"
"TUT_TITLE_NAG_CHANGE_CLOTHES": "СМЕНИТЬ ОДЕЖДУ"
"TUT_CHARGE_WEAPON": "ЗАЖМИТЕ {ATTACK_PRIMARY_IMG}, ЧТОБЫ СДЕЛАТЬ МОЩНЫЙ ВЫСТРЕЛ"
"TUT_TITLE_RADIO_CONTROL": "УПРАВЛЕНИЕ РАДИО"
"WE_MOUNTED_GUN": "СТАЦИОНАРНОЕ ОРУДИЕ КАЛИБРА 0,50"
"FLASHPOINT_COMPLETE_DESC_1": "УНИЧТОЖЕНО"
"CANT_USE_MECHANIC": "ВЫ НЕ МОЖЕТЕ ИЗМЕНЯТЬ СВОЮ МАШИНУ ВО ВРЕМЯ МИССИИ ИЛИ ЗАДАНИЯ"
"TUT_WHORED_A_CONSCRIPTED": "ПРИЗЫВНИК"
"TUT_WHORED_D_NORMS_REVENGE": "МЕСТЬ НОРМА"
"TUT_WHORED_GENKI_REVENGE": "СУПЕР-ЭТИЧЕСКАЯ КУЛЬМИНАЦИЯ"
"TUT_TITLE_M16_CHARGE_CYBERCANNON": "СМЕНИТЬ КИБЕРПУШКУ"
"TUT_TITLE_MINIMAP_ICONS": "ЗНАЧКИ МИНИ-КАРТЫ"
"ACHIEVE_SR3_BROMANCE_IN_THE_ROW": "КРЕПКАЯ МУЖСКАЯ ДРУЖБА"
"HUD_RESPECT_RANK_008": "СВЯТОЙ"
"HOMIES_GREETING": "Йоу, %ls! Как дела?"
"UNL_INCOME_MSTAR_3": "ПОЧАСОВОЙ ДОХОД С РАЙОНА"
"UNL_DESC_FASTER_RELOAD_3": "Все оружие перезаряжается быстрее."
"UNL_CRIB_KINZIE": "ЖИЛЬЕ - КИНЗИ"
"TUT_ACT_INTRO_ESCORT_TIGER": "Поддерживайте высокую скорость, чтобы тигр остался доволен, а вы могли повысить свою храбрость. "
"HUD_FINISH_BRUTE": "ПРИКОНЧИТЬ АМБАЛА"
"CS_TITLE_SURFACE_OF_MARS": "ПОВЕРХНОСТЬ МАРСА"
"COMBAT_DAMAGE": "Вы нанесли урон в %5.1f!"
"PLAYER_INCREASE_HEALTH": "ВАШЕ ЗДОРОВЬЕ УВЕЛИЧЕНО."
"UNL_DESC_WIPE_NOTORIETY_LAW_ENFORCEMENT": "Позвоните мэру Берту Рейнолдсу, чтобы обнулить дурную славу у органов правопорядка."
"UNL_RESPECT_BONUS_PURCHASE3": "БОНУС - АВТОРИТЕТ 3"
"TUT_TITLE_NITROUS": "НИТРОПРИВОД"
"HUD_AMT_DEGREES": "{0}{TEMP_DEGREES}"
"UNL_INCOME_LUCHA_2": "ПОЧАСОВОЙ ДОХОД С РАЙОНА"
"UNL_CRIB_ZIMOS": "ЖИЛЬЕ - ХАТА ЗАЙМОСА"
"PLAYER_CHOICE_M22_OPTION2_TITLE": "[format][color:green]ПОЙТИ К СТАТУЕ[/format]"
"PLAYER_CHOICE_M09_OPTION1_TITLE": "[format][color:blue]ДОСТАВИТЬ ШЛЮХ В \"МОРГЕНШТЕРН\"[/format]"
"PLAYER_CHOICE_M06_OPTION2_TITLE": "[format][color:yellow]ОБЕЗВРЕДИТЬ БОМБУ[/format]"
"TUT_NAG_HUMAN_SHIELD": "ПОМНИТЕ! ЖИВЫЕ ЩИТЫ {ACTION_IMG} ПОМОГУТ ВАМ В ВЫЖИТЬ В БИТВЕ."
"SPECIAL_AIRSTRIKE": "АВИАУДАР SA-3"
"WPNCAT_THROWN": "МЕТАТЕЛЬНОЕ"
"MULTI_PRESS_AND_HOLD_BLANK_TO_HEAL": "УДЕРЖИВАЙТЕ %ls, ЧТОБЫ ВЫЛЕЧИТЬСЯ!"
"HOOD_DT_02": "ЛОРЕН-СКВЕР"
"UNL_GANG_NPC_HO": "ИЗМЕНЕНИЕ БАНДЫ"
"UNL_FASTER_RELOAD_1": "БЫСТРАЯ ПЕРЕЗАРЯДКА 1"
"UNL_DESC_CLOTHING_AVATAR": "Костюм для захвата движения был добавлен в ваш гардероб."
"UNL_SPRINT_2": "УЛУЧШЕННЫЙ БЕГ 2"
"TUT_TERRITORY": "Вы владеете этим районом. \nЕжечасно в ваш тайник в доме будут поступать выплаты. Также вы можете купить стойку в любом магазине и получать дополнительные выплаты."
"UNL_DESC_TRAILBLAZING": "Вы открыли новые локации для задания ПУТЬ ОГНЯ. \nПоищите их на карте."
"UNL_DESC_HELIASSAULT": "Вы открыли новые локации для задания АТАКА С ВЕРТОЛЕТА. \nПоищите их на карте."
"UNL_INCOME_DECKER_2": "ПОЧАСОВОЙ ДОХОД С РАЙОНА"
"UNL_GANG_NPC_LUCHA": "ИЗМЕНЕНИЕ БАНДЫ"
"UNL_DUAL_WIELD_PISTOLS": "ДВЕ РУКИ - ПИСТОЛЕТЫ"
"UNL_DESC_DAMAGE_MELEE_2": "Урон, наносимый вами в ближнем бою, увеличивается на 30%%."
"UNL_DAMAGE_FIRE_1": "УРОН ОТ ОГНЯ"
"TUT_WHORED_Z_BDSM": "БДСМ"
"TUT_WHORED_D_STEELPORT_CONNECTION": "СТИЛПОРТСКИЕ СВЯЗИ"
"TUT_WHORED_MALLCOP": "КОП-ОХРАННИК"
"TUT_TITLE_CRIB_WEAPONS": "ОРУЖЕЙНЫЙ ТАЙНИК"
"ACHIEVE_SR3_PORKCHOP_SANDWICHES": "СЭНДВИЧИ СО СВИНИНОЙ"
"ACHIEVE_SR3_AND_BOOM_GOES_THE_DYNAMITE": "\"БАБАХ\" СДЕЛАЛ ДИНАМИТ"
"SATELLITE_EXIT_GUIDED_MODE": "ОСТАВИТЬ РАКЕТУ"
"UNL_DRUGTRAFFICKING": "НАРКОТРАФИК"
"UNL_DLC_ASSET03_OUTFITS05": "КОСТЮМ - СОЛДАТ-ДЕКЕР"
"UNL_DESC_DUAL_WIELD_SMGS": "Можно носить автоматы в двух руках."
"PLAYER_CHOICE_M19_OPTION2_BODY": "НАГРАДА: Берт Рейнолдс и подкрепление SWAT - ваши братки"
"HUD_HOURS_ABR": "Ч"
"UNL_DESC_VEHICLE_DECKER": "В вашем гараже теперь доступны машины Декеров"
"UNL_PLAYER_HEALTH_2": "УВЕЛИЧЕНИЕ ЗДОРОВЬЯ 2"
"UNL_DESC_HOMIE_VIOLA": "Номер Виолы есть в меню \"ТЕЛЕФОН\" вашего мобильника. Она поможет Святым в бою."
"TUT_TITLE_RC_GUN_UPGRADE": "УЛУЧШЕНИЕ RC-ПУШКИ"
"TUT_TITLE_NP_CAR_CONTROLS": "УПРАВЛЕНИЕ АВТОМОБИЛЕМ"
"GARAGE_CARS_ONLY": "ВЫ НЕ МОЖЕТЕ ОСТАВИТЬ ЗДЕСЬ ЭТОТ ВИД ТРАНСПОРТА."
"STRONGHOLD_CANCEL_SUB_TEXT": "ЗАХВАТ КРЕПОСТИ ОТМЕНЕН"
"UNL_DESC_DLC_ASSET03_OUTFITS02": "Костюм специалиста-лучадора."
"UNL_DLC_ASSET02_VEHICLES": "МАШИНА - МАШИНЫ НОЧНОГО КЛИНКА"
"TUT_WHORED_Z_VEGAN": "ВЕГАНСКИЙ КОШМАР"
"TUT_WHORED_Z_HORS_D": "НЕЧТО НЕОБЫЧНОЕ"
"TUT_WHORED_A_BATH_TOY": "ИГРУШКА ДЛЯ ВАННОЙ"
"TUT_TITLE_SECONDARY_FIRE": "ДОПОЛНИТЕЛЬНОЕ ОРУЖИЕ"
"TUT_TITLE_STYLE_RANK": "СТИЛЬНОСТЬ"
"ACHIEVE_SR3_BRIGHT_LIGHTS_BIG_CITY": "ОГНИ БОЛЬШОГО ГОРОДА "
"DIVERSIONS_RESPECT": "АВТОРИТЕТ {0}"
"TUT_WHORED_D_WELCOME": "НАСТОЯЩАЯ ДЕВУШКА"
"TUT_TITLE_NAG_GANG_CUSTOMIZE": "МОДИФИКАЦИЯ БАНДЫ"
"TUT_WHORED_ZOMBIESATV": "ВЕЗДЕХОД ПРОТИВ ЗОМБИ"
"TUT_WHORED_DRUNKENBOXING": "ПЬЯНЫЙ БОКС"
"TUT_NP_HELI_WEAPON_CONTROLS": "{HELI_FIRE_PRIMARY_IMG} СТРЕЛЬБА ИЗ ПУЛЕМЕТА\n{HELI_FIRE_SECONDARY_IMG} ЗАПУСК РАКЕТ"
"FART_IN_A_JAR": "ПЕРДЕЖ В БАНКЕ"
"UNL_CASH_LIMIT_MSTAR_2": "ЛИМИТ ТРАНСФЕРА"
"UNL_DESC_VEHICLE_CYBER_TANK": "Теперь в гараже вашего жилища есть кибертанк."
"UNL_DESC_CLOTHING_NG": "Теперь вы можете приобрести форму гвардии Стипорта."
"UNL_MUSCLES_2": "БЛИЖНИЙ БОЙ - МЫШЦЫ 2"
"UNL_DESC_NOTORIETY_MSTAR_1": "Уровень дурной славы в отношениях с Моргенштерном снижается быстрее."
"UNL_DESC_DAMAGE_FALL_4": "При падениях никакого урона не наносится."
"UNL_DESC_CASH_FOR_RESPECT_2": "Заплатить налом за 8000 ед. авторитета."
"UNL_DESC_CRIB_NUKE": "Теперь это место является жильем Святых. Здесь вы можете получить доступ к вашему оружию и одежде, а также изменить свою банду."
"TUT_CONTINUE_MSG": "ДЛЯ ПРОДОЛЖЕНИЯ НАЖМИТЕ {PAUSE_MENU_IMG}."
"TUT_ACT_INTRO_SNATCH": "Спасите шлюх от их злобных сутенеров, чтобы заработать деньги и авторитет."
"ACHIEVE_SR3_TUNE_IN_DROP_OFF": "ПОЙМАЙ ВОЛНУ И ОТРУБИСЬ"
"HUD_TRIGGER_VEHICLE_REPAIR_PRICE": "ОТРЕМОНТИРОВАТЬ МАШИНУ ЗА $%d"
"UNL_DESC_DTL_FOLLOWER": "Святые будут появляться в контролируемых вами кварталах. Когда вы видите их, нажимайте {RECRUIT_DISMISS_IMG}, чтобы приказать идти за вами."
"TUT_WHORED_D_OLEG_REUNION": "ВОССОЕДИНЕНИЕ СЕМЬИ ОЛЕГА"
"PLAYER_CHOICE_M06_OPTION2_BODY": "НАГРАДА: Постоянный денежный бонус"
"TUT_TITLE_ACT_TANK_MAYHEM": "ТАНКОВЫЙ РАЗГРОМ"
"ACHIEVE_SR3_OW_MY_BALLS": "АЙ, МОИ ЯЙЦА!"
"ACTIVITY_COOP_START_MSG": "Начать совместное задание?"
"UNL_AMMO_EURO_2": "СКЛАД ОРУЖИЯ - БОЕПРИПАСЫ"
"TUT_WHORED_MINIZOMBIES": "МИНИ-ЗОМБИ"
"PLAYER_CHOICE_M13_OPTION2_TITLE": "[format][color:Purple]ОСТАВИТЬ ДЖОША В СВЯТЫХ[/format]"
"TUT_TITLE_ESCORT_HOING": "КООПЕРАТИВНЫЙ ЭКСКОРТ"
"TUT_NP_BOAT_CONTROLS": "{ACCELERATE_IMG} - УСКОРЕНИЕ \n{BRAKE_REVERSE_IMG} - ТОРМОЗ/ЗАДНИЙ ХОД"
"TUT_AIRPLANE_CONTROL_ALT": "{PLANE_ACCELERATE_IMG} УСКОРЕНИЕ \n{PLANE_BRAKE_REVERSE_IMG} ТОРМОЗ/ЗАДНИЙ ХОД\n{PLANE_TURN_LEFT_IMG}/{PLANE_TURN_RIGHT_IMG} КРЕН"
"ACHIEVE_SR3_YOURE_MY_HERO": "ТЫ МОЙ ГЕРОЙ!"
"HUD_CONTINUE_TEXT": "ДЛЯ ПРОДОЛЖЕНИЯ НАЖМИТЕ %ls."
"UNL_VEHICLE_STAG_VTOL": "МАШИНА - СВВП ОТРЯДА КАБАН"
"TUT_WHORED_D_FEVER_DREAM": "БРЕДОВЫЙ СОН"
"HOMIES_GAINED_CASH": "ВЫ ПОЛУЧИЛИ %ls ЗА ПРОСТИТУЦИЮ."
"HOMIES_MAYOR_REYNOLDS": "MAYOR REYNOLDS"
"UNL_RESPECT_MSTAR_1": "БОНУС АВТОРИТЕТА"
"UNL_DESC_AMMO_DECKER_1": "Вы можете хранить на 10%% больше боеприпасов в арсенале."
"UNL_DLC_ASSET03_OUTFITS01": "КОСТЮМ - СОЛДАТ-ЛУЧАДОР"
"UNL_DESC_CLOTHING_CARDINAL": "Теперь вы можете надеть кардинальский прикид."
"UNL_DESC_WEP_CYBERSPACE_CANNON": "Взять киберпушку вы сможете на оружейном складе в вашем жилище."
"TUT_TITLE_CHARGE_WEAPON": "ЗАРЯДИТЬ ОРУЖИЕ"
"TUT_RADIO_CONTROL": "{AUDIO_PLAYER_PREV_TRACK_IMG} / {AUDIO_PLAYER_NEXT_TRACK_IMG} СМЕНА СТАНЦИИ\nВы можете слушать радио, а можете выбрать свои любимые песни или создать свою радиостанцию с помощью музыкального интерфейса вашего мобильника {MAP_MENU_IMG}."
"WPN_GENKI_DESCRIPT": "Поющие, взрывающиеся, милые мозгоеды-осьминоги. Да-да, они контролируют мозг, серьезно."
"HUD_VEHICLE_DRIVE": "НАЖМИТЕ %s ДЛЯ УСКОРЕНИЯ, %s ДЛЯ ТОРМОЗА/ЗАДНЕГО ХОДА."
"UNL_DESC_RESPECT_LUCHA_2": "За приобретение жилья \"Казино Раз-Два-Три\" количество любого зарабатываемого вами авторитета увеличивается на 10%%."
"UNL_DESC_CASH_LIMIT_MSTAR_1": "За приобретение жилья \"Бордель МЕГА\" ваш лимит перевода денег увеличивается."
"UNL_DLC_ASSET02_ALERT": "НАБОР НОЧНОГО КЛИНКА"
"UNL_CASH_FOR_RESPECT_1": "ПОДМЕНА - НАЛИК ЗА АВТОРИТЕТ"
"UNL_DESC_HOMIE_OLEG": "В вашем телефоне есть номер Олега. Он поможет Святым в бою."
"TUT_MINIMAP_ICONS": "Это ваша мини-карта. \nКрасные точки - это ваши враги, а синие, красные и зеленые квадраты - ваши задачи. \nЕсли потеряетесь, воспользуйтесь GPS навигатором."
"ACHIEVE_SR3_OUCH": "АЙ."
"WPN_BLOWUPDOLL": "НАДУВНАЯ КУКЛА"
"THEATER_PLAY_STRONGHOLD": "СЫГРАТЬ В ЗАХВАТ КРЕПОСТИ"
"HASH_5F2E8897": "ПОЖАЛУЙСТА, ПОДКЛЮЧИТЕ ГЕЙМПАД XBOX ONE ЗАНОВО И НАЖМИТЕ {PAUSE_MENU_IMG}, ЧТОБЫ ПРОДОЛЖИТЬ."
"UNL_DESC_DLC_ASSET03_OUTFITS06": "Костюм специалиста-декера."
"UNL_CASH_MULTIPLIER_3": "БОНУС - НАЛИЧКА 3"
"TUT_TITLE_HELICOPTER_CONTROL": "УПРАВЛЕНИЕ ВЕРТОЛЕТОМ"
"TUT_STORE_OWNERSHIP": "Владение недвижимостью будет давать вам некоторую сумму денег каждый час и позволит получать скидки на продаваемые там вещи."
"UNL_DESC_RESPECT_MSTAR_3": "За приобретение жилья \"Бордель МЕГА\" ваш лимит перевода денег увеличивается на 15%%."
"TUT_DLC_BLING_SHOTGUN": "Пижонский дробовик повышает количество авторитета, который вы получаете за уничтожение врагов."
"TUT_STORE_INTRO_MECHANIC": "Модифицированные машины сохраняются, и их можно восстановить, даже если они были уничтожены, в \"Крепком стержне\" или гараже вашего жилья."
"SMG_AMMO": "ПАТРОНЫ К АВТОМАТУ"
"HUD_RESPECT_RANK_002": "ЩИТ"
"HOMIES_WAS_BUSTED": "%ls АРЕСТОВАН!"
"DISTRICT_DOWNTOWN": "ЦЕНТР ГОРОДА"
"UNL_DESC_ESCORT": "Вы открыли новые локации для задания ЭСКОРТ. \nПоищите их на карте."
"UNL_DESC_INCOME_EURO_2": "Вы получаете бонус 10%% к почасовому доходу с района Центр."
"UNL_SWAT_BACKUP": "БРАТКИ - СПЕЦНАЗ-РЕЗЕРВ"
"UNL_DESC_PLAYER_HEALTH_4": "Уровень здоровья игрока увеличивается на 100%%."
"ACHIEVE_SR3_GANGSTAS_IN_SPACE": "ГАНГСТА... В КОСМОСЕ!"
"HUD_COOL_OVERHEATED_MESSAGE": "ОХЛАДИТЬ ОРУЖИЕ"
"UNL_WIPE_NOTORIETY_LAW_ENFORCEMENT": "БЕЗ ДУРНОЙ СЛАВЫ - ЗАКОН"
"UNL_DESC_WIPE_NOTORIETY_GANG": "Вся дурная слава среди банд обнуляется."
"TUT_WHORED_Z_KIRBY": "МАЛЬЧИШНИК КИРБИ"
"TUT_TITLE_COMBAT_GRENADES": "ИМПРОВИЗИРОВАННАЯ ГРАНАТА"
"ACHIEVE_SR3_MR_FURY_WOULD_BE_PROUD": "МИСТЕР ЯРОСТЬ ГОРДИЛСЯ БЫ ТОБОЙ"
"HUD_WARP_TO_SHORE_MESSAGE_PLACEHOLDER": "ПЛЫВИТЕ К БЕРЕГУ"
"UNL_DESC_DLC_ASSET02_VEHICLES": "Машина Ночного Клинка и байк Кровавой Монашки. Скорость. Мощь. Стиль."
"UNL_UPGRADE_AMMO_SPECIAL_2": "ОСОБЫЕ ПАТРОНЫ 2"
"UNL_DESC_DBNO_EXTRA_TIME_2": "Союзники истекают кровью на 20 секунд дольше."
"TUT_WHORED_D_THE_RUNNING_DEAD": "БЕГУЩИЙ МЕРТВЕЦ"
"ACHIEVE_SR3_SHAKE_AND_BAKE": "ТРЯСИ И ПЕКИ"
"HOMIES_ZOMBIE_HORDE": "ОРДА ЗОМБИ"
"UNL_DLC_PREORDER04_WEAPONS": "ОРУЖИЕ - АКУЛОМАТ"
"TUT_TITLE_STRONGHOLD_CUSTOMIZATION": "МОДИФИКАЦИЯ КРЕПОСТИ"
"TUT_TITLE_CRUISE_CONTROL": "КРУИЗ-КОНТРОЛЬ"
"baseball_bat": "БЕЙСБОЛЬНАЯ БИТА"
"UNL_STRONGHOLD_02_CUSTOMIZATION": "КРЕПОСТЬ - СТОП-СЛОВО"
"UNL_WEEKLY_PAYMENTS_3": "БОНУС - ПОЧАСОВАЯ ВЫПЛАТА 3"
"TUT_TITLE_NAG_UPGRADE_STORE": "МАГАЗИН УЛУЧШЕНИЙ"
"TUT_FINEAIM_0": "{SHOULDER_CAMERA_IMG} ПРИБЛИЖЕНИЕ"
"PLAYER_ABANDON_FOLLOWER": "ВЫ БРОСАЕТЕ %d ИЗ СВОИХ [format][color:purple]ТОВАРИЩЕЙ[/format]."
"DISTRICT_SOUTH_EAST": "ЮГО-ВОСТОК"
"UNL_VEHICLE_CYRUS_VTOL": "МАШИНА - СВВП САЙРУСА"
"UNL_DESC_HOMIE_HEALTH_2": "Уровень здоровья всех последователей увеличивается 20%%."
"UNL_DESC_VEHICLE_CUST_LOW_COST": "Стоимость модификации машин снижается на 50%% благодаря взлому Мэтта Миллерса."
"UNL_UNLIMITED_AMMO_SMG": "ПАТРОНЫ - АВТОМАТ 4"
"TUT_NEW_MISSIONS": "{MAP_MENU_IMG} НОВЫЕ МИССИИ\nКак только становятся доступными новые миссии, они появляются в меню миссий вашего мобильного телефона."
"ACHIEVE_SR3_JUMPED_IN": "ЗАПРЫГНУЛ"
"WPN_SMGGANG_DESCRIPT": "Уличная версия автомата. При полном улучшении может стрелять зажигательными."
"UNL_CASH_LIMIT_LUCHA_3": "ЛИМИТ ТРАНСФЕРА"
"UNL_HEALTH_REGEN_2": "ВОССТАНОВЛЕНИЕ ЗДОРОВЬЯ 2"
"ACHIEVE_SR3_LOVE_HATE_RELATIONSHIP": "ЛЮБОВЬ И НЕНАВИСТЬ"
"UNL_NPC_CASH_DROP_2": "НАВЫК - ПАДАЛЬЩИК ВИП"
"TUT_TITLE_RESPECT_METER": "ШКАЛА АВТОРИТЕТА"
"ACHIEVE_SR3_GO_INTO_THE_LIGHT": "ИДТИ НА СВЕТ"
"WPN_DECKERSWORD_DESCRIPT": "Характерный меч, используемый членами банды Декеров."
"WPN_APOCOFIST": "КУЛАК АПОКАЛИПСИСА"
"SHOTGUN_STAG": "S3X МОЛОТ"
"HUD_BONUS_CLOTHING": "ОДЕЖДА - БОНУС"
"GARAGE_CANT_STORE": "ВЫ НЕ МОЖЕТЕ ПОСТАВИТЬ ЭТОТ ТРАНСПОРТ В ГАРАЖ."
"HOOD_YEARWOOD": "ЙЕРВУД"
"UNL_DESC_DISCOUNT_CLOTHING": "15-процентная скидка в магазинах одежды."
"UNL_WEP_SATCHEL_CHARGES": "ОРУЖИЕ - РАНЦЕВЫЙ ЗАРЯД"
"WPN_RIFLEKILLSHOT_DESCRIPT": "Этой штукой можно дать подзатыльник с 500 метров... да такой, что башку в клочья разорвет."
"MAP_TOTAL_RESPECT": "ВСЕГО АВТОРИТЕТА: %d"
"UNL_CHARACTER_CUSTOMIZATION": "ИЗМЕНЕНИЕ ПЕРСОНАЖА"
"TUT_TITLE_COLLECTION_STUNT_JUMP": "ТРЮКОВЫЕ ПРЫЖКИ"
"USE_TRIGGER_LOBBY": "ИДИТЕ В ВЕСТИБЮЛЬ"
"ACHIEVE_SR3_TOWER_DEFENSE": "ЗАЩИТА БАШНИ"
"WPN_TOILET": "ТУАЛЕНТ"
"HOMIES_JOSH_DESC": "Вызовите вашу шестерку, чтобы он дрался вместе с вами."
"UNL_DESC_TANKMAYHEM": "Вы открыли новые локации для задания ТАНКОВЫЙ РАЗГРОМ. \nПоищите их на карте."
"UNL_RESPECT_EURO_2": "БОНУС АВТОРИТЕТА"
"MAP_STORENAME_UNKNOWN": "НЕИЗВЕСТНО"
"HOMIES_HELI": "ВЕРТОЛЕТ"
"UNL_CLOTHING_GAS_MASK": "ПРЕДМЕТ - ГАЗОВАЯ МАСКА"
"UNL_RESPECT_BONUS_PURCHASE1": "БОНУС - АВТОРИТЕТ"
"UNL_DESC_DAMAGE_FALL_2": "Урон от падений снижается на 30%%."
"TUT_TITLE_SNIPER_UPGRADE": "УЛУЧШЕНИЕ СНАЙПЕРСКОГО ПРИЦЕЛА"
"WPN_PROTOTYPE_GENERIC_DESCRIPT": "ЭТО ПРОТОТИП, ЕСЛИ УВИДИТЕ ЭТО, СООБЩИТЕ ОБ ЭТОМ"
"HUD_FEET_ABR": "ФТ"
"UNL_INSTANT_RELOAD_RIFLE": "БЫСТРАЯ ПЕРЕЗАРЯДКА - ВИНТОВКИ"
"TUT_WHORED_D_PORKCHOP": "СЭНДВИЧИ СО СВИНИНОЙ"
"TUT_GAME_WIN": "Последнюю миссию вы можете пройти повторно, чтобы посмотреть альтернативную концовку.\nКроме того, у вас есть большой мир, который можно исследовать, захватить или уничтожить.\nРазвлекайтесь! "
"TUT_MINIMAP": "Мини-карта в нижнем левом углу отображает вашу задачу и кратчайший допустимый путь к ней."
"ACHIEVE_SR3_EVERYTHING_IS_PERMITTED": "ВСЕ ДОЗВОЛЕНО"
"FLASHPOINT_NAME": "ОПЕРАЦИЯ БАНДЫ"
"UNL_FASTER_RELOAD_3": "БЫСТРАЯ ПЕРЕЗАРЯДКА 3"
"TUT_RC_GUN": "Стреляйте RC-снарядами в машины, чтобы взять их под свой контроль. Дистанция, которую вы можете проехать, контролируя таким образом машину, ограничена."
"ACHIEVE_SR3_HANGING_WITH_MR_PIERCE": "ЗАВИСАЯ С МИСТЕРОМ ПИРСОМ"
"HUD_CANCEL_MISSION": "ОТМЕНИТЬ / ЗАНОВО"
"HUD_MINUTES_ABR": "МИН"
"UNL_DAMAGE_FIRE_3": "УРОН ОТ ОГНЯ 3"
"TUT_DISMISS": "{0} РАСПУСТИТЬ"
"SPECIAL_DRONE": "БЕСПИЛОТНИК \"ЖНЕЦ\""
"HUD_CANCEL_STRONGHOLD": "ОТМЕНИТЬ / ЗАНОВО"
"COMBAT_DISTANCE": "%.1f м!"
"UNL_DESC_RESPECT_BONUS_PURCHASE3": "Бонус в размере 15%% ко всему получаемому авторитету."
"UNL_UNLIMITED_AMMO_RIFLE": "ПАТРОНЫ - ВИНТОВКА 4"
"TUT_TITLE_DLC_GENKI_GUN": "МОЛЛЮСКОМЕТ"
"TUT_TITLE_COLLECTION": "КОЛЛЕКЦИЯ"
"TUT_TITLE_HITMAN_NEW": "УБИЙСТВА"
"STUN_GUN": "ЭЛЕКТРОШОКЕР"
"UNL_DESC_VEHICLE_MARS_ROVER": "Теперь в гараже вашего жилища есть марсоход."
"WPN_GRENADE_DESCRIPT": "Это граната. Когда она взрывается, бывает больно."
"WPNCAT_MELEE": "РУКОПАШНЫЙ БОЙ"
"UNL_DESC_INCOME_DECKER_2": "Вы получаете бонус 10%% к почасовому доходу с района Стэнфилд."
"UNL_HEALTH_REGEN_4": "ВОССТАНОВЛЕНИЕ ЗДОРОВЬЯ 4"
"TUT_WHORED_Z_SURVIVAL_HORROR": "КОШМАР НА ВЫЖИВАНИЕ"
"TUT_WHORED_D_SR_DESIGN": "СОБРАНИЕ СОЗДАТЕЛЕЙ SAINTS ROW "
"TUT_NAG_CRUISE_CONTROL": "ПОМНИТЕ! КРУИЗ-КОНТРОЛЬ {CRUISE_CONTROL_B_IMG} ПОЗВОЛИТ ВАМ УПРАВЛЯТЬ МАШИНОЙ И СТРЕЛЯТЬ ОДНОВРЕМЕННО."
"TUT_HOMIE_REVIVE": "Когда здоровье товарища заканчивается, у вас есть всего несколько секунд, чтобы оживить его. "
"HUD_TRIGGER_DISABLED_ACT": "ВЫ НЕ МОЖЕТЕ ЗАЙТИ СЮДА ВО ВРЕМЯ ЗАДАНИЯ"
"MISSION_COOP_CONFIRM_STRONGHOLD": "ПОДТВЕРЖДЕНИЕ НАЧАЛА ЗАХВАТА КРЕПОСТИ: %ls."
"UNL_INCOME_MSTAR_1": "ПОЧАСОВОЙ ДОХОД С РАЙОНА"
"UNL_DESC_FASTER_RELOAD_1": "Все оружие перезаряжается быстрее."
