"ACT_WHORED_Z_AGRIZOOPHOBIA": "Это большая проблема."
"ACT_ESCORT_SATISFIED_MSG": "ВЫСАДИТЕ [format][color:green]КЛИЕНТА[/format]"
"ACT_WHORED_A_APEX_PRED": "Покажи им, кто на вершине пищевой пирамиды."
"ACT_WHORED_A_PESTS": "Они повсюду!"
"ACT_WHORED_MINISNIPERS_FAIL": "Охотник становится добычей."
"ACT_WHORED_ZOMBIES_EXPLODE": "Зомби и взрывающиеся зомби. Да, можно пораниться."
"ACT_HOSTAGE_START": "НАЧАТЬ \"ЗАЛОЖНИКА\""
"ACT_VANDAL_COP_CAR_OLD_4_DOOR_MSG": "ПОЛИЦЕЙСКАЯ МАШИНА"
"ACT_FRAUD_GO_TO_SCORING_AREA": "ОТПРАВЛЯЙТЕСЬ В ЗОНУ ЗАРАБОТКА"
"ACT_CHOP_BRING_CAR": "Найдите машину и возвращайтесь."
"TUT_TITLE_ACT_INTRO_TANK_MAYHEM": "ТАНКОВЫЙ РАЗГРОМ"
"TEMP_LAST_MINUTE_2": "ОТКРЫТЬ МАСТЕРСКУЮ"
"CHOP_OFF_ROAD_RIMS": "ОБОДЫ ВНЕДОРОЖНИКА"
"ACT_ZOMBIE_DISPLAY_NAME": "ВОССТАНИЕ ЗОМБИ"
"ACT_VANDALISM_COMBO_NUMBER": "%i   "
"ACT_VANDAL_POLICE_MSG": "ПОЛИЦИЯ"
"ACT_VANDAL_STATIC_BONUS_STANDARD_CAR_MSG": "БОНУС ЗА СЕМЕЙНУЮ МАШИНУ"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_3SEC": "3..."
"ACT_FRAUD_MESSAGE_VEHICLE_MULT_TYPE": "РЕКОРД СТОЛКНОВЕНИЙ С МАШИНАМИ (МОШЕННИЧЕСТВО)"
"ACT_CHOP_SHOP_FAIL_CARS_MSG": "Слишком много машин потеряно."
"ACT_WHORED_BAT": "Биты вверх"
"ACT_RUNNING_MAN_INTRO_L_2": "Заработайте 2000 долларов, уничтожая цели и убивая врагов, покиньте арену, прежде чем истечет время. Если вы будете уничтожать объекты достаточно быстро, вы получите бонус за комбо."
"ACTIVITY_NAME_RUNNING_MAN": "СУПЕР-ЭТИЧЕСКАЯ КУЛЬМИНАЦИЯ РЕАЛЬНОСТИ"
"ACT_GUARDIAN_ANGEL_ZOOM_HELP_TEXT": "Нажмите {SHOULDER_CAM_IMG}, чтобы войти в режим Точного прицеливания. {ZOOM_IN_IMG}/{ZOOM_OUT_IMG} - приближать/удалять"
"ACT_ESCORT_STRIPPER_MSG": "ПОДОЖДИТЕ ПОКА СТРИПТИЗЕРША СЯДЕТ В МАШИНУ"
"ACT_ESCORT_GETBACK_COUNT_MSG": "У ВАС ЕСТЬ %d СЕК. НА ТО, ЧТОБЫ ВЕРНУТЬСЯ В [format][color:yellow]МАШИНУ[/format]"
"HORDE_LEVEL_DAEDALUS": "ДЕДАЛ"
"ACT_LEVEL_4": "УРОВЕНЬ 4"
"ACT_VANDAL_WEAPON_PENALTY_MSG": "ВЫ БУДЕТЕ ОШТРАФОВАНЫ ЗА ПРИМЕНЕНИЕ %ls"
"ACT_VANDAL_WEAPON_BONUS_MSG": "ВЫ ПОЛУЧИТЕ БОНУС ЗА ПРИМЕНЕНИЕ %ls"
"ACT_TRAFFIC_POLICE_STING_START": "ПОДСТАВА! СПАСИ [format][color:green]ДИЛЕРА[/format] ОТ КОПОВ!"
"ACT_TRAFFIC_OBJECTIVE_1_DRIVER": "ОТВЕЗИТЕ [format][color:green]ДИЛЕРА[/format] К КЛИЕНТАМ"
"ACT_HELI_TIMER_TEXT": "ОСТАЛОСЬ ВРЕМЕНИ "
"ACT_ESCORT_FAIL_STRIPPER_DEAD": "СТРИПТИЗЕРША УБИТА"
"ACT_WHORED_A_CONSCRIPTED": "Обслуживание продолжается и после смерти."
"ACT_WHORED_GENKI_REVENGE": "Супер-этическая взрывная радость профессора Дженки!"
"CHOP_STYLISH_RIMS": "СТИЛЬНЫЕ ОБОДЫ"
"ACT_VANDAL_VEHICLE_PENALTY_MSG": "ВЫ ПОЛУЧИТЕ ДЕНЬГИ ЗА РАЗРУШЕНИЕ [format][color:red]%ls[/format]"
"ACT_WHORED_Z_BIG_BONED": "Мы серьезно."
"ACT_VANDALISM_COMBO": "КОМБО: [format][color:grey]%i[/format]"
"ACT_ZOMBIE_NAME": "ВОССТАНИЕ ЗОМБИ"
"ACT_VANDAL_VAN_MINIVAN_MSG": "ВЭНЫ"
"ACT_WHORED_BOWLING_FAIL": "Не самый хороший результат."
"ACT_WHORED_MONEYSHOTS": "Целься в голову."
"ACT_ZOMBIE_HUD_ZOMBIES_KILLED": "УБИТО ЗОМБИ:"
"ACT_VANDAL_SUMMARY_UNKNOWN": "НЕИЗВЕСТНО"
"ACT_TRAFFIC_BUYER_ATTACK": "НА ПОКУПАТЕЛЯ НАПАЛИ"
"ACT_HELI_NAME": "АТАКА С ВЕРТОЛЕТА"
"ACT_HELI_CONVOY_BASE_MESSAGE": "ОСТАНОВИТЕ КОНВОЙ, ПРЕЖДЕ ЧЕМ ОН ДОЙДЕТ ДО %s"
"ACT_FRAUD_ADRENALINE_TAG": "АДРЕНАЛИН:"
"HASH_57E7C078": "УБЕЙТЕ [format][color:red]ЛЕЙТЕНАНТОВ БАНДЫ[/format]."
"ACT_WHORED_MINI_SAMURAI": "Маленький человек, огромный меч и море крови."
"STRONGHOLD_RESTART_PROMPT": "Хотите переиграть захват крепости?"
"ACT_TORCH_RACE_INSTRUCTIONS1": "Проедьте через все контрольные точки, чтобы превратить бонусные очки в дополнительное время"
"ACT_VANDAL_SUV_MSG": "ДЖИПЫ"
"ACT_GUARDIAN_ANGEL_HUD_TIMER_MESSAGE": "ВРЕМЯ"
"ACT_WHORED_ZOMBIE_UPRISING": "Переживите зомби-апокалипсис... не используя бег!"
"ACT_RUNNING_MAN_TRAP_EVADE": "УКЛОНЕНИЕ ОТ ЛОВУШКИ"
"ACT_ESCORT_RAGE": "ЖИВОТНАЯ ЯРОСТЬ"
"MISSION_SUCCESS_SUB_TEXT": "МИССИЯ ВЫПОЛНЕНА"
"ACT_HUD_CASH_MAX": "ЛОТЫ"
"ACT_FRAUD_TITLE": "ВЫБОР УРОВНЯ \"СТРАХОВОГО МОШЕННИЧЕСТВА\""
"CHOP_STYLISH_HOOD": "СТИЛЬНЫЙ КАПОТ"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_1SEC": "1..."
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED": "ДИЛЕР АРЕСТОВАН"
"ACT_PIMPING_TRAP_ATTACK_KILL_DECKERS": "ЭТО ЛОВУШКА! УБЕЙТЕ ВСЕХ[format][color:red]ДЕКЕРОВ[/format] И ЗАБЕРИТЕ [format][color:green]ИНФОРМАТОРОВ[/format]."
"ACT_PIMPING_CAPTURED_HO_DIED": "ОДНА ИЗ ШЛЮХ МЕРТВА! НАЙДИТЕ ДРУГУЮ."
"ACT_FRAUD_BONUS_DISTANCE": "БОНУС ЗА РАССТОЯНИЕ ПО ПРЯМОЙ"
"ACT_WHORED_A_STEELPORT_WAY": "Он достает самотык, ты достаешь нож."
"ACT_WHORED_D_LEAGUE_OF_OWN": "Осторожней, Кит."
"ACT_RUNNING_MAN_WAGER_ACCEPT_TEXT": "ПОСТАВИТЬ %ls НА %ls!"
"ACT_HELI_DISH_HUD_TEXT": "СПУТНИКОВЫЕ ТАРЕЛКИ УНИЧТОЖЕНЫ"
"ACT_FRAUD_FIRST_VISIT_BONUS_STRING": "ЗА ТРАВМЫ В ЭТОЙ ЗОНЕ ВЫ ПОЛУЧАЕТЕ БОНУС В ДВОЙНОМ РАЗМЕРЕ"
"ACT_CHOP_SHOP_SEEK_CARS_MSG": "Пригоните нужные машины в [format][color:green]мастерскую[/format], чтобы заработать денег."
"GARAGE_CANNOT_CUSTOMIZE": "МАШИНА НЕ МОЖЕТ БЫТЬ ИЗМЕНЕНА"
"CTS_MESSAGE_GO_PENTHOUSE": "ИДИТЕ В ПЕНТХАУС"
"ACT_LEVEL_1": "УРОВЕНЬ 1"
"ACT_ESCORT_TITLE": "ВЫБОР УРОВНЯ \"ЭСКОРТА\""
"ACT_VANDAL_PISTOL_MSG": "ПИСТОЛЕТ"
"ACT_CHOP_SHOP_APPROACH_CAR_MSG": "Перехватите и угоните эту машину."
"HASH_DBD1BF7C": "%s ОТБИЛСЯ"
"ACT_WHORED_HITNRUN": "Начитнайе косить их."
"CHOP_STREET_HOOD": "ОБЫЧНЫЙ КАПОТ"
"ACT_VANDAL_STATIC_BONUS_LUXURY_CAR_MSG": "БОНУС ЗА РОСКОШНУЮ МАШИНУ"
"ACT_ESCORT_OBJECTIVE_TEXT_02": "ИЗБЕГАЙТЕ ЖУРНАЛИСТОВ"
"ACTIVITY_NAME_TRAFFICKING": "НАРКОТРАФИК"
"ACT_ZOMBIE_START": "Сыграть в \"Восстание зомби\"?"
"ACT_VANDAL_OBJECTIVE_2": "ПРОВЕДИТЕ РАЗРУШИТЕЛЬНЫЕ КОМБО ЗА ДОПОЛНИТЕЛЬНЫЕ ДЕНЬГИ!"
"ACT_PIMPING_TRAP_ATTACK_GET_CONTACTS": "ЭТО ЛОВУШКА! ЗАБЕРИТЕ [format][color:green]ИНФОРМАТОРОВ[/format] И УБИРАЙТЕСЬ ОТТУДА."
"ACT_HELI_TARGETS_TEXT": "ЗАДАЧИ ВЫПОЛНЕНЫ"
"ACT_WHORED_NINJAS_FAIL": "Бесшумный и смертоносный"
"CHOP_STREET_GRILL": "ОБЫЧНЫЙ КЕНГУРЯТНИК"
"ACT_VANDAL_THROWN_MSG": "МЕТАТЕЛЬНОЕ ОРУЖИЕ"
"ACT_VANDAL_BOAT_MSG": "ЛОДКИ"
"ACT_PIMPING_HOS_COLON": "ШЛЮХИ:"
"ACT_FRAUD_KILLED": "Вы убили человека и потеряли доверие"
"ACT_WHORED_D_NORMS_REVENGE": "Когда у тебя есть только молоток, все начинают выглядеть шлюхами."
"ACT_WHORED_STARPOWER": "Все ваше оружие улучшено, а враги взрываются от вашего прикосновения!"
"HORDE_CHARACTER_GIMPY": "УРОД"
"ACT_RUNNING_MAN_WAGER_REJECT_TEXT": "Я НЕ ИГРАЮ. ОТДАЙТЕ МНЕ МОИ %ls."
"ACT_TRAFFICKING_START": "НАЧАТЬ \"НАРКОТРАФИК\""
"ACT_VANDAL_CAR_COMPACT_MSG": "КОМПАКТНЫЕ МАШИНЫ"
"ACT_VANDAL_STATIC_BONUS_VAN_MSG": "БОНУС ЗА ФУРГОН"
"ACT_FRAUD_BONUS_DISTRICT": "БОНУС ЗА РАЙОН"
